n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,988,523,497,414,29.25,26.05,25.94746359093937
940,802,849,310,991,488,366,597,913,929,223,27.08,22.28,23.30105693897606
516,142,288,143,773,97,633,818,256,931,545,26.63,22.4,22.964076050583405
722,829,616,923,150,317,101,747,75,920,870,22.56,20.23,20.44847245347245
700,338,483,573,103,362,444,323,625,655,934,23.4,19.91,20.14750368728094
209,989,565,488,453,886,533,266,63,824,940,33.35,32.84,30.985380148174265
561,937,14,95,736,860,408,727,844,803,684,37.7,31.94,32.43623075998076
640,1,626,505,847,888,341,249,747,333,720,33.58,31.47,30.128120403561585
891,64,195,939,581,227,244,822,990,145,822,22.43,22.61,22.377132695735632
556,458,93,82,327,896,520,955,501,111,308,29.24,27.02,27.569102989602985
564,298,723,127,560,340,834,944,553,208,986,25.42,21.57,21.583445813445813
818,617,560,601,294,455,93,610,817,394,324,30.27,27.64,27.5123764253176
589,247,297,188,193,841,191,33,627,672,266,37.19,33.15,32.486247129776544
487,70,91,695,775,133,897,153,945,39,862,39.59,35.76,35.87107286891629
82,919,716,945,849,553,699,400,857,722,537,26.8,23.85,23.721142234671643
282,534,831,241,869,220,916,695,603,845,972,20.32,16.47,18.062765960682917
429,593,281,461,504,676,656,717,938,812,365,26.25,23.36,23.48426888062917
84,332,627,118,498,601,645,343,865,194,248,38.57,29.98,31.309049879378602
16,749,277,119,722,225,380,813,174,340,436,44.71,41.9,39.705573361823355
835,63,103,801,149,875,714,224,46,836,587,32.04,26.62,28.374514903397255
649,931,958,547,616,696,75,27,127,650,193,25.78,22.42,23.100193602693604
620,850,589,122,400,93,379,853,118,37,620,28.28,26.6,26.898459046400223
22,199,984,993,189,735,126,490,215,744,819,38.33,35.29,35.565663268104444
62,959,695,23,557,435,635,103,855,266,71,32.8,27.53,26.833589837242087
226,73,662,308,358,446,184,62,515,478,40,30.48,26.51,25.04980631568867
610,103,716,400,204,266,367,926,749,481,858,29.74,25.76,26.38013597513598
923,940,583,173,714,688,208,989,785,59,807,32.87,30.63,30.752414853664853
692,162,865,165,350,542,256,120,611,943,452,32.57,27.4,27.112878871737003
681,179,13,482,697,419,921,582,895,520,939,24.03,24.47,23.899461987903162
318,664,365,397,857,673,256,157,574,707,12,39.81,37.38,37.287274034516685
468,759,80,343,756,46,557,287,138,245,780,38.13,34.52,34.010017908017915
976,493,360,624,294,689,367,604,969,913,648,29.72,25.27,25.562802758243933
874,635,135,732,317,397,766,424,848,666,82,24.47,20.56,21.087032368502957
1,608,196,715,342,163,245,228,652,458,387,33.35,31.82,31.053399328340504
727,896,689,581,895,424,32,411,892,718,581,30.98,29.27,30.66947413921462
428,790,678,726,47,169,456,65,265,718,161,44.98,37.45,39.04085496427192
457,540,906,498,929,574,618,773,0,905,39,106.94,95.88,97.83900095635173
506,333,319,857,478,51,828,842,896,997,831,23.51,20.92,20.95351343645461
425,192,561,986,648,85,857,742,133,15,411,31.73,28.75,28.355360188078613
972,694,427,323,3,218,14,734,772,2,842,61.05,58.83,56.426792703483876
691,541,626,100,195,121,622,664,203,894,309,23.78,20.38,20.081964312440093
286,705,186,102,487,874,944,406,642,83,22,42.71,40.35,39.13227671021789
281,935,463,819,811,118,882,262,136,669,533,32.92,27.28,29.286985622829047
836,666,660,355,117,892,158,285,871,19,43,38.53,33.12,33.09713699698994
41,210,697,265,571,322,969,375,960,581,931,30.05,25.93,24.8538693452517
869,43,866,767,984,718,622,671,506,729,659,28.37,24.29,24.863679104120283
924,469,655,445,381,892,550,182,212,384,601,28.37,26.75,24.63362286406404
298,9,141,154,277,341,345,808,376,735,95,31.78,27.24,29.220275858192817
346,798,635,36,42,276,167,153,597,296,369,34.49,31.51,30.76674061205679
404,561,132,300,117,489,748,245,956,49,315,33.68,29.9,28.16721236504108
183,877,535,746,72,309,412,855,336,306,424,26.34,23.31,22.622026725997316
111,101,574,930,492,485,345,861,817,999,831,24.96,21.62,20.864155528567295
351,127,490,118,716,509,436,38,309,343,752,24.98,22.33,22.25890751541487
703,915,159,941,170,641,578,384,825,997,654,26.22,23.75,23.558857354039013
89,67,827,86,202,767,226,62,394,8,100,52.51,48.1,49.829326230414466
403,569,531,296,459,942,500,807,598,731,695,23.65,17.71,18.134895656086833
222,433,85,377,225,267,599,795,170,441,196,25.27,24.34,24.07811676721971
367,117,65,841,884,873,718,28,924,538,462,24.47,19.69,19.76348130851591
770,693,206,121,509,407,262,212,656,43,970,40.72,33.13,33.61975915832534
816,221,638,149,107,202,469,387,370,559,846,27.75,23.11,22.939578025460378
154,107,610,499,151,577,415,653,696,433,898,20.81,20.52,20.387711528187307
533,507,695,939,909,330,853,510,510,650,686,24.41,22.63,25.320480199539023
895,206,555,624,953,224,9,348,722,985,764,34.09,33.14,31.72343499093499
920,325,837,329,36,537,151,895,263,617,802,23.24,20.6,20.30558947812408
159,862,388,596,301,735,723,826,481,67,819,35.38,31.86,31.60453782492018
86,528,889,937,40,67,230,133,41,307,15,48.97,43.82,44.651090923093946
777,864,459,338,882,164,819,152,889,671,471,24.62,20.55,19.339733372964343
991,380,517,391,922,542,514,34,587,92,694,34.39,33.04,32.752407899290255
813,824,530,776,614,78,764,436,927,772,211,19.64,17.05,17.22772280959781
296,548,922,612,427,845,995,493,865,810,995,26.15,23.9,26.039728245610597
397,622,600,239,871,885,817,20,672,906,0,97.31,88.9,88.31710524585309
758,186,309,519,583,260,340,67,505,880,268,34.45,31.34,30.552308108078
965,844,310,791,417,393,829,392,63,167,656,33.04,27.89,29.40388553195171
957,130,244,293,746,849,342,56,964,36,492,28.09,24.19,22.94725455481338
427,144,503,911,884,616,734,83,689,715,155,39.97,36.6,36.75421717171717
829,361,421,36,626,477,395,469,48,103,482,29.51,24.89,26.024329892329895
796,155,20,33,612,632,135,645,331,107,716,36.36,33.69,32.44563344607462
562,664,354,199,392,802,795,796,502,113,902,26.98,22.63,22.19290663067869
61,624,717,478,629,647,956,345,666,127,992,30.8,27.38,26.257438154502164
698,730,636,303,807,869,130,981,933,396,818,23.59,19.84,20.246227337477336
300,938,763,893,980,697,829,124,531,881,804,25.64,23.62,23.49928075192781
193,39,800,401,455,380,774,195,466,365,808,34.39,28.59,29.699496826222607
647,77,979,45,923,956,40,497,261,922,27,29.02,24.55,24.79519728882229
967,532,682,582,585,896,221,235,95,794,839,28.45,25.72,26.61398148148148
905,910,642,798,514,715,536,430,519,312,968,25.21,21.61,22.36101656513421
116,149,436,913,579,432,945,86,958,107,425,31.73,27.24,26.102114418805595
64,101,425,792,159,751,977,31,810,457,441,40.95,35.92,35.96254037248154
702,427,30,508,941,884,985,332,739,258,80,40.07,35.01,35.12075382678324
360,72,124,367,708,30,353,356,182,10,850,32.91,30.41,30.0150702370166
997,236,838,374,72,610,914,146,212,3,209,34.89,30.85,31.409127654752652
674,689,749,960,922,126,765,7,300,377,706,25.33,22.08,22.688046154825567
25,955,619,238,879,145,191,464,115,488,352,28.3,27.13,26.02184041557571
724,982,264,133,28,989,213,370,343,484,983,29.82,25.57,26.18981293440636
299,303,959,899,981,566,651,334,188,607,82,27.9,24.03,23.837858991018596
105,546,594,315,160,385,919,150,968,128,823,28.81,23.48,24.337370906934915
228,323,520,248,242,772,188,298,381,429,679,29.48,22.05,23.287495014245014
47,881,135,615,21,403,79,719,74,135,430,59.0,53.26,54.76888340961871
306,563,426,758,948,145,605,432,305,652,363,26.19,23.77,23.736257353757356
86,254,455,647,378,652,971,541,59,385,418,36.44,34.07,34.751623613042725
8,427,985,745,922,328,451,208,380,300,975,51.47,46.42,45.307716406686986
