n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,190,887,692,6,346,514,474,919,619,82,768.72,137.44,169.6199999999999
342,567,958,631,716,41,745,388,173,720,968,462,974,742,432,772.37,119.8,134.82999999999996
160,172,243,52,113,135,518,892,946,604,64,792,704,392,808,767.77,151.16,176.33999999999992
764,908,104,941,298,209,690,229,743,812,431,910,89,791,273,764.91,133.92,151.14999999999992
933,214,406,287,349,828,44,204,725,907,5,900,421,56,917,767.33,170.54,204.95999999999995
387,866,503,142,24,242,434,753,928,871,114,987,611,3,124,767.69,203.57,243.94999999999993
782,592,202,916,872,207,338,8,913,85,136,552,939,17,512,769.91,186.51,225.04999999999993
86,586,508,550,943,202,430,70,407,196,654,783,95,717,593,771.54,138.73,161.79999999999995
148,176,962,623,736,981,42,55,276,568,699,620,872,152,763,771.19,156.46,179.3499999999999
274,754,589,35,124,889,722,412,973,927,242,165,625,517,44,774.13,148.95,174.19999999999993
753,374,865,690,534,604,578,793,704,88,888,355,112,884,902,768.67,118.26,133.84999999999997
598,374,462,215,411,203,969,588,763,18,388,818,622,336,0,768.29,155.04,178.48
443,114,218,227,454,276,332,834,90,314,644,291,105,529,802,770.66,139.73,161.31999999999996
56,26,390,799,573,826,438,509,354,726,796,254,579,755,67,772.47,162.03,190.02999999999997
435,663,236,98,987,778,410,522,381,978,880,573,378,142,683,770.7,124.29,137.55999999999992
297,175,709,863,896,265,30,51,962,998,829,176,269,969,168,769.77,158.51,184.75999999999993
123,621,151,12,49,62,461,213,805,398,301,626,15,989,817,766.41,217.53,266.0199999999999
363,291,144,492,575,284,140,984,88,765,569,303,712,120,67,769.45,153.9,169.01999999999992
430,462,145,720,575,782,813,392,602,908,822,173,679,732,280,771.91,118.79,128.07999999999996
790,611,901,623,506,357,101,945,49,283,541,131,177,817,644,767.46,138.98,155.0899999999999
840,86,166,798,808,227,879,13,207,180,485,467,605,572,558,772.68,190.42,220.20999999999995
397,85,177,561,493,607,969,268,548,68,963,666,29,594,599,771.78,143.6,164.99999999999994
910,446,557,316,536,539,550,657,931,815,67,898,658,587,555,770.91,123.87,139.84999999999994
978,307,65,742,229,737,140,105,102,716,503,464,61,501,910,768.84,151.14,178.63999999999996
652,744,54,695,617,29,382,249,899,469,236,380,842,985,747,769.63,139.5,162.6599999999999
586,639,507,896,248,36,637,611,86,627,48,694,419,416,602,770.36,156.54,187.61999999999992
70,82,193,34,622,770,185,86,66,30,363,639,481,560,548,767.29,187.66,228.0999999999999
486,26,720,794,77,341,86,801,329,8,474,976,459,604,152,768.47,186.0,222.06
999,395,489,852,141,108,914,357,687,236,462,798,132,196,991,770.84,121.87,137.28999999999996
226,111,113,53,122,76,960,660,999,84,381,106,758,24,478,765.09,202.45,244.41000000000003
641,534,205,378,895,649,83,241,5,262,781,530,699,202,15,771.95,184.54,220.86
449,259,966,625,22,983,105,531,819,427,59,920,257,486,872,769.87,161.87,188.22
322,619,895,225,654,60,697,281,135,307,39,819,191,998,361,769.04,156.8,182.7899999999999
805,923,412,953,7,897,942,309,990,879,96,30,325,449,253,772.91,167.78,194.69999999999993
426,618,329,503,576,355,901,857,913,408,440,213,80,283,308,767.69,132.3,148.24999999999997
472,477,625,946,582,466,450,394,190,337,411,60,332,94,174,769.36,145.7,169.7899999999999
325,556,27,193,216,728,373,674,918,140,966,640,87,345,998,772.01,137.05,158.10999999999993
457,985,621,613,779,963,904,686,751,394,216,713,554,789,343,771.27,109.69,123.12999999999997
77,19,685,565,431,481,232,887,744,331,782,853,818,526,514,772.32,154.88,179.12
101,474,734,3,291,939,546,210,73,229,11,943,322,43,93,770.14,235.92,300.1899999999999
152,336,167,710,98,521,843,808,413,664,859,404,398,909,600,772.7,129.92,142.87999999999994
518,889,138,520,706,365,367,969,276,206,328,936,394,580,186,772.77,123.35,133.54999999999995
818,627,795,889,182,584,175,9,313,700,908,20,285,490,535,770.46,169.25,195.49999999999994
886,772,693,437,930,772,95,279,291,147,529,462,490,696,237,770.3,119.64,134.00999999999993
183,338,150,766,694,355,761,615,52,558,285,951,352,26,592,771.75,157.97,183.6399999999999
190,550,797,973,685,780,98,464,137,348,215,765,556,137,924,771.19,123.11,150.44999999999993
432,221,527,207,859,702,582,433,10,866,568,50,958,792,732,768.45,144.12,165.78999999999996
363,508,381,62,381,827,817,408,907,474,447,647,744,987,195,768.88,119.65,142.07
569,101,939,170,987,601,86,912,363,266,909,253,785,480,992,771.15,134.58,152.44999999999996
538,190,779,543,12,955,678,552,343,686,228,998,177,28,57,769.05,195.57,237.1799999999999
733,874,600,595,993,205,673,852,346,290,724,132,338,304,405,770.04,118.17,128.14999999999992
