n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,93,86,369,855,173,753,828,685,874,315,257,620,217,621,36,595,772.9,205.99,255.39999999999992
697,162,441,653,402,822,740,880,521,972,380,557,958,455,514,274,922,36,891,28,372,771.26,190.02,225.62999999999985
476,954,326,929,389,433,913,905,538,168,573,181,241,236,24,180,332,177,139,522,522,771.47,205.47,259.58
368,526,690,573,186,915,456,815,424,752,537,928,930,781,372,808,607,362,370,879,984,774.51,143.52,162.78999999999994
456,165,977,772,409,732,756,472,670,543,255,501,285,947,510,512,527,851,815,362,677,771.5,149.28,171.00999999999993
904,465,921,924,472,359,581,743,942,570,741,467,498,674,227,963,332,834,716,855,170,774.72,150.84,170.8399999999999
897,929,631,274,791,933,491,316,310,980,818,723,851,516,575,530,519,667,630,602,416,773.41,147.52,168.62999999999988
319,748,212,500,524,375,956,700,638,903,77,803,840,349,743,8,929,834,195,762,108,771.93,196.22,233.65999999999994
60,588,668,50,279,605,232,698,896,937,108,772,534,139,874,272,250,844,215,966,901,773.8,182.94,213.8499999999999
61,433,919,734,777,32,58,371,368,176,255,688,24,84,117,977,69,25,41,746,940,770.5,274.23,365.1900000000002
21,382,261,130,832,958,160,752,188,535,708,1,394,603,44,813,253,155,994,37,4,768.99,240.31,299.5299999999999
352,960,630,642,760,765,115,292,345,500,31,315,459,564,784,619,757,46,923,270,773,774.56,190.97,223.7299999999999
411,883,636,722,157,484,981,230,95,676,703,323,858,104,24,458,807,895,970,130,530,773.64,213.94,265.16999999999996
598,799,402,498,527,335,147,895,982,349,265,268,620,993,429,668,18,716,571,982,143,771.85,178.52,223.28
686,58,259,34,134,165,174,98,464,650,237,520,938,725,956,32,252,238,731,455,75,768.53,232.9,286.95999999999987
256,82,605,233,639,810,819,638,726,368,262,700,433,285,538,768,4,154,36,393,418,771.71,196.77,249.96
164,113,524,741,89,246,104,102,20,186,768,237,107,222,25,533,685,475,464,317,548,768.79,237.82,304.42999999999995
657,389,217,701,928,778,986,215,746,825,444,435,523,21,595,605,52,902,428,951,537,772.39,186.41,220.51999999999992
595,185,942,96,679,821,491,374,19,531,983,943,121,625,375,296,706,954,381,315,19,774.66,178.98,268.23999999999995
895,701,422,103,107,313,203,860,793,688,845,16,831,462,61,420,652,497,474,213,910,772.71,204.33,249.28
602,628,75,5,291,24,381,313,957,740,78,224,773,502,196,118,585,382,401,733,474,771.94,233.78,298.7
143,771,353,404,908,124,260,124,125,82,631,870,342,656,400,982,217,709,107,25,633,772.06,204.17,261.14
674,481,795,44,740,722,509,297,366,982,468,144,817,383,275,495,538,886,489,736,977,774.67,160.37,183.93999999999994
745,823,429,954,503,856,696,303,404,237,160,500,610,265,561,437,712,695,715,940,86,770.53,175.56,202.92999999999995
599,745,837,589,98,72,364,180,558,150,825,426,919,68,817,88,933,916,697,829,663,772.3,173.98,203.66999999999996
38,131,997,303,399,237,725,686,906,697,337,449,176,536,293,114,159,553,972,992,773,773.38,195.85,234.34999999999997
433,98,336,528,254,732,526,263,173,916,161,472,970,720,240,413,895,367,801,782,587,771.3,172.14,211.1599999999999
746,148,477,451,736,30,829,609,392,902,754,184,402,522,54,494,280,414,259,727,748,770.94,189.43,221.66999999999993
959,422,722,663,483,368,985,560,338,730,763,933,674,83,779,839,872,743,230,545,636,774.6,151.15,179.02999999999994
192,412,835,682,391,902,650,936,11,320,475,536,728,928,904,477,665,181,835,96,17,770.92,230.42,289.45999999999987
412,965,221,746,582,620,395,927,220,905,995,102,399,835,571,785,820,204,280,762,943,772.43,169.2,195.11999999999986
600,594,196,501,823,626,141,8,627,694,444,493,259,525,579,177,478,729,209,995,989,772.02,177.52,208.22999999999996
778,74,358,3,927,497,545,857,685,674,67,772,605,496,947,690,944,342,470,273,898,772.01,197.95,240.03
514,471,28,81,628,772,355,177,777,768,961,803,414,261,691,640,806,853,884,736,138,771.91,191.68,217.24
55,166,511,390,475,691,301,159,10,289,570,478,990,1,375,34,550,870,391,577,453,773.66,215.34,265.77
209,891,692,315,510,664,136,495,706,551,728,936,309,78,264,844,320,311,341,661,971,771.02,164.11,195.39999999999986
814,319,669,658,402,530,860,942,95,520,648,215,400,610,543,868,871,153,817,516,643,773.18,164.87,193.77999999999994
91,315,41,238,972,468,574,237,535,284,62,980,114,114,691,838,806,388,877,373,218,770.95,187.85,236.94999999999996
326,364,79,342,468,371,170,509,452,890,298,472,916,137,943,735,452,654,221,951,279,770.38,167.63,203.94999999999993
334,162,101,909,243,480,194,770,694,866,382,189,364,143,814,138,238,275,827,563,648,772.09,184.18,222.10999999999996
387,409,827,843,767,350,287,899,737,948,609,514,594,706,749,971,328,760,409,769,730,773.06,133.52,161.55999999999995
890,721,958,647,771,992,733,298,544,637,652,686,74,376,315,404,495,178,264,980,922,773.61,160.29,183.03999999999994
362,451,488,89,915,945,190,322,983,388,130,991,28,106,359,171,367,78,939,899,904,773.85,208.13,252.5999999999999
749,779,667,446,8,555,328,242,844,853,608,399,554,291,480,653,922,154,368,323,206,772.23,182.49,212.18999999999997
948,510,97,994,145,802,209,339,257,144,430,369,256,91,350,192,252,724,245,745,625,773.07,185.07,228.05999999999995
47,344,962,381,663,786,626,63,882,147,181,871,64,440,454,797,278,135,328,535,590,768.76,188.64,224.02999999999992
865,119,346,663,786,727,625,980,404,233,55,401,784,485,501,634,892,324,557,857,636,772.71,170.82,214.51000000000002
611,92,602,522,551,680,507,410,860,708,465,173,421,395,537,463,47,899,110,462,605,775.54,178.65,215.7599999999999
131,121,959,943,696,512,937,179,79,402,313,468,817,724,9,259,108,684,359,225,177,773.95,204.03,250.91
25,150,437,685,94,344,994,839,664,476,50,878,920,486,247,66,493,142,572,31,141,771.48,217.45,272.5799999999999
712,514,555,61,49,204,559,940,6,841,833,535,345,698,541,896,244,143,380,503,1,772.08,202.2,244.37999999999997
134,553,119,252,110,477,216,817,54,630,220,641,388,344,637,663,879,403,925,957,734,770.11,184.48,219.73999999999995
537,519,799,938,691,166,523,107,853,837,155,642,980,215,177,386,206,304,348,441,147,772.16,186.44,219.04999999999993
437,133,407,321,816,306,830,101,575,102,484,278,291,540,783,500,286,234,430,719,140,768.66,185.98,222.0899999999999
715,560,674,106,31,616,564,769,206,217,199,400,593,40,660,141,640,24,760,268,719,770.35,223.36,278.4199999999999
739,486,552,48,754,790,881,842,229,855,147,612,320,39,705,200,110,143,651,710,557,771.07,197.1,242.29999999999995
938,190,781,978,94,703,920,889,475,644,298,986,213,161,843,332,717,839,283,870,924,772.77,152.45,176.5299999999999
530,582,69,422,919,425,683,737,34,466,304,675,882,124,651,719,751,278,966,932,16,775.36,203.93,249.97999999999996
219,428,341,267,550,745,401,607,538,765,945,913,205,440,790,131,709,174,805,895,458,772.83,155.24,180.69999999999996
892,465,993,354,392,484,627,260,629,195,594,487,455,196,773,480,870,587,345,316,72,770.13,168.41,195.70999999999992
174,378,619,641,880,482,227,786,630,669,674,590,906,131,698,956,315,890,212,548,856,771.83,164.63,190.84999999999994
843,306,100,12,807,891,29,202,320,59,326,546,262,811,741,680,351,842,451,73,429,772.13,230.63,293.0499999999999
481,853,728,18,289,593,588,135,217,154,166,621,789,384,738,66,648,602,457,936,285,771.89,193.39,232.21999999999989
660,84,507,490,820,807,937,243,154,578,306,869,987,876,948,232,207,633,720,944,895,775.32,163.51,189.13999999999993
342,605,630,719,401,536,416,240,659,218,574,63,267,681,255,141,965,636,749,400,844,771.64,157.57,186.1599999999999
446,122,993,466,401,404,486,984,389,291,220,246,229,56,545,537,837,907,92,617,968,771.42,192.0,228.25999999999993
556,690,3,55,396,724,440,411,236,527,279,103,373,522,369,532,964,801,504,594,71,774.07,204.37,250.94000000000003
721,471,752,719,226,286,25,30,490,42,132,664,145,211,329,247,550,49,630,148,661,770.59,242.94,304.3400000000001
302,965,780,104,656,571,553,88,694,686,139,447,724,143,34,317,523,676,274,484,48,769.94,196.85,239.78999999999988
967,569,363,782,348,702,944,99,620,368,109,623,803,356,372,814,970,963,651,282,824,770.1,161.75,188.08999999999986
489,917,289,521,614,990,153,26,45,348,444,857,648,8,357,688,998,547,732,51,882,773.65,211.04,262.75
678,78,706,553,518,624,788,445,438,429,245,809,186,166,628,46,16,607,778,989,736,774.37,209.56,255.17999999999998
846,361,689,185,301,20,926,890,41,991,252,579,806,956,916,224,412,64,930,368,113,772.08,202.84,252.33999999999997
951,611,934,69,248,238,563,194,105,6,708,415,81,512,873,287,595,667,226,53,538,774.41,214.31,269.2699999999999
529,540,943,412,437,936,801,129,158,437,132,470,752,381,54,997,981,585,187,528,837,771.96,161.76,200.6599999999999
450,968,447,613,973,841,818,889,663,456,166,507,608,130,873,359,149,23,257,722,191,768.76,196.5,238.92000000000002
154,653,422,583,645,256,452,481,475,192,433,445,275,793,224,361,768,647,975,32,840,771.81,184.17,216.24999999999994
404,636,855,28,436,309,953,860,24,996,931,560,488,582,267,702,277,253,477,729,467,775.88,206.26,250.09999999999985
