n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,29.63,8.78,8.27
738,405,490,19.76,5.52,5.510000000000002
158,92,68,45.47,10.46,9.999999999999996
20,411,562,44.77,11.79,11.26
939,296,819,25.77,5.93,6.17
783,60,227,38.75,10.69,10.779999999999998
532,549,368,20.47,6.1,5.950000000000001
283,798,176,33.41,7.71,7.699999999999998
846,108,268,28.69,7.03,7.8100000000000005
219,965,949,20.56,6.99,6.729999999999998
26,848,656,31.0,7.46,7.619999999999998
826,266,819,22.33,6.42,5.810000000000002
278,198,168,31.73,8.29,8.559999999999999
317,296,642,26.08,7.37,7.949999999999999
888,749,983,14.27,4.45,4.690000000000001
875,868,901,12.34,4.37,4.6800000000000015
381,88,865,30.24,7.01,7.929999999999998
620,345,687,19.06,6.17,5.880000000000001
397,518,254,28.03,7.11,7.269999999999998
182,253,484,30.23,7.16,7.389999999999999
286,91,967,33.35,7.92,7.860000000000001
957,837,886,15.08,4.87,4.850000000000001
964,560,860,18.18,5.67,5.34
307,7,930,49.58,16.35,17.179999999999996
298,586,721,24.17,6.22,6.269999999999999
903,319,868,14.67,5.15,4.900000000000001
783,520,199,25.18,7.87,7.519999999999996
423,433,613,28.75,7.54,7.81
295,441,462,20.89,6.42,6.1000000000000005
165,238,312,27.97,8.23,8.150000000000002
265,832,816,21.59,5.86,5.970000000000002
44,83,47,40.05,10.45,10.739999999999997
473,641,287,19.19,4.72,4.780000000000001
531,547,663,15.92,5.63,5.330000000000002
482,717,351,27.92,9.33,7.8299999999999965
148,689,200,33.44,8.17,8.309999999999999
68,422,935,31.38,8.87,8.979999999999995
207,650,647,19.41,5.32,5.030000000000001
451,282,188,16.74,6.71,6.410000000000002
364,446,764,15.25,6.42,6.01
602,328,649,16.85,5.76,5.98
571,203,926,22.15,6.39,5.460000000000001
331,103,859,27.7,9.3,9.169999999999995
63,725,234,30.55,8.01,7.739999999999997
284,783,596,22.97,6.05,6.219999999999999
630,882,243,18.57,7.49,7.019999999999998
125,339,957,33.71,6.01,6.210000000000001
181,297,470,28.84,8.06,7.8100000000000005
26,43,365,44.94,10.12,10.539999999999997
714,84,917,21.62,5.46,6.380000000000001
987,977,292,13.99,5.64,5.53
752,691,982,14.46,4.73,4.660000000000002
334,18,330,39.27,11.15,10.389999999999999
295,329,989,31.36,5.66,5.819999999999999
156,793,667,22.58,6.08,6.210000000000001
420,882,965,25.77,6.72,6.379999999999999
890,635,696,20.94,5.54,5.41
837,79,300,26.72,7.5,6.73
632,196,915,24.27,7.52,7.4099999999999975
454,299,139,29.81,7.55,7.109999999999999
256,390,613,32.6,6.91,6.630000000000002
984,162,339,22.35,6.86,7.199999999999999
586,9,372,59.17,16.85,16.39
45,465,173,25.28,8.28,8.399999999999997
373,802,823,31.6,7.03,6.719999999999999
371,297,585,26.61,6.37,6.429999999999999
99,449,212,32.23,9.53,9.009999999999998
434,938,212,22.53,6.51,7.019999999999999
116,60,63,47.45,13.4,13.009999999999996
56,754,172,30.91,9.2,9.030000000000001
609,693,993,16.63,6.37,6.289999999999998
153,621,41,33.83,8.95,8.379999999999995
559,502,596,26.19,6.25,5.940000000000001
255,329,36,33.7,9.28,9.2
125,854,541,23.5,6.37,6.549999999999999
299,792,419,16.13,6.16,5.9700000000000015
667,205,489,25.34,6.28,6.110000000000003
206,247,449,27.64,7.69,7.6
420,503,37,32.7,9.35,9.290000000000001
224,431,454,24.08,6.01,6.6
254,662,910,26.14,7.45,6.999999999999998
438,850,220,21.27,6.01,6.300000000000001
510,192,32,35.09,10.65,10.529999999999998
37,260,259,43.01,10.74,9.93
248,538,213,22.67,6.13,5.950000000000001
790,237,427,16.43,6.25,6.190000000000001
890,267,145,25.1,6.76,6.8500000000000005
332,52,912,31.61,8.47,7.929999999999996
950,322,578,25.68,6.31,5.979999999999999
119,583,412,34.56,7.63,7.889999999999997
985,922,668,14.95,5.07,4.830000000000002
669,891,809,40.43,6.69,7.539999999999996
734,762,41,21.99,7.38,6.919999999999998
506,396,95,29.51,6.4,7.230000000000001
440,215,952,22.44,6.25,6.240000000000001
894,586,921,21.96,6.4,5.929999999999998
966,946,169,26.88,7.09,7.319999999999998
344,303,672,19.31,5.9,6.620000000000001
482,818,922,15.59,4.83,5.390000000000001
657,322,834,14.45,5.63,5.480000000000002
