n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,93,86,369,855,173,753,828,685,56.47,28.92,27.743260120495783
874,315,257,620,217,621,36,595,697,162,441,653,402,64.95,36.09,35.92966324667557
822,740,880,521,972,380,557,958,455,514,274,922,36,62.2,32.91,33.3716045019328
891,28,372,476,954,326,929,389,433,913,905,538,168,63.5,31.21,31.965757170415987
573,181,241,236,24,180,332,177,139,522,522,368,526,62.93,34.82,35.79896567893739
690,573,186,915,456,815,424,752,537,928,930,781,372,52.36,25.43,26.49810879069422
808,607,362,370,879,984,456,165,977,772,409,732,756,67.77,32.84,33.376493282597096
472,670,543,255,501,285,947,510,512,527,851,815,362,60.35,31.62,30.58262463009958
677,904,465,921,924,472,359,581,743,942,570,741,467,50.87,26.54,27.20987580693849
498,674,227,963,332,834,716,855,170,897,929,631,274,66.03,30.48,31.87244051559954
791,933,491,316,310,980,818,723,851,516,575,530,519,46.41,27.71,27.26609225616871
667,630,602,416,319,748,212,500,524,375,956,700,638,57.79,26.73,26.33947878249093
903,77,803,840,349,743,8,929,834,195,762,108,60,128.26,68.29,69.85442159556294
588,668,50,279,605,232,698,896,937,108,772,534,139,69.9,36.95,37.83628741280382
874,272,250,844,215,966,901,61,433,919,734,777,32,75.65,35.8,37.311059562273606
58,371,368,176,255,688,24,84,117,977,69,25,41,95.34,39.75,40.65836915249308
746,940,21,382,261,130,832,958,160,752,188,535,708,76.91,39.33,39.41818493146076
1,394,603,44,813,253,155,994,37,4,352,960,630,102.01,53.98,55.713544898260366
642,760,765,115,292,345,500,31,315,459,564,784,619,75.24,35.12,35.277136518292615
757,46,923,270,773,411,883,636,722,157,484,981,230,58.25,31.17,32.62868182181009
95,676,703,323,858,104,24,458,807,895,970,130,530,61.87,33.3,32.066928865662334
598,799,402,498,527,335,147,895,982,349,265,268,620,65.31,34.8,33.399094528997466
993,429,668,18,716,571,982,143,686,58,259,34,134,89.13,45.22,44.101281335566256
165,174,98,464,650,237,520,938,725,956,32,252,238,75.07,35.96,36.943882129220185
731,455,75,256,82,605,233,639,810,819,638,726,368,74.36,35.82,35.24760463848539
262,700,433,285,538,768,4,154,36,393,418,164,113,113.22,60.91,60.21596089699941
524,741,89,246,104,102,20,186,768,237,107,222,25,98.09,50.84,51.549765262347044
533,685,475,464,317,548,657,389,217,701,928,778,986,62.49,31.62,31.917807942807922
215,746,825,444,435,523,21,595,605,52,902,428,951,79.72,37.93,37.17211329204997
537,595,185,942,96,679,821,491,374,19,531,983,943,78.57,40.91,39.97150421991832
121,625,375,296,706,954,381,315,19,895,701,422,103,73.02,35.8,36.40234537393106
107,313,203,860,793,688,845,16,831,462,61,420,652,73.61,38.19,38.329749655818404
497,474,213,910,602,628,75,5,291,24,381,313,957,97.55,52.59,52.71599823255794
740,78,224,773,502,196,118,585,382,401,733,474,143,81.85,39.77,39.636157747042446
771,353,404,908,124,260,124,125,82,631,870,342,656,67.08,31.78,35.29665894910983
400,982,217,709,107,25,633,674,481,795,44,740,722,63.64,33.5,33.4427858360666
509,297,366,982,468,144,817,383,275,495,538,886,489,57.22,31.36,30.2734777214
736,977,745,823,429,954,503,856,696,303,404,237,160,64.69,32.11,32.43150425518691
500,610,265,561,437,712,695,715,940,86,599,745,837,49.45,28.2,28.656767744864766
589,98,72,364,180,558,150,825,426,919,68,817,88,70.17,33.35,33.82695927988041
933,916,697,829,663,38,131,997,303,399,237,725,686,67.63,34.57,34.784477655918124
906,697,337,449,176,536,293,114,159,553,972,992,773,66.4,32.82,32.72320849221081
433,98,336,528,254,732,526,263,173,916,161,472,970,54.77,31.01,30.417446428278915
720,240,413,895,367,801,782,587,746,148,477,451,736,65.13,34.37,34.52570454594072
30,829,609,392,902,754,184,402,522,54,494,280,414,69.11,36.76,37.614557531647506
259,727,748,959,422,722,663,483,368,985,560,338,730,51.57,29.15,29.118729557226988
763,933,674,83,779,839,872,743,230,545,636,192,412,53.96,28.42,28.379988912657307
835,682,391,902,650,936,11,320,475,536,728,928,904,73.44,34.54,34.02452280555123
477,665,181,835,96,17,412,965,221,746,582,620,395,77.21,36.93,37.71312501269383
927,220,905,995,102,399,835,571,785,820,204,280,762,67.11,31.42,31.46091185627645
943,600,594,196,501,823,626,141,8,627,694,444,493,115.65,57.78,59.53520667582759
259,525,579,177,478,729,209,995,989,778,74,358,3,97.37,52.72,53.3403362716788
927,497,545,857,685,674,67,772,605,496,947,690,944,56.92,26.78,28.34598370692505
342,470,273,898,514,471,28,81,628,772,355,177,777,73.77,31.69,33.05421706966781
768,961,803,414,261,691,640,806,853,884,736,138,55,60.77,29.55,29.754601243354827
166,511,390,475,691,301,159,10,289,570,478,990,1,74.87,39.67,40.52036611885681
375,34,550,870,391,577,453,209,891,692,315,510,664,72.79,35.84,35.20890825354571
136,495,706,551,728,936,309,78,264,844,320,311,341,77.01,34.3,35.113662838214054
661,971,814,319,669,658,402,530,860,942,95,520,648,64.2,30.22,31.081373643505657
215,400,610,543,868,871,153,817,516,643,91,315,41,68.91,35.27,34.82292613974669
238,972,468,574,237,535,284,62,980,114,114,691,838,60.9,32.28,35.382622413339
806,388,877,373,218,326,364,79,342,468,371,170,509,78.32,37.58,38.16556366599413
452,890,298,472,916,137,943,735,452,654,221,951,279,53.77,28.76,31.400291396042054
334,162,101,909,243,480,194,770,694,866,382,189,364,65.21,31.74,31.27382793308581
143,814,138,238,275,827,563,648,387,409,827,843,767,70.18,30.92,33.46604507710893
350,287,899,737,948,609,514,594,706,749,971,328,760,51.58,25.78,25.774835426625238
409,769,730,890,721,958,647,771,992,733,298,544,637,52.53,27.53,28.47993220540708
652,686,74,376,315,404,495,178,264,980,922,362,451,56.89,30.5,31.234373722613707
488,89,915,945,190,322,983,388,130,991,28,106,359,72.25,35.79,35.49618365293758
171,367,78,939,899,904,749,779,667,446,8,555,328,108.34,59.45,61.605908518774996
242,844,853,608,399,554,291,480,653,922,154,368,323,62.42,32.12,31.634953606914234
206,948,510,97,994,145,802,209,339,257,144,430,369,71.06,35.46,34.8484301883382
256,91,350,192,252,724,245,745,625,47,344,962,381,61.94,32.89,33.27982537592633
663,786,626,63,882,147,181,871,64,440,454,797,278,70.16,35.83,34.8722118700885
135,328,535,590,865,119,346,663,786,727,625,980,404,66.59,32.66,32.491511064122044
233,55,401,784,485,501,634,892,324,557,857,636,611,58.07,30.94,30.65586522459146
92,602,522,551,680,507,410,860,708,465,173,421,395,47.04,26.04,27.465940854111466
537,463,47,899,110,462,605,131,121,959,943,696,512,60.59,29.74,30.32975641111509
937,179,79,402,313,468,817,724,9,259,108,684,359,93.32,49.99,50.3343927285596
225,177,25,150,437,685,94,344,994,839,664,476,50,75.12,38.01,38.647231559990466
878,920,486,247,66,493,142,572,31,141,712,514,555,81.95,45.03,45.39570498475864
61,49,204,559,940,6,841,833,535,345,698,541,896,108.93,52.97,52.09891849289512
244,143,380,503,1,134,553,119,252,110,477,216,817,72.16,37.98,38.239477385467794
54,630,220,641,388,344,637,663,879,403,925,957,734,77.04,36.11,37.014968004349676
537,519,799,938,691,166,523,107,853,837,155,642,980,58.37,28.13,29.056164075159057
215,177,386,206,304,348,441,147,437,133,407,321,816,69.84,34.21,34.45151612162263
