n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,988,523,497,414,940,802,849,310,991,488,366,597,913,929,113.29,51.22,50.89701626469647
223,516,142,288,143,773,97,633,818,256,931,545,722,829,616,923,150,317,101,747,75,109.8,53.25,53.29247848199975
920,870,700,338,483,573,103,362,444,323,625,655,934,209,989,565,488,453,886,533,266,102.46,49.31,49.43505230915693
63,824,940,561,937,14,95,736,860,408,727,844,803,684,640,1,626,505,847,888,341,112.49,48.93,48.83744465156685
249,747,333,720,891,64,195,939,581,227,244,822,990,145,822,556,458,93,82,327,896,130.7,57.77,59.54457407549875
520,955,501,111,308,564,298,723,127,560,340,834,944,553,208,986,818,617,560,601,294,101.8,43.25,45.729246678419926
455,93,610,817,394,324,589,247,297,188,193,841,191,33,627,672,266,487,70,91,695,139.08,63.66,64.39710771899483
775,133,897,153,945,39,862,82,919,716,945,849,553,699,400,857,722,537,282,534,831,114.93,46.41,50.378939429899226
241,869,220,916,695,603,845,972,429,593,281,461,504,676,656,717,938,812,365,84,332,112.07,50.78,50.77131176836628
627,118,498,601,645,343,865,194,248,16,749,277,119,722,225,380,813,174,340,436,835,143.21,63.42,63.32363805491915
63,103,801,149,875,714,224,46,836,587,649,931,958,547,616,696,75,27,127,650,193,138.44,61.11,62.159134456573945
620,850,589,122,400,93,379,853,118,37,620,22,199,984,993,189,735,126,490,215,744,129.97,56.19,57.81663137404294
819,62,959,695,23,557,435,635,103,855,266,71,226,73,662,308,358,446,184,62,515,131.39,59.02,61.61355863169847
478,40,610,103,716,400,204,266,367,926,749,481,858,923,940,583,173,714,688,208,989,134.6,56.07,55.61022936326629
785,59,807,692,162,865,165,350,542,256,120,611,943,452,681,179,13,482,697,419,921,144.92,59.67,59.84947360172502
582,895,520,939,318,664,365,397,857,673,256,157,574,707,12,468,759,80,343,756,46,122.78,60.61,59.81392940987013
557,287,138,245,780,976,493,360,624,294,689,367,604,969,913,648,874,635,135,732,317,111.41,49.46,50.37370084225635
397,766,424,848,666,82,1,608,196,715,342,163,245,228,652,458,387,727,896,689,581,117.5,53.36,52.26537793499167
895,424,32,411,892,718,581,428,790,678,726,47,169,456,65,265,718,161,457,540,906,141.33,58.5,61.629578252852156
498,929,574,618,773,0,905,39,506,333,319,857,478,51,828,842,896,997,831,425,192,150.29,69.19,69.90672776461675
561,986,648,85,857,742,133,15,411,972,694,427,323,3,218,14,734,772,2,842,691,191.92,84.32,86.23880715573887
541,626,100,195,121,622,664,203,894,309,286,705,186,102,487,874,944,406,642,83,22,131.55,57.1,58.35481984065403
281,935,463,819,811,118,882,262,136,669,533,836,666,660,355,117,892,158,285,871,19,131.17,59.77,59.91259290973566
43,41,210,697,265,571,322,969,375,960,581,931,869,43,866,767,984,718,622,671,506,100.98,46.77,53.165633520879176
729,659,924,469,655,445,381,892,550,182,212,384,601,298,9,141,154,277,341,345,808,139.9,62.25,62.448545022808545
376,735,95,346,798,635,36,42,276,167,153,597,296,369,404,561,132,300,117,489,748,160.05,74.64,75.86458298440834
245,956,49,315,183,877,535,746,72,309,412,855,336,306,424,111,101,574,930,492,485,118.48,56.33,56.81157578677365
345,861,817,999,831,351,127,490,118,716,509,436,38,309,343,752,703,915,159,941,170,118.25,54.89,54.28471695804313
641,578,384,825,997,654,89,67,827,86,202,767,226,62,394,8,100,403,569,531,296,166.27,74.24,75.51637632102259
459,942,500,807,598,731,695,222,433,85,377,225,267,599,795,170,441,196,367,117,65,138.99,54.59,54.89012150478211
841,884,873,718,28,924,538,462,770,693,206,121,509,407,262,212,656,43,970,816,221,126.37,54.39,56.726747185279976
638,149,107,202,469,387,370,559,846,154,107,610,499,151,577,415,653,696,433,898,533,113.15,48.48,54.555739102308806
507,695,939,909,330,853,510,510,650,686,895,206,555,624,953,224,9,348,722,985,764,133.7,56.75,61.206225292391096
920,325,837,329,36,537,151,895,263,617,802,159,862,388,596,301,735,723,826,481,67,140.96,61.72,61.11315163077707
819,86,528,889,937,40,67,230,133,41,307,15,777,864,459,338,882,164,819,152,889,155.17,66.39,72.4343842190802
671,471,991,380,517,391,922,542,514,34,587,92,694,813,824,530,776,614,78,764,436,108.45,50.89,52.326157913181945
927,772,211,296,548,922,612,427,845,995,493,865,810,995,397,622,600,239,871,885,817,88.76,41.65,43.4433015833309
20,672,906,0,758,186,309,519,583,260,340,67,505,880,268,965,844,310,791,417,393,174.3,84.09,84.60855095176589
829,392,63,167,656,957,130,244,293,746,849,342,56,964,36,492,427,144,503,911,884,132.79,65.41,66.26644843495417
616,734,83,689,715,155,829,361,421,36,626,477,395,469,48,103,482,796,155,20,33,163.79,72.65,75.58311351116191
612,632,135,645,331,107,716,562,664,354,199,392,802,795,796,502,113,902,61,624,717,132.01,57.36,57.36547902619368
478,629,647,956,345,666,127,992,698,730,636,303,807,869,130,981,933,396,818,300,938,90.67,44.55,44.47633370003154
763,893,980,697,829,124,531,881,804,193,39,800,401,455,380,774,195,466,365,808,647,113.13,49.79,50.37059615293826
77,979,45,923,956,40,497,261,922,27,967,532,682,582,585,896,221,235,95,794,839,138.36,65.64,67.51344110272167
905,910,642,798,514,715,536,430,519,312,968,116,149,436,913,579,432,945,86,958,107,125.57,56.78,57.406217226400706
425,64,101,425,792,159,751,977,31,810,457,441,702,427,30,508,941,884,985,332,739,129.15,55.28,57.85275062110329
258,80,360,72,124,367,708,30,353,356,182,10,850,997,236,838,374,72,610,914,146,146.58,65.75,70.03172014177296
212,3,209,674,689,749,960,922,126,765,7,300,377,706,25,955,619,238,879,145,191,178.01,81.5,86.1351895946934
464,115,488,352,724,982,264,133,28,989,213,370,343,484,983,299,303,959,899,981,566,111.95,52.66,53.23982015444892
651,334,188,607,82,105,546,594,315,160,385,919,150,968,128,823,228,323,520,248,242,119.01,54.74,54.6754068450128
772,188,298,381,429,679,47,881,135,615,21,403,79,719,74,135,430,306,563,426,758,136.57,63.41,67.14718185409745
948,145,605,432,305,652,363,86,254,455,647,378,652,971,541,59,385,418,8,427,985,149.83,71.69,74.44644697922678
745,922,328,451,208,380,300,975,482,93,973,189,815,111,283,114,571,620,704,157,814,109.37,50.06,49.75441075491371
719,456,950,408,189,786,431,442,178,253,982,464,348,959,535,145,363,473,646,652,88,132.28,55.57,55.969467530756006
494,773,208,301,1,850,715,459,633,473,7,223,305,117,787,644,308,558,623,159,434,153.69,61.07,62.06314347767017
723,769,482,94,694,509,778,983,237,556,780,415,286,647,22,123,276,904,684,41,0,163.53,76.52,78.89952552305701
262,407,538,911,595,727,405,455,104,764,258,362,290,892,773,688,930,200,609,87,36,137.23,57.16,57.55352248830776
72,811,268,312,546,348,121,542,880,255,912,942,780,167,69,424,881,296,289,532,137,121.67,57.3,59.04359442065694
587,535,642,215,544,107,420,978,649,556,413,759,797,925,807,285,299,452,380,581,643,114.14,49.66,51.26729723911436
141,160,126,713,123,390,410,605,479,142,573,684,306,362,647,484,760,425,223,488,500,122.33,54.5,54.28074217426134
711,513,325,504,667,981,61,454,307,146,763,507,53,908,636,220,26,363,482,400,909,129.8,58.82,60.47102020162522
10,866,539,68,703,887,83,702,972,759,946,685,404,6,369,42,118,635,3,276,894,207.57,97.03,100.60668830069217
655,716,299,744,922,232,144,769,586,294,195,107,444,471,733,338,393,172,338,431,663,117.09,53.29,55.644557780873484
918,703,445,151,458,955,725,151,536,323,132,213,932,191,454,357,808,398,437,826,503,120.15,51.55,56.81292594532063
398,747,225,814,200,449,962,209,600,727,50,927,397,34,239,648,86,891,191,372,58,144.02,62.68,64.69023681054627
760,653,693,177,238,625,304,627,88,721,889,524,769,291,789,898,904,361,421,469,55,116.43,49.78,50.60066380359544
647,713,528,681,979,664,977,560,952,752,956,440,594,465,501,260,721,487,220,345,272,101.42,47.63,47.17942857795614
43,44,53,166,358,3,296,670,7,143,65,805,438,696,227,993,623,406,571,943,226,182.29,91.27,92.26489507402589
464,197,347,622,104,620,904,87,813,326,330,548,466,914,332,261,29,534,45,194,377,136.54,61.55,61.1159237239826
82,214,890,537,354,192,857,206,257,688,746,753,308,319,529,880,393,260,493,352,892,122.98,52.89,52.216618528042765
729,245,45,313,956,565,74,9,471,507,741,448,48,939,828,422,505,471,450,120,87,164.28,73.1,79.26014468257577
83,246,101,846,783,157,423,905,941,218,451,627,78,837,437,572,772,907,849,403,40,134.8,59.41,60.95978342025582
981,184,255,501,225,131,860,891,285,956,360,327,445,109,570,921,292,624,554,807,206,121.1,54.86,54.68298385578885
728,303,796,452,526,619,473,549,649,267,279,237,16,121,629,802,728,101,176,750,424,119.85,54.69,57.03098123332942
254,223,291,900,753,675,6,759,548,527,438,879,50,124,393,660,279,121,994,754,578,150.13,69.39,70.77274457886342
367,235,691,733,720,559,676,288,226,757,851,923,245,66,530,314,690,335,239,382,643,115.56,53.98,53.15843222757187
491,293,596,175,140,829,15,566,516,335,375,599,650,25,831,132,897,405,158,999,181,138.34,64.92,65.52818179778055
522,78,138,783,211,800,937,793,508,583,785,712,992,218,240,750,135,835,239,778,393,119.77,53.64,55.484546349619364
361,623,605,135,644,510,922,939,110,630,853,26,539,610,367,500,466,316,12,981,225,150.19,60.66,63.0611427870071
568,668,166,676,900,506,828,976,755,492,559,321,721,868,80,265,140,618,411,720,195,132.62,52.69,53.165069799594704
841,324,804,298,393,966,60,213,39,322,743,765,984,255,351,883,451,684,743,675,673,123.08,53.03,55.21652179880036
231,266,352,687,166,312,17,364,587,552,59,749,645,154,361,22,502,642,62,25,247,161.34,72.35,73.47424290437074
46,12,231,968,669,334,68,840,63,353,995,679,432,139,913,944,221,459,445,145,366,156.36,66.23,70.11395366554578
319,181,664,336,745,804,765,418,391,9,419,912,270,546,544,823,753,703,721,473,777,139.65,62.23,64.13392845617102
42,578,943,125,418,976,399,175,3,512,141,636,889,677,526,860,750,716,151,81,337,164.29,72.24,72.69098579339567
243,860,848,840,180,252,968,22,979,825,917,172,760,806,858,700,574,172,735,80,437,120.44,49.51,53.376357316686125
949,885,612,106,635,643,468,727,153,629,616,41,258,348,825,755,750,385,27,640,954,110.01,51.9,54.551656866113134
910,37,508,91,366,299,687,154,469,241,519,364,166,753,771,414,345,276,822,504,967,124.15,55.62,56.863766137422644
402,15,318,543,922,295,563,480,35,791,544,584,565,268,956,703,39,466,404,738,122,151.94,65.43,65.95094188938441
413,354,507,52,21,279,757,35,260,697,696,595,719,794,951,296,702,780,212,780,541,127.62,58.32,59.94734513787426
528,348,395,854,995,256,213,118,579,337,824,991,965,946,248,600,690,737,545,697,896,116.37,49.71,51.02854223511785
361,166,938,888,921,156,338,866,765,839,9,598,835,52,578,159,975,352,371,298,640,162.94,73.32,73.26315268437183
300,330,506,801,413,615,441,174,1,807,144,582,44,452,128,349,951,9,971,738,491,146.88,65.38,66.29965992710959
931,969,680,838,678,797,263,765,626,192,71,562,958,434,285,972,850,178,542,173,64,122.74,52.96,53.09212711188327
674,654,161,593,112,964,516,647,815,556,619,393,772,445,272,318,291,13,438,797,839,117.26,57.01,57.19296123173899
735,287,968,264,550,539,567,325,350,194,722,801,442,810,145,865,6,768,523,159,803,169.16,81.86,82.20874741726864
676,718,945,800,576,393,369,475,972,37,575,934,421,651,628,817,823,778,233,921,16,121.27,52.83,53.40826712025344
370,541,963,162,696,199,646,362,642,716,508,19,748,752,255,585,913,247,281,189,967,134.59,58.36,58.10077715724759
776,948,430,79,586,458,242,761,730,460,884,521,916,826,829,721,102,980,192,168,451,106.14,48.31,48.98874436742095
945,66,950,436,649,404,962,278,258,447,902,775,792,364,624,335,92,314,30,504,11,150.56,66.79,67.3838531351187
