n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,104.85,45.73,45.27383367646495
149,678,600,481,988,777,752,382,327,57.3,21.77,21.605791204925698
788,22,279,500,821,202,747,893,423,65.97,24.29,24.634657191071327
932,551,552,698,96,197,576,566,716,45.3,21.11,19.99413843044896
824,746,271,678,822,624,702,90,864,47.74,22.6,22.107347265684776
434,343,95,370,819,419,824,256,455,54.91,24.79,24.233199472990666
716,96,773,201,717,650,815,298,99,58.71,26.88,26.145605395187303
974,46,602,924,205,847,671,934,369,70.66,23.78,23.453141807892756
498,955,852,931,198,527,589,660,993,49.67,18.72,18.99496686270711
714,913,824,515,999,938,29,648,370,51.03,22.09,22.770678912586057
250,616,440,311,365,603,122,91,512,56.49,22.52,23.30150203790889
901,694,537,203,119,622,678,274,319,58.76,23.94,23.483114235831096
736,200,388,495,228,141,611,214,854,67.83,25.52,24.20321471475172
886,897,714,534,12,193,796,173,17,68.07,28.91,30.65681820507533
663,340,571,926,687,635,633,313,383,48.2,22.03,21.39859924378068
386,540,398,296,129,695,500,55,189,70.12,26.84,26.68233372182192
433,608,764,407,98,451,251,825,91,58.84,22.29,21.658329332239138
913,617,686,891,910,456,457,802,851,46.04,19.12,19.1163560329111
389,815,78,529,436,482,310,722,836,57.32,24.13,23.528109057648866
418,963,87,196,764,696,272,462,499,56.79,24.71,25.603638471751854
739,802,988,176,18,22,550,126,257,78.94,30.37,32.06110948936688
603,821,369,192,262,514,462,337,949,52.23,21.74,22.744805939358876
529,260,420,949,900,431,626,497,274,56.98,22.86,22.457501520117063
616,486,672,490,503,145,738,386,508,57.09,25.03,25.55760327347079
313,649,824,478,331,375,675,166,994,65.81,26.63,26.76129488348411
935,945,634,385,711,617,272,327,661,49.99,19.01,19.777992777132194
407,998,499,746,812,161,959,847,297,59.98,21.38,21.82202667420533
573,6,638,460,987,58,186,30,624,132.35,43.99,44.43642235174043
792,583,114,698,735,379,370,960,509,52.82,19.77,19.33059580211457
873,603,63,941,197,158,970,275,628,63.23,26.45,26.685535518741172
15,432,825,801,819,833,537,503,77,74.81,27.41,28.518900201736194
480,237,102,379,370,985,148,697,640,44.2,19.96,20.844893849429216
249,621,325,147,38,643,684,99,731,86.97,32.16,32.256285233319865
107,46,661,489,473,741,921,70,644,77.42,27.57,27.98403672310853
31,718,564,130,631,852,946,85,164,60.41,24.47,25.72284745497833
632,646,933,271,929,858,914,669,462,38.27,17.69,17.078617483703454
511,710,20,810,652,140,837,966,193,76.2,29.44,30.703227416233975
930,956,451,490,797,450,457,571,283,46.0,18.1,19.15432738627265
488,729,593,65,851,819,298,372,292,64.84,22.28,23.266861098064084
368,962,34,85,514,878,282,286,280,67.34,26.23,24.957581502566157
989,484,441,454,944,380,32,730,87,72.72,30.88,29.10549829859918
255,835,619,653,244,548,763,33,756,68.37,28.21,28.621992083523196
177,344,379,32,53,974,757,783,769,70.04,27.92,27.030978255994626
972,214,717,443,351,906,79,161,749,55.44,23.97,23.096491432269154
692,116,409,560,138,475,760,506,654,62.67,24.09,23.8734971486978
76,131,75,358,532,31,190,538,725,100.31,35.54,37.23697923141671
153,188,288,756,154,519,582,870,397,69.45,25.33,24.386772970690394
