n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
137,582,867,821,782,64,261,120,507,779,460,483,667,388,807,214,96,541.86,90.09,94.07999999999997
499,29,914,855,399,443,622,780,785,2,712,456,272,738,821,234,605,545.3,100.33,108.59999999999995
967,104,923,325,31,22,26,665,554,9,961,902,390,702,221,992,432,538.32,122.94,138.9699999999999
743,29,540,227,782,448,961,507,566,238,353,236,693,224,779,470,975,542.03,86.23,89.75999999999995
296,948,22,426,857,938,569,944,657,102,190,644,741,880,303,123,760,538.54,83.47,88.32999999999997
340,917,738,996,728,512,958,990,432,519,849,932,686,194,310,290,601,540.64,70.19,77.04999999999998
996,903,511,866,963,517,402,603,873,35,491,248,761,816,413,424,680,541.94,72.4,73.3
177,375,561,903,719,794,690,755,383,88,449,679,520,110,797,167,533,545.88,81.94,86.24999999999997
860,402,379,501,750,30,480,44,315,720,868,629,607,592,403,662,174,544.31,90.75,99.25999999999996
172,514,232,12,789,204,552,942,880,561,237,414,526,352,975,867,591,542.47,99.61,107.86999999999998
361,470,931,275,675,561,623,980,746,5,392,802,877,840,977,907,960,543.38,80.14,87.06999999999996
758,524,828,132,531,796,574,210,436,972,57,492,890,373,583,567,204,545.45,80.2,87.31999999999998
963,516,423,496,832,365,424,354,1,551,553,638,805,627,339,469,614,540.05,75.02,79.21999999999996
28,823,235,650,181,563,598,185,881,93,817,564,816,871,836,953,261,545.58,87.45,96.60999999999996
33,861,966,689,72,85,888,17,463,14,772,773,287,255,275,112,816,539.85,110.99,126.01999999999995
639,189,352,297,71,171,163,261,540,974,172,672,279,663,728,301,465,543.01,88.41,94.87999999999998
719,329,508,485,116,24,319,395,351,431,815,192,264,111,259,921,747,537.7,94.77,100.71999999999998
522,214,988,620,442,836,998,21,230,18,406,149,36,736,982,164,456,546.85,114.11,121.09999999999992
721,518,694,436,557,852,225,999,645,816,711,528,461,228,536,664,31,541.05,83.15,86.44
404,691,589,822,328,675,646,436,60,755,305,128,991,217,896,48,313,547.94,81.08,88.36999999999999
72,879,78,317,939,961,305,761,162,426,578,258,133,8,574,899,870,546.33,108.23,117.30999999999995
38,604,839,222,985,922,583,471,175,847,888,890,997,798,720,637,521,544.42,74.4,77.53999999999996
38,387,205,355,101,210,587,690,918,443,605,198,504,106,960,681,399,543.15,98.81,103.57999999999998
303,516,511,17,333,626,892,411,921,288,18,160,205,878,335,830,576,541.12,97.9,111.02999999999996
801,138,347,439,218,272,690,98,857,388,954,560,352,936,903,857,703,543.6,74.31,81.53999999999996
547,496,786,545,240,66,742,41,86,136,173,170,932,551,218,274,777,544.91,97.47,105.20999999999997
340,614,518,861,261,376,346,348,116,298,240,888,966,618,798,977,732,540.94,72.64,79.13999999999996
908,500,138,593,564,788,106,328,40,416,74,389,886,807,150,848,128,543.83,94.21,103.22999999999996
349,117,629,601,800,948,387,78,584,563,229,579,83,975,273,373,912,542.62,87.61,89.06
302,577,547,947,117,468,918,283,110,805,46,847,302,12,628,686,14,541.47,122.56,139.67999999999992
93,423,117,845,906,808,40,192,245,804,600,431,165,118,461,171,697,539.81,99.56,107.24999999999994
247,162,761,865,105,445,932,987,387,825,993,555,931,837,301,563,259,541.88,70.22,72.49
728,488,322,102,212,667,325,40,27,10,805,947,302,743,610,327,460,541.13,119.42,138.41999999999993
400,320,408,64,65,935,324,993,615,993,466,114,256,220,803,632,796,543.36,82.36,93.93999999999997
912,555,888,704,480,677,364,265,187,554,212,314,203,252,369,83,839,540.58,83.63,88.47999999999996
287,91,771,458,92,667,588,658,347,963,232,399,989,314,42,335,191,541.62,94.53,104.71999999999994
324,811,867,592,914,943,310,251,342,103,557,626,592,826,610,94,250,537.81,76.88,80.12999999999998
225,20,827,249,411,74,274,564,888,72,746,76,22,650,10,297,768,538.49,114.62,129.6899999999999
811,367,505,480,883,879,157,103,513,796,814,335,78,521,972,681,177,543.07,76.81,83.32999999999998
183,794,153,144,841,886,327,312,109,726,526,854,941,616,300,129,915,546.25,78.19,84.75999999999999
211,145,558,932,739,32,798,323,840,924,638,823,688,928,566,860,966,548.49,71.71,77.84999999999998
764,706,210,182,306,443,550,161,49,731,882,683,253,258,796,65,698,541.23,94.17,97.41999999999999
986,457,827,440,562,256,554,449,871,550,464,11,405,856,346,175,264,539.86,100.18,109.71999999999996
497,24,812,661,955,426,999,584,19,63,708,363,593,141,607,128,141,542.72,93.18,109.72999999999996
265,848,283,407,577,410,176,627,91,239,497,7,181,541,324,512,914,540.46,106.23,116.34999999999994
664,942,448,952,702,654,748,231,244,320,506,703,490,979,230,729,422,540.74,76.65,82.16999999999999
345,573,625,928,745,939,669,281,995,661,224,49,943,73,781,523,660,547.63,87.03,91.50999999999998
898,377,163,523,784,811,904,208,319,305,709,306,869,565,380,169,718,546.25,74.34,78.63
718,754,475,608,87,876,126,918,620,983,526,584,386,180,159,256,436,543.91,82.46,88.61999999999996
222,964,583,736,775,801,53,506,697,403,734,652,356,393,527,865,168,543.03,83.15,89.20999999999998
557,747,41,536,92,827,261,643,103,273,754,934,85,982,998,142,992,541.79,83.75,91.28999999999996
794,631,862,990,675,703,717,83,455,871,946,246,994,871,391,962,821,543.08,67.61,73.67999999999998
925,443,406,168,931,333,448,129,637,930,499,982,217,122,441,615,546,543.48,81.5,85.14999999999998
418,931,120,676,302,284,254,387,767,572,4,982,194,541,449,592,21,543.57,101.59,109.19999999999996
31,642,996,620,248,855,266,211,177,291,151,555,205,279,318,599,775,547.44,89.78,98.33999999999999
256,852,699,457,810,881,828,875,996,172,558,365,502,430,876,124,787,543.2,76.95,80.76999999999998
213,584,900,392,209,290,830,110,925,826,24,120,582,765,13,558,303,541.29,110.59,122.41999999999999
988,690,779,741,996,664,139,76,512,382,586,824,318,447,515,693,365,545.05,76.11,77.91999999999999
776,541,331,0,126,452,735,460,358,312,552,408,347,801,748,699,585,537.69,93.4,101.91999999999997
