n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,665.92,45.92,46.39999999999997
485,640,594,67,620,13,930,673.28,90.55,97.96999999999994
857,480,265,564,239,196,734,680.37,42.26,43.219999999999985
481,553,856,562,487,406,654,674.31,39.77,40.899999999999984
881,154,237,650,155,888,948,674.26,52.78,52.839999999999975
535,399,759,15,687,795,65,673.73,84.35,89.25999999999993
163,776,980,605,43,308,798,671.87,72.4,78.38999999999996
31,843,886,275,484,609,736,674.17,53.0,54.93999999999996
942,899,396,731,807,943,437,674.64,38.51,39.99999999999998
404,745,820,590,455,987,958,674.5,39.95,38.59999999999998
137,899,374,99,36,139,506,673.79,73.59,80.49999999999996
222,264,988,688,446,797,641,677.88,40.46,41.88999999999998
875,308,431,519,853,395,587,672.93,45.97,45.98999999999998
359,546,599,417,598,237,925,671.92,40.78,42.03999999999999
344,698,937,951,29,876,286,672.92,51.29,54.22999999999997
620,687,712,167,715,881,334,680.18,47.11,47.949999999999974
987,554,926,585,582,106,730,675.6,41.35,41.49999999999998
671,216,648,851,587,273,291,677.58,43.12,43.93999999999998
127,64,493,874,654,495,90,675.07,69.72,73.86999999999998
352,819,68,420,918,154,20,676.25,81.84,87.52999999999997
300,437,787,425,893,121,45,676.98,64.6,65.08999999999997
619,629,779,46,386,735,600,677.65,44.73,46.88999999999997
338,564,902,944,285,517,241,675.49,47.52,49.48999999999997
36,317,7,78,110,614,548,672.53,91.84,101.28999999999992
32,971,202,994,417,298,625,675.97,62.46,64.73999999999998
269,159,706,43,888,347,321,672.73,71.27,74.63999999999997
368,981,141,918,882,386,385,678.03,43.44,46.969999999999985
471,890,532,395,659,887,609,674.22,38.45,40.609999999999985
697,572,105,635,996,963,830,676.99,41.35,42.759999999999984
519,277,441,649,737,732,243,679.45,41.7,44.19
958,308,447,264,533,310,561,676.35,45.44,47.569999999999986
347,11,807,425,593,322,20,671.88,103.93,115.05999999999999
385,630,603,647,136,61,648,673.04,49.92,53.66999999999997
642,340,477,361,695,939,361,675.02,39.15,45.68999999999998
623,723,285,755,501,22,603,672.22,60.83,65.21999999999997
62,977,692,21,986,378,257,673.28,78.66,82.12999999999995
643,467,305,606,615,327,181,673.39,45.34,44.70999999999998
372,189,320,776,378,864,609,677.69,44.49,43.40999999999999
270,307,806,386,107,790,832,669.89,47.45,49.16999999999997
27,994,582,700,752,134,317,674.5,64.05,68.44999999999996
512,227,669,823,275,244,335,677.14,47.45,49.15999999999998
191,694,445,665,714,99,104,672.85,57.71,60.39999999999997
615,329,971,341,691,853,229,679.45,47.5,46.66999999999998
448,829,876,983,173,81,344,676.88,48.01,52.569999999999965
759,665,223,906,582,461,277,676.34,41.44,42.35999999999999
230,805,123,34,542,980,195,672.02,56.52,60.619999999999955
322,826,856,858,588,187,884,677.08,38.49,39.599999999999994
285,348,826,847,657,87,825,676.87,44.28,48.27999999999998
634,353,603,132,431,298,530,676.95,47.28,51.42999999999997
812,870,277,475,354,649,426,677.91,39.73,40.41999999999999
297,429,581,419,36,942,423,674.61,60.66,62.00999999999996
159,204,4,488,965,852,901,673.44,51.84,54.96999999999997
