n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,999.42,439.53,664.5
197,721,44,87,140,999.34,576.07,1111.25
253,830,518,214,410,999.54,403.49,629.75
657,31,470,499,464,999.4,466.99,730.25
399,506,586,196,918,999.39,399.84,561.0
850,412,91,496,239,999.28,413.94,654.25
777,20,717,273,532,999.42,589.63,1082.5
417,485,923,933,388,999.35,334.93,438.5
743,116,678,264,99,999.39,513.14,817.25
833,64,395,635,849,999.42,477.11,755.75
386,110,676,59,346,999.46,579.63,1014.5
240,707,88,509,925,999.52,410.81,618.75
665,529,923,212,595,999.41,351.04,490.0
827,145,621,65,552,999.47,425.02,701.0
968,38,500,718,198,999.45,556.66,965.0
151,968,880,592,467,999.52,385.85,539.75
746,598,902,455,292,999.4,330.92,438.75
570,365,875,899,436,999.44,372.46,532.25
138,162,782,615,99,999.44,536.23,871.75
544,706,321,718,365,999.37,395.24,559.0
972,659,863,506,515,999.54,315.34,422.0
638,202,316,153,364,999.32,452.25,706.5
541,291,522,672,73,999.62,450.92,702.0
827,924,877,519,934,999.33,319.44,435.0
718,558,225,352,249,999.56,401.4,579.25
929,12,302,351,225,999.47,707.66,1551.5
273,34,433,260,385,999.45,492.95,774.5
305,854,722,912,426,999.4,295.68,389.5
179,673,405,119,170,999.48,513.58,821.25
954,679,872,998,26,999.44,506.02,839.0
206,996,784,164,307,999.31,436.46,674.5
119,13,815,782,389,999.46,713.68,1623.5
350,856,174,582,446,999.39,394.53,573.25
926,237,142,419,577,999.4,411.34,608.25
456,416,427,82,602,999.37,432.61,677.5
71,295,734,97,34,999.36,593.76,1088.75
87,679,109,782,533,999.39,493.24,837.75
539,368,157,827,958,999.56,388.36,608.25
517,499,725,152,618,999.49,398.25,580.75
64,194,17,934,143,999.37,688.55,1526.5
348,395,674,587,123,999.46,399.08,564.0
761,306,359,333,988,999.32,352.13,504.75
374,3,661,855,510,999.45,519.96,900.0
215,62,896,632,33,999.44,586.02,1072.0
904,988,889,777,827,999.46,275.44,365.0
836,593,176,182,345,999.49,363.65,501.5
993,441,452,123,85,999.48,472.16,799.5
205,619,229,509,830,999.43,411.0,597.0
484,809,158,390,124,999.48,453.71,717.5
111,594,738,463,663,999.35,413.49,614.5
129,736,450,526,742,999.42,417.57,628.0
92,732,950,482,577,999.28,404.2,601.25
403,836,369,466,230,999.41,431.64,667.0
52,202,50,456,114,999.52,617.78,1204.25
110,216,742,4,725,999.43,489.51,825.75
615,626,928,23,670,999.47,522.03,911.75
372,849,442,540,95,999.38,404.88,617.0
991,766,773,614,514,999.5,333.62,447.5
838,722,582,205,513,999.32,322.36,461.75
234,331,538,393,761,999.46,360.05,498.5
532,662,200,6,296,999.4,564.76,1047.5
627,303,930,81,761,999.55,454.28,715.25
328,949,928,412,229,999.34,421.98,672.5
647,303,81,560,429,999.39,480.98,778.5
762,378,826,964,758,999.46,318.47,427.25
870,328,528,309,640,999.35,398.49,566.25
851,980,365,802,916,999.28,316.33,444.25
302,667,866,111,200,999.46,446.81,731.75
496,378,387,981,599,999.37,291.93,375.25
867,940,319,210,297,999.41,385.22,568.25
406,627,392,862,941,999.37,362.72,502.25
700,536,958,707,745,999.29,309.38,389.0
364,840,692,619,599,999.48,305.16,394.5
370,689,437,200,501,999.43,424.45,660.25
842,541,519,858,83,999.36,452.17,686.75
275,167,70,510,750,999.5,511.68,890.0
887,277,429,798,119,999.56,444.1,722.0
639,849,844,280,298,999.46,417.85,641.5
280,823,845,516,275,999.25,398.04,593.5
283,909,647,421,250,999.51,408.57,586.25
370,251,988,253,809,999.44,406.3,572.25
516,765,468,255,239,999.51,414.3,604.5
832,830,610,537,849,999.35,320.49,427.0
200,376,508,799,108,999.4,454.87,709.0
812,114,397,86,670,999.38,421.96,646.0
174,798,580,437,942,999.54,378.7,582.0
46,805,931,140,22,999.43,597.88,1212.5
624,195,701,270,89,999.56,499.65,806.75
97,473,470,889,685,999.45,378.18,530.5
927,289,947,579,94,999.42,432.53,641.25
129,621,366,885,668,999.36,416.8,636.75
67,327,809,39,855,999.4,558.55,985.0
941,85,879,140,669,999.51,451.86,694.0
823,375,848,76,834,999.47,432.95,677.25
236,742,37,614,809,999.29,501.44,841.0
326,227,303,761,366,999.35,419.1,623.75
990,334,67,532,921,999.3,445.85,710.75
116,938,738,624,356,999.53,395.8,573.0
444,163,160,261,914,999.35,424.9,626.25
398,152,441,745,800,999.39,394.13,579.5
