n0,monte_carlo,monte_carlo_max_hop,two_hop
31190,4274.57,2.81,2.3200000000000003
71333,2223.94,1.54,1.6
17094,15538.75,16.98,20.11999999999999
48490,9056.92,7.53,8.119999999999994
62135,4437.61,1.95,2.2800000000000007
8588,3586.9,16.7,15.880000000000104
1725,11106.79,31.42,30.999999999999954
61503,4102.68,2.05,1.84
33994,3076.87,3.01,2.9200000000000004
72192,1.22,1.21,1.2
30714,1.13,1.27,1.2
25132,11618.81,14.57,14.719999999999985
61638,2395.07,3.82,3.039999999999999
70906,1.18,1.2,1.2
72041,2218.67,1.26,1.3599999999999999
62436,3770.26,1.71,1.6800000000000002
52053,1.0,1.0,1
19741,4952.64,3.69,3.080000000000001
30398,2735.26,2.64,2.8
19873,1.0,1.0,1
68574,1200.2,1.43,1.4
51109,3414.8,4.18,3.959999999999996
1985,17080.89,702.32,836.7200000000001
8392,12969.24,30.7,33.80000000000006
20892,17081.08,117.96,121.23999999999994
5608,1.0,1.0,1
39487,5463.93,5.39,5.079999999999995
4064,17066.71,256.63,291.27999999999764
35314,1.0,1.0,1
61964,3765.85,1.71,1.7200000000000002
50804,3423.0,5.02,4.359999999999994
55959,4276.28,2.18,2.2800000000000002
51768,8713.06,16.57,13.639999999999976
75616,1.24,1.2,1.2
58277,5637.42,3.72,3.7200000000000006
17583,1.0,1.0,1
47909,3254.82,10.84,7.839999999999989
12773,5305.49,33.53,34.88000000000024
4703,15533.75,41.17,42.56000000000002
17821,3248.12,3.49,4.079999999999996
64865,4269.68,2.35,2.4400000000000004
28440,1.0,1.0,1
33814,1.0,1.0,1
57168,2904.16,7.54,8.759999999999996
39456,1.0,1.0,1
55200,4103.0,7.44,7.399999999999985
66485,2058.9,1.62,1.56
50576,1.0,1.0,1
75238,2563.02,2.46,2.7200000000000006
45994,3421.73,2.48,2.560000000000001
70005,1.0,1.0,1
53421,3772.58,10.68,11.840000000000046
30459,15201.88,21.17,22.320000000000004
44140,9403.75,7.62,8.799999999999988
3756,17082.1,113.78,136.03999999999985
36658,12984.03,8.12,8.080000000000004
21377,2228.07,4.18,3.7999999999999967
42780,1.0,1.0,1
71010,2221.5,1.34,1.32
74967,2221.3,5.1,6.07999999999999
74594,3581.32,6.0,5.159999999999992
13641,16584.79,119.72,129.75999999999783
27672,4103.16,5.25,4.399999999999995
75174,2224.4,6.65,6.719999999999986
35007,1.0,1.0,1
37349,344.28,1.21,1.24
16309,9907.04,30.85,38.719999999999786
8317,3069.99,9.04,7.079999999999986
63176,1.23,1.26,1.24
63374,2730.25,1.6,1.7600000000000002
11602,14520.64,32.97,33.640000000000065
45099,1534.7,1.3,1.4
8730,17095.11,210.29,218.84000000000083
53800,3931.62,2.4,2.2800000000000007
19761,685.34,1.36,1.48
2637,16560.33,70.68,66.03999999999998
38520,1.0,1.0,1
55986,3592.26,3.88,3.4799999999999978
54420,2736.4,3.5,3.4399999999999977
15586,3244.87,3.5,4.159999999999995
5792,10420.78,15.52,14.599999999999977
5890,12309.14,27.51,27.120000000000054
49519,8723.22,11.82,15.560000000000068
43378,1882.46,1.3,1.48
72201,1.21,1.21,1.2
36578,10082.14,11.5,11.999999999999988
66246,2903.2,1.68,1.52
30926,1.0,1.0,1
4720,17104.65,425.89,454.0000000000003
40589,1.0,1.0,1
948,13335.06,23.92,23.999999999999986
10088,1.0,1.0,1
14171,1.0,1.0,1
70199,685.79,1.49,1.44
4112,17074.8,251.43,286.9200000000001
25871,3760.19,4.29,4.239999999999995
53469,2046.75,3.56,3.4799999999999978
38222,1.0,1.0,1
34520,4273.45,2.09,2.0
20473,3590.06,4.8,5.119999999999992
