n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
33481,46993,69473,3801,61030,32643,6796,20558,14838,48731,61481,10334.91,73.12,71.01999999999997
32318,49906,71271,13365,75227,32680,1718,28407,53497,36632,23865,9208.83,30.87,30.59999999999998
51044,20919,9428,18188,58305,16606,17333,232,696,27453,28243,10332.92,233.35,251.38000000000014
21739,21821,37919,41110,26068,70677,26840,23811,25805,50229,39162,8778.45,29.73,28.960000000000015
2827,47341,54382,21752,19097,34578,8537,43496,39499,443,44288,10348.49,225.04,241.4199999999996
8653,40626,46576,40116,63012,41391,24218,63074,61936,23084,7471,7755.16,21.87,22.340000000000014
33578,2997,46877,52991,2368,71967,54896,47996,49330,75827,1189,10325.87,171.39,181.70999999999964
59352,6124,23713,25758,15600,32255,60582,45138,67173,46503,68773,8877.16,28.16,27.300000000000015
32885,60666,14162,48142,38779,4801,56751,11951,27326,44661,67224,10202.71,63.52,67.66000000000004
47530,19424,44559,36133,71453,12068,40953,41523,40130,23262,10249,10209.69,43.44,45.66000000000001
19512,40541,63411,21171,6363,10611,69930,53200,4171,31108,45066,10111.15,52.33,52.71000000000005
32795,59724,55280,19087,7301,4288,64692,43802,27139,17114,73930,10320.86,153.73,157.78999999999945
17403,54240,13976,22127,56958,48889,19561,7703,55134,38641,18507,8365.9,19.93,19.61
59395,22189,68445,59446,63983,41641,62789,35918,38144,61614,52925,3928.84,14.28,14.259999999999998
19202,14753,49414,69697,23513,65447,44365,23608,11683,64469,35692,8054.0,24.99,24.859999999999992
67525,71840,65906,47359,8271,46622,4498,40068,47635,73310,36811,10330.84,83.74,83.17000000000004
63659,34715,38515,44574,23415,1517,62167,71695,32858,42717,35872,10321.09,71.52,73.41000000000001
60678,37857,65581,46736,45597,35897,45296,53538,45881,22606,58954,8160.45,27.79,27.750000000000018
47746,43822,67913,18593,69381,21780,26037,47451,62552,37074,10333,9695.01,37.05,35.71000000000003
54608,22521,67692,55154,39671,72510,35481,3620,25637,20974,57811,10319.72,63.51,64.58999999999997
23690,28709,23662,5486,61811,29654,21724,7096,17501,14526,41595,10221.53,52.43,58.24999999999937
23795,63263,25344,71869,4673,54459,60991,46019,49846,9434,26786,6099.72,23.51,24.040000000000013
31175,49022,86,45943,53133,36507,53745,15083,71728,49005,4726,10336.57,198.78,210.00000000000014
72080,39502,12428,38703,71463,67193,44482,38429,46087,16929,54932,2180.62,12.84,12.940000000000001
53640,73914,70567,48423,61272,18626,20548,50167,73906,62525,26103,8679.47,20.84,21.70999999999999
17430,11905,46021,124,50050,14145,42734,74162,70703,18441,42656,10314.9,164.14,164.66999999999942
73963,49263,56256,56581,29666,64672,38206,62858,49778,50317,20844,7537.62,21.41,20.689999999999994
34055,39426,65051,32908,54459,2578,41831,40303,64455,37538,18781,7337.03,25.74,23.479999999999983
62512,3116,15975,58126,32178,38417,5239,17883,51431,1730,62953,10334.72,79.45,75.3800000000001
69804,73441,35885,31912,62164,4818,32199,64240,35086,20285,37451,10014.79,37.35,37.230000000000025
38428,64522,62210,67924,15489,2119,16519,39412,37007,69926,44056,10316.09,89.93,92.27000000000001
38905,69450,3488,60861,45844,47322,17364,4774,371,33085,72512,10304.11,231.09,265.3200000000002
59718,14103,71511,25058,1908,56317,56063,75450,63160,50524,62353,8251.96,49.14,38.94999999999948
51362,25751,38856,60959,8657,39800,422,56730,37533,61924,40756,10334.33,160.16,170.78000000000017
18701,21685,62706,71971,65232,43350,70509,20123,55779,70963,6364,6607.0,20.46,20.050000000000004
8967,30149,35023,11166,8246,3349,43653,56273,9005,53118,63791,9918.0,40.44,42.46000000000001
6408,16171,16037,28735,14569,17645,38337,57405,19625,23997,24285,9394.49,31.37,31.849999999999998
54255,21126,8811,27936,5709,72811,14183,49702,9437,36683,7544,10319.76,51.82,51.420000000000044
74855,75399,15512,52236,17607,1306,56579,11984,41231,64152,64170,10319.35,100.7,100.89000000000007
46321,49046,7307,18118,38630,19806,74533,66301,38041,72730,72074,10338.67,56.2,61.67000000000005
28913,34504,8281,72309,30884,33317,37151,67763,17534,30725,48655,9612.65,39.03,38.260000000000055
59419,50974,23503,17194,2449,44774,11173,75133,4711,11950,16356,10326.38,47.5,51.24999999999995
66383,59441,31271,51098,60638,62975,42373,14099,69560,3861,71054,10328.21,80.38,82.3599999999995
50412,7033,19765,56273,29240,15214,10980,64414,27721,18319,49265,9690.88,40.79,42.709999999999944
46438,30804,37984,43681,45701,50560,49563,17881,46964,38785,56805,6403.6,18.34,19.340000000000003
47476,67828,4764,75138,28164,23663,51840,8294,12713,4863,4347,10319.45,116.05,115.87000000000013
24424,26529,25637,5171,64229,63044,45680,57,55966,61628,39393,10313.01,229.3,262.6000000000002
56183,42370,61023,60541,13074,25113,20273,20845,9331,49104,50548,10303.67,125.24,132.84000000000006
61559,19937,72360,33301,14448,36363,21173,37624,30823,4345,63181,10323.96,159.5,166.76999999999975
4206,45127,48361,41427,7719,2849,59855,61830,20443,15455,42505,10232.82,53.28,54.69999999999999
38155,59490,31450,21394,4395,26348,3267,75329,30208,10250,52569,10313.08,152.06,159.5799999999995
47743,40873,24179,61346,47377,37112,8765,61346,21411,31527,23022,7852.92,27.07,26.190000000000037
27363,5756,56445,35482,822,60544,7977,59380,53761,22250,5891,10329.52,81.73,82.16000000000014
4360,71882,68018,74081,45876,12296,9334,31063,64377,12051,61769,9185.81,24.51,25.390000000000008
7046,31911,6613,65197,52077,7882,6278,33479,53408,58441,40101,10323.33,68.62,66.6000000000001
6729,4928,25493,23512,66667,52737,24649,69639,30634,11057,41141,10318.37,118.43,120.83000000000011
14153,11379,71032,21225,9879,28103,2281,57830,70730,46873,63771,9699.38,35.46,37.170000000000044
55467,74897,49365,68461,17398,1619,40319,58856,29356,72674,15163,10311.78,85.52,80.59000000000006
18181,40857,63336,11486,34534,52769,41009,17389,17014,70354,10745,10216.31,43.12,44.029999999999994
61814,32092,11052,56184,75626,32163,36153,8053,64573,32607,6295,6200.13,49.5,42.94999999999945
26195,37488,48989,12914,9420,55125,41147,49789,72887,9,37474,10317.28,55.41,61.940000000000005
17241,75330,3711,57957,18805,2452,6186,56045,35087,13964,50122,10320.22,119.32,122.53000000000013
73653,17071,42110,8641,40166,22198,18000,34418,65237,42364,37423,10132.81,36.3,37.53000000000004
4461,8326,71092,73036,3655,3600,15946,6636,17054,46812,57141,10330.32,261.65,288.5000000000001
33838,2178,30290,69132,56217,16426,47501,26369,43302,46955,1631,10318.9,160.55,168.70999999999952
21403,21386,12490,35148,69509,22438,18878,58486,56958,56289,15493,10314.81,67.85,72.32999999999997
43710,41559,58435,29922,60423,56905,22482,57858,6347,21048,69809,7535.26,16.98,18.13
62037,64411,211,13574,16630,54979,6856,27204,142,4308,75627,10334.65,316.52,351.8200000000004
30910,63175,46437,51474,60842,28261,26388,36312,26365,39744,73719,7024.57,23.33,24.050000000000026
67610,46791,31661,48057,46107,32537,8135,64798,52541,45766,18750,8786.83,25.51,24.010000000000012
18720,31238,64240,50013,4947,12290,22224,52034,12939,36889,26124,10328.7,82.65,88.95000000000013
42475,62541,61622,69961,11941,26080,49340,1321,13570,67075,24214,10239.65,56.44,57.6700000000001
50999,2912,41581,3545,40904,67317,50179,65691,62403,71520,52311,7331.26,24.58,26.639999999999993
58949,73067,8012,70348,19218,54614,47552,2642,68446,27104,37247,9693.55,32.27,31.920000000000012
37538,10190,3583,11438,46644,54146,40211,1895,35992,30724,9441,10329.68,102.52,103.16000000000008
4953,11577,39399,46058,73658,27360,63319,67723,12050,15868,31337,10327.36,396.79,407.2600000000001
44821,71297,55519,51565,387,51139,49542,23348,69249,27155,42127,10336.91,218.49,241.06000000000006
50680,42495,14274,72538,49023,32638,13115,27880,38516,40052,35083,8368.79,23.41,25.410000000000053
10215,21944,10049,54137,24305,29445,8216,74700,74172,71554,53348,7854.13,24.66,29.190000000000033
54637,30246,55757,63338,69306,32026,39626,54824,36798,11065,43345,8375.82,27.22,27.960000000000043
24541,55288,3994,19552,15151,38752,73737,72746,73842,24101,56862,9496.33,32.87,33.770000000000024
24940,42736,13410,43272,9988,8046,63530,18049,68070,9540,41739,6399.85,25.87,24.300000000000065
24819,61340,50348,30024,62483,13211,207,25366,20531,14627,12167,5903.2,20.24,21.99000000000003
44005,19917,48194,13749,75362,57821,42304,23990,71969,13542,47885,5175.47,22.84,21.90000000000005
13484,8448,25623,27055,42490,49078,22658,60119,10981,32224,52854,7431.74,24.03,23.929999999999986
71233,61079,49175,736,15407,49074,17399,430,64947,49947,44905,10334.08,316.3,344.37000000000006
9462,64315,38787,2075,15315,62785,46417,25614,45041,50081,18562,10319.65,196.09,209.4000000000001
38088,65373,11613,75455,14403,38793,53490,44164,8289,68058,56674,10205.84,52.0,50.180000000000014
6605,28880,55149,31173,35528,9617,19114,35525,12585,72528,62594,10337.72,90.9,91.29000000000006
56681,23581,70957,50631,32116,12035,59305,46631,16910,10960,671,10325.44,178.08,183.93000000000015
18456,47322,2150,2791,32879,73705,60061,50176,67733,10277,6963,10326.71,303.02,310.2099999999994
28650,25406,58018,1598,61851,68053,11186,36590,61650,66560,2948,5884.54,21.05,21.330000000000005
6946,20972,51474,65558,56976,4725,28258,3122,55264,54166,56668,10312.39,86.65,96.24000000000011
49615,1953,21833,44357,19427,39711,25000,55330,10056,48430,28402,10222.03,72.41,78.90999999999995
51587,55235,24988,35508,18252,61582,47633,37553,312,16165,22180,10305.7,60.84,66.33000000000001
59987,10081,9687,49961,4707,53683,19605,25759,2422,64727,41636,10343.83,126.06,129.27000000000004
60046,17869,61362,31005,10126,47818,4076,1884,24222,56232,11217,10313.89,276.87,295.89
34956,17216,48882,43796,28128,19920,38506,67937,73083,11804,37177,7840.11,27.55,26.470000000000006
14546,13872,52353,49150,39792,48325,62610,71770,58112,31577,74536,9294.83,47.02,44.149999999999466
18411,34480,2296,71480,1655,50496,17511,31132,63065,7326,1067,10326.66,261.0,263.83999999999895
