n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
60687,48930,35013,18158,24398,843,44345,65900,60780,10592,43781,17081.54,466.75,588.5600000000007
72649,5360,49678,22205,59247,55389,20598,22076,31196,6728,14542,17078.05,164.05,177.00000000000028
17357,66357,8300,50287,13326,38165,26864,29399,55280,11496,34961,17100.38,151.94,161.199999999999
27510,51975,36855,44782,5661,26146,690,53895,7181,49652,64449,17098.73,259.37,283.12000000000035
18237,3077,31029,55669,14686,507,15890,75851,25909,26614,43282,17076.99,265.91,271.9200000000002
1081,10944,17456,70748,2289,65641,11119,75101,65108,70462,25975,17088.64,324.99,350.83999999999935
55064,9020,52184,25187,12244,19052,22617,5400,7100,35388,72752,17074.44,258.35,275.9999999999975
19569,35168,75403,4487,15903,52739,31036,21199,66179,5640,47965,16571.59,76.8,83.24000000000014
68427,74086,11369,45507,14413,47915,59152,27529,52713,26053,75292,17090.9,111.73,116.0400000000001
2407,49668,43084,80,56829,14641,27974,29059,58197,35341,42560,17084.6,169.22,182.79999999999984
11641,40259,37340,13509,67830,7230,3328,49988,73457,56182,65186,17081.01,209.53,231.68000000000032
45361,32540,74190,8687,55706,30271,12553,52547,66830,48885,73461,17116.83,104.07,109.11999999999989
48412,18236,38049,22421,33936,3850,6619,22643,34466,21523,15763,15709.08,77.49,78.00000000000014
19440,1556,6399,7983,59039,27341,50971,38566,1939,46469,37356,17099.38,598.13,714.5600000000002
18434,63034,73653,36402,17996,11349,72870,38798,15457,8597,55040,17095.98,339.69,404.04000000000025
59165,18680,73652,50200,22161,35934,64806,45727,13005,6351,36287,17086.65,144.14,169.80000000000004
69315,16822,22718,11045,21263,29151,1705,26593,23049,62080,59860,17068.99,143.93,151.4399999999997
73301,71500,50893,10904,22681,71908,63184,34398,70179,8727,3771,17085.63,95.39,102.0
57114,71349,40469,68615,69073,70401,8595,75218,71060,39363,8430,17106.51,166.58,177.83999999999997
29398,18016,13527,13057,64443,59445,7922,64253,6940,3827,48908,17101.38,242.21,259.2000000000001
