n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
7412,12004,11124,47324,22162,40388,32975,27815,4683,20759,56448,51581,66724,17095.89,339.45,385.31999999999977
48766,71326,58307,65806,35158,4708,3597,47712,60934,41741,49809,55523,68911,17101.96,182.34,185.19999999999996
21559,73467,23256,30949,30225,3127,23163,42617,22752,17917,66868,66876,47145,17069.09,284.23,318.9999999999979
67336,73385,23834,58410,54351,68860,47743,46371,47433,58427,21126,52410,60477,12651.61,22.32,24.519999999999992
69514,32755,64227,36582,65282,65646,67553,46389,59596,60425,45976,74410,73083,16228.72,54.19,48.99999999999998
59841,63780,29073,42554,21767,35145,62883,40575,39753,66092,73687,67862,66500,16584.62,46.16,44.91999999999996
53303,40874,27239,64081,67094,48050,9879,44755,1103,25087,13914,7701,75289,17090.46,786.92,929.5999999999941
6410,35795,29703,13928,68467,17891,34844,32090,27587,7914,55432,4177,7444,16599.35,79.28,83.28000000000007
47494,47214,22528,32702,3072,10866,15102,8842,3321,5357,2771,48902,33513,17099.65,402.0,471.5999999999999
16749,20593,24083,68562,253,50536,5657,32483,19846,4753,549,45115,14826,17074.58,452.54,513.2399999999963
37490,44199,64062,4038,40420,58805,72286,5999,34595,52671,20113,61968,29560,14887.02,28.0,28.879999999999992
12249,41458,13375,3172,58696,16716,67932,51505,63821,67476,42986,18852,44702,17097.57,91.98,92.48000000000006
33960,34319,55018,2363,73131,18424,7442,33156,4398,17262,21124,22375,12566,17075.07,207.89,206.08000000000015
59426,30363,66618,4115,32343,30470,58287,9640,32870,10542,29911,47163,33634,17095.59,242.35,274.5599999999981
55445,36534,68968,632,19807,4652,50430,53572,21002,14571,67119,11510,31570,17098.73,474.22,520.4399999999986
13357,13077,2595,23823,30346,13791,28488,3203,68253,60870,59488,40596,70193,17074.99,264.35,280.47999999999973
49807,27846,27543,56850,55784,67043,2794,6715,54790,68821,23753,12292,62888,17092.93,402.6,455.3199999999998
47996,2553,68053,15543,48035,37955,48788,40406,2497,54034,13259,13764,40097,17079.3,367.48,385.0799999999982
26003,2060,59168,7863,53827,63683,60730,27295,9671,698,37271,3164,48877,17092.18,564.47,706.12
40084,10033,28726,64283,25212,15173,74914,48941,51351,60715,18306,45211,51779,17115.18,147.77,155.59999999999798
15955,33313,15960,16116,10552,43841,51262,27788,13815,3233,61652,5659,65267,17103.13,366.54,365.279999999998
38109,46869,59904,18542,49140,35250,63465,68983,62594,54914,64503,38897,51730,15030.99,29.71,30.15999999999999
30359,20499,64066,34000,71901,56053,11050,75464,12576,9327,46669,23086,71468,17098.98,186.44,179.76000000000013
