n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
42445,19772,51750,6328,9494,70239,12337,47931,7602,66510,28140,4914,11265,10328.91,130.64,141.56000000000014
56838,54810,9156,31544,11889,72226,55642,7747,74115,16226,29260,8108,75642,10333.66,159.28,162.6499999999999
51993,6499,28977,6105,72963,17455,37959,54937,18907,70868,15439,74830,40433,9179.35,38.05,39.610000000000035
73434,23688,13507,74868,24624,48810,12770,71793,8229,73972,7812,26995,65066,8470.02,39.6,37.58000000000005
69693,56045,41175,61027,59399,47393,39291,32561,23562,31994,10728,75290,39354,8162.92,27.37,28.330000000000013
68838,64895,45020,58829,37740,9594,15475,67100,54804,21621,44833,19920,64089,10141.65,56.15,54.23000000000007
55272,5138,10173,73148,75107,41123,44580,45898,65100,59795,9012,12267,35381,10325.17,81.14,82.47000000000004
62141,8519,7952,40580,75752,58411,37302,50566,45482,2957,60515,46591,22026,10350.26,63.63,64.55999999999999
15347,64709,7727,28600,37674,16952,32455,52153,51242,65078,10561,21805,58875,4848.23,17.84,18.119999999999997
52644,72016,36416,17947,56429,72118,36493,54433,47024,49865,30245,19781,10876,8774.11,41.73,38.36999999999995
23097,19830,30403,30583,1581,63565,23900,34438,36953,536,19094,54912,70069,10336.18,286.1,324.99999999999915
48398,74231,41761,16448,67566,7076,59853,73304,51429,52175,52294,51658,13570,8692.35,31.73,36.840000000000074
63114,52486,8158,24983,8827,27363,57753,21273,14408,44571,6891,13419,30,10332.88,473.75,584.8499999999999
74289,19826,70335,13299,47659,3342,9216,27256,49313,19470,33063,45533,47731,10305.07,58.81,55.76000000000003
62147,16101,15119,63972,61078,62966,63417,40875,11257,18889,13393,44909,34702,10314.62,68.33,73.1699999999995
62733,21160,67676,3027,26897,69239,47415,19215,71194,3544,69220,39071,11928,10328.94,62.97,66.92999999999999
34224,67947,48064,21894,46621,29201,69807,70984,65889,43209,29234,25578,31377,9612.38,32.1,30.689999999999994
52518,29719,26203,67847,64589,46604,3798,3661,36623,61897,33970,25381,45125,10338.21,134.42,138.10999999999942
58619,45812,47793,10556,28896,13389,29733,61614,25782,44267,26787,63262,250,10224.55,113.67,113.25000000000007
62845,45089,11112,15716,50926,26125,62656,23399,56875,43583,11370,51883,60707,10121.05,49.06,47.42000000000004
52610,11130,20821,22282,16651,3610,19811,60994,19159,62174,45928,20435,71913,7547.16,24.35,24.09999999999999
71864,17168,2804,1866,13470,69020,18251,56860,25533,27661,3669,33008,27889,10318.24,196.44,216.53
38399,65688,31527,42728,33995,71349,54920,17180,7982,46371,60052,67732,55132,8988.38,29.08,30.040000000000003
65752,17139,69707,19901,68617,66918,2451,57688,24000,515,19634,22589,18554,10325.06,146.16,151.0799999999997
62061,15772,72938,8094,42727,67941,69563,72802,63240,13907,73439,7447,32570,8878.69,38.89,42.58000000000005
25074,36296,5531,12811,66547,59267,73626,3652,8305,58097,42678,66263,67130,7444.24,31.71,33.86000000000008
26136,36331,59289,66605,69898,62657,66552,32460,68578,34025,73336,26553,58658,6097.14,22.35,21.78000000000002
17974,54609,15941,51427,57949,41416,9508,31541,56143,9584,27877,39685,16036,9299.2,55.16,55.80999999999999
20243,47996,18740,33175,17990,61307,28781,12337,52200,63866,21337,29322,21163,9193.6,31.47,30.039999999999985
56560,67581,52928,44448,55217,25656,46742,41749,12084,47966,2553,44299,72620,10333.49,82.44,77.06999999999951
60118,57731,2370,50376,43450,67821,38725,67143,8426,14791,29957,13733,11018,9298.55,37.03,40.96000000000009
34808,35641,5188,23796,35447,16981,55345,33896,53208,19577,70333,67473,74789,10011.52,49.94,56.83999999999941
64829,42866,11725,36577,7540,24031,55747,9491,35248,2206,11608,34151,10976,10226.49,64.9,65.98000000000003
29151,8732,34662,15948,59477,1513,44453,72491,54756,35108,16937,5663,69063,10205.44,55.23,59.97000000000003
31252,14346,21161,34327,6603,23743,26446,40893,39977,69610,26983,38005,58417,9821.69,37.71,37.20999999999999
65547,23317,35457,45482,2380,32826,4843,2011,2416,66277,72227,24832,67401,10328.12,229.04,227.42999999999995
62227,32201,58596,13930,56646,64880,71553,51522,66412,40341,28204,30089,44918,8273.6,23.71,23.130000000000006
26034,18313,53044,45554,7128,17015,1868,9269,33501,56458,21397,7261,11073,10341.28,93.65,94.43999999999998
49922,66314,36953,31747,38411,5929,60221,24294,20648,35263,58435,474,34503,10318.07,80.59,84.20000000000003
47728,43113,71706,42406,32040,4515,40573,28556,46738,23980,140,43952,50020,10332.68,422.93,487.1999999999997
10995,62212,36559,65898,26342,32529,66156,648,11908,34625,11764,18856,52364,10333.72,106.53,110.69000000000004
5461,51639,2948,39275,39877,30514,11073,69361,20349,51054,42747,64774,19590,9818.43,44.43,42.42
