n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
31190,71333,17094,48490,62135,8588,1725,61503,33994,72192,30714,25132,61638,70906,72041,10025.53,41.07,41.00000000000002
62436,52053,19741,30398,19873,68574,51109,1985,8392,20892,5608,39487,4064,35314,61964,10332.26,314.38,352.9199999999993
50804,55959,51768,75616,58277,17583,47909,12773,4703,17821,64865,28440,33814,57168,39456,9199.86,45.23,45.37000000000005
55200,66485,50576,75238,45994,70005,53421,30459,44140,3756,36658,21377,42780,71010,74967,10338.06,69.17,70.57999999999997
74594,13641,27672,75174,35007,37349,16309,8317,63176,63374,11602,45099,8730,53800,19761,10325.3,129.26,132.55999999999966
2637,38520,55986,54420,15586,5792,5890,49519,43378,72201,36578,66246,30926,4720,40589,10326.33,154.8,171.2800000000001
948,10088,14171,70199,4112,25871,53469,38222,34520,20473,5562,44540,41134,47211,18130,10334.68,118.27,120.4
49517,49381,60346,68167,50619,73303,13444,66457,35559,56517,31147,39464,57336,33847,68305,9409.18,35.25,35.81000000000002
39713,71883,44421,1501,54422,41271,2628,49350,17467,7874,43574,61112,46257,46212,36559,10331.84,100.05,103.64000000000016
64160,2907,7939,2785,48387,32915,59809,39142,41946,23254,47704,24280,40982,48385,34620,10019.93,42.08,42.64999999999997
39374,49435,13745,3528,74613,17225,40634,65537,29168,35307,31286,42963,24562,57047,12716,10036.8,62.39,60.50999999999944
13348,42200,43745,29420,57465,22188,10478,44133,28576,74501,59126,35468,29494,15849,4444,10306.15,110.5,115.65999999999988
69419,25009,41306,75344,24063,36515,44578,11211,45256,16998,55217,38265,67947,35543,60911,9824.15,40.17,37.52999999999999
45397,54644,38063,55020,74492,53676,4658,54167,20446,26158,611,62567,66865,56931,73252,10344.65,96.47,98.94000000000004
29109,4236,59856,68028,37885,71284,44704,29814,8921,37619,15728,32051,5908,4606,67147,10317.73,171.14,174.3700000000003
26013,56346,75622,6469,1722,63051,15835,22520,65953,39306,31332,2601,68808,70385,54231,10340.16,202.43,209.35000000000005
6979,14888,44741,16437,33092,70907,62547,8043,46116,28941,25864,16019,70075,15625,22452,10134.6,58.83,60.83000000000001
31386,35882,16840,983,63897,74828,52465,6544,35572,32539,35204,69109,68114,55441,6681,10343.87,120.17,120.86000000000003
61983,42351,237,7187,16628,6053,16335,6531,8967,63283,4326,11288,67555,65813,64224,10323.85,156.96,164.18000000000015
41405,20583,41232,9407,46044,50567,51070,39861,47295,34724,25045,43093,56190,16220,16726,10304.87,148.83,153.77000000000007
72813,457,49838,10472,74282,23403,5631,48925,60400,70952,49842,5693,56569,6955,48813,10323.55,85.26,83.08999999999943
65031,41280,55117,54826,60403,2349,32123,28658,70233,35401,9382,55690,29417,55817,17087,10339.05,53.25,56.54999999999997
3682,42672,49051,73279,34364,15918,60836,16140,69491,49339,14238,41732,73904,69726,13517,10230.98,42.41,42.94
642,62068,18811,30929,50944,5808,69101,12032,73966,13015,49251,23482,3078,44758,15896,10225.46,98.65,97.82999999999956
3338,15085,63166,37289,39240,11637,4753,73877,67020,69337,31235,13991,72674,13095,72524,10337.13,175.77,164.62999999999857
8013,72105,42499,73921,23648,10136,31735,23563,32763,59525,51606,33147,48165,51988,45912,5376.44,21.48,21.389999999999993
72959,54816,10913,49194,65576,30836,54110,21052,54430,74501,67776,63402,20470,52566,19572,7354.89,38.77,34.219999999999935
21310,12564,65268,63373,67797,58071,24393,17863,35043,26106,19209,67583,41267,30448,70521,6933.41,25.99,26.910000000000043
38779,54159,35018,28521,40268,3031,35139,62847,50167,26296,22576,74696,47247,31303,42210,9908.3,40.98,42.639999999999986
63254,18823,54842,62860,26968,61348,73022,3639,63084,9486,52463,6009,61262,30094,30772,10340.94,156.04,153.05000000000007
9078,28491,33314,31731,24854,33898,18019,24534,4818,33424,22244,5901,41080,24021,55482,10224.05,77.7,71.23999999999947
11922,11262,15462,12142,34626,38242,4735,46748,59291,44124,902,3851,43883,43446,57176,10326.75,140.79,145.73999999999955
49764,63687,10219,27537,64223,51238,16439,71349,41787,15620,36013,9993,56696,14749,57464,8668.15,32.35,32.279999999999994
69138,32889,12701,69165,49050,48291,59036,38736,34811,14046,44371,74192,70276,68901,14849,6927.81,25.11,26.74999999999999
64733,66674,46158,7801,38590,74238,23852,19600,23475,48598,59537,16139,14184,73371,18531,7955.03,28.32,28.839999999999996
43454,55068,72734,39395,24497,59992,63225,40952,23118,8991,14079,23755,72578,71189,75478,9298.3,49.9,45.18999999999987
51361,47083,13088,34844,35499,50250,7008,17894,5519,62744,66153,35555,32400,67465,46413,10106.52,58.14,64.91999999999989
43628,52866,58750,70975,9073,46253,65274,14697,19868,35453,13061,14769,73971,14692,24228,10338.6,56.84,61.98000000000006
24794,74329,54611,51273,16839,19198,52221,25380,71397,69153,22325,74497,23447,26486,32787,8259.96,36.54,33.600000000000044
48444,38406,3943,58305,53376,50219,41411,72431,40580,65249,69347,39243,63448,3954,24967,10324.2,80.66,86.36999999999898
311,14087,30644,64470,22689,68634,60363,26071,25354,69408,27772,4857,65594,58225,14624,10327.95,183.52,191.1100000000002
74187,37126,20002,17771,61242,11630,6633,3344,47172,30594,66316,10202,65352,70632,2477,10330.43,147.4,146.77000000000015
44516,42351,43037,45062,17610,10553,4451,10482,45035,26880,8301,26211,57281,28952,63570,10342.6,84.33,84.95000000000007
41393,14302,5596,53539,10216,26254,21079,51313,65161,62033,8910,70442,55326,27313,64096,10245.3,100.69,99.73999999999948
39931,3063,60870,59976,52619,57458,23670,59687,4881,33636,48094,48624,58686,69380,47386,9814.97,50.94,45.70000000000004
52665,29340,353,27393,33904,48448,18805,60291,69969,25598,20852,27431,2913,22382,52919,10337.66,235.1,249.17999999999958
66014,22056,3602,18252,14427,22050,58030,64261,24222,7827,2939,52836,58723,41662,53443,10319.02,129.39,136.1000000000002
4304,6699,31357,52861,5129,51984,64650,3494,28693,31662,12356,50998,62204,24988,21595,10339.62,67.7,68.08
43644,15223,45397,16245,6801,38116,36056,61001,39393,64037,32764,73547,34840,3947,44166,10326.98,101.18,107.22999999999999
45185,41555,12283,7434,57067,11715,479,13734,3971,11866,2500,22326,65933,4798,63156,10318.33,303.97,340.7999999999991
7070,24786,66811,43416,26304,62505,44562,62735,46077,4484,50110,39940,51688,11505,38460,10123.85,47.67,47.96999999999997
24131,54141,15030,66516,51100,71730,43801,70322,52796,22889,50575,72526,47085,24107,47556,9412.52,35.15,33.88999999999999
54358,57468,30068,58258,62995,45241,35318,22248,66460,50698,63846,5601,20170,22501,3008,10230.6,67.6,68.10000000000001
61201,12058,12725,41954,31086,7398,6314,58969,61138,43740,48508,218,9444,25538,52341,10331.49,96.43,102.7800000000001
13762,44363,74566,40805,14435,59025,10602,27577,31547,6398,20011,18755,1527,14694,30136,10329.09,109.63,104.76000000000009
37683,27362,28846,73721,67576,55000,66183,41800,70152,24662,61274,23279,10371,5415,14749,10347.34,60.63,62.419999999999405
3145,13291,26116,33427,11242,14293,60979,52314,29196,14266,63646,45357,52803,58405,14541,8376.39,39.84,42.389999999999546
38255,58157,49729,26999,15324,70671,990,60840,39227,10123,44769,45370,25159,63509,9375,10314.52,45.01,44.769999999999996
72443,47795,55424,8782,67986,28071,32752,45946,8191,43935,30951,56469,57541,11034,32891,7538.61,27.93,29.260000000000016
28558,42366,21663,27123,28669,60760,70217,54885,48205,25053,53644,63463,53343,61524,4583,8172.98,27.57,26.599999999999998
38278,2374,24193,12565,3705,19750,38574,65997,68086,8043,61878,5316,25534,27176,36173,9588.67,44.53,45.919999999999945
64455,56674,4931,45192,61366,25786,37657,18737,13547,58204,39234,53881,58175,10165,26949,8985.7,50.48,46.86999999999948
20081,63872,37269,49152,48834,21147,56530,40886,60706,62141,68936,71050,29178,47148,37801,9612.66,36.55,37.74999999999993
37380,3855,60707,48954,47094,38980,31798,68100,1318,1872,17233,69581,19544,70233,2733,10315.85,98.87,101.75000000000009
21722,6587,253,26730,61046,46516,47555,72435,4603,64248,24253,31292,1728,36282,56669,10320.13,133.54,149.2600000000002
44337,6719,71567,12296,58984,40844,34304,32405,65353,54816,34125,44503,5768,3846,56303,10333.94,81.84,82.23999999999995
4890,21705,73890,32423,17781,54057,66693,44229,72333,17527,36646,2178,22116,5945,2234,10342.89,190.88,213.3499999999995
63677,7920,60303,61274,68306,67533,54319,48634,67948,22385,38501,23979,9664,18293,71705,9394.95,35.5,33.679999999999986
13312,53496,46124,58210,59623,36495,33498,59312,37098,69441,20356,75657,41275,18304,68419,7544.24,21.6,22.069999999999993
4949,53985,63644,30212,60152,35833,4010,41484,75302,72056,15211,63909,16413,36680,35080,10343.94,83.26,81.67000000000003
13429,57040,9941,48667,4410,67474,63832,58699,25570,40812,45324,23741,50240,51980,41444,10323.3,55.88,58.71000000000001
6461,35505,28078,4965,41515,41601,51450,72768,36955,4659,17237,54704,32797,54178,10388,10315.29,102.83,110.35999999999946
64907,30114,26213,10424,68976,15090,16202,703,36987,9093,56524,35077,63287,60524,35109,10331.49,190.86,197.47000000000003
37932,71582,73340,6178,22892,30925,63777,22025,18902,19645,23319,61254,52115,1117,18640,10341.88,156.67,160.43999999999934
51352,7153,23631,23088,40762,24851,17138,19234,6396,68687,19925,70086,28084,50120,14032,10328.08,155.12,155.59999999999988
56790,51100,23826,3446,36800,13694,17211,15085,19038,38670,16633,50277,46192,10087,25162,10332.7,113.88,116.61999999999907
973,48613,18678,62703,32236,8426,46448,71570,63579,13606,41061,61960,2797,45268,69583,10344.72,79.73,79.98000000000002
57991,74562,53398,60826,70513,70533,40023,57971,19544,70049,59801,50321,26274,38742,23521,7341.21,27.12,28.290000000000006
39418,22009,41536,34850,26523,17090,6955,7463,53646,23315,15016,75156,1824,20703,16057,10333.67,114.74,120.33000000000007
52874,74571,49047,68843,36062,12127,60741,70828,57827,42710,19180,28643,42357,59799,66373,9712.22,47.41,46.130000000000045
73883,48956,41697,46981,45090,44741,37590,39006,35357,23902,16145,65641,29006,44697,32587,4976.65,27.8,25.45000000000006
37013,56978,34977,59362,17022,62634,43846,69655,23053,69268,68306,57875,6759,9080,54714,10312.86,105.18,97.32999999999942
55768,72071,38169,7779,30982,50030,50334,27685,9806,48053,67370,28134,7254,71919,64759,10326.73,80.28,84.01000000000012
15418,56504,51063,73452,47385,1556,39400,48767,66234,48636,52299,57573,48829,13660,64894,10125.86,73.52,77.63999999999952
19162,42384,28824,4,48617,8428,27,18286,10688,27410,42027,57038,37090,25802,3865,10334.44,453.01,552.6999999999994
3722,70620,41133,70039,58254,47708,27921,57854,44463,15824,66779,49576,29472,62305,18208,10024.53,54.53,53.33999999999997
40195,37585,72447,24892,15378,22763,11119,56458,3676,46041,50175,980,64253,24072,61953,9402.37,37.94,36.899999999999984
35936,18345,50957,26692,67071,56668,39048,57174,37608,12719,10950,8437,57892,42090,8651,8998.91,39.88,41.20999999999997
1244,42516,62906,55325,12343,43460,54887,29623,42296,26467,51363,11594,6801,67899,3481,10325.51,357.85,407.6400000000006
66704,68645,31380,75222,11178,23591,30439,61443,70654,51908,37305,45070,59765,69255,29699,10023.83,47.48,51.45000000000001
26525,75114,39132,44922,17418,69675,47765,67903,46512,41268,68913,26683,58597,7848,56731,10322.51,192.88,200.8400000000001
