n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
29714,48550,49200,16558,25312,5738,11165,17936,32432,66369,27446,52521,3970,60179,63884,17095.99,329.92,357.3599999999987
59392,51180,64878,75120,25196,52780,11739,63582,30694,2620,34965,68180,53433,62170,49686,17097.2,254.38,255.0399999999994
14906,33863,12735,8269,50642,49441,14120,7609,44359,30725,11279,65218,67739,27252,18630,17091.8,211.78,234.4800000000002
8437,70741,4910,64050,25408,19425,59803,58344,37441,73049,46752,55852,17691,20748,12794,17090.84,75.54,79.27999999999994
69705,41128,46796,64832,66010,25906,40473,19681,46627,69300,37270,66819,9361,66508,71425,17103.97,228.62,239.7999999999999
28829,45115,31966,1561,38758,44988,28808,34975,4411,55496,33393,49404,39105,54646,22970,17100.59,323.73,365.52000000000015
51939,15238,21781,3359,26451,21060,39327,15267,1732,49866,44802,22302,74596,57095,30371,17100.92,206.58,208.12000000000046
18224,53752,73924,58465,53366,54783,10504,9171,37846,12466,4460,11174,13962,68281,69112,17113.26,246.97,259.76000000000016
47207,20140,66181,63994,19468,8254,24861,2220,18401,44668,50637,75192,15826,39244,46064,17087.82,79.43,79.03999999999998
42655,47978,385,65407,27535,7951,4341,22540,23304,44239,56496,57871,15853,10925,26274,17092.78,795.93,1045.0399999999977
29357,65170,62021,20253,49949,15993,14216,59334,16574,57603,67434,11852,61773,73906,51609,17095.31,108.23,122.96000000000012
47291,59681,29559,6675,25887,6412,58487,14600,14179,27684,603,2964,47723,56678,69190,17077.15,181.15,186.5600000000001
12233,65874,74576,26303,65736,30072,42481,68909,50346,68130,25713,876,37952,38860,10469,17097.82,327.2,375.52000000000055
42078,52806,29316,38852,10436,71740,54982,48398,42051,67669,39606,46775,38774,14325,25656,17110.01,121.28,117.64000000000019
63597,48492,49623,40893,26902,38075,52038,50262,68636,46633,47472,56033,25674,64217,69328,16410.09,70.92,82.67999999999985
66495,10745,35238,21423,8995,65305,35505,55015,15340,35906,38226,35926,66091,35206,36350,17102.02,53.08,60.63999999999997
53975,32052,47364,32214,32507,66154,60022,32754,30701,68845,25609,48226,65096,13860,14631,16241.11,52.6,56.000000000000014
50848,11039,22375,74284,56043,5916,17931,2895,25066,34686,11409,12508,60645,60258,36993,17107.79,566.71,661.2399999999976
74201,12150,16559,46867,8647,41932,5073,11004,17997,48005,9827,30242,4857,41850,29141,17084.26,264.06,265.3199999999998
