n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
17611,74606,8271,33432,15455,64937,58915,61898,49756,27519,12302,63944,3715,51093,56723,276,58377,10333.56,255.85,283.7100000000001
34908,29984,13399,41606,4009,2925,3335,70964,1206,49965,28390,55327,3806,69157,29057,57394,64987,10335.02,276.68,290.01999999999896
72464,30550,45311,30260,28676,60241,37982,2816,54549,72935,13107,24367,38848,15845,43607,65640,55326,10130.73,70.65,72.98000000000017
66547,24883,39763,37245,65452,66228,51557,4525,62944,31816,52990,54304,22676,48119,71932,49113,11333,9395.65,34.29,33.9
57535,66640,14146,21456,68280,51544,48565,64185,3876,61514,5699,40439,75782,51589,22328,22097,65829,10326.36,64.24,70.15999999999997
29745,1612,26151,70728,71871,30431,53012,67341,45065,75732,46304,60179,35294,71826,748,50290,67174,10326.62,157.07,164.9699999999999
16940,67984,73578,26933,55848,7356,63058,47806,74710,72666,26193,66154,54185,63560,46765,54319,45361,9819.61,48.19,50.730000000000025
207,70579,70793,43402,60050,3666,30094,23227,72188,23695,12006,72224,33461,4254,9234,10909,2187,10324.67,90.66,97.60999999999989
59375,1908,36857,32710,35211,14350,24197,45144,38048,9111,21950,20922,33451,69124,22039,35771,38599,9821.19,41.09,40.56000000000001
59598,42205,65076,62098,14967,3097,40895,50666,45002,55170,24646,33871,14255,33221,66861,27405,56577,7241.89,27.86,31.250000000000036
2728,29540,2341,52076,19197,4630,21001,58414,66362,55923,71395,28914,67711,59093,29254,68668,4023,10342.48,105.06,109.74999999999997
51760,75477,42106,55875,7705,39138,16473,27804,6218,40158,9270,10019,40679,39043,20736,54548,74047,9831.69,57.79,64.23000000000009
33077,17090,1111,73494,4969,28520,74747,60404,22481,66699,4905,49541,26267,45472,12979,26969,75154,10342.95,143.99,140.8500000000002
56747,25443,64533,13687,51126,38806,66074,65509,2254,42643,52733,36877,2371,20573,26326,42957,73838,10326.26,73.13,75.26
17713,44445,56261,27922,34935,12636,49706,71778,45069,70035,63504,69798,30754,8561,5295,11099,17434,10340.19,77.53,80.95000000000002
22242,21830,70544,27914,35128,43546,66307,33461,48248,44413,44601,14930,38170,30826,64067,17740,72243,9606.34,33.34,33.07000000000001
13667,42038,5129,53293,9593,49837,19310,16386,44682,15032,49550,10046,74813,72125,29322,74182,10714,10349.44,72.28,73.41000000000001
34960,47827,38738,73983,70031,14983,60000,36330,14120,5996,38762,1622,1906,12017,54202,15086,5245,10351.84,119.76,123.88999999999939
24631,31409,55183,21236,15146,59101,21939,31643,20833,13478,57029,49581,71162,38538,72117,33214,62522,10338.22,56.83,61.699999999999505
41216,13124,27212,41604,5193,3573,1377,38738,41975,58962,51284,41062,52239,8252,8413,41595,59750,10324.43,166.17,183.32999999999896
