n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
31190,71333,17094,48490,62135,8588,1725,61503,33994,72192,30714,25132,61638,70906,72041,62436,52053,17096.01,113.77,111.48000000000005
19741,30398,19873,68574,51109,1985,8392,20892,5608,39487,4064,35314,61964,50804,55959,51768,75616,17100.17,1062.18,1325.1999999999975
58277,17583,47909,12773,4703,17821,64865,28440,33814,57168,39456,55200,66485,50576,75238,45994,70005,16928.05,123.0,124.44000000000023
53421,30459,44140,3756,36658,21377,42780,71010,74967,74594,13641,27672,75174,35007,37349,16309,8317,17075.95,366.86,393.3599999999974
63176,63374,11602,45099,8730,53800,19761,2637,38520,55986,54420,15586,5792,5890,49519,43378,72201,17108.11,359.8,398.6400000000009
36578,66246,30926,4720,40589,948,10088,14171,70199,4112,25871,53469,38222,34520,20473,5562,44540,17093.62,646.73,801.9200000000004
41134,47211,18130,49517,49381,60346,68167,50619,73303,13444,66457,35559,56517,31147,39464,57336,33847,17095.67,164.07,171.60000000000014
68305,39713,71883,44421,1501,54422,41271,2628,49350,17467,7874,43574,61112,46257,46212,36559,64160,17106.87,311.65,357.88000000000056
2907,7939,2785,48387,32915,59809,39142,41946,23254,47704,24280,40982,48385,34620,39374,49435,13745,17073.83,190.14,197.1199999999978
3528,74613,17225,40634,65537,29168,35307,31286,42963,24562,57047,12716,13348,42200,43745,29420,57465,17108.8,130.37,140.35999999999984
22188,10478,44133,28576,74501,59126,35468,29494,15849,4444,69419,25009,41306,75344,24063,36515,44578,17099.3,339.56,384.47999999999956
11211,45256,16998,55217,38265,67947,35543,60911,45397,54644,38063,55020,74492,53676,4658,54167,20446,17101.47,152.43,155.11999999999983
26158,611,62567,66865,56931,73252,29109,4236,59856,68028,37885,71284,44704,29814,8921,37619,15728,17087.42,461.43,519.4800000000009
32051,5908,4606,67147,26013,56346,75622,6469,1722,63051,15835,22520,65953,39306,31332,2601,68808,17101.09,854.62,1064.8800000000008
70385,54231,6979,14888,44741,16437,33092,70907,62547,8043,46116,28941,25864,16019,70075,15625,22452,17092.79,176.37,187.00000000000006
31386,35882,16840,983,63897,74828,52465,6544,35572,32539,35204,69109,68114,55441,6681,61983,42351,17099.4,358.26,405.24000000000024
237,7187,16628,6053,16335,6531,8967,63283,4326,11288,67555,65813,64224,41405,20583,41232,9407,17093.25,857.74,1083.1600000000003
46044,50567,51070,39861,47295,34724,25045,43093,56190,16220,16726,72813,457,49838,10472,74282,23403,17076.54,206.54,216.28000000000003
5631,48925,60400,70952,49842,5693,56569,6955,48813,65031,41280,55117,54826,60403,2349,32123,28658,17098.73,152.64,132.87999999999755
70233,35401,9382,55690,29417,55817,17087,3682,42672,49051,73279,34364,15918,60836,16140,69491,49339,17090.27,190.98,207.79999999999987
