n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
7412,12004,11124,47324,22162,40388,32975,27815,4683,20759,56448,51581,66724,48766,71326,58307,65806,35158,4708,17092.62,354.66,427.39999999999975
3597,47712,60934,41741,49809,55523,68911,21559,73467,23256,30949,30225,3127,23163,42617,22752,17917,66868,66876,17110.07,410.47,461.0399999999978
47145,67336,73385,23834,58410,54351,68860,47743,46371,47433,58427,21126,52410,60477,69514,32755,64227,36582,65282,13499.05,39.62,39.03999999999997
65646,67553,46389,59596,60425,45976,74410,73083,59841,63780,29073,42554,21767,35145,62883,40575,39753,66092,73687,17107.96,70.8,75.67999999999995
67862,66500,53303,40874,27239,64081,67094,48050,9879,44755,1103,25087,13914,7701,75289,6410,35795,29703,13928,17089.87,780.15,964.0799999999941
68467,17891,34844,32090,27587,7914,55432,4177,7444,47494,47214,22528,32702,3072,10866,15102,8842,3321,5357,17093.69,310.39,335.3999999999999
2771,48902,33513,16749,20593,24083,68562,253,50536,5657,32483,19846,4753,549,45115,14826,37490,44199,64062,17089.99,578.01,706.4799999999964
4038,40420,58805,72286,5999,34595,52671,20113,61968,29560,12249,41458,13375,3172,58696,16716,67932,51505,63821,16943.81,80.74,80.27999999999997
67476,42986,18852,44702,33960,34319,55018,2363,73131,18424,7442,33156,4398,17262,21124,22375,12566,59426,30363,17120.35,227.67,247.44000000000023
66618,4115,32343,30470,58287,9640,32870,10542,29911,47163,33634,55445,36534,68968,632,19807,4652,50430,53572,17088.38,659.28,778.0399999999968
21002,14571,67119,11510,31570,13357,13077,2595,23823,30346,13791,28488,3203,68253,60870,59488,40596,70193,49807,17107.1,278.47,294.2399999999997
27846,27543,56850,55784,67043,2794,6715,54790,68821,23753,12292,62888,47996,2553,68053,15543,48035,37955,48788,17096.61,597.74,704.199999999998
40406,2497,54034,13259,13764,40097,26003,2060,59168,7863,53827,63683,60730,27295,9671,698,37271,3164,48877,17107.31,664.52,841.0800000000002
40084,10033,28726,64283,25212,15173,74914,48941,51351,60715,18306,45211,51779,15955,33313,15960,16116,10552,43841,17102.57,163.02,179.519999999998
51262,27788,13815,3233,61652,5659,65267,38109,46869,59904,18542,49140,35250,63465,68983,62594,54914,64503,38897,17085.2,364.71,367.919999999998
51730,30359,20499,64066,34000,71901,56053,11050,75464,12576,9327,46669,23086,71468,19202,54626,8760,11291,4924,17102.6,214.99,229.76000000000005
16844,38847,51195,30369,43177,57520,22613,68681,37616,14689,20449,70895,55536,12603,43102,67698,32584,67392,33719,17108.58,94.98,95.28000000000016
22225,20645,60416,30729,52974,46996,75161,18974,61165,57826,3851,50233,23648,51492,66869,7021,63236,35907,53072,17084.9,201.77,213.32000000000016
33255,54020,61931,47199,71772,43349,10671,29491,69842,24625,52785,50142,1521,41016,60889,68625,61119,23248,12377,17113.51,509.36,611.8400000000004
2246,52811,28380,74615,50565,28245,13167,51116,73101,26153,35967,25099,64199,18071,1112,56937,63184,33251,67297,17110.72,527.11,644.4400000000002
74199,22749,61222,26869,9545,45906,398,63625,69883,8577,63569,43894,60202,34989,65916,60335,3608,10460,45565,17096.35,207.44,222.48000000000033
22767,53017,33461,17677,7088,21308,65468,50025,60903,38642,20427,1363,37048,73062,61262,238,48032,4458,70516,17102.23,545.82,647.5199999999963
50112,73964,58038,26793,40426,65310,17482,63410,70591,39676,10055,33814,41035,39868,43739,40917,51506,67906,12182,17122.24,137.39,143.76000000000022
66644,27605,51265,69529,19600,66148,11683,40380,5370,30528,59970,73571,30423,68502,36370,8030,14668,14675,49704,17114.89,332.1,381.60000000000025
47789,28012,41732,46672,10143,43871,59949,47539,21823,65219,57934,38271,60432,17545,57933,28298,35787,42759,20838,17099.07,168.95,180.08000000000004
13048,31174,61458,24844,48993,24292,46674,18382,17744,30562,35210,72168,49546,52462,44859,36797,65877,42006,52353,17099.29,180.99,207.5199999999996
38221,69722,9524,48160,40446,51796,63438,22908,33806,46399,57767,62473,11494,24438,41271,49678,16653,3673,13666,17115.03,123.51,124.80000000000013
45977,21900,47077,10097,57203,1099,71130,41994,31033,51106,70929,37310,61459,19736,47162,41464,26493,65333,12457,17101.73,244.67,270.7199999999999
18638,26783,43428,32896,18529,55102,47239,32791,11683,44917,24578,32306,31468,6141,44100,48862,8085,18879,23261,17106.61,274.66,310.68000000000006
8265,56331,58143,35640,17405,42071,68549,75601,15258,44307,51717,29852,7096,51419,62101,64204,41528,71385,11868,16921.4,104.33,106.71999999999987
66902,70593,64973,52598,59582,22203,53974,50593,68782,59329,6049,14189,59156,16804,15525,65536,22949,10136,51461,17098.87,331.63,367.32
40083,59990,1159,33154,13888,45959,28913,22693,3268,19249,56007,12048,44041,61004,6523,62239,31657,8469,63106,17109.08,415.0,433.6799999999976
18284,73238,3981,18170,65818,71061,7904,6336,26162,71585,816,68535,44248,69268,31258,18345,48696,64500,197,17087.22,862.02,1072.7199999999966
17270,70796,15272,32335,14186,61127,27759,6967,28208,49693,44137,51621,68746,66464,21364,66974,13820,19842,27566,17108.27,289.66,290.599999999998
22737,49453,26462,38980,44648,56474,18838,56063,17092,52187,41115,39229,13017,73723,13101,61968,35700,37284,69125,17109.14,227.84,235.2000000000002
64083,36681,30028,55138,18037,71700,13629,4012,72315,26478,27831,25473,51311,5125,18100,3081,34407,62278,70736,17096.72,387.64,425.5600000000002
6264,29429,18935,40964,5002,25674,14200,18404,71340,24441,12095,60801,38246,27376,20650,42509,36351,67946,74571,17096.29,237.16,244.52000000000032
8851,54091,54454,4417,59684,38983,15995,35683,2064,28101,54865,43675,34272,70518,51432,68872,26366,56324,16875,17114.06,137.29,132.8400000000001
22388,58677,59574,45331,50182,62028,33368,25014,62404,58319,25182,61518,75144,44270,40561,9275,22337,48426,61779,17114.21,382.7,399.319999999999
29131,75614,16788,40346,27172,70161,39213,12859,1654,3807,25940,41036,7676,41803,69908,33541,44936,57746,9436,17100.19,275.99,283.76000000000045
54965,61687,2392,37044,75265,17282,27818,19730,21270,49243,8500,58616,36592,10782,64949,62757,31139,19827,74043,17082.54,486.82,580.1599999999997
39231,29771,26596,43896,51367,68679,53314,30760,27926,73552,8112,34272,32691,18134,51280,57162,15649,59740,51355,17103.49,112.9,121.76000000000009
51775,62228,49797,37332,28195,31537,29370,7203,69809,68797,11862,71241,469,7054,50756,56440,52629,30332,67460,17088.33,280.07,292.28000000000026
35753,13235,47769,66885,47345,68147,64587,9213,60318,28984,36655,3245,3849,62722,5472,16951,18583,27065,42163,17122.45,432.43,501.87999999999784
31619,70476,6367,18986,38707,13380,73132,70893,11350,17876,57329,18371,4442,40702,67039,35167,62025,6165,72914,17097.97,741.68,843.1599999999991
46553,44573,12756,47128,14030,45627,47633,36115,62674,37095,66759,19635,3352,5808,44615,56892,1077,45800,70058,17103.23,473.17,568.7600000000001
6644,10056,70820,66403,57087,56179,54973,31440,23837,21311,5896,2083,46276,23777,38635,2605,5270,32326,74176,17080.14,614.45,753.0399999999979
28781,52801,8297,47206,14530,8860,31803,30586,72110,24893,13493,823,53124,10484,65562,36833,28999,6871,68887,17085.65,167.79,180.8000000000001
67821,69172,52840,55977,16597,20288,55953,16989,60267,48864,6920,74954,23947,67686,57669,57339,58449,21285,64959,17106.57,193.93,200.96000000000015
16755,46000,19088,3018,32940,24531,19784,54026,74681,32821,57983,61608,60873,24658,55442,57064,35312,28752,46296,17085.68,198.7,208.9999999999995
4117,51729,3657,55905,39616,3160,71807,62557,74569,34299,35463,32391,61123,59903,47846,68413,60519,32275,72888,17109.54,800.11,954.4000000000007
70083,20909,60407,37761,47401,55026,14383,66240,32202,50703,15357,56708,60484,68325,59587,11816,51191,59316,47545,17100.85,132.13,138.5599999999999
73009,45717,21701,19255,30595,22793,53543,59133,65384,22628,53346,34599,40972,74755,53073,39215,34673,41096,1509,17109.27,292.91,306.2799999999998
52537,5278,27008,59602,13283,14982,1400,47507,42272,41526,53217,23413,42683,10544,69059,62941,52735,30848,58284,17122.93,724.73,968.4000000000005
12379,2416,45163,3981,39714,64679,18349,6717,1233,43230,53188,62705,652,63198,75378,26682,29222,42937,21749,17117.61,1134.56,1631.600000000001
43775,39740,51292,74465,63670,60998,36619,11257,66020,27992,75127,48100,31685,47406,48729,23751,31740,70663,29486,17127.37,138.19,146.68
27462,61398,31214,52157,34837,26677,66954,21185,204,53181,61990,47419,23577,25974,23881,63502,869,17510,27522,17113.89,300.09,336.64000000000044
28483,189,10999,59831,25812,24233,35779,51831,2851,1363,47131,15182,39957,4675,74845,47847,61944,49865,15951,17092.55,1074.69,1633.6399999999949
9978,60655,23048,18729,59496,8241,34986,19370,63406,70483,9792,69019,38319,37549,3567,71691,73438,27315,10196,17092.85,467.57,531.2800000000003
54656,16470,24423,40391,60808,25961,5129,44261,60197,8184,20180,29934,45997,40196,14169,24957,20366,29143,3777,17096.83,248.87,271.00000000000006
42360,15594,35747,13581,48891,9391,66141,17783,46051,17203,55535,25690,40663,72500,2666,2289,44625,19610,9649,17082.3,722.13,884.8400000000007
71333,6271,17942,64650,54682,46928,62996,38656,38936,8349,19727,15056,905,11795,18707,46170,20416,39407,74244,17106.33,361.71,396.2799999999996
70222,16917,11705,29975,74920,30118,43882,11823,24478,57285,27527,53877,4908,43799,56255,65199,73433,45198,24218,17088.4,291.97,354.4799999999997
69078,15412,5631,16417,49540,18990,55189,29247,35167,70815,16241,11286,67428,74766,23239,26050,9478,70401,41114,17103.41,178.07,180.96000000000006
16949,65875,31099,31163,59680,53226,59761,13983,41108,30417,6258,45138,14020,51598,2391,73829,15344,33957,46294,17077.83,231.03,244.28000000000034
72703,31534,44276,55454,29709,5697,18326,21935,17140,22484,51362,19792,13675,39382,55868,60755,969,14480,55328,17111.13,302.18,292.999999999998
192,12580,4304,24886,56870,237,25256,49830,41117,20268,22857,35176,34899,33674,74655,30515,67825,40555,40498,17109.39,648.77,891.6400000000002
73792,54569,65332,63381,50636,38608,51581,22701,55110,38613,75569,60399,69090,55675,75331,42186,70677,9439,73832,16932.73,94.58,96.52000000000001
1032,33482,54068,60296,11768,65756,70918,61639,68658,36489,20658,28644,48500,13907,29090,27663,56800,16515,66922,17111.41,122.45,126.88000000000004
25042,66533,51109,21310,9219,40362,59733,18534,67556,12114,48969,24383,28845,72467,5580,57146,73661,4106,51316,16926.86,115.76,116.40000000000003
71619,39657,30524,21161,52234,29039,26282,75241,30001,65784,33431,72260,36463,34312,20743,3348,52464,67115,6697,17111.85,78.84,79.6400000000001
7326,64304,25553,72652,42451,38347,6078,61270,43960,24150,58574,6247,27226,48157,33768,58251,34639,65856,32788,17089.46,236.12,244.4400000000001
6232,42063,1474,54772,29640,24047,50198,63021,17651,55311,38877,9690,22763,7149,54949,8694,69685,20057,2785,17113.16,421.6,463.59999999999974
3982,47987,28045,74189,70605,62415,56449,43229,13515,956,10091,26925,3038,69453,69082,3995,20305,3747,38707,17093.36,738.01,924.9600000000008
33460,15716,2371,2598,45867,36086,13935,50737,24557,53947,1169,30991,28541,21369,57133,71266,4318,75348,36256,17099.51,671.69,847.3999999999995
13388,31405,31811,6182,28314,30989,23062,72,22363,16167,26224,31693,36898,43275,10941,26910,17272,74717,32672,17105.61,482.91,611.0400000000002
13832,47159,64472,24487,27532,27983,50714,37186,399,11077,29976,74101,40103,48700,38274,71004,40944,5567,40696,17083.7,279.81,257.23999999999785
11735,62233,65664,18361,74253,46464,37626,55349,55778,13002,70229,24452,30527,17335,8454,60486,10635,18763,62889,17109.29,262.48,289.2799999999972
3875,19844,49238,24928,62846,49147,68519,17720,56752,26321,13675,44293,44702,40440,57292,18039,32411,33926,61734,17105.16,402.21,425.759999999998
42667,208,5944,987,15089,27136,38503,7411,57967,65840,29185,27042,31769,10085,4255,3532,14711,50692,14652,17090.87,577.64,763.3999999999999
54496,73833,55581,67419,3193,3495,22666,16265,26202,29691,10584,36581,68082,70398,35104,14863,23868,39578,25827,17109.56,513.44,626.24
11326,23140,3994,805,13667,60309,61286,2307,347,29765,43466,9421,31501,36568,15223,22027,25423,11059,55391,17099.89,477.52,569.8000000000003
36294,64992,15307,35792,19178,42446,49361,28707,29436,25891,64292,58027,14800,63735,51487,41828,7853,60193,5495,16941.83,103.53,104.43999999999988
56301,60173,31330,72450,53421,72521,7301,69134,52840,35224,15603,59072,37768,39737,55056,31391,21606,31878,15514,17113.0,373.26,418.8799999999999
3790,36238,70193,16773,51099,56704,4190,17826,5744,7824,27129,4914,33313,70576,23908,20581,65273,45672,11013,17100.73,124.41,124.72000000000003
56777,72350,21436,13475,54762,37698,32123,533,27339,34916,7601,29505,28182,63218,68647,64330,59213,2124,5049,17110.66,603.53,698.8399999999983
