n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
60687,48930,35013,18158,24398,843,44345,65900,60780,10592,43781,72649,5360,49678,22205,59247,55389,20598,22076,10352.72,167.89,182.88000000000022
31196,6728,14542,17357,66357,8300,50287,13326,38165,26864,29399,55280,11496,34961,27510,51975,36855,44782,5661,10331.71,93.96,89.31999999999982
26146,690,53895,7181,49652,64449,18237,3077,31029,55669,14686,507,15890,75851,25909,26614,43282,1081,10944,10330.78,208.48,228.57999999999998
17456,70748,2289,65641,11119,75101,65108,70462,25975,55064,9020,52184,25187,12244,19052,22617,5400,7100,35388,10314.39,103.12,109.0299999999994
72752,19569,35168,75403,4487,15903,52739,31036,21199,66179,5640,47965,68427,74086,11369,45507,14413,47915,59152,10320.3,61.84,65.24000000000008
27529,52713,26053,75292,2407,49668,43084,80,56829,14641,27974,29059,58197,35341,42560,11641,40259,37340,13509,10339.4,65.55,68.97999999999995
67830,7230,3328,49988,73457,56182,65186,45361,32540,74190,8687,55706,30271,12553,52547,66830,48885,73461,48412,10326.83,90.45,101.51000000000005
18236,38049,22421,33936,3850,6619,22643,34466,21523,15763,19440,1556,6399,7983,59039,27341,50971,38566,1939,10320.04,214.74,223.9600000000001
46469,37356,18434,63034,73653,36402,17996,11349,72870,38798,15457,8597,55040,59165,18680,73652,50200,22161,35934,10324.69,133.42,144.81000000000006
64806,45727,13005,6351,36287,69315,16822,22718,11045,21263,29151,1705,26593,23049,62080,59860,73301,71500,50893,10322.59,81.11,80.66999999999994
10904,22681,71908,63184,34398,70179,8727,3771,57114,71349,40469,68615,69073,70401,8595,75218,71060,39363,8430,10337.3,86.86,86.37
29398,18016,13527,13057,64443,59445,7922,64253,6940,3827,48908,31934,60115,30291,48657,75127,65001,31864,4718,10340.06,187.18,184.27999999999957
11092,6148,53708,53303,9039,10582,24784,4470,23765,11064,8503,3914,46503,61635,71698,70198,62210,3404,9871,10337.41,319.89,339.24999999999983
43755,11088,42136,1123,60797,58871,19474,50605,62683,18075,13924,45713,30319,59176,16960,25187,28987,14257,14497,10239.14,67.61,70.25000000000004
6911,15740,9782,10820,48814,13581,3074,61277,68421,26303,48429,10634,30953,717,33602,67872,25868,2029,57574,10317.49,279.25,308.34999999999934
33195,2914,13533,68084,54677,7576,32930,62334,41300,28927,7682,36068,17331,39341,5097,24469,46326,52850,950,10320.24,125.34,148.58999999999958
39679,12375,3862,41638,57582,32398,54601,42172,64448,73844,45474,52309,56371,27385,10296,36226,39437,60522,61159,10335.35,123.02,118.81999999999952
74506,59756,57662,50465,24423,43185,52712,7717,42601,12035,22356,41617,71287,3521,24715,27668,47789,18047,11261,10222.42,73.03,75.21999999999996
44282,58599,50444,27686,71033,43957,9943,2506,72412,55289,61682,29799,42426,67389,65843,12988,60717,419,37310,10314.15,196.31,211.95000000000027
