n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
50494,55125,5306,33936,67013,63691,53075,39755,62468,46930,28631,66150,18254,36941,18316,12429,32834,69804,19262,40651,12945,9931.2,63.95,65.40000000000003
9665,43279,61884,73375,13199,46372,56907,41444,26801,72420,62522,58024,68334,34143,8163,71919,1840,12225,52274,149,64694,10333.31,211.36,227.42999999999998
43664,31969,42625,8255,25043,74384,29059,31275,18677,71170,58716,11955,10544,41950,66576,64131,14294,39511,72255,38153,16359,9926.67,46.8,49.690000000000005
71754,43614,70816,26634,71726,37703,58325,12010,50449,41555,75451,31733,38054,24100,24823,24475,4321,34086,62459,9055,11773,10347.34,65.78,66.90000000000002
17068,19601,5064,10518,70857,51287,68756,36127,68392,30867,28206,54974,36072,59056,64573,46840,10796,42509,15119,63759,43944,10334.85,99.6,98.14999999999951
24953,31855,2124,35525,15353,28896,48766,22345,43586,55853,8151,13186,19183,28675,5928,75217,70018,9698,3499,16311,24709,10328.58,198.88,215.4199999999999
75491,15688,51276,11997,48514,15210,4769,2835,25505,24244,16239,62814,27600,8006,2986,71334,55786,13303,34068,9175,28944,10340.86,186.2,183.9099999999988
9433,39460,45913,57156,23634,8000,66012,61227,5161,13227,51285,26129,34096,46996,61632,74680,22206,26661,7608,20736,21227,10335.89,111.94,117.86000000000014
44867,69399,32858,15363,57974,22913,1730,61816,53727,74594,66663,40821,46812,50940,32890,20108,73478,1630,60024,10364,44029,10330.54,127.85,133.78000000000011
5989,71345,36815,17673,31474,63154,46166,37732,47081,17346,40671,50858,54318,10580,199,25206,43830,20981,31380,29241,58737,10328.94,139.82,157.22999999999996
49630,74468,54317,4134,52725,74379,54817,6131,21715,58373,8373,33977,20668,58505,69150,63866,73584,9,5100,64825,42722,10346.2,189.22,188.76999999999998
40902,61196,6534,54412,24641,71901,10940,17107,1930,52666,54720,41441,444,27987,1873,309,69251,12816,24963,15584,26019,10331.31,219.03,245.51000000000005
39638,36697,23884,13130,62338,51995,10662,2863,36007,59372,15175,33618,17487,68270,45488,15087,20242,36491,2434,5544,5329,10320.31,181.06,195.55999999999955
26966,34035,73184,41250,48089,74379,5505,64813,60118,57074,48817,70507,23368,27242,49227,38146,1166,18147,19794,35569,43700,10331.07,133.71,132.50000000000006
44238,48129,12282,44335,4674,5400,35339,21477,19584,37949,47304,51746,71890,16992,38457,15059,62660,31418,6325,40354,23538,10333.32,90.2,86.66999999999943
68557,9288,39671,52844,43059,39220,54358,14241,13028,73509,63068,62128,44181,45043,16295,62794,15205,65239,55906,4957,39571,10007.95,54.43,50.180000000000035
43919,20403,21830,73988,49226,11393,8629,11097,25957,28974,8015,50438,1029,12855,51617,72938,68026,37987,58791,64044,28475,10219.74,86.01,86.14999999999998
55448,10965,48277,28853,34198,21834,56521,25158,46991,15074,8369,3620,68919,59193,26435,15585,65154,52160,33617,27162,5518,10326.27,113.82,126.68999999999939
28297,19182,13714,25948,60084,49549,47401,71616,19835,13729,63950,19451,73912,53203,55474,68318,64933,42265,65331,65358,26475,9519.81,59.44,52.31999999999947
71147,28675,1272,44593,41714,42182,4648,68826,19446,33670,20434,49676,38585,61660,8697,11094,67702,5166,8697,29503,17104,10316.72,161.36,169.94
5325,39380,2003,58797,43331,21061,19506,60389,48669,66191,50099,69442,65854,4406,75218,11881,67895,10008,55884,27014,37966,10328.51,445.18,488.9699999999984
70178,54767,63204,50930,30614,2684,31,23851,39641,66434,74745,33352,43605,8601,64685,34341,39689,53486,50352,50289,8160,10334.31,410.7,463.23000000000013
21468,16688,31319,37629,43781,7278,4709,63088,54770,18468,64465,10698,19840,46238,53888,4611,61116,50683,60146,6164,13301,10331.55,175.03,186.44999999999993
61720,19840,2651,4255,17393,42455,13800,71977,45438,25555,50254,64267,14548,7885,61235,44284,16295,38847,16660,50809,38509,10322.64,96.13,96.50999999999951
15932,68027,24789,5004,51383,58271,48703,24966,59699,46734,9874,5851,5240,63722,33473,3493,68165,74613,74946,28308,30101,10336.83,209.98,227.91999999999996
12252,65852,68643,55064,66467,40017,14869,19095,55832,74188,55319,11014,13731,54478,8247,13003,54416,20467,4024,58552,56503,10030.89,62.49,64.52
