n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
30939,39753,13522,620.82,3.37,3.380000000000001
51912,62767,20312,2798.52,5.29,5.289999999999999
11809,8718,2597,10317.37,69.89,74.88999999999994
52637,72011,37929,1344.15,4.07,4.099999999999999
7713,29088,68201,4758.13,12.64,12.010000000000051
70343,47218,36265,2178.08,4.06,4.09
22631,13917,34304,1968.01,4.18,4.219999999999999
28101,3360,34112,2273.08,9.77,9.450000000000038
35618,25353,21603,1243.17,4.87,5.500000000000009
40612,37963,48810,2266.5,4.53,4.699999999999998
11366,44224,50847,10008.96,23.23,24.990000000000002
66316,32620,23303,1547.81,3.43,3.58
32417,62074,36699,6394.39,8.78,11.499999999999996
11710,71780,39353,4542.42,12.77,12.470000000000033
945,38265,75021,10302.76,292.47,314.9599999999992
40863,66633,25575,310.05,3.28,3.4200000000000004
54256,55539,37775,1757.8,5.34,6.070000000000011
56497,59162,21144,1241.23,3.86,3.87
30569,39991,34033,1031.95,4.31,4.07
5667,10626,6071,5171.09,9.8,9.749999999999993
60643,36756,68009,2892.34,5.18,5.2299999999999995
70073,61766,44937,1965.26,4.28,4.3
19013,25634,8708,3928.15,5.62,5.499999999999998
54105,26564,57822,4441.32,5.74,5.270000000000001
36215,24078,46639,1033.39,3.29,3.49
57137,42030,73207,1344.4,4.17,3.92
26045,42406,13235,1654.02,4.6,6.110000000000014
8075,29998,36369,6617.36,16.87,15.110000000000035
31118,16009,43393,6395.35,9.66,10.349999999999994
23270,38132,60164,1751.72,4.17,4.140000000000001
3365,5611,46803,3513.25,21.5,23.3599999999994
10827,37445,42876,1861.69,4.35,4.249999999999999
2383,42311,37879,6090.59,13.81,17.36999999999994
42162,20042,53795,3099.96,6.43,6.129999999999996
10191,38457,25089,4741.75,14.06,15.389999999999997
58214,38272,17883,1030.88,3.89,3.9899999999999993
32774,50021,20827,4223.29,8.82,9.210000000000004
43425,75116,1231,10321.45,63.73,68.59000000000015
47621,5871,59609,5050.61,19.85,17.520000000000074
22225,47866,47542,4347.72,8.16,8.709999999999994
38054,74901,12727,6095.27,8.38,8.929999999999993
57583,27162,55568,7334.73,14.09,13.520000000000003
27252,14892,7777,9595.58,53.43,51.11999999999987
8153,7244,22107,9901.2,40.64,45.68000000000012
19613,5359,71595,7023.07,17.29,17.239999999999995
64312,32644,42130,1756.81,3.91,3.8200000000000007
4662,16026,69368,9593.64,45.68,50.35999999999989
38391,53650,26248,1858.27,5.21,5.7499999999999964
62621,26446,31701,931.27,3.54,3.83
57516,53821,64479,1138.36,3.66,3.5200000000000005
4832,28712,55210,1651.7,5.11,6.690000000000022
58130,32582,56077,2783.61,5.42,5.549999999999998
28274,65349,24603,2990.69,4.91,4.679999999999998
4148,4824,33343,10335.67,75.83,74.83000000000006
33211,31770,68901,1959.04,4.93,5.789999999999998
27271,30338,54674,2996.18,4.18,4.939999999999998
34299,18573,42600,729.79,3.45,3.6699999999999995
6720,41224,74100,6919.84,21.59,18.59000000000006
15316,74672,52817,1961.17,6.46,6.160000000000014
5308,64787,50786,6174.54,11.16,12.540000000000017
12177,56375,27645,2575.96,4.85,4.5600000000000005
75013,21686,44117,2174.7,4.54,4.639999999999998
38824,61764,41292,1234.29,4.59,4.29
55048,69209,28211,932.91,4.26,4.6999999999999975
35166,44371,51404,826.4,4.25,4.209999999999997
65062,9749,36710,1245.29,3.6,3.63
25068,5838,51747,10019.18,35.78,37.10000000000002
16729,35316,7927,5559.88,12.48,13.540000000000047
21923,60892,74606,2998.19,5.81,6.369999999999994
61890,52917,51176,1559.15,5.72,5.619999999999999
28644,429,27681,10311.75,99.74,108.69000000000023
20544,1718,33729,8863.34,19.41,18.47999999999998
15189,51876,49949,2271.04,4.14,4.370000000000001
29141,72169,6999,9286.08,26.53,29.26000000000004
26433,21220,43338,310.84,3.09,3.14
73711,61801,68997,1551.56,3.91,4.079999999999999
57624,3459,10353,9184.45,35.23,37.72000000000003
4480,14800,64072,7429.75,18.53,17.890000000000065
73505,33679,18187,6192.09,12.25,10.620000000000008
5423,47522,10445,4851.95,18.34,25.259999999999494
68548,1382,38920,10209.36,46.18,43.639999999999986
45470,9795,11159,3612.2,7.34,8.660000000000014
71221,59476,49959,8459.21,15.22,18.22000000000003
26915,40785,50938,1034.08,3.32,3.6999999999999997
30631,63786,52436,5061.13,7.93,8.199999999999992
12467,10118,15001,9507.24,21.86,18.889999999999993
47956,67171,56879,2383.25,4.7,4.77
54511,58227,8771,5372.06,6.88,7.439999999999996
25670,39623,62741,2380.38,3.74,3.770000000000001
55373,15489,73176,2168.92,4.54,4.220000000000001
21938,48706,21341,3296.03,9.22,8.310000000000004
23114,19569,42802,4332.76,6.79,6.9299999999999935
64783,44379,33896,1652.79,4.25,4.08
71023,639,22112,10314.23,87.55,84.96000000000011
729,40870,15853,9597.94,30.95,27.190000000000012
71427,14527,63767,3.87,3.67,3.820000000000001
63471,68984,9920,9898.95,30.83,32.539999999999985
68251,32170,53893,2886.84,7.63,7.910000000000007
38463,46765,30042,6599.66,12.45,12.889999999999992
23647,221,6936,8873.5,26.12,28.79000000000002
