n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
31190,71333,17094,48490,62135,16413.02,31.52,34.43999999999998
8588,1725,61503,33994,72192,14005.88,54.62,52.84000000000007
30714,25132,61638,70906,72041,13484.53,21.57,21.519999999999982
62436,52053,19741,30398,19873,8217.6,9.05,9.560000000000002
68574,51109,1985,8392,20892,17101.18,824.37,997.0800000000002
5608,39487,4064,35314,61964,17086.24,280.07,300.0399999999977
50804,55959,51768,75616,58277,12997.7,23.98,25.199999999999967
17583,47909,12773,4703,17821,15198.43,86.87,90.28000000000024
64865,28440,33814,57168,39456,6147.3,12.3,14.199999999999996
55200,66485,50576,75238,45994,9227.85,16.63,15.239999999999986
70005,53421,30459,44140,3756,17077.56,165.31,179.9999999999999
36658,21377,42780,71010,74967,14176.49,20.97,20.27999999999999
74594,13641,27672,75174,35007,16918.4,131.5,147.03999999999783
37349,16309,8317,63176,63374,14028.31,60.28,50.03999999999977
11602,45099,8730,53800,19761,17097.19,239.24,257.6400000000009
2637,38520,55986,54420,15586,16757.82,74.69,78.11999999999998
5792,5890,49519,43378,72201,16425.49,51.47,59.9200000000001
36578,66246,30926,4720,40589,17076.73,421.88,469.52000000000027
948,10088,14171,70199,4112,17090.1,259.87,314.36000000000007
25871,53469,38222,34520,20473,9760.15,16.1,15.839999999999984
5562,44540,41134,47211,18130,17097.54,79.28,82.80000000000004
49517,49381,60346,68167,50619,14538.48,48.26,48.1200000000001
73303,13444,66457,35559,56517,15205.41,33.47,34.35999999999997
31147,39464,57336,33847,68305,11789.68,10.18,10.360000000000003
39713,71883,44421,1501,54422,17078.76,157.7,163.52000000000015
41271,2628,49350,17467,7874,17083.57,141.46,150.76000000000022
43574,61112,46257,46212,36559,8534.76,40.24,40.240000000000165
64160,2907,7939,2785,48387,17080.99,86.72,84.67999999999992
32915,59809,39142,41946,23254,5996.41,11.61,13.479999999999986
47704,24280,40982,48385,34620,10420.09,21.09,20.039999999999974
39374,49435,13745,3528,74613,16569.68,107.2,108.99999999999785
17225,40634,65537,29168,35307,14683.72,38.45,39.19999999999995
31286,42963,24562,57047,12716,15924.35,35.4,38.55999999999996
13348,42200,43745,29420,57465,16744.51,35.71,34.319999999999965
22188,10478,44133,28576,74501,15380.49,66.36,66.87999999999953
59126,35468,29494,15849,4444,17085.35,263.0,293.9600000000001
69419,25009,41306,75344,24063,10423.29,16.06,16.03999999999999
36515,44578,11211,45256,16998,16910.98,67.9,66.95999999999994
55217,38265,67947,35543,60911,11616.8,12.96,12.719999999999995
45397,54644,38063,55020,74492,15543.74,32.22,31.679999999999954
53676,4658,54167,20446,26158,16747.54,48.03,52.39999999999995
611,62567,66865,56931,73252,17087.87,218.22,239.68000000000023
29109,4236,59856,68028,37885,11281.19,11.97,12.999999999999996
71284,44704,29814,8921,37619,17073.02,255.02,259.1600000000006
15728,32051,5908,4606,67147,17107.67,313.95,341.84000000000015
26013,56346,75622,6469,1722,16569.36,84.24,82.44000000000004
63051,15835,22520,65953,39306,9564.41,13.96,15.39999999999999
31332,2601,68808,70385,54231,17094.37,576.0,634.4800000000006
6979,14888,44741,16437,33092,15902.6,40.02,40.440000000000005
70907,62547,8043,46116,28941,9579.35,9.58,10.119999999999997
25864,16019,70075,15625,22452,17083.14,122.87,134.16000000000005
31386,35882,16840,983,63897,17102.11,126.41,140.72
74828,52465,6544,35572,32539,17097.39,190.77,206.24000000000004
35204,69109,68114,55441,6681,17086.78,47.43,55.960000000000136
61983,42351,237,7187,16628,17098.65,396.71,442.4800000000004
6053,16335,6531,8967,63283,17087.19,100.97,104.63999999999989
4326,11288,67555,65813,64224,13331.37,30.52,33.19999999999999
41405,20583,41232,9407,46044,17077.34,428.36,507.1599999999999
50567,51070,39861,47295,34724,11114.01,15.29,15.639999999999988
25045,43093,56190,16220,16726,13663.74,14.96,16.079999999999995
72813,457,49838,10472,74282,17086.33,169.39,177.48000000000008
23403,5631,48925,60400,70952,7353.79,9.92,10.91999999999999
49842,5693,56569,6955,48813,11798.82,84.73,89.0799999999976
65031,41280,55117,54826,60403,13156.96,21.28,23.87999999999997
2349,32123,28658,70233,35401,13850.28,16.58,16.719999999999995
9382,55690,29417,55817,17087,17094.86,118.13,125.7999999999999
3682,42672,49051,73279,34364,17095.93,42.73,38.63999999999997
15918,60836,16140,69491,49339,15205.62,37.33,41.159999999999954
14238,41732,73904,69726,13517,12825.77,38.43,37.76000000000006
642,62068,18811,30929,50944,17101.8,224.62,251.59999999999818
5808,69101,12032,73966,13015,15546.63,35.56,38.99999999999995
49251,23482,3078,44758,15896,13500.79,42.81,40.720000000000205
3338,15085,63166,37289,39240,17103.5,182.08,206.2399999999984
11637,4753,73877,67020,69337,17072.43,282.7,309.639999999996
31235,13991,72674,13095,72524,16231.6,72.1,82.31999999999988
8013,72105,42499,73921,23648,10094.51,17.2,18.19999999999998
10136,31735,23563,32763,59525,9237.97,9.23,9.040000000000001
51606,33147,48165,51988,45912,4274.42,10.07,10.51999999999999
72959,54816,10913,49194,65576,14191.42,62.28,59.55999999999978
30836,54110,21052,54430,74501,13316.98,12.65,15.159999999999993
67776,63402,20470,52566,19572,8894.13,13.65,13.159999999999988
21310,12564,65268,63373,67797,14014.24,14.2,14.640000000000002
58071,24393,17863,35043,26106,11800.26,16.82,17.519999999999982
19209,67583,41267,30448,70521,4274.42,24.0,26.080000000000183
38779,54159,35018,28521,40268,15556.04,23.7,24.519999999999982
3031,35139,62847,50167,26296,16741.65,79.87,81.47999999999993
22576,74696,47247,31303,42210,3931.04,11.16,11.359999999999987
63254,18823,54842,62860,26968,8547.6,9.73,8.799999999999999
61348,73022,3639,63084,9486,17095.73,465.46,507.2000000000003
52463,6009,61262,30094,30772,9915.26,14.57,16.23999999999998
9078,28491,33314,31731,24854,16748.87,131.76,141.47999999999777
33898,18019,24534,4818,33424,16777.01,37.81,42.480000000000004
22244,5901,41080,24021,55482,14879.64,41.19,44.40000000000004
11922,11262,15462,12142,34626,17086.61,106.43,108.04000000000005
