n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
31190,71333,17094,48490,62135,8263.14,12.97,13.559999999999999
8588,1725,61503,33994,72192,6597.64,17.33,17.51000000000002
30714,25132,61638,70906,72041,4644.07,9.5,9.929999999999998
62436,52053,19741,30398,19873,3099.44,6.53,6.340000000000001
68574,51109,1985,8392,20892,10330.12,254.1,265.0699999999999
5608,39487,4064,35314,61964,10332.54,77.24,81.55999999999942
50804,55959,51768,75616,58277,5884.08,10.37,10.699999999999994
17583,47909,12773,4703,17821,7626.86,25.62,27.07000000000006
64865,28440,33814,57168,39456,2274.47,7.44,7.6000000000000005
55200,66485,50576,75238,45994,2887.65,9.29,7.959999999999996
70005,53421,30459,44140,3756,10329.73,46.99,53.09999999999998
36658,21377,42780,71010,74967,4640.94,8.63,9.519999999999998
74594,13641,27672,75174,35007,8875.92,43.84,41.80999999999944
37349,16309,8317,63176,63374,4754.42,15.84,16.80999999999994
11602,45099,8730,53800,19761,10320.08,67.86,73.96000000000026
2637,38520,55986,54420,15586,7947.32,27.84,24.330000000000002
5792,5890,49519,43378,72201,7314.99,22.25,19.680000000000028
36578,66246,30926,4720,40589,10326.42,123.35,127.28000000000006
948,10088,14171,70199,4112,10326.54,76.6,86.44
25871,53469,38222,34520,20473,2898.45,7.73,7.959999999999997
5562,44540,41134,47211,18130,9692.19,24.97,26.000000000000007
49517,49381,60346,68167,50619,6506.7,15.92,16.280000000000026
73303,13444,66457,35559,56517,6407.11,12.55,12.889999999999993
31147,39464,57336,33847,68305,3411.29,6.39,6.640000000000001
39713,71883,44421,1501,54422,10217.78,49.97,46.730000000000054
41271,2628,49350,17467,7874,9611.96,47.54,42.89000000000006
43574,61112,46257,46212,36559,2584.02,16.24,14.060000000000045
64160,2907,7939,2785,48387,9609.52,28.26,26.319999999999983
32915,59809,39142,41946,23254,2893.83,6.97,7.269999999999996
47704,24280,40982,48385,34620,4747.66,9.12,9.059999999999995
39374,49435,13745,3528,74613,7119.48,23.54,32.24999999999946
17225,40634,65537,29168,35307,6288.02,13.58,14.19999999999999
31286,42963,24562,57047,12716,7132.03,14.74,14.089999999999987
13348,42200,43745,29420,57465,6817.3,12.64,13.379999999999994
22188,10478,44133,28576,74501,6605.27,19.47,21.269999999999875
59126,35468,29494,15849,4444,10313.78,74.57,81.04000000000002
69419,25009,41306,75344,24063,3730.65,7.81,8.159999999999997
36515,44578,11211,45256,16998,9493.07,24.81,22.139999999999986
55217,38265,67947,35543,60911,3937.93,7.06,7.2299999999999995
45397,54644,38063,55020,74492,5896.7,13.04,12.169999999999991
53676,4658,54167,20446,26158,8257.21,19.18,18.29999999999999
611,62567,66865,56931,73252,10311.48,62.75,68.47000000000007
29109,4236,59856,68028,37885,3515.22,7.49,7.349999999999999
71284,44704,29814,8921,37619,10219.57,65.89,73.04000000000022
15728,32051,5908,4606,67147,10311.78,95.16,94.01000000000006
26013,56346,75622,6469,1722,7837.61,26.54,25.560000000000024
63051,15835,22520,65953,39306,3200.58,8.66,7.9499999999999975
31332,2601,68808,70385,54231,10326.35,171.18,175.87000000000003
6979,14888,44741,16437,33092,5992.62,13.31,14.760000000000003
70907,62547,8043,46116,28941,1863.85,6.62,6.58
25864,16019,70075,15625,22452,9993.41,41.92,39.490000000000016
31386,35882,16840,983,63897,9894.41,43.26,40.88
74828,52465,6544,35572,32539,10324.06,59.6,60.56
35204,69109,68114,55441,6681,8778.07,18.44,19.440000000000033
61983,42351,237,7187,16628,10327.28,116.86,119.52000000000021
6053,16335,6531,8967,63283,9995.76,30.59,32.059999999999974
4326,11288,67555,65813,64224,4744.29,14.1,12.6
41405,20583,41232,9407,46044,10333.11,126.38,137.54000000000008
50567,51070,39861,47295,34724,3616.41,8.44,7.959999999999997
25045,43093,56190,16220,16726,5581.5,8.04,8.27
72813,457,49838,10472,74282,10020.32,43.62,50.02000000000005
23403,5631,48925,60400,70952,1244.32,6.24,6.729999999999998
49842,5693,56569,6955,48813,3515.92,34.65,26.3699999999994
65031,41280,55117,54826,60403,4133.85,11.87,10.069999999999993
2349,32123,28658,70233,35401,4127.31,8.9,9.030000000000001
9382,55690,29417,55817,17087,10104.07,38.57,37.449999999999974
3682,42672,49051,73279,34364,7849.1,13.85,14.609999999999992
