n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
50494,55125,5306,33936,67013,63691,53075,17091.62,127.3,134.36000000000007
39755,62468,46930,28631,66150,18254,36941,7007.88,20.75,19.08000000000004
18316,12429,32834,69804,19262,40651,12945,15215.77,33.64,34.000000000000014
9665,43279,61884,73375,13199,46372,56907,15894.41,31.8,34.75999999999998
41444,26801,72420,62522,58024,68334,34143,9921.26,18.45,19.440000000000005
8163,71919,1840,12225,52274,149,64694,17095.33,577.2,748.1999999999996
43664,31969,42625,8255,25043,74384,29059,16752.27,49.0,55.240000000000066
31275,18677,71170,58716,11955,10544,41950,16242.93,42.4,45.12
66576,64131,14294,39511,72255,38153,16359,12507.48,25.08,24.399999999999974
71754,43614,70816,26634,71726,37703,58325,8209.92,14.68,15.55999999999999
12010,50449,41555,75451,31733,38054,24100,16247.04,50.26,45.43999999999997
24823,24475,4321,34086,62459,9055,11773,17090.2,117.16,125.4000000000001
17068,19601,5064,10518,70857,51287,68756,17073.96,162.47,173.72000000000003
36127,68392,30867,28206,54974,36072,59056,13333.43,15.48,15.040000000000003
64573,46840,10796,42509,15119,63759,43944,16574.23,102.68,125.23999999999805
24953,31855,2124,35525,15353,28896,48766,17085.61,218.21,238.91999999999987
22345,43586,55853,8151,13186,19183,28675,12640.24,15.92,15.92
5928,75217,70018,9698,3499,16311,24709,17102.7,408.22,493.8799999999998
75491,15688,51276,11997,48514,15210,4769,17084.52,183.04,195.43999999999977
2835,25505,24244,16239,62814,27600,8006,17093.94,278.58,271.87999999999545
2986,71334,55786,13303,34068,9175,28944,17085.01,173.57,177.00000000000003
9433,39460,45913,57156,23634,8000,66012,16075.64,67.92,67.80000000000003
61227,5161,13227,51285,26129,34096,46996,17075.23,239.47,243.68000000000035
61632,74680,22206,26661,7608,20736,21227,16747.94,74.0,78.80000000000013
44867,69399,32858,15363,57974,22913,1730,17104.1,152.39,159.76
61816,53727,74594,66663,40821,46812,50940,13517.22,34.02,40.11999999999996
32890,20108,73478,1630,60024,10364,44029,17089.74,228.33,247.0400000000004
5989,71345,36815,17673,31474,63154,46166,13332.71,30.87,29.879999999999978
37732,47081,17346,40671,50858,54318,10580,17094.54,179.42,198.83999999999975
199,25206,43830,20981,31380,29241,58737,17087.61,253.24,310.92
49630,74468,54317,4134,52725,74379,54817,17092.91,198.98,219.44000000000005
6131,21715,58373,8373,33977,20668,58505,17082.06,244.97,262.0399999999999
69150,63866,73584,9,5100,64825,42722,17086.58,156.27,169.60000000000005
40902,61196,6534,54412,24641,71901,10940,16384.64,109.1,92.51999999999988
17107,1930,52666,54720,41441,444,27987,17075.14,276.56,304.12000000000006
1873,309,69251,12816,24963,15584,26019,17099.12,399.6,474.6399999999999
39638,36697,23884,13130,62338,51995,10662,17096.12,113.37,121.96000000000015
2863,36007,59372,15175,33618,17487,68270,17083.51,217.7,244.67999999999986
45488,15087,20242,36491,2434,5544,5329,17107.13,333.82,317.3999999999979
26966,34035,73184,41250,48089,74379,5505,8888.12,21.96,21.84000000000003
64813,60118,57074,48817,70507,23368,27242,13852.69,27.61,29.039999999999992
49227,38146,1166,18147,19794,35569,43700,17065.95,345.59,390.9199999999999
44238,48129,12282,44335,4674,5400,35339,16398.99,133.87,132.07999999999768
21477,19584,37949,47304,51746,71890,16992,13663.35,31.16,27.159999999999993
38457,15059,62660,31418,6325,40354,23538,17083.42,104.95,110.48000000000008
68557,9288,39671,52844,43059,39220,54358,14513.77,32.21,32.51999999999997
14241,13028,73509,63068,62128,44181,45043,12811.66,19.96,19.479999999999997
16295,62794,15205,65239,55906,4957,39571,16922.05,78.68,77.72000000000013
43919,20403,21830,73988,49226,11393,8629,16236.09,77.71,80.07999999999976
11097,25957,28974,8015,50438,1029,12855,17098.8,139.27,151.0000000000001
51617,72938,68026,37987,58791,64044,28475,16407.94,35.98,35.95999999999996
55448,10965,48277,28853,34198,21834,56521,15897.48,62.12,71.43999999999976
25158,46991,15074,8369,3620,68919,59193,17102.29,262.47,273.3999999999978
26435,15585,65154,52160,33617,27162,5518,16574.2,75.97,77.95999999999998
28297,19182,13714,25948,60084,49549,47401,16028.96,94.05,114.67999999999793
71616,19835,13729,63950,19451,73912,53203,8039.25,12.84,13.239999999999998
55474,68318,64933,42265,65331,65358,26475,11621.12,12.12,12.600000000000001
71147,28675,1272,44593,41714,42182,4648,17102.89,409.34,477.67999999999995
68826,19446,33670,20434,49676,38585,61660,16243.83,43.92,44.56000000000011
8697,11094,67702,5166,8697,29503,17104,17081.33,43.46,56.11999999999994
5325,39380,2003,58797,43331,21061,19506,17103.66,988.85,1291.1999999999928
60389,48669,66191,50099,69442,65854,4406,17078.82,256.61,279.0399999999999
75218,11881,67895,10008,55884,27014,37966,17078.18,216.19,235.00000000000009
70178,54767,63204,50930,30614,2684,31,17095.57,1009.93,1479.8399999999997
23851,39641,66434,74745,33352,43605,8601,17098.4,148.19,162.16
64685,34341,39689,53486,50352,50289,8160,14896.5,52.11,51.84000000000009
21468,16688,31319,37629,43781,7278,4709,17085.15,234.93,265.44000000000005
63088,54770,18468,64465,10698,19840,46238,16932.75,87.69,91.75999999999999
53888,4611,61116,50683,60146,6164,13301,17086.39,257.14,282.3599999999998
61720,19840,2651,4255,17393,42455,13800,17095.55,258.32,269.7199999999981
71977,45438,25555,50254,64267,14548,7885,14007.87,18.81,18.879999999999992
61235,44284,16295,38847,16660,50809,38509,12133.51,14.42,15.639999999999997
15932,68027,24789,5004,51383,58271,48703,15563.12,46.25,39.48000000000013
24966,59699,46734,9874,5851,5240,63722,17098.55,377.31,431.7999999999998
33473,3493,68165,74613,74946,28308,30101,17108.93,287.12,321.9999999999996
12252,65852,68643,55064,66467,40017,14869,15905.64,33.49,33.03999999999998
19095,55832,74188,55319,11014,13731,54478,12477.99,28.66,28.519999999999996
8247,13003,54416,20467,4024,58552,56503,17095.95,115.51,121.71999999999997
54659,3949,65093,42532,33106,10294,46203,17088.02,319.62,365.0800000000001
9218,15909,47088,3850,45278,45597,23318,12647.51,28.96,28.759999999999984
1306,30211,47946,9242,18781,27260,423,17091.3,757.32,978.6399999999987
26842,16146,941,38438,48382,3230,30521,17097.46,1433.93,1952.279999999999
18597,24509,59512,14731,62481,45147,33845,14011.31,43.24,39.79999999999996
17060,3661,27278,47479,43910,62045,38355,17077.58,91.44,90.7599999999999
38842,72509,42858,24123,10591,13445,69891,17098.26,106.95,119.9599999999999
40339,20500,49360,19257,16414,29205,41404,16920.88,100.72,112.04000000000025
66628,31829,31019,24109,38149,48819,55022,15886.63,36.97,37.31999999999997
6062,17332,2693,51616,10213,9595,17304,16920.65,53.15,55.75999999999995
55080,39241,72191,54624,18649,55337,39063,13514.83,21.18,20.599999999999987
46473,11082,32513,58302,48399,69364,7583,15717.03,75.79,76.59999999999975
49339,53559,1104,54686,42030,57841,26737,16917.77,108.37,98.7600000000001
48705,38444,61720,11934,24308,14236,36303,14868.43,30.82,31.199999999999974
14700,73161,20169,58479,52268,24298,55273,16223.34,47.66,46.239999999999974
56585,22903,32500,59434,44615,68596,18686,17071.52,60.58,65.68
46578,60612,11337,63345,26691,38630,241,17085.02,411.06,464.8399999999985
58862,60556,1019,28669,39132,15002,39473,17089.2,617.42,759.9999999999972
71461,20476,55601,61791,12131,65231,30456,11438.27,17.5,18.199999999999992
71269,53124,36711,2833,15837,35399,5314,17090.11,400.05,451.52
33,33629,52222,68957,51935,58272,13373,17086.17,600.67,821.3600000000008
33109,46376,37145,25694,11175,4646,9234,17100.31,400.0,444.83999999999844
