n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
42445,19772,51750,6328,9494,70239,12337,10330.07,71.58,72.70000000000006
47931,7602,66510,28140,4914,11265,56838,10106.31,76.84,70.26000000000012
54810,9156,31544,11889,72226,55642,7747,10324.95,151.55,150.53999999999994
74115,16226,29260,8108,75642,51993,6499,4432.91,15.0,14.510000000000007
28977,6105,72963,17455,37959,54937,18907,8460.11,24.12,24.330000000000016
70868,15439,74830,40433,73434,23688,13507,5995.88,19.44,18.650000000000013
74868,24624,48810,12770,71793,8229,73972,7215.72,25.32,24.12000000000005
7812,26995,65066,69693,56045,41175,61027,4547.85,10.52,10.820000000000002
59399,47393,39291,32561,23562,31994,10728,7642.34,22.34,21.53000000000001
75290,39354,68838,64895,45020,58829,37740,1864.25,9.72,10.22000000000001
9594,15475,67100,54804,21621,44833,19920,10012.91,44.8,45.09000000000006
64089,55272,5138,10173,73148,75107,41123,10221.08,63.52,67.35000000000004
44580,45898,65100,59795,9012,12267,35381,5673.21,18.52,16.310000000000002
62141,8519,7952,40580,75752,58411,37302,6005.54,15.34,18.350000000000023
50566,45482,2957,60515,46591,22026,15347,10308.05,46.16,47.22999999999997
64709,7727,28600,37674,16952,32455,52153,2388.38,9.65,9.669999999999996
51242,65078,10561,21805,58875,52644,72016,4966.72,11.24,10.309999999999999
36416,17947,56429,72118,36493,54433,47024,3615.46,12.02,12.13000000000001
49865,30245,19781,10876,23097,19830,30403,8456.56,27.3,26.749999999999936
30583,1581,63565,23900,34438,36953,536,10318.58,288.25,316.6299999999991
19094,54912,70069,48398,74231,41761,16448,5265.69,13.83,14.600000000000026
67566,7076,59853,73304,51429,52175,52294,8585.91,27.96,25.260000000000048
51658,13570,63114,52486,8158,24983,8827,10021.06,39.41,40.74000000000001
27363,57753,21273,14408,44571,6891,13419,9293.35,25.21,23.440000000000047
30,74289,19826,70335,13299,47659,3342,10312.05,439.35,547.6999999999999
9216,27256,49313,19470,33063,45533,47731,8879.34,33.93,30.770000000000024
62147,16101,15119,63972,61078,62966,63417,6715.32,35.54,29.209999999999496
40875,11257,18889,13393,44909,34702,62733,10223.65,45.93,45.080000000000005
21160,67676,3027,26897,69239,47415,19215,10330.09,57.15,59.04
71194,3544,69220,39071,11928,34224,67947,3422.48,10.43,10.479999999999997
48064,21894,46621,29201,69807,70984,65889,6397.07,21.76,20.439999999999998
43209,29234,25578,31377,52518,29719,26203,6289.78,14.48,13.939999999999992
67847,64589,46604,3798,3661,36623,61897,10320.97,111.85,121.41999999999945
33970,25381,45125,58619,45812,47793,10556,6406.72,16.04,16.369999999999983
28896,13389,29733,61614,25782,44267,26787,6093.86,13.52,13.919999999999995
63262,250,62845,45089,11112,15716,50926,10316.04,110.84,110.58000000000008
26125,62656,23399,56875,43583,11370,51883,9395.12,29.32,27.850000000000044
60707,52610,11130,20821,22282,16651,3610,5172.98,13.72,13.84
19811,60994,19159,62174,45928,20435,71913,4526.98,11.31,11.519999999999994
71864,17168,2804,1866,13470,69020,18251,10331.2,71.26,76.99000000000012
56860,25533,27661,3669,33008,27889,38399,10327.62,132.17,140.84999999999988
65688,31527,42728,33995,71349,54920,17180,5273.63,15.29,14.880000000000006
7982,46371,60052,67732,55132,65752,17139,6609.95,17.42,17.17999999999999
69707,19901,68617,66918,2451,57688,24000,8773.86,22.37,19.779999999999998
515,19634,22589,18554,62061,15772,72938,10325.33,129.5,137.3599999999997
8094,42727,67941,69563,72802,63240,13907,3099.67,15.21,15.470000000000034
73439,7447,32570,25074,36296,5531,12811,7732.22,23.44,23.940000000000005
66547,59267,73626,3652,8305,58097,42678,7536.95,25.77,25.30000000000008
66263,67130,26136,36331,59289,66605,69898,2799.89,9.89,9.539999999999997
62657,66552,32460,68578,34025,73336,26553,4438.25,11.89,13.440000000000019
58658,17974,54609,15941,51427,57949,41416,1242.64,7.46,7.470000000000001
9508,31541,56143,9584,27877,39685,16036,9492.13,53.83,49.499999999999986
20243,47996,18740,33175,17990,61307,28781,7327.77,16.18,17.119999999999987
12337,52200,63866,21337,29322,21163,56560,6618.47,15.07,14.819999999999993
67581,52928,44448,55217,25656,46742,41749,1656.2,8.72,8.49
12084,47966,2553,44299,72620,60118,57731,10328.25,66.9,70.26999999999951
2370,50376,43450,67821,38725,67143,8426,6105.69,14.32,15.780000000000022
14791,29957,13733,11018,34808,35641,5188,9497.58,52.28,57.22999999999949
23796,35447,16981,55345,33896,53208,19577,8049.54,15.91,16.45
70333,67473,74789,64829,42866,11725,36577,3199.66,9.47,9.849999999999998
7540,24031,55747,9491,35248,2206,11608,10333.74,53.5,58.550000000000026
34151,10976,29151,8732,34662,15948,59477,3618.4,10.68,9.909999999999998
1513,44453,72491,54756,35108,16937,5663,10226.68,52.99,51.28000000000003
69063,31252,14346,21161,34327,6603,23743,9288.45,28.99,27.839999999999996
26446,40893,39977,69610,26983,38005,58417,3204.67,10.05,10.479999999999997
65547,23317,35457,45482,2380,32826,4843,9080.38,25.1,23.47999999999999
2011,2416,66277,72227,24832,67401,62227,10332.64,179.82,205.17999999999998
32201,58596,13930,56646,64880,71553,51522,4744.78,12.86,13.39000000000001
66412,40341,28204,30089,44918,26034,18313,4450.43,10.38,10.529999999999996
53044,45554,7128,17015,1868,9269,33501,10214.61,47.6,51.38
56458,21397,7261,11073,49922,66314,36953,10106.59,41.45,44.379999999999974
31747,38411,5929,60221,24294,20648,35263,6815.75,17.61,19.63000000000004
58435,474,34503,47728,43113,71706,42406,10311.54,64.47,66.76999999999998
32040,4515,40573,28556,46738,23980,140,10328.76,386.95,476.7099999999997
43952,50020,10995,62212,36559,65898,26342,5358.84,13.01,12.480000000000006
32529,66156,648,11908,34625,11764,18856,10303.56,94.87,101.66000000000004
52364,5461,51639,2948,39275,39877,30514,4543.89,14.35,13.270000000000007
11073,69361,20349,51054,42747,64774,19590,9899.08,30.98,30.679999999999993
37247,18972,5739,67237,56261,66262,18259,9595.86,27.97,28.509999999999994
68649,66108,74511,2107,30138,11153,4084,10336.71,88.88,90.5
5486,17444,47278,13751,49364,59164,73207,6392.8,26.99,32.4699999999994
6655,2469,69657,32054,64132,34575,434,10328.86,271.98,297.51000000000033
59893,9189,65925,70149,12051,68942,8657,5472.59,14.4,15.030000000000003
62109,33055,9758,34807,30773,26898,30243,6806.81,20.74,22.719999999999956
60337,64742,50142,10058,62784,37659,6127,6713.74,22.46,19.150000000000013
25990,10154,19323,43486,33284,39900,74417,7540.64,28.87,27.31999999999999
17490,1634,63231,7950,63674,35228,13044,10307.49,281.12,307.93
28533,64174,38123,67703,37426,60904,61066,7738.45,17.25,18.69000000000004
61124,15532,71968,26116,40851,11253,61989,9594.7,30.19,30.52999999999999
2294,37956,60158,10022,66403,58910,35213,6918.76,16.96,15.669999999999996
50704,27503,27618,9779,11836,18578,68690,8874.03,26.25,27.05000000000001
34315,47127,17380,66682,36643,14768,47865,9078.35,16.75,19.02999999999999
30327,65259,63719,51652,3255,20849,470,10331.48,122.63,121.43000000000006
64447,59082,53139,39577,18442,54549,45083,5892.56,16.71,16.330000000000005
