n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
30939,39753,13522,51912,62767,20312,11809,8718,2597,17102.94,229.19,290.2399999999997
52637,72011,37929,7713,29088,68201,70343,47218,36265,15035.45,45.61,51.20000000000019
22631,13917,34304,28101,3360,34112,35618,25353,21603,11098.3,46.29,48.68000000000018
40612,37963,48810,11366,44224,50847,66316,32620,23303,17088.24,83.44,94.87999999999998
32417,62074,36699,11710,71780,39353,945,38265,75021,17080.4,973.61,1261.0799999999986
40863,66633,25575,54256,55539,37775,56497,59162,21144,10595.11,22.96,24.640000000000036
30569,39991,34033,5667,10626,6071,60643,36756,68009,16768.05,44.13,44.75999999999996
70073,61766,44937,19013,25634,8708,54105,26564,57822,16401.57,30.82,29.47999999999999
36215,24078,46639,57137,42030,73207,26045,42406,13235,9580.64,25.34,25.280000000000044
8075,29998,36369,31118,16009,43393,23270,38132,60164,17087.37,87.22,86.20000000000012
3365,5611,46803,10827,37445,42876,2383,42311,37879,16936.13,146.91,148.1199999999974
42162,20042,53795,10191,38457,25089,58214,38272,17883,16592.21,61.41,62.03999999999998
32774,50021,20827,43425,75116,1231,47621,5871,59609,17101.56,318.6,342.6800000000006
22225,47866,47542,38054,74901,12727,57583,27162,55568,16754.82,86.57,91.83999999999995
27252,14892,7777,8153,7244,22107,19613,5359,71595,17114.93,392.09,410.96
64312,32644,42130,4662,16026,69368,38391,53650,26248,17094.85,183.4,202.47999999999962
62621,26446,31701,57516,53821,64479,4832,28712,55210,12824.04,24.26,27.96000000000008
58130,32582,56077,28274,65349,24603,4148,4824,33343,17096.96,266.17,295.8400000000001
33211,31770,68901,27271,30338,54674,34299,18573,42600,12649.09,26.92,28.599999999999973
6720,41224,74100,15316,74672,52817,5308,64787,50786,17082.48,123.13,116.76000000000033
12177,56375,27645,75013,21686,44117,38824,61764,41292,13338.17,24.68,24.35999999999999
55048,69209,28211,35166,44371,51404,65062,9749,36710,10267.72,24.3,21.75999999999998
25068,5838,51747,16729,35316,7927,21923,60892,74606,17083.56,193.03,190.00000000000028
61890,52917,51176,28644,429,27681,20544,1718,33729,17100.51,390.61,483.9600000000009
15189,51876,49949,29141,72169,6999,26433,21220,43338,16914.04,118.43,113.48000000000017
73711,61801,68997,57624,3459,10353,4480,14800,64072,17088.38,201.03,203.7600000000003
73505,33679,18187,5423,47522,10445,68548,1382,38920,17106.1,241.87,276.6399999999979
45470,9795,11159,71221,59476,49959,26915,40785,50938,17107.21,91.44,89.3200000000002
30631,63786,52436,12467,10118,15001,47956,67171,56879,17088.86,84.61,90.0399999999999
54511,58227,8771,25670,39623,62741,55373,15489,73176,16059.76,30.25,31.519999999999982
21938,48706,21341,23114,19569,42802,64783,44379,33896,15206.03,48.62,46.87999999999998
71023,639,22112,729,40870,15853,71427,14527,63767,17083.84,355.28,415.0000000000004
63471,68984,9920,68251,32170,53893,38463,46765,30042,17092.32,160.27,173.5599999999999
23647,221,6936,41061,71314,61214,74493,40062,66409,17104.19,111.65,119.24000000000001
57770,57942,51354,18437,32990,47471,44570,17465,56806,15209.24,30.04,31.12000000000001
10821,18866,23287,37403,48757,25885,75495,45932,12250,17092.97,167.22,184.40000000000018
10100,52762,23550,43207,48744,42817,22888,39397,3037,17092.34,426.18,479.3599999999997
2634,68673,11627,47057,12897,20770,23907,64912,75217,17093.02,207.54,227.08
10079,15312,22547,62800,29120,39697,53229,31120,64203,17095.83,80.11,84.47999999999996
28982,40589,48184,30194,42810,70415,69436,59229,52457,12825.42,32.23,34.68000000000002
66359,52515,41042,37194,57447,53944,1727,32936,24103,17095.79,138.25,148.4
70804,60101,73549,47749,52978,50940,3659,20454,67017,17097.39,114.31,113.28000000000007
8875,60056,45534,40925,11972,33803,63367,29119,62501,16082.02,57.89,53.640000000000086
8688,19493,31240,9054,39218,17385,6145,21406,52154,17089.82,170.71,190.7199999999999
71714,70581,34384,2428,68729,32163,20646,12682,26933,17090.11,188.91,192.04000000000008
4161,41486,10740,15960,35471,8029,37887,22586,19555,9244.06,33.65,28.400000000000052
54389,17038,10657,73394,47750,340,72398,20418,65870,17093.63,252.54,307.48
53991,20211,28187,39074,63463,66531,8886,49279,22024,17082.16,677.53,767.5999999999997
21419,33563,67480,51291,70431,39696,52510,43046,22316,15733.56,29.27,31.839999999999975
50699,8116,55454,3676,36516,2490,39845,19990,11248,17085.7,77.6,72.4799999999999
20535,15199,2015,30411,30313,72551,1128,62482,69761,17080.54,675.31,809.639999999996
24260,59284,49736,44070,22619,69510,24635,14045,62247,16419.87,54.55,54.640000000000036
46764,39996,54186,4879,27787,33511,40290,62584,44452,13160.23,54.1,48.400000000000226
10919,30937,41423,13573,5012,42250,69087,62409,46276,14842.64,94.91,108.79999999999814
10683,23217,5656,65285,68043,71518,32751,5107,26325,17088.93,169.85,193.08000000000027
9351,44091,18065,40442,15306,66526,66755,118,9370,17098.88,528.68,721.9200000000003
29639,35942,2394,4495,1377,62663,18987,27936,47164,17090.26,480.09,537.6399999999976
32664,45215,39076,50916,52773,4461,22657,54040,64709,17082.38,145.07,159.8400000000002
8378,66929,66706,39160,73380,37077,27208,57331,42184,16741.6,53.5,59.60000000000001
22920,28142,2352,62732,57306,36168,43430,53361,53682,17110.7,62.01,64.88000000000007
42101,27546,33552,36653,66993,11352,3942,52827,34546,12813.89,21.95,22.279999999999983
37636,17354,40996,11369,21756,12075,27735,33239,28327,17098.33,174.96,162.55999999999804
65436,14945,44629,1042,59719,74720,26703,21819,12256,17095.08,198.17,220.5200000000004
32002,68036,12494,14942,41431,38876,74350,19760,9923,17096.62,82.06,81.36000000000004
23497,3567,23734,27021,34462,4568,42522,43010,47747,17115.2,90.0,93.99999999999997
21280,22527,28176,6489,7005,21044,7534,34327,64731,17103.21,144.02,187.19999999999985
13662,26159,18061,51418,62753,71585,64996,70859,42429,16235.8,93.52,98.56000000000036
47473,56360,53190,4746,4965,23754,20042,46946,28737,17084.06,289.71,282.9999999999978
38885,31230,47669,75211,25498,45098,50291,47668,70198,15901.37,39.91,40.400000000000006
14663,29426,24986,45643,24253,70058,27867,2778,3533,17095.25,385.76,428.8400000000002
15437,25052,38911,42154,70917,65186,5420,40138,51488,13679.16,32.55,31.67999999999996
21461,18296,49243,60784,45958,46651,766,58511,17864,17077.49,690.88,958.7200000000012
58647,3901,54843,27718,15060,43320,38735,73176,7122,17086.13,232.51,241.5200000000001
10275,63130,21147,69073,8002,23737,31594,43603,2566,17097.93,98.79,109.16000000000012
2997,50174,57272,30324,18120,5594,17560,23981,37428,17092.09,389.15,406.2399999999978
30606,57035,41205,70903,48751,22295,45289,71348,75036,17092.71,102.77,101.92000000000006
45204,33817,43919,70467,4211,71313,19939,47948,74788,17110.25,132.54,145.76
25811,64790,61758,15653,9691,25700,20836,18777,72235,17088.95,176.68,179.95999999999992
18334,6741,70607,45376,10555,6167,19557,71279,23071,17086.22,187.83,197.32000000000008
34491,7507,38692,62319,36804,27408,61929,37027,69409,16751.3,75.92,74.0800000000002
8184,18408,37728,54653,5897,347,45426,69384,47227,17102.36,358.95,424.00000000000006
9443,26241,56803,10491,55634,4253,37162,26062,25685,17090.4,212.49,218.16000000000034
22538,26469,10580,12213,1388,472,38199,68130,67852,17109.82,152.45,158.67999999999992
68819,55582,8495,12121,68587,44371,22088,26220,66928,16934.85,97.33,106.24000000000021
71996,8110,8150,8448,18242,57180,17759,13634,67779,15392.49,39.22,39.560000000000045
42509,67326,44481,36317,17426,15491,9227,672,20585,17094.55,200.24,207.5200000000001
5657,35693,71467,55695,39875,47093,20002,68779,47513,12314.28,20.83,22.839999999999982
70304,59900,32450,59302,22359,63236,71330,3392,73133,17098.11,85.5,84.00000000000001
74732,25412,34273,75188,59202,43609,21227,39850,21036,16916.22,83.3,85.67999999999998
41454,39341,41431,27404,69913,63437,38280,35268,48296,17086.16,89.69,87.56000000000003
21735,41313,12742,30542,43059,25452,23133,57837,12560,16909.77,78.87,85.84000000000015
40649,4316,68301,736,6091,342,72852,23398,29209,17084.66,436.87,529.2000000000004
32179,48874,51571,50650,31692,57862,56664,38095,66557,15387.31,44.73,43.67999999999997
11671,45049,5720,12599,24209,7261,53266,617,51439,17089.9,281.1,364.19999999999806
21487,56908,5802,73101,29182,49015,44980,66637,45800,13490.41,20.0,20.839999999999993
17384,74,45405,47658,12666,49616,75079,28108,64215,17073.68,688.71,959.9600000000008
46122,75193,56724,72451,11965,51435,20666,11328,58835,16403.05,67.98,63.479999999999976
50800,68809,27619,3576,12072,37483,13165,16541,16646,17107.26,211.16,209.7600000000003
59843,57384,45803,53356,41644,52603,40505,51890,13488,14528.54,24.47,24.95999999999999
44660,49227,66751,10074,63908,57027,48247,29805,75476,16254.8,57.79,55.719999999999914
