n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
33481,46993,69473,3801,61030,32643,6796,20558,14838,10217.59,61.47,68.66999999999997
48731,61481,32318,49906,71271,13365,75227,32680,1718,9490.82,26.35,26.91999999999998
28407,53497,36632,23865,51044,20919,9428,18188,58305,9601.83,30.21,32.85
16606,17333,232,696,27453,28243,21739,21821,37919,10332.49,227.66,240.54000000000013
41110,26068,70677,26840,23811,25805,50229,39162,2827,10318.91,96.05,86.50999999999948
47341,54382,21752,19097,34578,8537,43496,39499,443,10328.45,155.66,166.14000000000013
44288,8653,40626,46576,40116,63012,41391,24218,63074,7956.75,22.04,20.380000000000017
61936,23084,7471,33578,2997,46877,52991,2368,71967,10324.26,66.21,67.04000000000005
54896,47996,49330,75827,1189,59352,6124,23713,25758,10333.94,122.05,136.5699999999996
15600,32255,60582,45138,67173,46503,68773,32885,60666,6203.96,13.62,14.389999999999995
14162,48142,38779,4801,56751,11951,27326,44661,67224,10338.42,59.03,62.49000000000003
47530,19424,44559,36133,71453,12068,40953,41523,40130,9915.37,40.44,42.66000000000001
23262,10249,19512,40541,63411,21171,6363,10611,69930,9821.18,40.01,40.18000000000003
53200,4171,31108,45066,32795,59724,55280,19087,7301,10325.28,98.22,98.55000000000008
4288,64692,43802,27139,17114,73930,17403,54240,13976,10332.36,71.55,84.83999999999939
22127,56958,48889,19561,7703,55134,38641,18507,59395,3303.48,11.09,11.24
22189,68445,59446,63983,41641,62789,35918,38144,61614,3406.47,11.45,11.46
52925,19202,14753,49414,69697,23513,65447,44365,23608,8162.63,22.18,22.05999999999999
11683,64469,35692,67525,71840,65906,47359,8271,46622,2178.29,10.39,10.599999999999998
4498,40068,47635,73310,36811,63659,34715,38515,44574,10339.12,81.4,82.37000000000005
23415,1517,62167,71695,32858,42717,35872,60678,37857,10114.14,71.8,73.32000000000001
65581,46736,45597,35897,45296,53538,45881,22606,58954,7129.57,22.59,21.940000000000015
47746,43822,67913,18593,69381,21780,26037,47451,62552,6718.86,14.23,14.439999999999998
37074,10333,54608,22521,67692,55154,39671,72510,35481,9502.73,34.5,34.790000000000035
3620,25637,20974,57811,23690,28709,23662,5486,61811,10326.86,87.31,90.00999999999935
29654,21724,7096,17501,14526,41595,23795,63263,25344,9396.95,23.62,24.62999999999998
71869,4673,54459,60991,46019,49846,9434,26786,31175,5169.85,19.89,19.730000000000018
49022,86,45943,53133,36507,53745,15083,71728,49005,10336.9,179.81,190.4800000000002
4726,72080,39502,12428,38703,71463,67193,44482,38429,6001.22,29.21,27.82999999999997
46087,16929,54932,53640,73914,70567,48423,61272,18626,4341.62,12.89,14.019999999999994
20548,50167,73906,62525,26103,17430,11905,46021,124,10321.43,141.78,148.78999999999996
50050,14145,42734,74162,70703,18441,42656,73963,49263,4027.58,34.64,30.55999999999947
56256,56581,29666,64672,38206,62858,49778,50317,20844,6410.45,17.58,17.349999999999994
34055,39426,65051,32908,54459,2578,41831,40303,64455,6719.26,22.08,19.829999999999984
37538,18781,62512,3116,15975,58126,32178,38417,5239,8906.2,33.98,34.58000000000009
17883,51431,1730,62953,69804,73441,35885,31912,62164,9923.47,51.63,49.919999999999995
4818,32199,64240,35086,20285,37451,38428,64522,62210,10006.97,33.3,35.86000000000003
67924,15489,2119,16519,39412,37007,69926,44056,38905,10340.82,87.32,89.17000000000002
69450,3488,60861,45844,47322,17364,4774,371,33085,10329.93,237.56,263.0700000000002
72512,59718,14103,71511,25058,1908,56317,56063,75450,6919.09,39.19,35.03999999999948
63160,50524,62353,51362,25751,38856,60959,8657,39800,5476.84,14.86,13.969999999999995
422,56730,37533,61924,40756,18701,21685,62706,71971,10319.77,150.75,166.27000000000018
65232,43350,70509,20123,55779,70963,6364,8967,30149,6505.54,17.42,18.250000000000007
35023,11166,8246,3349,43653,56273,9005,53118,63791,9710.61,42.28,39.96000000000001
6408,16171,16037,28735,14569,17645,38337,57405,19625,9394.59,29.08,29.689999999999998
23997,24285,54255,21126,8811,27936,5709,72811,14183,9686.67,39.41,39.97000000000005
49702,9437,36683,7544,74855,75399,15512,52236,17607,10011.07,49.02,48.609999999999964
1306,56579,11984,41231,64152,64170,46321,49046,7307,10335.33,94.4,103.86000000000018
18118,38630,19806,74533,66301,38041,72730,72074,28913,9707.8,30.87,28.359999999999996
34504,8281,72309,30884,33317,37151,67763,17534,30725,8977.6,35.97,31.660000000000057
48655,59419,50974,23503,17194,2449,44774,11173,75133,10012.69,40.19,42.849999999999966
4711,11950,16356,66383,59441,31271,51098,60638,62975,6923.43,16.4,18.07999999999999
42373,14099,69560,3861,71054,50412,7033,19765,56273,10313.76,120.28,106.83999999999946
29240,15214,10980,64414,27721,18319,49265,46438,30804,4750.78,12.01,12.459999999999999
37984,43681,45701,50560,49563,17881,46964,38785,56805,5571.07,18.3,16.840000000000003
47476,67828,4764,75138,28164,23663,51840,8294,12713,10121.93,70.57,67.37000000000005
4863,4347,24424,26529,25637,5171,64229,63044,45680,10309.2,70.57,74.59000000000007
57,55966,61628,39393,56183,42370,61023,60541,13074,10332.14,218.5,252.06000000000023
25113,20273,20845,9331,49104,50548,61559,19937,72360,10327.58,128.76,124.12000000000002
33301,14448,36363,21173,37624,30823,4345,63181,4206,10322.91,182.45,196.09999999999974
45127,48361,41427,7719,2849,59855,61830,20443,15455,7323.01,16.5,17.53
42505,38155,59490,31450,21394,4395,26348,3267,75329,10317.54,143.34,156.6999999999995
30208,10250,52569,47743,40873,24179,61346,47377,37112,3932.86,11.04,11.239999999999998
8765,61346,21411,31527,23022,27363,5756,56445,35482,9919.53,40.89,38.73000000000006
822,60544,7977,59380,53761,22250,5891,4360,71882,10028.74,66.66,68.6300000000001
68018,74081,45876,12296,9334,31063,64377,12051,61769,7014.98,17.44,19.020000000000014
7046,31911,6613,65197,52077,7882,6278,33479,53408,10323.35,60.0,64.3600000000001
58441,40101,6729,4928,25493,23512,66667,52737,24649,10335.44,70.04,73.53000000000006
69639,30634,11057,41141,14153,11379,71032,21225,9879,10322.59,71.03,68.37000000000002
28103,2281,57830,70730,46873,63771,55467,74897,49365,7747.08,27.14,26.50000000000004
68461,17398,1619,40319,58856,29356,72674,15163,18181,10308.39,92.83,92.79000000000006
40857,63336,11486,34534,52769,41009,17389,17014,70354,9101.55,22.39,22.64
10745,61814,32092,11052,56184,75626,32163,36153,8053,2175.39,10.18,10.749999999999998
64573,32607,6295,26195,37488,48989,12914,9420,55125,9181.54,43.37,49.13999999999946
41147,49789,72887,9,37474,17241,75330,3711,57957,10320.88,78.81,78.44000000000003
18805,2452,6186,56045,35087,13964,50122,73653,17071,10328.55,97.47,99.55000000000015
42110,8641,40166,22198,18000,34418,65237,42364,37423,8578.88,26.6,28.549999999999994
4461,8326,71092,73036,3655,3600,15946,6636,17054,10320.04,279.75,286.0300000000001
46812,57141,33838,2178,30290,69132,56217,16426,47501,10330.93,129.99,141.62999999999946
26369,43302,46955,1631,21403,21386,12490,35148,69509,10317.45,92.24,93.03000000000003
22438,18878,58486,56958,56289,15493,43710,41559,58435,5893.84,12.37,12.73
29922,60423,56905,22482,57858,6347,21048,69809,62037,6407.27,14.8,15.630000000000003
64411,211,13574,16630,54979,6856,27204,142,4308,10307.29,312.12,349.3300000000004
75627,30910,63175,46437,51474,60842,28261,26388,36312,6618.97,20.1,18.410000000000007
26365,39744,73719,67610,46791,31661,48057,46107,32537,4647.01,16.38,16.070000000000018
8135,64798,52541,45766,18750,18720,31238,64240,50013,8480.9,21.76,21.230000000000015
4947,12290,22224,52034,12939,36889,26124,42475,62541,10325.78,83.42,85.95000000000013
61622,69961,11941,26080,49340,1321,13570,67075,24214,10111.22,53.88,54.1400000000001
50999,2912,41581,3545,40904,67317,50179,65691,62403,6826.85,23.5,23.249999999999993
71520,52311,58949,73067,8012,70348,19218,54614,47552,8872.29,21.1,21.76
2642,68446,27104,37247,37538,10190,3583,11438,46644,9593.95,31.11,30.380000000000003
54146,40211,1895,35992,30724,9441,4953,11577,39399,10315.33,433.52,472.3300000000002
46058,73658,27360,63319,67723,12050,15868,31337,44821,7438.19,19.48,22.240000000000016
71297,55519,51565,387,51139,49542,23348,69249,27155,10321.42,228.6,238.61000000000007
42127,50680,42495,14274,72538,49023,32638,13115,27880,3830.4,17.96,19.35000000000005
38516,40052,35083,10215,21944,10049,54137,24305,29445,8259.54,29.49,25.30000000000004
8216,74700,74172,71554,53348,54637,30246,55757,63338,6616.39,21.18,19.730000000000008
69306,32026,39626,54824,36798,11065,43345,24541,55288,7976.79,23.0,23.71000000000003
3994,19552,15151,38752,73737,72746,73842,24101,56862,8575.52,26.63,29.690000000000023
24940,42736,13410,43272,9988,8046,63530,18049,68070,4975.64,15.2,13.779999999999998
