n0,monte_carlo,monte_carlo_max_hop,two_hop
42445,7.79,1.17,1.3146077868418558
19772,1.0,1.0,1
51750,3.21,1.4,1.420221008804777
6328,1.47,1.46,1.4884075662719967
9494,12.28,4.36,4.922715178866867
70239,1.73,1.27,1.318015873015873
12337,1.0,1.0,1
47931,1.0,1.04,1.1540143445270103
7602,91.08,16.45,17.979269589356413
66510,1.17,1.12,1.1727300798630118
28140,1.0,1.0,1
4914,1.0,1.0,1.091000441669795
11265,1.0,1.0,1
56838,1.34,1.03,1.0547547269985376
54810,1.68,1.15,1.1323166276229433
9156,5.04,1.71,1.8066880828383107
31544,2.65,1.72,1.8652703256881358
11889,12.32,5.14,5.896418862615268
72226,1.15,1.07,1.1515449221759901
55642,1.08,1.04,1.0769306253534012
7747,203.2,89.28,89.44621692932576
74115,1.0,1.0,1.0046424904891023
16226,6.65,1.53,1.6342515046475312
29260,1.0,1.0,1
8108,1.08,1.08,1.415263339367366
75642,1.0,1.0,1
51993,1.0,1.0,1
6499,1.37,1.35,1.350156997282952
28977,1.0,1.0,1.0082199649337236
6105,4.49,2.12,2.6011359933908613
72963,1.67,1.61,1.625
17455,6.98,1.0,1.1832650339030555
37959,1.0,1.0,1
54937,1.59,1.97,1.8333333333333333
18907,6.57,5.27,5.165656897120637
70868,2.53,1.87,1.944510710808179
15439,1.02,1.01,1.0281368885191189
74830,1.0,1.0,1.005017318351774
40433,3.65,2.98,3.498672448921909
73434,1.57,1.45,1.5833333333333333
23688,1.9,2.0,1.837995514047173
13507,2.57,1.8,1.7952802114869495
74868,1.0,1.0,1.0035013340217342
24624,6.37,2.77,2.8558356096313404
48810,1.9,1.61,1.652604555558261
12770,22.71,4.59,3.3166758946308956
71793,2.0,1.59,1.6994047619047619
8229,1.0,1.0,1
73972,1.0,1.0,1
7812,1.31,1.31,1.2744604376777573
26995,3.06,2.64,2.8243772951059842
65066,1.64,1.74,1.7869027704969223
69693,1.07,1.03,1.103014010479629
56045,1.37,1.17,1.1662391541833046
41175,1.0,1.0,1
61027,1.0,1.0,1
59399,3.93,2.69,2.498042890206294
47393,2.48,1.86,1.8577984899356856
39291,1.43,1.45,1.5
32561,1.0,1.0,1
23562,1.68,1.35,1.2840675463509017
31994,2.48,2.94,2.791475159824893
10728,1.14,1.19,1.1881938377224084
75290,1.0,1.0,1.004455675236359
39354,1.0,1.0,1
68838,1.72,1.76,1.5845645125146606
64895,2.12,2.04,2.0374117647058823
45020,1.68,1.67,1.5
58829,1.9,2.0,2.0009259259259258
37740,1.0,1.0,1
9594,4.08,2.41,2.8138282066766975
15475,1.0,1.08,1.0863277157084497
67100,2.27,2.17,2.2234848484848486
54804,1.23,1.25,1.3513826726347746
21621,1.0,1.0,1
44833,1.15,1.17,1.1515449221759901
19920,1.0,1.0,1
64089,1.05,1.04,1.0542516344032633
55272,1.0,1.0,1
5138,5.87,5.36,4.762341912623825
10173,23.95,4.32,5.213508032070581
73148,2.17,2.14,2.166666666666667
75107,1.0,1.0,1
41123,1.0,1.0,1
44580,1.0,1.0,1.010275266508039
45898,1.65,1.54,1.5180381633870006
65100,1.3,1.2,1.2630060101787985
59795,1.4,1.48,1.199603135480383
9012,7.07,4.89,4.777711516815839
12267,1.1,1.02,1.0339329407332767
35381,1.0,1.0,1
62141,1.09,1.07,1.1317474635818647
8519,1.93,1.47,1.558151050259301
7952,2.29,1.5,1.590844586781272
40580,1.0,1.0,1
75752,1.22,1.21,1.2500823723228995
58411,1.0,1.0,1
37302,1.32,1.03,1.112718667713999
50566,1.0,1.01,1.014828916178413
45482,2.75,2.14,2.1716756637136894
