n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
30939,39753,13522,51912,62767,20312,11809,8718,2597,52637,72011,100.83,26.47,28.48404375914075
37929,7713,29088,68201,70343,47218,36265,22631,13917,34304,28101,25.05,15.72,15.294150687967411
3360,34112,35618,25353,21603,40612,37963,48810,11366,44224,50847,84.98,19.46,18.471706958999203
66316,32620,23303,32417,62074,36699,11710,71780,39353,945,38265,196.82,43.74,47.805200862049546
75021,40863,66633,25575,54256,55539,37775,56497,59162,21144,30569,25.23,14.24,14.263116610528183
39991,34033,5667,10626,6071,60643,36756,68009,70073,61766,44937,30.59,16.64,16.654398375605936
19013,25634,8708,54105,26564,57822,36215,24078,46639,57137,42030,16.64,16.03,15.778955200437565
73207,26045,42406,13235,8075,29998,36369,31118,16009,43393,23270,28.47,15.21,15.176070673318522
38132,60164,3365,5611,46803,10827,37445,42876,2383,42311,37879,21.55,16.62,17.55265124875412
42162,20042,53795,10191,38457,25089,58214,38272,17883,32774,50021,68.82,53.28,53.33233279509246
20827,43425,75116,1231,47621,5871,59609,22225,47866,47542,38054,37.86,19.45,18.74516254870858
74901,12727,57583,27162,55568,27252,14892,7777,8153,7244,22107,120.29,25.38,29.01209184025852
19613,5359,71595,64312,32644,42130,4662,16026,69368,38391,53650,40.96,19.26,21.70057417428395
26248,62621,26446,31701,57516,53821,64479,4832,28712,55210,58130,13.19,11.96,11.946575072138504
32582,56077,28274,65349,24603,4148,4824,33343,33211,31770,68901,35.94,21.54,21.67845188048874
27271,30338,54674,34299,18573,42600,6720,41224,74100,15316,74672,20.53,20.58,17.7809171982839
52817,5308,64787,50786,12177,56375,27645,75013,21686,44117,38824,14.88,13.63,14.182654479789736
61764,41292,55048,69209,28211,35166,44371,51404,65062,9749,36710,25.3,13.63,13.869920359316463
25068,5838,51747,16729,35316,7927,21923,60892,74606,61890,52917,18.44,15.63,15.308562491968454
51176,28644,429,27681,20544,1718,33729,15189,51876,49949,29141,72.54,25.14,25.891273464564872
72169,6999,26433,21220,43338,73711,61801,68997,57624,3459,10353,30.91,17.92,18.637368674837035
4480,14800,64072,73505,33679,18187,5423,47522,10445,68548,1382,34.23,22.27,23.273551281329464
38920,45470,9795,11159,71221,59476,49959,26915,40785,50938,30631,23.99,17.64,17.528250818542606
63786,52436,12467,10118,15001,47956,67171,56879,54511,58227,8771,34.62,20.9,21.717155483006085
25670,39623,62741,55373,15489,73176,21938,48706,21341,23114,19569,83.08,16.9,16.144591774634982
42802,64783,44379,33896,71023,639,22112,729,40870,15853,71427,79.21,21.17,21.305297380403065
14527,63767,63471,68984,9920,68251,32170,53893,38463,46765,30042,63.21,28.18,26.918505643559012
23647,221,6936,41061,71314,61214,74493,40062,66409,57770,57942,22.9,16.08,16.275246468205523
51354,18437,32990,47471,44570,17465,56806,10821,18866,23287,37403,41.25,16.87,16.95005845103006
48757,25885,75495,45932,12250,10100,52762,23550,43207,48744,42817,28.31,23.87,24.57004562458504
22888,39397,3037,2634,68673,11627,47057,12897,20770,23907,64912,163.08,50.44,50.669946923316445
75217,10079,15312,22547,62800,29120,39697,53229,31120,64203,28982,53.73,26.28,26.195509055598368
40589,48184,30194,42810,70415,69436,59229,52457,66359,52515,41042,17.0,15.71,15.872244255703658
37194,57447,53944,1727,32936,24103,70804,60101,73549,47749,52978,50.58,16.06,15.779110930728391
50940,3659,20454,67017,8875,60056,45534,40925,11972,33803,63367,110.67,22.21,23.239879076381555
29119,62501,8688,19493,31240,9054,39218,17385,6145,21406,52154,49.58,19.88,19.53564572799865
71714,70581,34384,2428,68729,32163,20646,12682,26933,4161,41486,72.65,18.85,16.870661735798183
10740,15960,35471,8029,37887,22586,19555,54389,17038,10657,73394,68.4,21.29,21.21732899124021
47750,340,72398,20418,65870,53991,20211,28187,39074,63463,66531,22.46,16.19,16.22981630968216
8886,49279,22024,21419,33563,67480,51291,70431,39696,52510,43046,245.48,58.02,55.06608964906955
22316,50699,8116,55454,3676,36516,2490,39845,19990,11248,20535,19.34,16.54,16.694283202959788
15199,2015,30411,30313,72551,1128,62482,69761,24260,59284,49736,66.83,26.78,25.201364784934206
44070,22619,69510,24635,14045,62247,46764,39996,54186,4879,27787,20.04,15.28,16.405039835041755
33511,40290,62584,44452,10919,30937,41423,13573,5012,42250,69087,18.22,16.06,17.202093194204913
62409,46276,10683,23217,5656,65285,68043,71518,32751,5107,26325,68.01,30.09,29.893309384350278
9351,44091,18065,40442,15306,66526,66755,118,9370,29639,35942,38.27,15.76,17.738122983865033
2394,4495,1377,62663,18987,27936,47164,32664,45215,39076,50916,42.83,22.36,21.872959669789722
52773,4461,22657,54040,64709,8378,66929,66706,39160,73380,37077,69.07,19.43,18.890705407501574
27208,57331,42184,22920,28142,2352,62732,57306,36168,43430,53361,26.66,16.84,17.308445228678828
53682,42101,27546,33552,36653,66993,11352,3942,52827,34546,37636,21.72,16.43,17.047716005491697
17354,40996,11369,21756,12075,27735,33239,28327,65436,14945,44629,65.39,25.68,25.80310564520566
1042,59719,74720,26703,21819,12256,32002,68036,12494,14942,41431,46.79,14.48,15.706354924899403
38876,74350,19760,9923,23497,3567,23734,27021,34462,4568,42522,59.53,31.6,33.19133498815647
43010,47747,21280,22527,28176,6489,7005,21044,7534,34327,64731,86.73,20.71,20.908724766259002
13662,26159,18061,51418,62753,71585,64996,70859,42429,47473,56360,22.52,16.44,16.231082021460324
53190,4746,4965,23754,20042,46946,28737,38885,31230,47669,75211,41.0,24.08,22.736734330745875
25498,45098,50291,47668,70198,14663,29426,24986,45643,24253,70058,22.55,16.59,16.928367941224405
27867,2778,3533,15437,25052,38911,42154,70917,65186,5420,40138,86.27,28.0,27.799348773877483
51488,21461,18296,49243,60784,45958,46651,766,58511,17864,58647,92.14,29.92,30.464107528269405
3901,54843,27718,15060,43320,38735,73176,7122,10275,63130,21147,48.63,20.89,20.81147979394306
69073,8002,23737,31594,43603,2566,2997,50174,57272,30324,18120,180.0,48.47,51.84514515353316
5594,17560,23981,37428,30606,57035,41205,70903,48751,22295,45289,51.22,20.42,20.550595158575607
71348,75036,45204,33817,43919,70467,4211,71313,19939,47948,74788,37.73,17.16,19.424658559436573
25811,64790,61758,15653,9691,25700,20836,18777,72235,18334,6741,80.55,34.28,33.504729100853034
70607,45376,10555,6167,19557,71279,23071,34491,7507,38692,62319,37.85,23.63,25.486409827013564
36804,27408,61929,37027,69409,8184,18408,37728,54653,5897,347,65.79,24.38,24.96548562047256
45426,69384,47227,9443,26241,56803,10491,55634,4253,37162,26062,26.57,16.55,18.40114082346236
25685,22538,26469,10580,12213,1388,472,38199,68130,67852,68819,80.23,24.37,25.25508798248746
55582,8495,12121,68587,44371,22088,26220,66928,71996,8110,8150,37.29,22.92,23.0559051747791
8448,18242,57180,17759,13634,67779,42509,67326,44481,36317,17426,26.52,18.1,18.282816858468742
15491,9227,672,20585,5657,35693,71467,55695,39875,47093,20002,43.63,24.68,25.43856760144531
68779,47513,70304,59900,32450,59302,22359,63236,71330,3392,73133,37.07,20.9,21.087985082860257
74732,25412,34273,75188,59202,43609,21227,39850,21036,41454,39341,25.55,16.55,16.629394580791644
41431,27404,69913,63437,38280,35268,48296,21735,41313,12742,30542,87.29,34.45,36.2383942023772
43059,25452,23133,57837,12560,40649,4316,68301,736,6091,342,48.79,21.18,21.76746752256144
72852,23398,29209,32179,48874,51571,50650,31692,57862,56664,38095,50.11,28.43,26.686369600957786
66557,11671,45049,5720,12599,24209,7261,53266,617,51439,21487,104.11,24.87,27.913990330182436
56908,5802,73101,29182,49015,44980,66637,45800,17384,74,45405,43.74,24.54,24.595023161088047
47658,12666,49616,75079,28108,64215,46122,75193,56724,72451,11965,20.34,14.92,15.077536124816927
51435,20666,11328,58835,50800,68809,27619,3576,12072,37483,13165,46.8,29.09,28.2452161003753
16541,16646,59843,57384,45803,53356,41644,52603,40505,51890,13488,30.63,17.38,17.888053136207226
44660,49227,66751,10074,63908,57027,48247,29805,75476,21432,56067,32.0,23.86,23.79529036144274
37311,16220,43936,70063,4658,68164,31202,24188,62744,30330,67890,21.68,14.92,15.07470846577932
46489,55305,57624,54773,69680,16242,64820,1539,56492,46876,61548,43.43,18.71,18.271249890331593
36762,25834,18493,43657,47172,20029,34747,70943,73946,63464,17805,31.46,17.15,16.818749878781208
64241,50476,62546,45591,66627,4171,57000,33336,24502,70254,23072,19.09,15.4,14.529861753302157
2314,60228,74986,39954,17358,5888,267,30491,44557,20291,41333,59.97,28.99,29.35684913684836
42996,58889,75281,30223,35896,7398,8311,4678,57805,14563,31822,61.94,24.54,24.89864822027701
29463,62009,70182,8273,71356,21388,22813,25725,711,25374,67283,81.08,27.72,26.755294468126483
24965,28807,1841,65682,63253,42855,45745,34767,75229,53195,75665,162.88,42.37,45.233220129978896
17266,44348,15540,32930,34594,12596,7543,44257,7421,50417,9024,23.22,14.7,14.442466798863272
27115,32515,6639,64156,50771,48070,9187,11129,19251,58460,56102,55.86,20.48,21.467372840938566
67222,49164,14092,22391,18914,4535,22260,59734,69850,69034,61867,72.29,35.84,33.860579938942365
57839,48029,74128,56710,32375,32771,35405,74809,973,35036,52202,41.06,16.56,16.45842113985669
73876,43527,37535,15629,20647,67284,24640,21230,51168,71274,16929,20.4,15.01,15.054416202040366
24101,24785,73697,9413,70875,9345,40138,4078,10564,66248,60403,100.03,35.24,31.23842099566532
12319,69428,932,36525,34682,25790,24591,15290,33488,52284,35370,64.77,28.41,26.859889962372655
69207,35649,829,13368,52294,47514,21317,64413,45032,24949,64307,79.89,20.14,20.039339924729845
32091,21618,22026,43751,4180,27646,24741,70578,60974,69410,42296,27.71,18.62,18.681168008428493
16763,22505,47866,75785,67330,56325,58884,47757,42981,10239,60222,23.45,16.42,16.82362793765115
