n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
31190,71333,17094,48490,62135,8588,1725,61503,33994,72192,30714,25132,61638,55.77,27.34,28.421239535275397
70906,72041,62436,52053,19741,30398,19873,68574,51109,1985,8392,20892,5608,166.08,43.53,47.43060100075696
39487,4064,35314,61964,50804,55959,51768,75616,58277,17583,47909,12773,4703,60.09,23.86,23.66748500934168
17821,64865,28440,33814,57168,39456,55200,66485,50576,75238,45994,70005,53421,19.76,19.35,18.915745886756753
30459,44140,3756,36658,21377,42780,71010,74967,74594,13641,27672,75174,35007,64.38,48.6,38.10520225913827
37349,16309,8317,63176,63374,11602,45099,8730,53800,19761,2637,38520,55986,170.82,88.07,87.70464099572247
54420,15586,5792,5890,49519,43378,72201,36578,66246,30926,4720,40589,948,101.55,38.94,40.19129897489052
10088,14171,70199,4112,25871,53469,38222,34520,20473,5562,44540,41134,47211,28.44,18.92,18.817921760978855
18130,49517,49381,60346,68167,50619,73303,13444,66457,35559,56517,31147,39464,32.12,18.56,18.55172976573354
57336,33847,68305,39713,71883,44421,1501,54422,41271,2628,49350,17467,7874,34.95,20.57,20.65046506634236
43574,61112,46257,46212,36559,64160,2907,7939,2785,48387,32915,59809,39142,18.29,16.96,16.727320118078527
41946,23254,47704,24280,40982,48385,34620,39374,49435,13745,3528,74613,17225,27.83,26.98,23.133171692452507
40634,65537,29168,35307,31286,42963,24562,57047,12716,13348,42200,43745,29420,28.09,22.45,22.318432951985137
57465,22188,10478,44133,28576,74501,59126,35468,29494,15849,4444,69419,25009,54.46,31.7,31.89879935323619
41306,75344,24063,36515,44578,11211,45256,16998,55217,38265,67947,35543,60911,66.21,20.82,20.891619073921184
45397,54644,38063,55020,74492,53676,4658,54167,20446,26158,611,62567,66865,57.16,33.0,31.23937129049353
56931,73252,29109,4236,59856,68028,37885,71284,44704,29814,8921,37619,15728,154.44,69.57,69.24281293525007
32051,5908,4606,67147,26013,56346,75622,6469,1722,63051,15835,22520,65953,108.47,29.68,29.786408288674068
39306,31332,2601,68808,70385,54231,6979,14888,44741,16437,33092,70907,62547,195.32,93.82,93.89078056976017
8043,46116,28941,25864,16019,70075,15625,22452,31386,35882,16840,983,63897,58.85,27.07,26.59186221240106
74828,52465,6544,35572,32539,35204,69109,68114,55441,6681,61983,42351,237,135.71,57.1,58.88586279460348
7187,16628,6053,16335,6531,8967,63283,4326,11288,67555,65813,64224,41405,42.37,27.25,27.14804061756079
20583,41232,9407,46044,50567,51070,39861,47295,34724,25045,43093,56190,16220,86.29,37.78,37.458932910371686
16726,72813,457,49838,10472,74282,23403,5631,48925,60400,70952,49842,5693,26.33,18.0,18.475740566563644
56569,6955,48813,65031,41280,55117,54826,60403,2349,32123,28658,70233,35401,34.59,27.44,27.654152016523415
9382,55690,29417,55817,17087,3682,42672,49051,73279,34364,15918,60836,16140,60.66,23.94,23.714047558419658
69491,49339,14238,41732,73904,69726,13517,642,62068,18811,30929,50944,5808,56.14,23.81,25.03090413278836
69101,12032,73966,13015,49251,23482,3078,44758,15896,3338,15085,63166,37289,98.53,33.21,29.163438314107943
39240,11637,4753,73877,67020,69337,31235,13991,72674,13095,72524,8013,72105,46.39,20.0,21.297164083691705
42499,73921,23648,10136,31735,23563,32763,59525,51606,33147,48165,51988,45912,20.86,17.13,17.243513454359505
72959,54816,10913,49194,65576,30836,54110,21052,54430,74501,67776,63402,20470,18.05,15.96,16.080442661208114
52566,19572,21310,12564,65268,63373,67797,58071,24393,17863,35043,26106,19209,28.37,18.76,20.49511234150845
67583,41267,30448,70521,38779,54159,35018,28521,40268,3031,35139,62847,50167,39.21,25.44,25.196648424271288
26296,22576,74696,47247,31303,42210,63254,18823,54842,62860,26968,61348,73022,17.36,16.73,16.738875756817322
3639,63084,9486,52463,6009,61262,30094,30772,9078,28491,33314,31731,24854,162.65,45.13,46.44812131008429
33898,18019,24534,4818,33424,22244,5901,41080,24021,55482,11922,11262,15462,64.68,34.43,34.70806521592242
12142,34626,38242,4735,46748,59291,44124,902,3851,43883,43446,57176,49764,73.3,27.25,26.831935268330383
63687,10219,27537,64223,51238,16439,71349,41787,15620,36013,9993,56696,14749,31.51,21.93,21.682170153963444
57464,69138,32889,12701,69165,49050,48291,59036,38736,34811,14046,44371,74192,31.84,25.2,25.17721605349859
70276,68901,14849,64733,66674,46158,7801,38590,74238,23852,19600,23475,48598,33.06,17.68,18.370741405147665
59537,16139,14184,73371,18531,43454,55068,72734,39395,24497,59992,63225,40952,23.54,17.99,18.062438423653173
23118,8991,14079,23755,72578,71189,75478,51361,47083,13088,34844,35499,50250,35.17,20.95,22.1241864281007
7008,17894,5519,62744,66153,35555,32400,67465,46413,43628,52866,58750,70975,49.39,26.13,23.222268260014605
9073,46253,65274,14697,19868,35453,13061,14769,73971,14692,24228,24794,74329,38.35,27.42,26.298793777672905
54611,51273,16839,19198,52221,25380,71397,69153,22325,74497,23447,26486,32787,44.18,16.45,16.508309488142768
48444,38406,3943,58305,53376,50219,41411,72431,40580,65249,69347,39243,63448,28.22,17.87,17.851869610456756
3954,24967,311,14087,30644,64470,22689,68634,60363,26071,25354,69408,27772,97.2,21.92,25.81963920596937
4857,65594,58225,14624,74187,37126,20002,17771,61242,11630,6633,3344,47172,29.2,23.49,23.94987130391887
30594,66316,10202,65352,70632,2477,44516,42351,43037,45062,17610,10553,4451,50.7,29.46,28.772289485434364
