n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
29714,48550,49200,16558,25312,5738,11165,17936,32432,66369,27446,52521,3970,60179,63884,59392,51180,88.29,40.94,38.557430844827344
64878,75120,25196,52780,11739,63582,30694,2620,34965,68180,53433,62170,49686,14906,33863,12735,8269,92.96,43.32,39.04750773967076
50642,49441,14120,7609,44359,30725,11279,65218,67739,27252,18630,8437,70741,4910,64050,25408,19425,25.63,22.7,22.583142737047545
59803,58344,37441,73049,46752,55852,17691,20748,12794,69705,41128,46796,64832,66010,25906,40473,19681,63.66,43.66,41.99769640549482
46627,69300,37270,66819,9361,66508,71425,28829,45115,31966,1561,38758,44988,28808,34975,4411,55496,149.47,33.24,33.590410422006855
33393,49404,39105,54646,22970,51939,15238,21781,3359,26451,21060,39327,15267,1732,49866,44802,22302,40.75,31.27,32.47404951693196
74596,57095,30371,18224,53752,73924,58465,53366,54783,10504,9171,37846,12466,4460,11174,13962,68281,126.34,48.1,47.14748726745076
69112,47207,20140,66181,63994,19468,8254,24861,2220,18401,44668,50637,75192,15826,39244,46064,42655,51.33,26.78,27.54920483261251
47978,385,65407,27535,7951,4341,22540,23304,44239,56496,57871,15853,10925,26274,29357,65170,62021,139.06,39.16,41.79092868440051
20253,49949,15993,14216,59334,16574,57603,67434,11852,61773,73906,51609,47291,59681,29559,6675,25887,44.59,31.61,34.616592676593804
6412,58487,14600,14179,27684,603,2964,47723,56678,69190,12233,65874,74576,26303,65736,30072,42481,74.15,39.45,40.40486159395825
68909,50346,68130,25713,876,37952,38860,10469,42078,52806,29316,38852,10436,71740,54982,48398,42051,60.43,26.93,26.89427196262064
67669,39606,46775,38774,14325,25656,63597,48492,49623,40893,26902,38075,52038,50262,68636,46633,47472,59.16,31.86,33.367022191019615
56033,25674,64217,69328,66495,10745,35238,21423,8995,65305,35505,55015,15340,35906,38226,35926,66091,38.22,25.53,24.91686795182383
35206,36350,53975,32052,47364,32214,32507,66154,60022,32754,30701,68845,25609,48226,65096,13860,14631,44.07,22.08,22.279736056738308
50848,11039,22375,74284,56043,5916,17931,2895,25066,34686,11409,12508,60645,60258,36993,74201,12150,127.82,48.83,49.44995938206914
16559,46867,8647,41932,5073,11004,17997,48005,9827,30242,4857,41850,29141,38875,46857,42833,8665,60.36,37.92,35.75300667813988
68164,14941,45619,56958,20937,20589,33412,51025,19498,56521,8536,13077,70053,29177,10766,38424,23158,117.49,45.14,44.285398558873545
44165,26073,14288,6668,7494,72856,23289,22378,73331,42829,38719,31752,65588,62769,14543,73772,10875,50.53,33.44,33.883910218974634
18021,17387,29542,42839,28578,53454,22793,22146,17698,57726,7975,58767,37662,54373,57222,75804,48764,31.86,29.75,29.732585266234658
73922,64176,48044,69204,24571,40477,34879,62373,16762,36290,65528,66398,69948,67090,37898,28507,74516,36.26,24.93,24.5905394905173
69010,51204,17666,64062,62370,16287,38168,51652,4201,4581,48691,66401,38808,45487,49163,3623,18772,74.64,36.35,38.14228868662762
1897,10447,24202,58840,16699,55774,73937,75851,14161,48852,65846,5190,48328,46941,13930,41916,13385,124.3,34.6,37.7541990054838
62476,22248,30902,62498,47865,75548,45387,48725,56299,49140,5056,18441,41042,7988,4253,30489,66836,43.46,26.95,26.32193495603405
47250,63385,48027,62390,73596,22692,39548,18283,34925,2980,57787,37724,34183,59545,38857,37956,52833,21.04,19.89,20.014441555855157
65170,58606,11677,65436,57512,44698,17801,75810,14176,47365,59825,47413,61607,75095,50282,26633,71647,37.06,24.48,25.685123390815242
68588,22772,19150,66090,4521,11598,71853,40815,28528,19312,52531,33216,25860,15161,1829,4796,58078,65.27,25.53,28.699927412122175
27765,41472,41195,3657,719,2177,16796,75483,39637,40710,1447,5792,27972,43131,41515,12251,54329,127.07,50.77,56.5654756394286
30738,59,12562,67669,66974,26548,63115,55260,14665,55721,66400,19367,9770,19125,45380,57182,6532,116.34,36.48,35.400894449502985
33162,53713,26101,3639,37318,8422,63996,41297,21139,29562,7235,52019,40537,34486,40337,68460,36270,146.83,46.3,47.04803648615835
2826,53221,27321,27653,24769,14667,64794,20433,41220,31310,10793,57000,45337,66328,72020,65309,60700,28.39,20.53,20.787103865316407
47811,17934,21715,61458,12683,28992,67994,44147,21194,72780,31449,28948,55791,26341,44273,16830,73836,76.89,30.95,29.12289882378604
34943,9450,58265,42375,74894,18479,31014,52131,2778,41289,52319,46618,40678,15532,15480,50614,58541,143.33,54.95,53.27656100715126
53908,1388,63890,44304,71820,26258,2142,1993,65597,41799,48827,63443,13536,22972,14941,7156,58302,68.19,40.72,41.94743176635704
36172,10666,71762,3697,25989,32552,9781,7846,43953,45174,50421,41022,63862,20739,64312,36020,7744,63.28,29.79,29.280045802688115
62587,61328,32276,70909,7578,67363,66616,52563,58821,68572,62141,20945,15421,75196,66886,22445,43204,36.26,29.26,26.019225802607487
38455,74250,71601,52297,15144,58543,72655,23946,39060,20877,46799,46284,69339,7316,52453,36089,9248,32.89,25.0,24.98849906827592
32327,72340,61836,57451,37358,24889,62517,71813,8658,8263,38305,8945,23783,51752,13277,71708,16226,116.35,30.96,31.321628338818645
23855,24152,63619,42283,74517,31137,25315,57408,32752,49725,3880,68142,45651,39959,15638,69081,67693,40.67,25.05,25.5415579839
64363,75035,5175,12381,58137,48253,33380,43061,13923,13800,25335,63768,55630,74401,58993,13170,17061,24.16,21.41,23.786968189950596
3635,46193,16530,51086,58723,43639,68169,55595,14500,49808,61617,54782,16547,9726,23845,30867,58180,57.95,26.61,27.983665647070453
26360,36191,73487,19624,27768,68374,158,43726,47857,11330,21612,66217,41860,73664,54621,39354,17873,92.65,33.65,35.86518668905991
28786,49358,1690,14061,20182,28981,8474,20902,19234,64801,37795,71240,50762,11546,57707,37877,9794,79.14,33.16,34.57827114765149
50416,57896,65123,57097,43859,63455,30680,40604,5776,75870,13318,2715,73364,47466,55751,1644,33838,65.14,36.68,36.7764074076821
48516,5382,23122,8520,71478,63757,6870,66015,2250,6892,13159,41803,17997,32746,47389,46518,65973,76.62,31.39,31.113828680880644
70642,47034,10814,31617,24759,66711,31309,36811,12827,54947,3937,25149,3009,14778,53457,41457,19437,151.45,44.19,42.39966485940365
65545,35125,29653,7587,42963,46640,67149,49888,69180,21475,42066,39823,20941,2706,35461,2085,69185,382.53,178.97,175.37628316822972
5754,38717,72519,18445,39439,71194,27158,3553,18319,5589,67998,17200,46299,35823,58214,34148,45394,97.63,37.19,36.70808007928004
39612,17771,47679,59935,58298,30025,68468,71560,41890,11209,69659,33801,74872,160,37689,44901,66185,77.22,32.22,33.62402822016825
15353,35837,1984,31,61195,52661,69538,26292,1861,21,16883,73256,6592,43931,43719,73257,28906,363.99,92.46,87.62958702326085
49325,72818,73992,26905,64162,59406,38901,53139,67980,55804,64361,12404,50741,69460,42299,55737,65286,32.22,27.79,27.21886965114941
71555,49343,8140,69717,26011,30660,73641,20946,50927,54446,41535,31769,34460,72071,44168,65657,1404,53.13,24.84,24.671702634681385
39218,30970,54879,51315,70306,34251,63149,43677,7999,63496,30037,75257,22697,47010,22145,20995,30292,38.05,21.34,22.11273174065481
24937,7962,49757,74788,68451,29963,74005,13058,16486,34027,38557,4499,19825,63474,10367,47840,12970,97.28,31.23,31.881970611376204
67130,69378,35055,14996,17084,6465,14638,45470,37439,46018,35950,17958,74982,7949,20985,53003,1152,137.27,40.4,40.634077181357355
3152,57434,61355,48228,52948,29720,7270,47155,61403,43907,39406,71868,53769,17486,35274,56294,9093,70.7,33.69,34.062457095439584
9850,29461,43220,25210,69348,53013,7183,58575,38419,30768,40422,42401,36163,53602,7749,245,1104,196.61,54.61,55.80075014523716
56049,4233,25217,29896,71678,13792,10385,62326,17575,23905,57888,64718,9809,4065,72567,34028,37655,64.09,38.64,38.98192786859977
6583,72400,46039,10538,35488,48139,66157,40304,60816,70293,30617,31599,8187,9320,29704,57619,40632,27.88,21.42,22.10320187379062
6354,15053,56855,72424,34442,53459,14983,18075,41084,54788,45758,64079,49358,63930,63525,67044,9694,55.61,36.19,29.805277029371343
51451,44721,49803,42676,54996,40320,37595,61812,58798,35,32421,9640,34614,9863,70132,75729,6577,82.09,42.62,38.07279534631332
18071,4280,1249,14229,28246,68745,64725,58563,38540,26940,11432,37841,73513,41324,39823,63816,20419,141.26,83.54,82.66285181849868
58979,46036,34328,38366,23808,52759,39009,3745,15836,2321,28776,53509,72190,28301,75082,18955,18213,89.08,39.62,40.0217177430622
13004,23121,33865,60310,58789,23492,32435,49924,40151,53583,54555,3811,20658,254,59607,14180,17877,45.13,25.98,25.71609271291069
46580,59191,15784,56663,36140,12371,4814,9366,37317,24064,54147,42747,8189,54785,43927,5502,65564,173.29,45.34,45.0062641290079
955,75468,18200,62166,17010,59015,17029,34350,61596,67806,50775,35282,41674,41982,38108,45024,2059,58.0,32.34,32.585277718541775
