n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
50494,55125,5306,33936,67013,63691,53075,39755,62468,46930,28631,66150,18254,36941,18316,12429,32834,69804,19262,45.81,33.5,32.56216388350486
40651,12945,9665,43279,61884,73375,13199,46372,56907,41444,26801,72420,62522,58024,68334,34143,8163,71919,1840,45.91,31.85,32.97680634856732
12225,52274,149,64694,43664,31969,42625,8255,25043,74384,29059,31275,18677,71170,58716,11955,10544,41950,66576,78.51,43.05,42.16425352857505
64131,14294,39511,72255,38153,16359,71754,43614,70816,26634,71726,37703,58325,12010,50449,41555,75451,31733,38054,33.82,28.07,27.997077685257633
24100,24823,24475,4321,34086,62459,9055,11773,17068,19601,5064,10518,70857,51287,68756,36127,68392,30867,28206,91.77,44.71,39.13394593493227
54974,36072,59056,64573,46840,10796,42509,15119,63759,43944,24953,31855,2124,35525,15353,28896,48766,22345,43586,70.51,27.83,29.072150979472884
55853,8151,13186,19183,28675,5928,75217,70018,9698,3499,16311,24709,75491,15688,51276,11997,48514,15210,4769,222.42,52.18,52.8715472987383
2835,25505,24244,16239,62814,27600,8006,2986,71334,55786,13303,34068,9175,28944,9433,39460,45913,57156,23634,85.35,54.89,46.18484978434619
8000,66012,61227,5161,13227,51285,26129,34096,46996,61632,74680,22206,26661,7608,20736,21227,44867,69399,32858,42.74,30.22,29.55686987925805
15363,57974,22913,1730,61816,53727,74594,66663,40821,46812,50940,32890,20108,73478,1630,60024,10364,44029,5989,73.78,41.34,43.414357394146414
71345,36815,17673,31474,63154,46166,37732,47081,17346,40671,50858,54318,10580,199,25206,43830,20981,31380,29241,37.15,27.66,28.0152525220474
58737,49630,74468,54317,4134,52725,74379,54817,6131,21715,58373,8373,33977,20668,58505,69150,63866,73584,9,127.67,49.89,50.895689194646025
5100,64825,42722,40902,61196,6534,54412,24641,71901,10940,17107,1930,52666,54720,41441,444,27987,1873,309,142.19,61.91,63.47709210242172
69251,12816,24963,15584,26019,39638,36697,23884,13130,62338,51995,10662,2863,36007,59372,15175,33618,17487,68270,86.61,35.32,37.32486116757532
45488,15087,20242,36491,2434,5544,5329,26966,34035,73184,41250,48089,74379,5505,64813,60118,57074,48817,70507,55.2,34.49,33.656188502520784
23368,27242,49227,38146,1166,18147,19794,35569,43700,44238,48129,12282,44335,4674,5400,35339,21477,19584,37949,96.13,45.32,44.11065060905198
47304,51746,71890,16992,38457,15059,62660,31418,6325,40354,23538,68557,9288,39671,52844,43059,39220,54358,14241,54.59,25.32,25.95375547096824
13028,73509,63068,62128,44181,45043,16295,62794,15205,65239,55906,4957,39571,43919,20403,21830,73988,49226,11393,59.66,37.57,36.499719027127554
8629,11097,25957,28974,8015,50438,1029,12855,51617,72938,68026,37987,58791,64044,28475,55448,10965,48277,28853,49.74,29.84,30.451301292618183
34198,21834,56521,25158,46991,15074,8369,3620,68919,59193,26435,15585,65154,52160,33617,27162,5518,28297,19182,78.8,35.37,36.14657039875576
13714,25948,60084,49549,47401,71616,19835,13729,63950,19451,73912,53203,55474,68318,64933,42265,65331,65358,26475,29.73,25.16,27.23118660432307
71147,28675,1272,44593,41714,42182,4648,68826,19446,33670,20434,49676,38585,61660,8697,11094,67702,5166,8697,97.46,37.69,39.41869258186221
29503,17104,5325,39380,2003,58797,43331,21061,19506,60389,48669,66191,50099,69442,65854,4406,75218,11881,67895,228.9,71.35,74.88181354299755
10008,55884,27014,37966,70178,54767,63204,50930,30614,2684,31,23851,39641,66434,74745,33352,43605,8601,64685,251.16,76.88,77.61827380692887
34341,39689,53486,50352,50289,8160,21468,16688,31319,37629,43781,7278,4709,63088,54770,18468,64465,10698,19840,130.31,45.16,44.66188330593062
46238,53888,4611,61116,50683,60146,6164,13301,61720,19840,2651,4255,17393,42455,13800,71977,45438,25555,50254,155.11,46.95,49.13008923375153
64267,14548,7885,61235,44284,16295,38847,16660,50809,38509,15932,68027,24789,5004,51383,58271,48703,24966,59699,44.98,25.63,25.176341995714846
46734,9874,5851,5240,63722,33473,3493,68165,74613,74946,28308,30101,12252,65852,68643,55064,66467,40017,14869,166.03,50.62,52.82326140532258
19095,55832,74188,55319,11014,13731,54478,8247,13003,54416,20467,4024,58552,56503,54659,3949,65093,42532,33106,52.67,36.47,34.494485280186936
10294,46203,9218,15909,47088,3850,45278,45597,23318,1306,30211,47946,9242,18781,27260,423,26842,16146,941,164.23,46.52,47.24851629055141
38438,48382,3230,30521,18597,24509,59512,14731,62481,45147,33845,17060,3661,27278,47479,43910,62045,38355,38842,366.7,107.68,112.65743043732147
72509,42858,24123,10591,13445,69891,40339,20500,49360,19257,16414,29205,41404,66628,31829,31019,24109,38149,48819,123.28,43.66,43.812220275833226
55022,6062,17332,2693,51616,10213,9595,17304,55080,39241,72191,54624,18649,55337,39063,46473,11082,32513,58302,39.23,29.36,29.547216907647606
48399,69364,7583,49339,53559,1104,54686,42030,57841,26737,48705,38444,61720,11934,24308,14236,36303,14700,73161,40.15,31.22,30.947800858687295
20169,58479,52268,24298,55273,56585,22903,32500,59434,44615,68596,18686,46578,60612,11337,63345,26691,38630,241,48.63,36.56,38.566328499531515
58862,60556,1019,28669,39132,15002,39473,71461,20476,55601,61791,12131,65231,30456,71269,53124,36711,2833,15837,194.27,80.16,79.7993005432238
35399,5314,33,33629,52222,68957,51935,58272,13373,33109,46376,37145,25694,11175,4646,9234,34404,40056,69945,144.69,49.06,47.71669436183978
44550,15490,69492,32643,21437,8925,54372,37970,37060,68135,17618,75232,68558,27561,69648,13802,53844,71247,52876,148.78,59.93,64.06944549622261
36518,38306,57981,48733,74479,18063,20587,16160,15796,49994,52588,61334,18288,73349,39185,46407,61953,54408,28575,51.95,31.01,31.234454310489976
62484,64075,65741,41712,64581,7893,58193,39345,18718,64949,6868,28274,3348,46583,61804,51244,1325,69052,8710,83.13,26.94,29.059630997407524
10665,51788,841,47353,5397,15224,490,35432,38342,29712,18439,75084,37738,25061,13822,56887,60410,43279,50348,104.61,42.35,44.099139939927596
22053,43344,55274,57051,19401,58627,19333,68702,41428,16937,27376,24487,58212,45766,50970,56005,64481,51057,28856,51.02,28.33,27.67284851801456
25715,57576,26773,6526,50901,4361,30674,11096,24478,47659,7469,22724,30548,38997,11354,67124,37280,46277,53927,42.41,26.86,26.533894350848257
60069,7070,67649,71720,56440,59585,64251,33390,62344,28235,44196,34848,5535,5741,6888,21346,45849,507,37985,62.36,29.31,28.55482153483059
934,18403,8347,56065,29119,51971,73107,28963,59467,25277,44499,13413,11222,41815,42326,70241,59735,42617,33488,187.33,60.23,57.71699570241307
3778,68418,5813,24920,48326,10500,27471,68749,45317,24613,26426,32935,39494,40924,67751,50419,33376,63187,45080,93.65,50.74,49.28450876777603
31452,5833,40083,72348,9481,1206,60415,64920,57435,6221,54017,64694,60360,57685,15482,11221,10679,31607,12940,201.9,50.33,54.65645202464332
20158,54265,27979,57755,10111,55959,73270,51704,5157,23643,32732,64227,28842,16788,36568,46150,41890,56995,14062,304.48,65.64,67.04624459595155
