n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
75211,10560,63574,34291,4826,59,19081,61637,48910,41862,2869,35743,64073,25966,54264,70556,70680,12348,25294,73848,72563,248.95,84.75,88.7276016932527
34802,11548,55666,43985,12207,47466,53732,32831,58354,12291,25842,38166,12786,5987,26328,47235,63793,25391,67456,75482,66019,80.02,36.32,36.71816815492042
3725,47366,32098,56320,39888,46842,15674,11755,65556,68847,26099,15312,35112,40931,25719,49782,63405,29194,18101,27510,68438,112.63,44.42,43.93048396064922
1641,24739,22169,2235,43635,73104,40124,49103,49467,69123,51008,37899,16624,64062,7054,24294,55428,52135,12580,57835,32153,127.72,56.21,56.590498472332335
11672,58472,58614,49809,10023,67723,55891,61725,39775,53616,11263,25184,34841,59160,63919,22561,2430,2866,70509,16186,32917,128.48,71.36,72.66353125897344
47323,24583,33595,65894,59183,43180,67747,33392,53814,55278,63622,35119,62221,62723,64490,18636,49476,65096,40065,61244,42387,44.89,27.73,27.361742973827976
48034,21368,49288,34839,41957,52203,63962,20733,38114,73381,811,58898,7484,23930,3946,74680,14698,48615,47449,65200,8162,156.78,41.57,42.453988677774866
25248,20235,35291,1942,55327,68794,64447,9937,61459,30417,13127,48616,47444,19000,31897,41723,18910,4938,12756,13819,5932,101.38,42.61,43.17535172150605
62636,60648,9043,4043,72276,16647,10950,21110,34758,59242,65495,2658,17966,24745,57787,62804,57603,58599,73215,36229,62577,81.51,42.53,44.841149200697416
8345,38241,47637,37495,47204,4439,10968,65851,36147,36674,35928,62010,56452,58226,48687,4182,11225,32712,31254,70189,4287,245.75,111.32,112.04948020386465
22713,44090,48560,4189,6824,27417,56758,45020,10170,20661,14946,52383,71712,17785,60824,64819,9854,16783,9695,45927,68192,97.22,36.27,36.9689722776312
3994,24337,68868,19700,24078,36923,19792,66495,74506,50896,29239,29045,73932,16495,54936,21388,41484,31501,73533,75020,624,78.03,43.74,41.35001118181351
74568,50683,24660,42632,49949,68982,57795,1268,52102,69571,72228,17860,30630,71293,48788,35638,24267,19583,21512,17607,50423,88.92,44.58,44.3814543339129
9735,8004,1606,5226,61892,7763,15019,70815,13126,48184,4218,7848,71140,29463,53325,29566,74095,38469,12152,61741,10131,183.9,70.05,71.20486405409905
75157,7708,22100,57401,15736,14709,23304,6555,3982,55748,37621,33513,58113,30401,26495,70201,28043,36414,1718,33415,69080,93.22,31.88,31.256311662703993
43381,67818,12278,4291,47454,48121,15351,29655,3671,47233,44643,57098,6783,45089,18271,3984,1288,44065,8924,63561,338,251.44,80.89,79.46104593936784
60768,34563,11471,35812,30175,17351,16506,54947,71535,23834,31845,50319,56242,73864,67838,62971,35409,33182,17927,39197,4307,45.12,36.97,34.827196303609014
25235,58775,13726,23080,75505,14213,339,67314,21032,15717,19921,51528,62088,63728,69572,70973,61662,28231,50902,20230,60041,40.99,30.84,31.381113060665452
1397,44271,54734,33006,41859,17410,37458,48626,47563,29268,702,39966,23153,10817,53431,30344,11694,25458,49860,53980,16496,119.84,35.66,38.40197677940382
