n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
17611,74606,8271,44.03,8.68,9.030050258960674
33432,15455,64937,3.6,3.24,3.2857142857142856
58915,61898,49756,4.09,3.87,3.9826692772778243
27519,12302,63944,4.93,4.43,4.198375464892011
3715,51093,56723,19.29,8.31,8.384269150619183
276,58377,34908,58.26,9.6,9.385695715910634
29984,13399,41606,14.06,5.35,5.686520618990822
4009,2925,3335,29.29,8.96,10.269980431974822
70964,1206,49965,36.79,9.25,10.594782232024349
28390,55327,3806,24.38,11.98,12.717480010139877
69157,29057,57394,3.51,3.11,3.14141643250778
64987,72464,30550,4.67,4.62,4.726531429913409
45311,30260,28676,3.0,3.0,3
60241,37982,2816,6.98,5.34,5.060330795239741
54549,72935,13107,6.4,5.11,5.510239266343387
24367,38848,15845,3.94,3.81,3.8177410943766614
43607,65640,55326,6.7,5.14,5.228304186660116
66547,24883,39763,3.18,3.04,3.0612505228643476
37245,65452,66228,3.91,4.04,3.9307044319689726
51557,4525,62944,4.31,3.22,3.4110616639736104
31816,52990,54304,3.92,3.38,3.298227945699449
22676,48119,71932,10.56,4.04,3.97487552163196
49113,11333,57535,3.77,3.05,3.2223927310641836
66640,14146,21456,20.14,4.82,4.591226980263774
68280,51544,48565,4.74,4.61,4.474708079288835
64185,3876,61514,12.33,7.52,8.266111596979073
5699,40439,75782,4.88,4.11,4.315863410212429
51589,22328,22097,5.91,5.52,5.514130495491159
65829,29745,1612,31.08,8.6,8.759193099381168
26151,70728,71871,5.43,4.0,4.373198774023306
30431,53012,67341,9.79,3.49,3.405025982532201
45065,75732,46304,4.49,4.5,4.501225490196078
60179,35294,71826,15.52,4.32,6.486012020812629
748,50290,67174,70.52,18.61,21.80352035834218
16940,67984,73578,3.01,3.08,3.048168767899935
26933,55848,7356,11.03,5.77,5.96107153012222
63058,47806,74710,3.47,3.48,3.4321757362664957
72666,26193,66154,3.6,3.59,3.5054662158828824
54185,63560,46765,3.37,3.29,3.3406050355254306
54319,45361,207,3.0,3.06,3.0284742617234297
70579,70793,43402,3.59,3.57,3.59
60050,3666,30094,3.02,3.1,3.0464193110374147
23227,72188,23695,4.89,3.98,3.9984401243599876
12006,72224,33461,6.23,4.39,4.378640814767996
4254,9234,10909,28.54,12.26,11.683666989651346
2187,59375,1908,26.02,13.67,14.217665964804032
36857,32710,35211,7.98,4.89,4.618965197075728
14350,24197,45144,5.22,4.03,4.114794103334997
38048,9111,21950,18.44,5.5,5.651908014367675
20922,33451,69124,4.04,4.06,4.052695640313122
22039,35771,38599,3.48,3.11,3.0903151581365966
59598,42205,65076,3.34,3.5,3.420170843119563
62098,14967,3097,3.58,3.59,3.559225012133707
40895,50666,45002,4.04,4.04,4.078621055615546
55170,24646,33871,4.85,4.06,3.8753592157120718
14255,33221,66861,5.5,4.01,3.9030849103815046
27405,56577,2728,12.13,5.03,5.000911574291031
29540,2341,52076,13.69,10.53,10.708907077227485
19197,4630,21001,14.92,7.62,7.808537253513554
58414,66362,55923,8.24,4.39,4.434840869487586
71395,28914,67711,3.53,3.66,3.665714950446935
59093,29254,68668,4.29,4.23,4.185836382856222
4023,51760,75477,80.61,11.29,12.062836171996114
42106,55875,7705,3.28,3.06,3.11828930760741
39138,16473,27804,34.25,21.31,23.80192883077894
6218,40158,9270,10.46,8.93,9.36930449250392
10019,40679,39043,4.16,3.17,3.1120146556194
20736,54548,74047,6.56,3.6,3.3749752682605383
33077,17090,1111,35.89,11.96,11.418389134185283
73494,4969,28520,24.34,3.89,3.8703805248667713
74747,60404,22481,9.32,3.28,3.1964984984552034
66699,4905,49541,10.69,5.83,6.9033492837108845
26267,45472,12979,35.68,21.12,21.293503031903544
26969,75154,56747,9.41,6.49,6.592394961162051
25443,64533,13687,12.26,6.53,6.437410274845943
51126,38806,66074,4.31,4.34,4.2
65509,2254,42643,63.89,12.34,12.050412836171464
52733,36877,2371,3.51,3.2,3.122987910864946
20573,26326,42957,6.45,3.69,3.48348914364645
73838,17713,44445,6.85,5.49,5.624691157631727
56261,27922,34935,7.27,4.51,4.590261478403933
12636,49706,71778,10.32,5.72,5.646144888835084
45069,70035,63504,7.56,7.39,7.3791691539947335
69798,30754,8561,8.79,5.09,4.82915978553414
5295,11099,17434,52.54,17.27,18.04898837611289
22242,21830,70544,5.2,4.39,4.507030612641204
27914,35128,43546,3.0,3.0,3.0210462175215054
66307,33461,48248,3.49,3.49,3.7052994881979626
44413,44601,14930,14.44,4.78,4.888921878726238
38170,30826,64067,4.27,3.9,3.9302532732781836
17740,72243,13667,5.99,5.18,5.125744537485989
42038,5129,53293,31.54,17.37,15.195590671150507
9593,49837,19310,3.69,3.65,3.550155504598037
16386,44682,15032,8.54,5.0,4.980418401698514
49550,10046,74813,3.37,3.43,3.565293804628804
72125,29322,74182,4.06,4.02,4.076067860218036
10714,34960,47827,3.0,3.0,3
38738,73983,70031,3.95,3.6,3.5196042341143348
14983,60000,36330,33.29,9.35,8.483766402917317
14120,5996,38762,3.23,3.32,3.2029846343223753
