n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
33481,46993,69473,3801,61030,19.66,11.24,10.89780832257871
32643,6796,20558,14838,48731,13.65,10.88,11.460865034015379
61481,32318,49906,71271,13365,21.95,8.59,9.030620992536488
75227,32680,1718,28407,53497,31.91,9.33,9.17357310987769
36632,23865,51044,20919,9428,11.03,8.49,8.698280952794768
18188,58305,16606,17333,232,43.04,14.06,13.177607656673356
696,27453,28243,21739,21821,38.74,13.12,12.105039552397999
37919,41110,26068,70677,26840,11.59,6.23,6.126578333412445
23811,25805,50229,39162,2827,41.43,13.5,13.87475192492449
47341,54382,21752,19097,34578,6.85,6.48,6.386589637729717
8537,43496,39499,443,44288,114.19,27.04,26.537059625908384
8653,40626,46576,40116,63012,23.31,9.01,9.001798851805994
41391,24218,63074,61936,23084,25.47,11.18,12.039592769078206
7471,33578,2997,46877,52991,103.53,27.85,24.22064274924766
2368,71967,54896,47996,49330,7.46,6.1,6.110581682100571
75827,1189,59352,6124,23713,52.85,23.01,24.46982857310367
25758,15600,32255,60582,45138,8.69,6.04,6.199043963525671
67173,46503,68773,32885,60666,9.29,7.2,7.309980438489678
14162,48142,38779,4801,56751,38.81,13.61,14.639007313702008
11951,27326,44661,67224,47530,18.1,6.18,6.762042772518576
19424,44559,36133,71453,12068,27.15,12.81,13.658187209507458
40953,41523,40130,23262,10249,12.51,8.26,9.133042703917967
19512,40541,63411,21171,6363,13.26,7.51,8.155743028847379
10611,69930,53200,4171,31108,20.35,7.05,7.1675111299963215
45066,32795,59724,55280,19087,19.9,7.68,8.1067895703027
7301,4288,64692,43802,27139,88.46,24.81,21.590526420798536
17114,73930,17403,54240,13976,74.89,15.21,15.670769069787129
22127,56958,48889,19561,7703,5.03,5.0,5.042759958263152
55134,38641,18507,59395,22189,6.22,5.95,6.128373729468135
68445,59446,63983,41641,62789,11.88,7.06,6.983668426746444
35918,38144,61614,52925,19202,6.08,6.11,6.242038313992045
14753,49414,69697,23513,65447,8.72,7.03,6.740551703421538
44365,23608,11683,64469,35692,9.71,7.12,6.726026214880665
67525,71840,65906,47359,8271,5.42,5.35,5.279647341410338
46622,4498,40068,47635,73310,11.39,11.86,10.397518554009348
36811,63659,34715,38515,44574,5.64,5.79,5.803062167012766
23415,1517,62167,71695,32858,28.49,14.98,15.485561493325442
42717,35872,60678,37857,65581,5.48,5.73,5.553151908133072
46736,45597,35897,45296,53538,10.21,8.23,8.523713163456478
45881,22606,58954,47746,43822,11.0,7.47,7.479359529071095
67913,18593,69381,21780,26037,18.69,9.08,8.984702780227355
47451,62552,37074,10333,54608,17.98,10.57,10.106116459850934
22521,67692,55154,39671,72510,7.72,6.28,6.09697407851727
35481,3620,25637,20974,57811,38.38,9.11,9.460142357641859
23690,28709,23662,5486,61811,40.65,10.06,10.596185428836309
29654,21724,7096,17501,14526,12.34,9.51,9.596087507397161
41595,23795,63263,25344,71869,16.59,12.57,12.900998172290748
4673,54459,60991,46019,49846,6.03,5.81,5.779426661567916
9434,26786,31175,49022,86,20.64,9.15,9.714112409773154
45943,53133,36507,53745,15083,11.54,9.72,9.934757986664145
71728,49005,4726,72080,39502,9.49,6.91,6.852456447146207
12428,38703,71463,67193,44482,10.25,9.83,9.991710275937564
38429,46087,16929,54932,53640,5.58,5.57,5.47307271722993
73914,70567,48423,61272,18626,6.25,6.3,6.329364042276203
20548,50167,73906,62525,26103,13.19,6.35,6.533159123949373
17430,11905,46021,124,50050,33.37,14.79,15.2835685235854
14145,42734,74162,70703,18441,6.53,18.48,8.199679565388827
42656,73963,49263,56256,56581,7.4,5.6,5.736551449593363
29666,64672,38206,62858,49778,22.25,8.21,7.901551707716544
50317,20844,34055,39426,65051,9.45,8.08,7.81401400415675
32908,54459,2578,41831,40303,24.67,12.58,13.26597518866822
64455,37538,18781,62512,3116,16.78,10.33,10.582410349287132
15975,58126,32178,38417,5239,28.58,8.98,9.020879857306547
17883,51431,1730,62953,69804,51.79,13.58,12.79339209267684
73441,35885,31912,62164,4818,28.8,9.69,9.746393969729624
32199,64240,35086,20285,37451,41.75,15.79,15.47750569928668
38428,64522,62210,67924,15489,8.19,6.44,6.410876295571782
2119,16519,39412,37007,69926,34.4,13.7,14.050724180346858
44056,38905,69450,3488,60861,39.78,16.74,16.654840652476143
45844,47322,17364,4774,371,40.01,15.07,15.675327962070696
33085,72512,59718,14103,71511,19.72,11.71,14.198951258037534
25058,1908,56317,56063,75450,5.38,5.33,5.284630032115735
63160,50524,62353,51362,25751,16.38,7.43,7.603769897767458
38856,60959,8657,39800,422,30.24,10.53,10.242553879326941
56730,37533,61924,40756,18701,5.69,5.94,5.723040660595583
21685,62706,71971,65232,43350,7.3,6.56,6.421377770093297
70509,20123,55779,70963,6364,12.1,6.08,5.9577080761469325
8967,30149,35023,11166,8246,23.62,6.46,6.320599187392819
3349,43653,56273,9005,53118,8.22,6.92,7.117698282806778
63791,6408,16171,16037,28735,12.26,7.85,8.120763931787438
14569,17645,38337,57405,19625,11.66,8.82,9.090574019237934
23997,24285,54255,21126,8811,18.36,11.8,11.654100135050722
27936,5709,72811,14183,49702,23.21,6.54,6.639577883234761
9437,36683,7544,74855,75399,16.2,7.97,8.211398654316948
15512,52236,17607,1306,56579,54.84,15.68,14.92408077525991
11984,41231,64152,64170,46321,7.94,5.35,5.575592569648228
49046,7307,18118,38630,19806,43.72,16.95,16.684603393073857
74533,66301,38041,72730,72074,5.71,5.41,5.4622243739606615
28913,34504,8281,72309,30884,16.14,6.56,6.731361646057754
33317,37151,67763,17534,30725,8.75,6.8,6.9268893637381055
48655,59419,50974,23503,17194,16.08,9.52,8.78974232296694
2449,44774,11173,75133,4711,14.35,8.78,9.208796113653179
11950,16356,66383,59441,31271,12.16,6.37,6.813402893818135
51098,60638,62975,42373,14099,10.95,7.87,8.064272578288161
69560,3861,71054,50412,7033,36.29,15.0,12.733048097727647
19765,56273,29240,15214,10980,10.03,7.89,7.501335288524773
64414,27721,18319,49265,46438,7.08,5.35,5.327426174480272
30804,37984,43681,45701,50560,7.64,6.93,6.668640397638196
49563,17881,46964,38785,56805,5.43,5.74,5.637140840130788
47476,67828,4764,75138,28164,11.63,8.53,8.766078158414029
