n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
30939,39753,13522,51912,62767,20312,11809,101.89,22.31,22.248027393123845
8718,2597,52637,72011,37929,7713,29088,25.56,10.8,11.832867033115253
68201,70343,47218,36265,22631,13917,34304,9.5,8.6,8.697300020869063
28101,3360,34112,35618,25353,21603,40612,8.76,7.25,7.7440063574973435
37963,48810,11366,44224,50847,66316,32620,48.97,14.76,14.238921314842303
23303,32417,62074,36699,11710,71780,39353,20.84,10.6,10.08178126555574
945,38265,75021,40863,66633,25575,54256,230.27,39.5,41.18207859070896
55539,37775,56497,59162,21144,30569,39991,13.46,10.59,10.586186810208213
34033,5667,10626,6071,60643,36756,68009,12.89,9.89,9.424220726371287
70073,61766,44937,19013,25634,8708,54105,11.03,10.44,10.21319705840142
26564,57822,36215,24078,46639,57137,42030,11.02,10.31,10.505026700361704
73207,26045,42406,13235,8075,29998,36369,27.83,10.66,10.199774891107658
31118,16009,43393,23270,38132,60164,3365,10.33,8.35,8.102472450139368
5611,46803,10827,37445,42876,2383,42311,13.71,10.74,11.77674248096263
37879,42162,20042,53795,10191,38457,25089,60.37,49.61,49.6755363523606
58214,38272,17883,32774,50021,20827,43425,20.87,10.62,10.557083260405577
75116,1231,47621,5871,59609,22225,47866,26.99,12.53,11.970682435651465
47542,38054,74901,12727,57583,27162,55568,13.81,10.2,9.598695182557893
27252,14892,7777,8153,7244,22107,19613,80.0,23.73,24.619413695831035
5359,71595,64312,32644,42130,4662,16026,42.39,13.9,15.800409898240249
69368,38391,53650,26248,62621,26446,31701,9.62,7.61,7.467517818145552
57516,53821,64479,4832,28712,55210,58130,8.18,7.77,7.697129887152625
32582,56077,28274,65349,24603,4148,4824,45.89,15.73,15.99120962275573
33343,33211,31770,68901,27271,30338,54674,18.57,8.85,9.126347500233564
34299,18573,42600,6720,41224,74100,15316,25.87,14.77,13.325415651400355
74672,52817,5308,64787,50786,12177,56375,14.96,8.96,8.593105113054353
27645,75013,21686,44117,38824,61764,41292,9.12,9.32,9.208185482490741
55048,69209,28211,35166,44371,51404,65062,15.65,8.55,9.179976995990211
9749,36710,25068,5838,51747,16729,35316,12.87,9.79,10.045359028264377
7927,21923,60892,74606,61890,52917,51176,8.82,8.71,8.908132152424345
28644,429,27681,20544,1718,33729,15189,128.13,20.71,20.562412445628304
51876,49949,29141,72169,6999,26433,21220,12.59,9.46,9.49945549503251
43338,73711,61801,68997,57624,3459,10353,21.3,15.38,12.90959034164447
4480,14800,64072,73505,33679,18187,5423,21.32,14.4,15.009627089005068
47522,10445,68548,1382,38920,45470,9795,16.02,11.06,11.70601482020395
11159,71221,59476,49959,26915,40785,50938,19.43,12.78,12.66266996812337
30631,63786,52436,12467,10118,15001,47956,80.23,16.04,16.40275273758671
67171,56879,54511,58227,8771,25670,39623,25.47,9.03,9.125678665641502
62741,55373,15489,73176,21938,48706,21341,28.95,10.64,10.88832031733435
