n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
75211,10560,63574,34291,4826,59,19081,61637,48910,123.85,24.16,24.48391049677422
41862,2869,35743,64073,25966,54264,70556,70680,12348,136.57,62.78,60.445213939784686
25294,73848,72563,34802,11548,55666,43985,12207,47466,30.39,15.19,15.324022577324529
53732,32831,58354,12291,25842,38166,12786,5987,26328,26.31,17.48,17.666458727334685
47235,63793,25391,67456,75482,66019,3725,47366,32098,68.65,27.8,27.052071456081816
56320,39888,46842,15674,11755,65556,68847,26099,15312,12.81,11.14,11.458550867765476
35112,40931,25719,49782,63405,29194,18101,27510,68438,26.81,12.75,12.946522084786722
1641,24739,22169,2235,43635,73104,40124,49103,49467,58.27,38.95,37.43130824728508
69123,51008,37899,16624,64062,7054,24294,55428,52135,22.78,14.52,13.748790441635915
12580,57835,32153,11672,58472,58614,49809,10023,67723,19.46,14.97,14.79394308670854
55891,61725,39775,53616,11263,25184,34841,59160,63919,10.16,10.21,10.21681508182592
22561,2430,2866,70509,16186,32917,47323,24583,33595,87.59,57.38,56.13719163137359
65894,59183,43180,67747,33392,53814,55278,63622,35119,17.06,14.62,14.087087300149365
62221,62723,64490,18636,49476,65096,40065,61244,42387,10.34,10.06,10.20063691615535
48034,21368,49288,34839,41957,52203,63962,20733,38114,19.2,10.04,11.389462469234331
73381,811,58898,7484,23930,3946,74680,14698,48615,100.33,27.88,27.658189939521503
47449,65200,8162,25248,20235,35291,1942,55327,68794,16.4,19.64,15.943697883006102
64447,9937,61459,30417,13127,48616,47444,19000,31897,17.55,13.27,13.608632777570318
41723,18910,4938,12756,13819,5932,62636,60648,9043,45.32,17.72,22.112919798382247
4043,72276,16647,10950,21110,34758,59242,65495,2658,54.91,32.5,27.307862637098335
17966,24745,57787,62804,57603,58599,73215,36229,62577,13.41,12.53,12.450552326891613
8345,38241,47637,37495,47204,4439,10968,65851,36147,17.59,12.5,12.798123898636236
36674,35928,62010,56452,58226,48687,4182,11225,32712,40.29,21.45,21.32790114460292
31254,70189,4287,22713,44090,48560,4189,6824,27417,163.69,94.49,93.48011732121998
56758,45020,10170,20661,14946,52383,71712,17785,60824,20.0,14.45,14.518182674386436
64819,9854,16783,9695,45927,68192,3994,24337,68868,27.54,12.52,12.101917363872609
19700,24078,36923,19792,66495,74506,50896,29239,29045,22.14,16.66,16.07063049974536
73932,16495,54936,21388,41484,31501,73533,75020,624,106.43,19.01,20.071167984888085
74568,50683,24660,42632,49949,68982,57795,1268,52102,37.88,17.06,17.049396737182533
69571,72228,17860,30630,71293,48788,35638,24267,19583,34.24,18.16,19.020237199333206
21512,17607,50423,9735,8004,1606,5226,61892,7763,119.38,37.26,38.38497032767724
15019,70815,13126,48184,4218,7848,71140,29463,53325,76.65,35.02,34.117822421433395
29566,74095,38469,12152,61741,10131,75157,7708,22100,14.53,10.96,11.04630151071976
57401,15736,14709,23304,6555,3982,55748,37621,33513,38.99,16.44,15.797777964742437
58113,30401,26495,70201,28043,36414,1718,33415,69080,19.42,11.08,11.42560829226792
43381,67818,12278,4291,47454,48121,15351,29655,3671,44.93,27.23,27.66122062769706
47233,44643,57098,6783,45089,18271,3984,1288,44065,51.54,15.76,16.2545766108564
8924,63561,338,60768,34563,11471,35812,30175,17351,171.55,43.03,43.86250243649264
16506,54947,71535,23834,31845,50319,56242,73864,67838,11.77,11.82,11.46435729119285
62971,35409,33182,17927,39197,4307,25235,58775,13726,28.15,19.98,19.606493355210667
23080,75505,14213,339,67314,21032,15717,19921,51528,11.8,10.74,11.094716359595335
62088,63728,69572,70973,61662,28231,50902,20230,60041,30.92,15.68,15.72909246832831
1397,44271,54734,33006,41859,17410,37458,48626,47563,36.25,14.44,15.559706384699162
29268,702,39966,23153,10817,53431,30344,11694,25458,84.13,18.2,19.824909432144164
49860,53980,16496,19338,68131,6598,68194,68794,63970,18.21,16.37,17.219226857160542
47744,43082,51072,35783,8745,34284,17235,5401,14340,20.36,13.07,12.832881526591043
20331,66209,66388,14889,11359,11337,16368,28327,46011,30.59,23.45,19.18057451818713
44348,20742,32011,22955,24121,29566,16449,62793,60000,15.0,13.41,13.003414485611442
14485,17916,59711,25731,74960,48641,18954,43549,34554,28.83,18.79,20.110024617147218
8949,35908,200,8010,3915,62870,59735,41693,8032,47.37,18.57,18.697022160729198
1479,35999,13288,50340,44033,13360,48909,18607,19307,42.2,22.44,22.517918255541773
48546,61474,53008,2534,69692,19773,13615,58427,48956,18.29,15.95,15.828712878383964
1632,16713,72263,62928,34772,9224,62681,15868,52325,63.55,18.04,18.956065634834903
26025,71212,22274,57398,43369,33461,71020,45338,38573,27.41,13.74,14.411718328355885
71408,35822,59369,72842,5995,65601,32724,430,69069,153.8,30.86,30.21577743341432
64920,72997,70357,33394,22317,4644,42045,1825,27505,45.83,25.17,24.46160610271724
74788,39865,24988,20186,36446,7630,35736,39658,49051,21.69,11.15,11.604410325120273
28526,22488,358,11810,46830,75635,24239,45849,24022,157.52,28.23,26.194497951653346
62587,28936,62347,50373,71694,47074,16105,11489,56352,26.02,11.64,12.309105067510517
7136,26711,57552,35291,28688,7392,63235,66024,69098,23.88,12.75,15.817821239263761
33074,68300,34817,47329,39414,55848,48619,12383,71444,18.82,14.11,14.242863381167245
54289,21292,36389,7998,66072,41715,66548,7527,10241,113.82,27.06,27.01505030208788
14653,7964,57488,56433,69941,11873,23143,34494,46090,29.69,15.7,15.235695434850301
157,8296,34855,40531,45324,50901,52887,10208,15052,58.43,17.9,17.802475120872806
