n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
50494,55125,5306,33936,67013,22525.84,278.79,284.29999999999956
63691,53075,39755,62468,46930,11945.57,9.54,9.229999999999999
28631,66150,18254,36941,18316,18006.98,31.61,34.30999999999989
12429,32834,69804,19262,40651,22299.16,60.01,58.249999999999915
12945,9665,43279,61884,73375,22274.59,51.58,61.37000000000004
13199,46372,56907,41444,26801,12381.43,11.72,11.930000000000003
72420,62522,58024,68334,34143,12617.54,27.39,27.949999999999946
8163,71919,1840,12225,52274,22516.33,409.61,513.0200000000004
149,64694,43664,31969,42625,22500.89,769.52,1183.069999999999
8255,25043,74384,29059,31275,21170.95,64.85,63.19999999999986
18677,71170,58716,11955,10544,22528.46,94.57,87.34999999999992
41950,66576,64131,14294,39511,5.3,5.33,5.390000000000001
72255,38153,16359,71754,43614,20722.06,47.58,51.590000000000046
70816,26634,71726,37703,58325,9471.01,12.49,13.580000000000005
12010,50449,41555,75451,31733,21180.36,47.49,45.409999999999954
38054,24100,24823,24475,4321,22529.53,217.54,219.65000000000012
34086,62459,9055,11773,17068,22520.31,87.03,90.67999999999998
19601,5064,10518,70857,51287,22505.77,337.4,371.5099999999996
68756,36127,68392,30867,28206,18688.59,15.94,16.37
54974,36072,59056,64573,46840,21187.79,61.81,64.93999999999996
10796,42509,15119,63759,43944,21603.44,219.92,214.73000000000366
24953,31855,2124,35525,15353,22518.93,401.88,497.3899999999996
28896,48766,22345,43586,55853,15320.12,33.33,33.19999999999992
8151,13186,19183,28675,5928,22306.01,106.38,93.97999999999979
75217,70018,9698,3499,16311,22526.61,710.07,993.5599999999995
24709,75491,15688,51276,11997,21169.35,34.89,39.76999999999998
48514,15210,4769,2835,25505,22521.73,696.56,757.190000000004
24244,16239,62814,27600,8006,22526.08,261.23,227.30000000000396
2986,71334,55786,13303,34068,22529.25,306.66,348.19999999999965
9175,28944,9433,39460,45913,22524.27,152.92,152.0599999999997
57156,23634,8000,66012,61227,18262.59,27.31,25.520000000000017
5161,13227,51285,26129,34096,22521.2,431.09,497.89999999999907
46996,61632,74680,22206,26661,22275.38,75.77,71.7499999999999
7608,20736,21227,44867,69399,22313.6,131.59,126.22999999999973
32858,15363,57974,22913,1730,22519.25,309.61,340.4299999999996
61816,53727,74594,66663,40821,20261.93,43.47,44.030000000000044
46812,50940,32890,20108,73478,16668.39,73.91,68.65999999999974
1630,60024,10364,44029,5989,22544.66,432.32,511.00999999999885
71345,36815,17673,31474,63154,20045.66,48.59,49.04000000000001
46166,37732,47081,17346,40671,22517.01,307.54,338.95999999999987
50858,54318,10580,199,25206,22518.7,545.45,736.3999999999987
43830,20981,31380,29241,58737,17329.01,35.26,37.189999999999955
49630,74468,54317,4134,52725,22539.74,370.99,451.8199999999994
74379,54817,6131,21715,58373,22532.62,384.64,446.1199999999999
8373,33977,20668,58505,69150,22498.28,150.74,143.98999999999975
63866,73584,9,5100,64825,22500.01,319.91,364.6999999999996
42722,40902,61196,6534,54412,21620.15,99.73,108.04999999999977
24641,71901,10940,17107,1930,22502.64,462.23,539.9300000000003
52666,54720,41441,444,27987,22522.87,183.3,214.09999999999985
1873,309,69251,12816,24963,22535.26,750.06,1034.9899999999998
15584,26019,39638,36697,23884,20723.97,19.09,19.400000000000002
13130,62338,51995,10662,2863,22508.43,567.56,700.159999999999
36007,59372,15175,33618,17487,22301.29,72.46,72.08000000000004
68270,45488,15087,20242,36491,17571.36,54.14,50.89999999999993
2434,5544,5329,26966,34035,22526.37,614.29,647.750000000002
73184,41250,48089,74379,5505,15995.2,40.42,37.639999999999915
