n0,monte_carlo,monte_carlo_max_hop,two_hop
5102,1.0,1.0,1
2092,1.0,1.0,1
6076,1633.13,35.52,37.36000000000004
2937,296.56,4.77,4.059999999999994
6514,1.16,1.1,1.1
5656,298.91,2.88,2.57
6893,250.26,2.76,2.5900000000000007
6061,50.32,1.55,1.4800000000000004
5341,1.0,1.0,1
4342,1352.44,13.93,16.0
237,394.96,2.3,2.4999999999999987
6884,164.1,2.36,2.149999999999998
3814,426.48,2.94,2.4999999999999987
6356,182.55,1.45,1.4300000000000002
2040,1070.37,12.07,12.30000000000003
5316,264.48,2.96,3.380000000000002
424,1171.7,12.78,12.499999999999993
1284,82.73,1.92,2.3499999999999983
927,464.79,5.58,5.090000000000021
3045,346.63,3.32,3.2599999999999976
3842,1.08,1.07,1.1
7114,1.08,1.13,1.1
2019,1.0,1.0,1
3119,183.68,1.78,1.5299999999999998
4454,758.61,20.53,15.619999999999905
835,773.36,7.48,8.030000000000008
4701,1.1,1.07,1.1
2042,1.0,1.0,1
107,1044.24,18.25,19.300000000000082
5989,511.09,3.46,3.6299999999999972
1775,714.29,4.54,5.099999999999998
3343,50.41,1.1,1.1300000000000001
2289,149.35,1.3,1.3300000000000003
1491,1352.21,28.21,31.450000000000117
7106,17.61,1.13,1.1900000000000002
6272,33.93,1.16,1.2100000000000002
3190,34.36,1.16,1.1900000000000002
1307,1.0,1.0,1
6241,99.58,1.31,1.3000000000000003
6530,200.26,3.96,3.010000000000002
589,1351.87,19.95,20.890000000000004
1136,673.54,3.98,4.029999999999999
5062,1447.72,22.28,22.570000000000018
5058,132.68,1.59,1.4000000000000004
3644,1.09,1.05,1.1
1037,1.0,1.0,1
1083,1.0,1.0,1
14,1.0,1.0,1
43,1632.62,69.28,67.63999999999996
1715,1.0,1.0,1
6337,264.45,4.63,4.99000000000003
1765,1273.04,15.15,15.650000000000032
1358,18.09,1.22,1.2200000000000002
1363,115.54,1.33,1.3300000000000003
2369,1.08,1.14,1.1
2569,1.0,1.0,1
1629,1.07,1.07,1.1
4417,872.81,10.47,8.989999999999988
5552,1.08,1.11,1.1
5125,267.32,3.4,3.8600000000000096
1677,1638.9,111.14,114.58999999999997
1488,1.0,1.0,1
5657,364.4,1.76,1.8300000000000003
1612,1087.84,10.37,10.510000000000005
3139,1.1,1.14,1.1
2447,1.06,1.11,1.1
176,1.0,1.0,1
2958,148.14,1.35,1.3800000000000003
3398,562.03,4.6,4.689999999999995
1359,1104.54,11.25,12.519999999999984
1193,1.0,1.0,1
2161,132.13,1.27,1.4100000000000001
533,1642.4,92.32,94.64999999999999
2718,1.11,1.06,1.1
2468,117.24,1.46,1.46
6696,216.46,2.21,2.1199999999999983
4940,1450.16,28.09,27.730000000000015
4801,1.19,1.21,1.2000000000000002
27,1.0,1.0,1
4882,66.88,1.28,1.2800000000000002
5553,101.06,1.48,1.3400000000000003
5797,991.44,8.82,9.15000000000001
2768,132.8,1.44,1.5499999999999998
540,1515.65,32.16,28.990000000000084
2539,100.6,3.54,3.7100000000000093
2911,152.22,1.93,1.73
6705,34.54,1.56,1.4500000000000004
2507,132.55,2.73,2.4199999999999973
3938,429.77,14.79,13.030000000000085
5705,1.1,1.07,1.1
2586,398.25,5.74,5.54000000000002
1513,1448.52,28.93,28.370000000000037
3942,1004.67,13.66,12.259999999999998
3871,445.71,2.79,3.0599999999999996
5772,1.24,1.15,1.2000000000000002
1442,1415.19,21.86,22.19000000000003
466,1.0,1.0,1
2098,1.0,1.0,1
187,561.63,4.41,4.819999999999994
6142,66.77,1.22,1.2700000000000002
