n0,monte_carlo,monte_carlo_max_hop,two_hop
2652,223.09,1.51,1.4
1235,1.0,1.0,1
3234,362.1,3.67,3.199999999999999
5332,2008.62,190.05,224.60000000000002
395,2006.95,65.44,65.88000000000004
593,161.36,1.13,1.32
6727,242.41,20.1,36.91999999999967
4389,381.96,5.37,5.359999999999991
771,2010.68,169.53,188.03999999999996
2995,1.29,1.21,1.2
4774,1265.07,20.78,19.52000000000001
475,2007.59,119.08,123.43999999999998
4156,422.89,3.53,2.999999999999999
1758,844.8,8.67,7.9599999999999875
307,2007.32,231.6,251.08000000000013
704,2007.67,133.52,142.2400000000002
3552,704.77,9.52,12.040000000000031
3425,422.16,2.71,2.560000000000001
572,1868.02,59.06,58.60000000000002
1971,1991.08,79.94,77.92000000000006
743,2009.84,242.18,293.6399999999998
4514,182.05,1.32,1.3599999999999999
3477,1.0,1.0,1
484,1.53,1.45,1.44
6773,524.16,2.45,2.520000000000001
4632,2012.14,209.11,260.1199999999999
1014,2009.06,187.98,211.04000000000005
1828,2008.26,210.67,241.23999999999995
5166,683.62,3.56,2.920000000000001
5139,1.24,1.23,1.2
4775,1888.75,74.44,70.99999999999966
506,2007.53,121.6,134.36000000000013
4727,1.0,1.0,1
4796,1810.63,51.37,68.15999999999964
3249,924.82,10.32,8.119999999999985
406,1.18,1.21,1.2
1811,1106.95,7.22,7.039999999999999
381,1947.69,68.39,68.48000000000002
4560,1.0,1.0,1
7032,1.27,1.21,1.24
1090,1.0,1.0,1
2372,363.97,2.21,2.2800000000000002
3433,2009.89,216.53,227.27999999999986
1181,1.0,1.0,1
4429,823.53,33.81,28.800000000000225
964,643.8,3.03,3.3599999999999994
4676,1146.57,19.7,18.560000000000002
2527,61.56,1.36,1.32
4589,342.76,2.88,3.159999999999999
6685,444.34,10.68,10.480000000000027
5586,121.86,1.61,1.56
1480,2008.54,117.92,133.8000000000002
844,1208.15,8.77,9.400000000000004
4764,361.8,2.89,3.4399999999999977
4679,2009.96,148.12,160.5999999999998
5233,1667.84,22.68,29.040000000000028
1539,884.36,5.58,6.0399999999999965
3050,1387.22,35.16,37.64000000000018
798,2007.53,120.7,140.23999999999972
4487,746.85,2.72,3.2800000000000007
5833,522.64,10.15,12.320000000000054
514,2009.4,63.7,67.68
4623,943.07,5.11,5.480000000000001
488,1.0,1.0,1
5070,323.64,11.28,12.68000000000005
1687,2005.76,439.4,567.6799999999997
4066,543.32,10.81,10.840000000000032
5573,41.63,1.71,1.68
4355,2009.87,96.25,105.3599999999999
3502,1.26,1.25,1.2
6367,1791.1,51.03,56.23999999999965
2573,1569.15,21.73,25.960000000000065
3814,723.77,6.08,6.399999999999994
4796,1810.31,75.76,68.15999999999964
3712,2009.33,143.21,176.63999999999965
2962,182.14,1.77,1.72
2455,1.0,1.0,1
2035,1684.26,28.06,26.000000000000046
6507,121.79,1.29,1.24
1472,323.09,1.95,1.9600000000000002
5726,363.16,1.67,1.6800000000000002
6388,342.76,2.38,2.1600000000000006
1999,1.0,1.0,1
670,1.0,1.0,1
4705,1448.96,25.76,24.840000000000003
2459,383.26,9.89,11.12000000000003
4302,262.68,1.79,1.52
4055,1765.83,51.0,51.00000000000009
2813,562.62,3.14,3.9599999999999973
5975,1.25,1.19,1.2
3676,502.69,2.58,2.480000000000001
2358,1366.23,8.04,8.28
4988,101.42,1.34,1.3599999999999999
599,1.2,1.22,1.2
967,2006.85,192.81,208.68000000000006
4193,845.24,2.76,2.6800000000000006
3425,301.7,2.9,2.560000000000001
1351,1707.35,35.89,36.40000000000003
6202,1.28,1.2,1.2
2802,321.89,1.52,1.56
