n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
1857,3034,3075,1034,1582,5773,358,697,1121,2027,6645,1654.47,65.32,71.10000000000008
4148,1715,3282,5258,248,3761,3992,3712,3198,4054,4695,1655.11,75.92,70.56999999999995
1574,6803,3298,733,3973,1918,6217,163,5743,2185,4261,1652.34,89.89,91.25000000000003
3339,3885,3105,5947,931,5430,2116,795,6670,516,3165,1658.94,113.55,116.15000000000018
5080,6795,3090,882,5413,475,2772,1920,5663,704,4076,1656.95,103.05,109.71000000000016
5322,4233,1703,4763,6622,1164,4970,527,4421,306,4003,1657.36,99.97,111.09000000000009
5749,1588,1214,7047,4742,3737,5971,4787,3646,2340,4565,1655.07,72.43,73.50000000000011
2922,7004,3490,1105,1296,6261,4925,799,4356,5653,2570,1656.36,84.2,83.74999999999993
5751,2924,5274,6909,4052,4125,5111,1619,2529,1230,2914,1655.52,66.38,72.14000000000004
4331,2329,4176,5382,585,6620,7018,4156,5745,4464,1801,1475.97,34.93,34.300000000000054
2819,1997,97,2422,2811,1800,2185,275,3468,2087,3087,1658.61,66.56,64.45000000000005
2444,6834,5778,3415,1435,5385,3246,952,1361,5432,6980,1591.45,58.6,57.840000000000046
209,1653,6278,1316,2457,954,108,6524,6261,3116,2800,1047.73,19.31,19.849999999999998
6851,1393,4662,3568,1898,1139,3359,4620,3654,3335,3423,1145.02,23.15,24.58000000000001
656,4821,573,2365,5872,779,278,698,5433,872,6260,1651.88,164.82,181.96999999999974
4267,4319,2950,1258,6616,4136,3999,5801,1216,4951,515,1648.14,130.69,140.15000000000015
1553,138,1150,2791,3164,5392,4699,989,6092,2452,2879,1655.55,113.57,110.71000000000008
2665,2998,24,5290,6845,4087,1720,496,5056,271,6220,1664.91,266.28,299.88999999999976
6623,6688,4751,1408,1456,2764,3531,3616,990,682,1642,1659.33,169.2,182.0300000000001
4959,1834,4073,6646,3876,6473,1265,3121,999,888,4757,1569.64,47.59,52.8700000000001
5906,3708,5307,1035,5892,3600,4214,5943,740,5861,3860,1639.85,69.35,75.37000000000009
4619,3225,6688,2955,3730,1847,417,1617,400,3655,912,1551.8,51.25,53.02000000000008
886,1730,5940,37,5802,4920,5009,185,5367,2982,6793,1652.32,130.48,133.52000000000007
3542,4324,764,6135,6190,4916,4117,6711,5776,4661,1643,1653.6,192.7,214.99999999999977
4108,1879,2655,4306,3146,6094,4258,5302,1607,54,2372,1656.69,74.9,81.39000000000014
5023,2428,654,6089,2629,3300,1832,5180,2428,652,4483,1458.63,28.4,31.980000000000064
3436,6096,3024,6609,6068,6967,2628,4229,2475,5120,6809,1233.43,25.94,24.75000000000001
2923,6416,2423,5336,6928,895,1603,3974,3030,3101,4792,1212.36,31.81,30.179999999999918
6939,2555,1681,2379,3252,5021,3141,6902,5606,4289,5657,1615.22,49.47,48.68
5964,2914,6724,5537,4955,4793,2967,5513,3502,1604,4013,1611.76,56.29,60.45999999999998
6739,4333,4155,6866,671,2202,1338,562,4081,6005,7097,1659.11,93.92,97.85000000000014
