n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
1100,4662,6942,6572,6256,516,2089,965,4058,6233,3682,3868,5337,1659.65,85.41,94.41000000000003
3109,6461,1719,768,3996,232,6846,3193,3545,4976,6244,6284,17,1654.37,157.16,167.94999999999996
5700,3648,2181,5910,6568,1874,4842,837,2600,250,182,208,5321,1642.35,81.01,85.76000000000009
4435,75,3122,5623,1774,3457,5946,237,4322,1816,6256,3587,4061,1214.39,24.6,24.580000000000005
4529,1909,2831,1891,5544,1792,6233,3765,2373,176,3409,6861,4558,1651.67,52.92,55.889999999999986
5261,819,1522,5155,5928,7044,2428,990,6087,2725,5910,5826,4102,1659.71,116.51,116.74
3457,4159,6799,5491,1555,2485,2327,4813,4090,6932,4139,3222,4825,1659.47,115.56,118.22000000000021
6990,282,3934,1988,6092,6532,3311,3394,5445,1417,3007,4495,5759,1650.58,62.48,64.36000000000006
6355,5525,6047,3069,708,3595,5437,4165,884,6377,1341,4267,6880,1643.73,63.6,65.07999999999994
3221,3035,4011,6002,242,3844,356,2527,5762,6949,5036,4859,4736,1581.29,36.16,39.58
3224,5301,1395,1381,4114,1859,100,6312,1634,4420,7047,4491,1901,1655.4,72.71,73.49000000000007
3313,4208,2816,6942,4733,2894,3761,2205,5400,4489,4988,5975,46,1591.37,61.0,58.540000000000035
3143,6419,7020,6721,6066,4198,6628,1058,4249,6368,4598,1683,3490,1646.19,68.79,74.51999999999984
459,3941,2987,4669,4541,1637,4134,3386,3972,6662,2922,3394,2835,1663.66,106.91,114.06000000000007
12,4411,4424,5107,6442,5017,2712,3753,4914,229,6591,1880,5204,1663.51,161.1,185.57999999999984
1451,4511,4787,1480,7053,750,6540,4514,6529,6973,6688,2091,265,1658.45,78.22,77.6300000000001
6895,5514,577,681,7111,136,3710,119,6177,6189,2303,2044,2200,1660.31,156.97,167.72000000000017
896,6531,5118,1512,2821,2378,569,1371,1307,2090,4320,1377,5379,1651.51,171.42,186.80000000000015
2235,5310,5829,2412,3724,5755,2637,4067,3881,935,193,2555,3166,1508.82,51.15,47.06999999999993
2812,3448,6522,1540,2116,890,2076,5981,4178,1712,4961,3536,6693,1662.78,59.37,62.20000000000001
170,1846,146,3254,1199,289,5888,1312,3650,5772,4147,5555,3495,1660.26,92.91,97.89999999999995
4462,6817,1807,5167,6535,5693,4231,3693,1828,4291,5312,251,3235,1653.03,231.73,276.44999999999993
5528,4717,6581,2631,5405,5168,3492,481,6041,2446,1029,1737,388,1638.29,50.99,50.800000000000004
2509,579,7032,626,2542,2440,6093,1296,3409,4627,2067,1068,69,1656.13,133.11,134.87000000000018
4593,6967,310,4838,6712,1782,4671,3775,1405,6782,7108,6389,5767,1655.71,137.3,153.62000000000006
5103,4168,306,3096,1641,2842,811,1685,4697,5522,3546,4844,1590,720.57,17.87,17.88
4033,855,5455,3195,2425,4129,4094,140,2665,5014,3295,2304,148,1665.16,250.37,270.9199999999998
1285,1645,7024,2684,6644,4614,6411,1107,2777,3516,1745,2183,5525,1665.03,171.14,182.25000000000003
789,6862,3106,4486,2816,6862,5628,4377,3969,6291,4362,1922,535,1660.51,197.15,225.0099999999998
5943,330,693,1089,1390,1364,4409,1744,2195,6218,2721,4916,4144,1657.22,178.64,180.54000000000002
6890,2091,3015,2775,2787,933,2385,1926,7105,4947,6385,5858,4004,1645.49,62.59,65.37000000000012
1108,4751,4515,6309,854,2627,320,3330,599,3114,7095,6456,1206,1657.66,72.25,72.13000000000001
6787,1024,2792,939,5039,4812,6405,3096,627,4675,4507,1832,4636,1657.05,103.57,106.52000000000012
669,2185,2989,2421,4623,4376,936,3750,2270,882,6447,374,6781,1656.84,190.72,212.90000000000006
2422,101,5027,5492,119,751,3387,942,6767,6470,327,1539,1963,1652.83,140.12,155.3600000000002
6434,4807,3448,1327,946,3693,1371,5577,1977,1302,6094,6922,842,1652.91,79.46,82.06000000000003
3564,3098,6606,4447,6703,2408,4507,2075,5829,3907,2576,820,1700,1641.04,102.33,114.53000000000009
5341,2600,324,223,86,6445,2421,5951,4887,2623,3685,3205,2566,1654.73,101.18,111.27000000000018
3264,515,525,2599,4927,3734,912,2048,1762,6431,5061,6372,4447,1626.53,83.95,86.2900000000001
7107,5637,3841,5421,2914,2122,1500,4436,1702,2517,1631,2018,2952,1640.18,109.27,113.11000000000001
666,6717,2300,732,6170,3669,741,5341,4705,5271,2776,1863,3198,1654.9,181.48,196.7999999999999
2513,336,2680,1530,2594,6494,6939,4743,2480,2013,2738,826,4458,1667.87,396.86,461.0700000000012
5008,4743,6615,4882,754,2007,1803,166,6621,1996,3291,592,2195,1614.41,53.64,56.02000000000007
4515,7107,580,5973,615,176,5205,81,2382,6149,6489,2942,4040,1176.87,22.37,22.639999999999993
3840,7066,7037,1263,826,4107,6371,6512,2687,631,4171,5449,1419,1636.78,67.58,61.139999999999944
1471,6358,1225,1159,6730,7090,2619,2503,875,5810,4213,6837,4930,1652.97,83.69,86.82999999999997
2404,1034,1693,1160,4468,5919,260,6387,2589,6725,5107,6585,5506,1655.06,67.87,68.94999999999999
