n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
1857,3034,3075,1034,1582,5773,358,697,1121,2027,6645,4148,1715,2012.92,205.29,232.3200000000002
3282,5258,248,3761,3992,3712,3198,4054,4695,1574,6803,3298,733,2020.34,379.37,493.27999999999923
3973,1918,6217,163,5743,2185,4261,3339,3885,3105,5947,931,5430,2018.65,275.16,322.2800000000005
2116,795,6670,516,3165,5080,6795,3090,882,5413,475,2772,1920,2014.92,284.42,313.12000000000023
5663,704,4076,5322,4233,1703,4763,6622,1164,4970,527,4421,306,2023.16,407.63,526.3200000000004
4003,5749,1588,1214,7047,4742,3737,5971,4787,3646,2340,4565,2922,2017.81,233.21,248.04000000000025
7004,3490,1105,1296,6261,4925,799,4356,5653,2570,5751,2924,5274,2019.33,268.5,296.9199999999996
6909,4052,4125,5111,1619,2529,1230,2914,4331,2329,4176,5382,585,2016.63,244.23,273.28000000000037
6620,7018,4156,5745,4464,1801,2819,1997,97,2422,2811,1800,2185,2023.17,62.01,65.12000000000002
275,3468,2087,3087,2444,6834,5778,3415,1435,5385,3246,952,1361,2016.66,280.88,353.36000000000024
5432,6980,209,1653,6278,1316,2457,954,108,6524,6261,3116,2800,1917.44,42.95,44.31999999999997
6851,1393,4662,3568,1898,1139,3359,4620,3654,3335,3423,656,4821,2013.74,463.52,636.4400000000003
573,2365,5872,779,278,698,5433,872,6260,4267,4319,2950,1258,2013.2,207.93,237.79999999999995
6616,4136,3999,5801,1216,4951,515,1553,138,1150,2791,3164,5392,2015.57,384.42,473.5600000000002
4699,989,6092,2452,2879,2665,2998,24,5290,6845,4087,1720,496,2020.32,717.42,1102.6800000000019
5056,271,6220,6623,6688,4751,1408,1456,2764,3531,3616,990,682,2016.78,518.47,753.7999999999998
1642,4959,1834,4073,6646,3876,6473,1265,3121,999,888,4757,5906,2018.22,192.93,203.20000000000041
3708,5307,1035,5892,3600,4214,5943,740,5861,3860,4619,3225,6688,2021.83,281.99,332.8000000000001
2955,3730,1847,417,1617,400,3655,912,886,1730,5940,37,5802,2016.08,400.56,485.96000000000043
4920,5009,185,5367,2982,6793,3542,4324,764,6135,6190,4916,4117,2017.84,224.89,274.80000000000024
6711,5776,4661,1643,4108,1879,2655,4306,3146,6094,4258,5302,1607,2023.48,466.02,635.8399999999992
54,2372,5023,2428,654,6089,2629,3300,1832,5180,2428,652,4483,2016.98,202.25,227.20000000000056
3436,6096,3024,6609,6068,6967,2628,4229,2475,5120,6809,2923,6416,2019.98,84.89,82.08000000000006
2423,5336,6928,895,1603,3974,3030,3101,4792,6939,2555,1681,2379,2013.91,166.24,179.15999999999963
3252,5021,3141,6902,5606,4289,5657,5964,2914,6724,5537,4955,4793,2022.08,196.24,201.71999999999986
2967,5513,3502,1604,4013,6739,4333,4155,6866,671,2202,1338,562,2017.2,271.24,328.7600000000001
4081,6005,7097,2219,3438,6390,958,5116,6793,6758,2244,2389,2245,2022.97,654.11,900.1200000000005
6588,6761,4130,2200,2271,5178,3373,2003,2960,2013,2031,6473,4134,2028.31,903.84,1415.1200000000038
6122,3751,2047,1918,6662,6643,4887,4302,6797,1600,3014,4068,6396,1918.52,55.89,61.76000000000012
866,6499,914,3178,689,5363,1398,6391,4642,3502,369,6440,1120,2016.35,93.92,103.6
180,4999,1566,5611,2167,713,781,3790,3766,5482,2312,4637,759,2013.77,451.37,575.4400000000003
1034,4973,2929,7086,5346,540,2620,6476,317,6845,687,7037,1124,2019.53,188.85,204.36000000000024
5354,6591,3000,6786,614,6674,1890,5936,303,4913,6473,2615,1821,2021.93,178.73,203.56000000000034
2429,6095,2928,2677,541,4260,933,5909,4993,2851,3559,1308,1286,2017.06,284.6,332.1600000000005
2088,3189,1218,3532,5962,6407,533,817,4378,1823,672,2401,1447,2015.94,522.3,717.3199999999999
2760,6139,1629,893,416,468,4553,6442,6030,1455,6759,1398,4583,2017.31,245.65,262.2400000000004
5239,2676,2419,1984,6030,4099,3923,908,4610,5884,679,1126,6140,1817.84,46.07,45.95999999999997
1086,1846,2677,1786,3340,1424,1384,1106,6242,3607,498,5692,3672,2014.68,414.54,523.0800000000002
4796,5470,5027,2353,3398,6671,3576,4737,5624,6039,3047,5669,4620,2020.24,278.62,315.0399999999998
5816,4011,3002,6017,6914,6387,4325,1535,2529,2179,5571,3898,6824,2026.36,453.6,627.1199999999997
1047,6872,6863,2268,4095,5204,4149,4371,6462,4193,2368,6610,1781,2022.16,78.21,82.75999999999996
4657,4313,3200,6281,1104,6757,4003,5303,3898,1017,2385,3228,262,2017.8,314.61,398.9999999999999
286,3043,4150,2425,2842,3072,5725,226,5090,1173,6801,5639,118,2018.74,906.84,1523.8000000000038
652,6780,1512,3677,4750,1043,6289,6894,3485,4621,5163,4740,885,2019.47,180.37,198.39999999999958
3053,4115,324,4925,5863,5373,3020,2933,870,2619,5326,836,3904,2017.04,284.73,339.16000000000076
6908,1390,5293,1931,3906,2991,4721,2836,3045,6171,6619,3518,3071,2021.72,210.42,245.68000000000023
6084,5150,5490,316,6017,1152,5815,5431,5330,2565,499,265,1905,2017.79,238.81,268.20000000000033
4177,2953,3961,3001,3899,4599,1418,2471,1142,5300,2182,6438,186,2023.19,324.06,392.8799999999996
6416,3611,6073,2357,4784,5607,2136,3721,6893,2428,2372,3302,7045,2019.63,393.54,482.8800000000003
4073,3662,5378,5154,729,4089,5356,3594,2793,1112,4738,6033,886,2017.3,377.95,456.4400000000003
2960,5879,4918,5463,3739,2963,3850,4693,3142,1664,4477,4286,5810,2022.86,106.74,109.2400000000001
4833,1423,6406,1196,4130,6743,282,724,4490,6496,5449,6218,2550,2020.25,507.38,728.9600000000008
1783,1207,5210,3283,2076,6546,1616,947,114,299,3629,5886,6791,2019.62,247.58,277.6400000000001
1735,2592,2574,228,44,6029,136,6042,1049,4717,2477,5247,2544,2015.27,212.09,222.47999999999993
90,362,6656,1748,2695,2594,7001,765,3395,1921,6936,3,5583,2017.32,162.09,173.28000000000011
785,4229,4185,1659,3944,6193,5872,6710,3453,916,3482,4150,1210,2017.68,352.34,434.7200000000001
610,1195,5389,5811,6377,6444,5447,5776,2836,4892,3573,5380,408,2027.54,1020.64,1639.400000000004
2072,3357,5685,5435,1631,227,2332,526,6305,3999,2581,5701,1321,2014.91,399.11,465.2800000000001
1847,452,3251,6778,5677,2533,2155,2521,4278,2266,4938,176,3326,2016.59,112.35,118.20000000000002
6510,1707,5761,5674,5692,5743,1728,1548,916,6613,6322,5367,7098,2019.44,304.1,362.8399999999999
6391,4049,1277,5863,6756,2576,1956,5353,674,3562,2833,4145,6758,2016.89,369.74,468.0000000000001
4501,5602,4081,3793,5019,2988,5059,1120,5052,1357,3841,792,1812,2018.99,225.26,253.75999999999965
4249,6525,2759,5000,1324,4548,1965,1809,3486,5920,5539,4893,1646,1997.9,70.15,71.91999999999997
2767,5632,1051,4614,6343,2183,590,3641,2648,4680,1154,5413,1938,2021.19,451.93,544.5199999999998
5897,4864,3258,6880,173,2580,3269,2913,6298,2542,970,967,3163,2017.06,392.86,512.8000000000006
5553,7019,5447,7028,3658,3369,4903,86,3993,2769,4488,5867,7046,1980.39,89.37,87.92000000000019
1641,133,6185,124,5771,4974,5632,4099,2612,3051,5777,3965,4756,2019.36,80.23,83.48000000000003
846,5008,1435,933,447,3643,2260,666,4485,231,1624,2034,5172,2014.04,590.55,815.4399999999999
611,490,2747,2823,3151,5805,2563,3991,4958,1296,4019,6033,6517,2017.33,274.1,320.2800000000002
2251,5150,484,3911,6857,3833,4787,6246,2017,6592,4431,5466,6416,1999.87,70.34,71.83999999999993
5658,473,4210,6273,4163,5325,3285,3676,4285,3883,6576,5476,1309,2017.8,130.66,140.20000000000036
963,4699,5033,4180,6615,5708,1402,2700,6031,2403,4640,4475,3268,2019.13,487.43,671.16
5112,946,3658,4540,1496,2441,1304,6130,6491,2924,2892,4333,457,2018.05,199.71,216.00000000000028
5558,3278,4970,2255,578,2020,4521,6824,5851,5639,3864,3590,2334,1919.62,54.53,55.12000000000011
5744,1555,3907,4488,541,5337,516,5155,6959,2394,559,1486,3234,2014.78,412.65,532.0399999999996
829,4481,1014,1490,1509,5885,3976,2642,4657,1946,5783,1582,3588,2015.77,351.54,432.60000000000025
2047,6289,3107,242,4258,2853,2497,977,4317,4230,4022,4689,323,2018.25,441.25,549.0000000000001
4777,773,3633,5965,3015,2086,2691,870,862,1583,3985,3476,4650,2015.15,566.87,770.1600000000002
3687,823,5659,6923,1066,227,2887,1033,3192,3670,2727,5489,4260,2018.36,328.86,404.27999999999946
5652,3474,4871,906,6430,3113,3851,5540,5193,3423,6824,1034,6367,2021.91,393.62,480.2799999999995
607,5888,1490,1929,3636,1647,2261,4969,4592,6866,5466,6849,1226,2020.8,214.98,225.28000000000037
1735,4273,9,6677,2732,2991,708,6541,1350,4138,2616,4604,6798,2017.46,442.88,560.7599999999995
7023,3413,5933,2459,1117,1799,3084,105,4849,878,1261,1811,529,2020.25,397.95,477.1599999999995
6956,6291,1306,5275,1202,4050,2362,4452,3172,721,3606,5823,2367,2019.68,278.02,325.6400000000003
612,3151,3618,4070,3568,2741,3965,5986,1917,2537,361,4741,5554,1935.52,56.23,56.32
832,169,4585,5087,2966,5325,5764,3484,102,5939,2114,5753,3032,1818.73,41.68,43.52000000000006
336,5328,5145,1445,5105,532,4467,3984,429,4125,140,430,5916,2014.6,735.39,1111.9599999999996
822,2612,1124,2046,6695,2961,6918,2907,6560,4123,5428,4415,2939,2020.06,425.63,553.6800000000006
6867,675,1976,5253,1547,4169,1956,2300,801,5142,3434,246,1571,2015.73,220.42,233.76
188,923,6253,3341,2591,1214,4096,2195,1853,474,2685,2915,4196,2020.26,480.91,597.88
3118,6248,4323,1342,7034,5084,2629,6478,6212,5188,5143,5720,2488,2021.23,90.78,92.72000000000003
1308,169,5688,2216,5984,6790,130,4324,359,5107,5001,6574,2419,1999.12,72.44,75.15999999999997
4532,1152,2464,4449,4921,1697,222,1144,5707,349,5907,4249,6236,2019.73,427.72,540.9600000000004
4949,1075,2893,2238,3638,5926,5481,2134,2837,5764,2475,5837,5594,2019.1,93.63,105.00000000000009
1110,2979,3745,3643,5026,5687,1876,6201,4279,5525,5138,6575,4472,2019.86,510.91,652.88
