n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
6917,3155,6209,3445,331,2121,4188,3980,3317,6420,6798,2484,3904,2933,4779,1658.46,146.04,148.1599999999997
1789,4134,1140,2308,1144,6191,776,5065,6548,2052,4362,5776,6637,4930,1203,1662.01,242.77,278.23999999999967
2540,809,5978,604,6967,5603,2704,3867,4585,824,2898,3556,2590,5004,5246,1643.0,81.88,80.66999999999994
1675,4526,3907,3626,7088,4270,2133,510,6594,4494,115,764,5895,6882,3267,1662.82,162.29,184.95000000000002
5818,6757,6431,5473,5122,9,5012,4043,6783,7107,2729,1998,5982,2664,5764,1664.87,119.77,128.23000000000016
515,1565,4649,1816,1954,6581,1167,6579,4448,3669,747,659,2621,4161,4008,1657.77,137.4,151.84999999999988
893,2469,4515,2384,5788,1022,4484,2725,6672,4426,1664,6548,4941,4482,4813,1664.59,126.21,134.06999999999994
2356,3645,750,4884,6536,3153,2597,4715,1983,2378,1506,1551,6729,1529,270,1664.11,181.99,193.2200000000003
5019,5379,2130,3903,565,735,5560,6206,1066,1225,316,6901,657,5728,6794,1659.4,166.42,176.4100000000002
4428,5599,3205,6863,5777,4297,2257,4274,6648,1929,6958,1762,5566,4831,6760,1653.24,71.83,74.9300000000001
3435,4748,2254,3691,4035,5408,5252,5736,6498,2927,674,2656,5019,944,3984,1660.7,99.88,99.46999999999998
4809,5162,2746,6922,1559,1990,132,5992,2220,959,5778,1806,3047,6509,1396,1650.12,328.83,380.2399999999994
2724,3490,6683,509,824,6415,1198,7006,5715,1792,370,6693,4701,5195,4376,1660.87,171.26,195.38
4932,5575,606,218,1019,5201,1544,4967,6800,4718,980,3204,749,3032,6830,1658.71,296.48,349.95999999999987
950,298,4960,177,1594,1515,5882,1014,3925,1725,5956,6559,500,5565,186,1653.59,126.69,134.93
4458,3486,5083,831,6847,2129,573,1809,589,5299,2466,2869,3572,1477,500,1654.26,108.81,116.14999999999988
4125,3826,322,4886,826,5728,3205,1633,2131,2937,5993,3852,6867,4667,1387,1657.72,180.26,199.72999999999982
5715,5510,1666,6286,475,6460,5539,1296,6925,1326,2804,4337,2053,960,4888,1660.25,157.41,170.5000000000001
3623,5452,1432,108,3863,5581,3357,4662,4166,2551,5316,2925,3183,6862,5387,1474.58,51.77,45.599999999999916
2055,1256,4592,5659,101,3751,6074,647,2751,6054,374,4459,2300,1104,1967,1655.95,141.5,139.41000000000003
6243,3947,2885,4998,2358,5516,2942,4835,5191,6994,5087,1084,5862,2541,3178,1666.49,124.01,135.73000000000002
