n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
1100,4662,6942,6572,6256,516,2089,965,4058,6233,3682,3868,5337,3109,6461,2022.2,280.5,318.3200000000002
1719,768,3996,232,6846,3193,3545,4976,6244,6284,17,5700,3648,2181,5910,2022.53,484.69,594.6799999999997
6568,1874,4842,837,2600,250,182,208,5321,4435,75,3122,5623,1774,3457,2016.56,243.15,269.3200000000002
5946,237,4322,1816,6256,3587,4061,4529,1909,2831,1891,5544,1792,6233,3765,2022.58,137.88,149.40000000000003
2373,176,3409,6861,4558,5261,819,1522,5155,5928,7044,2428,990,6087,2725,2022.65,346.96,408.4399999999998
5910,5826,4102,3457,4159,6799,5491,1555,2485,2327,4813,4090,6932,4139,3222,2019.33,340.6,421.8000000000007
4825,6990,282,3934,1988,6092,6532,3311,3394,5445,1417,3007,4495,5759,6355,2023.32,191.86,203.56000000000026
5525,6047,3069,708,3595,5437,4165,884,6377,1341,4267,6880,3221,3035,4011,2020.1,185.22,201.9999999999996
6002,242,3844,356,2527,5762,6949,5036,4859,4736,3224,5301,1395,1381,4114,2020.0,199.71,216.64000000000001
1859,100,6312,1634,4420,7047,4491,1901,3313,4208,2816,6942,4733,2894,3761,2021.64,192.95,215.64000000000033
2205,5400,4489,4988,5975,46,3143,6419,7020,6721,6066,4198,6628,1058,4249,2021.38,166.82,186.11999999999972
6368,4598,1683,3490,459,3941,2987,4669,4541,1637,4134,3386,3972,6662,2922,2022.95,391.11,494.8399999999999
3394,2835,12,4411,4424,5107,6442,5017,2712,3753,4914,229,6591,1880,5204,2020.01,520.56,666.7199999999997
1451,4511,4787,1480,7053,750,6540,4514,6529,6973,6688,2091,265,6895,5514,2019.37,236.24,273.9600000000003
577,681,7111,136,3710,119,6177,6189,2303,2044,2200,896,6531,5118,1512,2017.6,497.39,630.9200000000003
2821,2378,569,1371,1307,2090,4320,1377,5379,2235,5310,5829,2412,3724,5755,2017.09,483.96,675.7599999999999
2637,4067,3881,935,193,2555,3166,2812,3448,6522,1540,2116,890,2076,5981,2018.68,87.32,91.39999999999998
4178,1712,4961,3536,6693,170,1846,146,3254,1199,289,5888,1312,3650,5772,2017.1,374.29,450.3999999999998
4147,5555,3495,4462,6817,1807,5167,6535,5693,4231,3693,1828,4291,5312,251,2018.74,596.06,960.6399999999995
3235,5528,4717,6581,2631,5405,5168,3492,481,6041,2446,1029,1737,388,2509,2016.31,143.65,153.91999999999993
579,7032,626,2542,2440,6093,1296,3409,4627,2067,1068,69,4593,6967,310,2017.66,387.96,459.20000000000044
4838,6712,1782,4671,3775,1405,6782,7108,6389,5767,5103,4168,306,3096,1641,2019.21,407.52,516.6
2842,811,1685,4697,5522,3546,4844,1590,4033,855,5455,3195,2425,4129,4094,2021.21,129.27,139.16000000000017
140,2665,5014,3295,2304,148,1285,1645,7024,2684,6644,4614,6411,1107,2777,2024.7,779.73,1176.0000000000016
3516,1745,2183,5525,789,6862,3106,4486,2816,6862,5628,4377,3969,6291,4362,2025.64,699.52,1015.9199999999993
1922,535,5943,330,693,1089,1390,1364,4409,1744,2195,6218,2721,4916,4144,2017.01,502.5,628.8800000000001
6890,2091,3015,2775,2787,933,2385,1926,7105,4947,6385,5858,4004,1108,4751,2017.15,264.53,299.72000000000054
4515,6309,854,2627,320,3330,599,3114,7095,6456,1206,6787,1024,2792,939,2015.24,213.04,228.72000000000017
5039,4812,6405,3096,627,4675,4507,1832,4636,669,2185,2989,2421,4623,4376,2019.01,305.45,374.3600000000004
936,3750,2270,882,6447,374,6781,2422,101,5027,5492,119,751,3387,942,2016.98,706.84,1097.3200000000004
6767,6470,327,1539,1963,6434,4807,3448,1327,946,3693,1371,5577,1977,1302,2017.82,187.14,211.84000000000003
6094,6922,842,3564,3098,6606,4447,6703,2408,4507,2075,5829,3907,2576,820,2021.82,326.4,380.87999999999994
1700,5341,2600,324,223,86,6445,2421,5951,4887,2623,3685,3205,2566,3264,2017.25,365.2,464.4800000000009
515,525,2599,4927,3734,912,2048,1762,6431,5061,6372,4447,7107,5637,3841,2018.65,266.55,291.9200000000004
5421,2914,2122,1500,4436,1702,2517,1631,2018,2952,666,6717,2300,732,6170,2021.21,645.02,909.3199999999997
3669,741,5341,4705,5271,2776,1863,3198,2513,336,2680,1530,2594,6494,6939,2018.29,266.85,321.28000000000003
4743,2480,2013,2738,826,4458,5008,4743,6615,4882,754,2007,1803,166,6621,2025.97,956.37,1542.1600000000046
1996,3291,592,2195,4515,7107,580,5973,615,176,5205,81,2382,6149,6489,2017.75,110.91,108.00000000000011
2942,4040,3840,7066,7037,1263,826,4107,6371,6512,2687,631,4171,5449,1419,2019.34,180.07,199.3199999999997
1471,6358,1225,1159,6730,7090,2619,2503,875,5810,4213,6837,4930,2404,1034,2019.76,273.3,335.1999999999992
1693,1160,4468,5919,260,6387,2589,6725,5107,6585,5506,4529,6887,6112,5649,2022.29,161.94,172.88
1682,1459,2448,3544,4403,1293,397,5855,7062,5470,2025,2069,6371,527,5587,2017.85,189.06,215.75999999999993
3659,6621,3523,4499,2049,4434,3599,6973,4407,3713,89,3241,6850,2774,1405,2019.0,555.34,718.3199999999996
2113,3979,199,6496,5295,3413,4674,154,510,5666,2907,4751,1132,4862,1025,2022.99,494.28,619.9200000000003
1134,2122,6790,2268,3258,4620,3285,1410,5017,731,1913,3981,61,1454,4331,1940.29,59.7,56.96
2598,4103,5315,3590,5623,5235,5991,1849,1952,2563,4055,5627,3922,1843,5839,2020.35,309.25,379.0000000000003
3377,2760,4590,5007,5965,5352,2254,5295,1797,394,586,6252,4191,5286,3020,2020.79,247.45,287.8800000000001
1306,4191,6275,6491,1669,2554,2447,5673,2454,6954,4524,3044,1353,5744,5744,1956.59,77.63,83.72000000000006
6032,3807,4870,696,7014,1009,4965,4210,4679,3090,1444,1276,2052,3495,1782,2017.75,242.4,269.32
