n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
3792,5023,3058,2188,1134,1524,7098,5543,52,2771,4118,3798,4953,662,2736,4540,5051,1634.18,72.05,72.66000000000011
5735,335,5965,3104,1387,5762,3702,5939,3461,1287,1379,1949,420,908,1084,4147,4836,1652.38,137.12,141.83999999999995
518,6342,5639,3142,6468,6112,832,2385,1679,5523,1837,5944,6496,3455,718,6328,2185,1655.72,82.86,83.61000000000001
1719,3248,2303,2798,6631,353,1634,5806,43,3368,448,3103,6928,4028,1139,192,1939,1666.02,168.08,183.0899999999999
3479,6031,6969,917,4889,31,993,6261,4740,1619,6981,1663,2705,67,684,1091,4421,1674.33,218.02,237.3500000000002
143,4102,694,4693,4069,4403,1623,3441,563,3261,1574,5232,6266,765,5741,4749,1190,1654.37,93.04,99.4300000000001
1413,4988,5895,337,443,2211,4547,5596,4967,6979,1223,6104,2198,6036,4712,280,993,1661.47,97.05,98.22999999999999
5779,3296,1939,1324,5006,4136,352,6029,2997,6927,5522,4276,4835,4630,6345,5633,710,1640.27,90.39,89.66000000000014
7105,2844,900,7078,4785,2994,3697,1720,3294,1628,4705,6108,150,3104,6548,4978,2692,1530.28,47.18,49.11000000000002
5,3551,915,1748,1816,3637,2208,2660,6674,727,2516,5156,2333,844,4239,6423,451,1675.07,216.7,236.2199999999998
208,3124,6395,4591,6615,3511,4074,2835,5811,6371,2033,4636,6042,542,3481,5307,1891,1660.72,158.93,173.39000000000004
784,6231,3284,4176,3055,7044,4591,3025,1139,5468,2378,1401,5674,6908,2121,240,413,1658.38,158.21,176.14000000000024
6632,1415,2154,1345,985,4968,1215,97,399,498,3689,1708,6443,3185,2410,5009,121,1654.42,113.94,124.51000000000015
6542,2904,2334,1152,3939,4603,2275,1124,709,6123,4554,2424,5701,966,537,3440,3697,1660.74,131.1,135.42000000000002
1167,5765,4603,6260,6511,3137,4818,6576,1385,5432,5861,2245,6321,4892,4984,4050,2857,1663.41,69.54,71.67000000000002
812,396,2267,4332,1051,1419,6540,5158,6720,690,1328,6390,6468,1821,7037,106,1662,1663.54,208.66,233.81999999999968
1440,3880,3741,4845,4581,4468,3180,681,1417,4494,3949,4857,2149,4386,545,5333,235,1657.51,107.68,117.02999999999997
4759,4794,3569,4459,2529,4288,4317,4400,5256,6521,537,5265,4701,4441,2460,526,5938,1449.97,44.0,46.00999999999992
1837,5903,1126,845,816,5730,4027,3715,495,4015,5216,5959,433,5560,4939,239,3056,1657.03,153.65,166.43000000000015
1995,3757,1893,3041,6743,5976,4695,5119,4062,1991,294,5099,4890,693,5023,384,5554,1663.36,121.36,129.87000000000006
3356,3331,4821,564,661,1549,279,4981,6165,1485,691,531,244,2906,5116,3852,4481,1653.71,147.09,158.21000000000006
4387,3888,212,5763,6353,616,2734,693,6412,2633,70,3799,3679,4835,1217,3162,3917,1658.69,170.83,190.30000000000004
6822,1129,870,2857,5498,1894,3698,6389,1060,1574,1811,891,906,431,983,611,5286,1654.36,96.27,96.91000000000014
676,3050,848,6070,192,3829,5132,4276,1643,3026,5199,664,1934,44,2100,6253,4242,1661.91,266.1,306.11000000000007
5593,1616,126,3598,2074,5003,182,845,4255,6553,3417,473,2058,3895,6976,2581,4958,1654.83,169.76,170.31000000000023
1807,5234,480,5580,2254,1083,2458,318,6555,1529,2895,6441,3303,59,2479,7038,773,1654.61,297.29,333.24
241,2602,3598,2024,3412,4949,2635,4028,4615,2842,6857,3269,3523,1711,643,2264,2464,1624.64,57.43,54.070000000000014
3782,3822,5000,4656,3734,3603,3154,1526,2699,3294,482,2662,752,1397,2601,4455,220,1664.35,315.92,373.5600000000003
1544,1729,5829,2986,5396,1127,5123,703,2767,3662,4968,4911,6239,5490,6009,3152,1730,1661.97,121.03,128.39
5709,4439,6319,2747,621,156,5486,4525,3455,3855,1862,7101,5957,2651,6258,6828,6546,1662.14,137.79,152.66000000000014
4211,4115,811,3794,5872,26,2331,4370,1680,585,1832,88,2577,344,749,1221,2691,1658.08,233.12,266.80999999999966
1337,5682,786,4174,6750,6469,3307,5318,6879,3239,3190,4805,4146,7113,1104,4167,5654,1662.2,224.93,262.89999999999986
2927,2940,2211,1654,2625,3154,4647,1494,6549,5017,6366,7114,1459,4675,1405,77,2506,1655.53,138.16,155.2600000000001
5605,164,2281,3922,4280,7092,6180,5547,3499,6181,767,2234,2334,1177,4234,3698,3922,1660.45,173.7,186.73999999999998
5568,1901,1467,2711,1201,6128,5558,2847,6091,4922,416,4468,2282,2820,214,4739,1527,1669.18,135.08,147.61000000000013
4405,6377,5481,6242,791,3714,1102,2791,1726,6126,4449,1100,3463,1774,4221,1661,6874,1665.69,312.07,374.1600000000006
5617,4658,3466,82,6935,4545,404,6336,5862,2906,4064,3048,498,3050,6620,6542,3264,1662.17,200.6,218.4400000000001
3797,3583,5178,5952,1562,4554,808,1360,4812,695,2905,2131,2024,6286,3846,4305,1526,1663.74,132.68,138.69000000000014
6233,4351,98,5425,4422,2748,5491,1826,1419,230,462,5868,6994,4805,4760,1641,5384,1661.05,142.89,155.79
6818,2775,2322,5793,1063,2705,2438,3240,295,625,3324,6733,6386,2010,3719,3803,5690,1664.0,244.36,274.52000000000027
343,2575,1417,6872,1178,4705,5824,1635,5218,5466,6515,4286,4758,3124,6922,6200,6470,1665.0,122.1,127.60000000000014
4110,1245,6808,3106,270,3250,1148,2339,3408,3947,6129,1481,6848,6949,5452,5210,5055,1660.37,155.27,169.39
774,4197,4082,4263,2138,2078,3062,5018,6324,6961,2841,4398,114,1619,6048,480,5297,1662.67,195.75,217.1
4330,3796,2551,6975,845,1689,7050,123,1622,3806,5903,1010,2086,2543,2419,1847,94,1644.38,74.66,75.83000000000001
1459,5478,5211,3396,2227,3031,5231,2852,2647,4583,1314,4529,5573,239,1090,6076,1719,1660.74,119.3,125.2000000000002
729,384,1725,158,2116,6883,5815,3593,2933,2891,4567,6328,5778,618,769,5782,3344,1657.99,119.99,116.27000000000007
5806,3491,1444,484,1984,4689,1272,4163,4694,6931,3455,2982,5755,5426,1575,5244,2857,1668.54,131.34,137.45999999999975
5923,4222,4224,3348,279,1320,4469,2564,2267,3746,2380,2356,3573,6534,4363,3471,6125,1666.61,160.3,174.96999999999977
6229,850,466,2940,6724,5962,5573,5395,1825,3381,2126,2989,3703,3067,533,6608,3340,1662.73,153.77,162.96000000000004
4165,5979,1498,523,5308,968,6543,5871,5279,2642,3466,4050,156,2531,3567,645,3195,1665.86,115.79,125.20000000000005
