n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
5102,2092,6076,2937,6514,5656,6893,6061,5341,4342,237,6884,3814,6356,2040,5316,424,1284,927,2022.29,305.19,351.72000000000025
3045,3842,7114,2019,3119,4454,835,4701,2042,107,5989,1775,3343,2289,1491,7106,6272,3190,1307,2020.4,280.35,319.88000000000034
6241,6530,589,1136,5062,5058,3644,1037,1083,14,43,1715,6337,1765,1358,1363,2369,2569,1629,2018.3,401.2,493.63999999999965
4417,5552,5125,1677,1488,5657,1612,3139,2447,176,2958,3398,1359,1193,2161,533,2718,2468,6696,2023.71,626.03,920.1200000000002
4940,4801,27,4882,5553,5797,2768,540,2539,2911,6705,2507,3938,5705,2586,1513,3942,3871,5772,2025.05,401.27,488.08000000000084
1442,466,2098,187,6142,2929,6921,3311,148,4497,6453,3431,2999,3083,4739,6891,74,3709,382,2019.51,432.92,530.8399999999998
5797,1482,5109,1609,975,6190,2015,6713,3786,2821,4198,2906,4298,2055,6353,3791,885,4831,6130,2026.17,312.88,359.44000000000034
6397,6530,3008,7042,2423,300,3546,746,1707,2791,4201,5003,2970,1214,2784,2258,5755,4465,754,2020.81,540.8,781.1999999999992
2559,5619,2595,2508,1453,6543,640,5134,1219,5907,5645,2533,3963,1323,5899,397,663,4920,4370,2024.09,198.92,211.75999999999993
3325,260,1944,6066,4865,2816,6769,2049,3732,5332,3455,1192,456,5229,268,6567,4043,2737,6868,2024.58,321.21,402.40000000000026
1696,1069,5993,4620,1087,5164,6455,3390,873,1382,3559,3055,1222,481,6920,3445,2415,1156,3712,2021.28,478.98,638.159999999999
5082,6981,1386,4277,3715,3998,5642,5976,2602,3924,2244,2384,3850,3307,1200,922,3088,6734,4356,2022.74,798.67,1291.079999999999
1469,5136,4090,7109,2772,1475,730,4029,2230,4220,6406,4490,7105,4119,2959,516,6439,6513,6347,2025.98,113.13,122.20000000000009
2913,5690,4812,5439,281,6222,2504,2977,4581,5771,5474,2300,6842,3978,2169,6305,5659,5865,2407,2026.68,331.23,391.00000000000034
2785,5322,1463,4756,6978,94,3885,4480,6338,2053,2669,5502,2242,3792,2366,6690,4098,5303,5518,2022.0,422.97,547.9599999999999
6534,2921,2849,2243,5276,2831,6044,6784,3346,2867,6904,1412,7102,5638,3684,2984,2738,4244,1162,2026.29,257.77,281.1600000000002
4336,1361,1627,6853,2965,6994,3909,2317,5664,645,5895,5495,5983,3413,1407,5052,6392,4758,4230,2020.98,338.37,391.47999999999996
5452,3447,2479,5109,4531,6346,7103,5217,2217,5901,226,1602,1310,4804,3613,5112,5325,1480,1794,2023.4,349.93,425.56000000000046
6217,5619,1478,5168,5885,342,3863,1853,1357,443,1093,907,2599,1487,3953,1584,4491,292,3403,2034.92,655.55,921.32
3811,2876,3115,5427,5011,589,4834,1674,1948,5881,3063,5,2871,3320,2281,7011,3359,7097,942,2021.32,507.22,625.6000000000005
5643,6810,4483,3062,295,4505,5026,2468,776,2418,4466,4199,2780,4758,2401,2880,6705,1058,3433,2022.04,612.62,914.1599999999996
3352,6660,4619,5261,4410,3026,3829,1164,1284,4881,3135,4619,3907,1631,1089,4985,744,2876,6727,2022.52,646.38,948.2799999999996
5420,7,3128,884,2670,4635,5039,4418,1152,2666,5156,4622,3078,3516,3536,1854,4042,2387,3928,2023.45,682.27,917.6800000000001
5802,3111,3144,7003,1302,4880,4865,2128,6070,2464,4065,2056,3403,161,2614,2518,4028,2346,1173,2022.68,287.02,316.1600000000004
3907,194,998,5407,5092,3632,2011,2401,327,6403,1117,6773,3214,108,3934,4362,4590,2242,1994,2029.18,1027.63,1778.199999999999
3885,6405,301,2012,4015,2192,6913,1267,5910,2340,2401,4032,4981,3888,4245,5282,7073,4946,6090,2027.53,299.17,337.7600000000004
968,132,6229,1032,2463,2312,4370,5800,2753,5026,2431,5990,4340,218,3803,2865,2957,5584,6103,2024.04,262.67,303.28
6657,4839,1085,298,23,2067,4532,3732,5617,881,5631,4469,1566,119,3519,6376,6615,3503,4873,2022.54,295.16,354.16000000000054
4715,5644,5801,5179,5315,3947,7034,6891,3157,3897,3210,5589,6978,5895,1609,2428,3809,6799,6211,2023.96,136.21,137.12000000000026
541,2487,6850,26,5690,6381,3545,4768,2345,5311,6395,3870,2547,1168,1355,3919,5695,4498,4077,2025.15,219.16,239.11999999999986
2709,4406,1257,3486,4799,4435,6650,397,560,6001,1884,2188,6714,697,6486,515,5436,209,2728,2022.35,355.32,414.4000000000003
5919,3517,562,3319,5744,3986,400,1010,6898,1002,1795,5034,5289,6753,910,5836,1102,2396,5781,2023.89,163.51,184.24000000000004
3587,1226,1499,5002,1517,3390,6570,1320,550,5098,1746,356,4550,886,5408,3106,6107,589,2292,2017.32,588.51,787.0400000000002
471,4678,4712,969,6081,3264,5109,1100,81,3536,749,2576,5615,4916,4009,4010,2895,5375,3065,2020.13,288.52,332.6400000000003
456,1132,5712,2414,1237,4658,5171,5553,4143,2377,4545,4504,5086,1807,2156,517,4519,1930,2082,2018.76,1024.87,2015.9600000000037
6820,6148,2321,4235,1095,6619,1920,7073,3040,3713,6035,3185,1468,1074,5843,153,5365,2798,698,2022.59,382.6,443.8799999999999
4695,5471,294,746,7072,1022,4148,4865,3715,1954,3193,3789,3935,2648,881,6524,4347,241,4440,2020.05,475.65,716.7999999999994
5939,3150,439,6948,1235,3517,5579,6507,1827,6140,950,686,5448,4025,6722,1732,1144,5746,5118,2021.89,545.72,723.3599999999999
3079,2902,6847,1925,2374,2730,5027,5778,2856,6521,3160,3097,1117,5920,6808,2935,5307,2424,6590,2033.15,1131.62,2185.840000000005
5171,3550,6976,2967,4239,297,4854,4696,1760,6063,1478,3240,518,794,303,271,1526,1658,1602,2018.42,558.46,731.3599999999997
