n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
3792,5023,3058,2188,1134,1524,7098,5543,52,2771,4118,3798,4953,662,2736,4540,5051,5735,335,1644.75,76.97,77.1200000000001
5965,3104,1387,5762,3702,5939,3461,1287,1379,1949,420,908,1084,4147,4836,518,6342,5639,3142,1658.43,133.67,143.28999999999994
6468,6112,832,2385,1679,5523,1837,5944,6496,3455,718,6328,2185,1719,3248,2303,2798,6631,353,1662.03,163.06,165.65
1634,5806,43,3368,448,3103,6928,4028,1139,192,1939,3479,6031,6969,917,4889,31,993,6261,1676.0,224.17,250.77
4740,1619,6981,1663,2705,67,684,1091,4421,143,4102,694,4693,4069,4403,1623,3441,563,3261,1661.97,152.28,161.1000000000002
1574,5232,6266,765,5741,4749,1190,1413,4988,5895,337,443,2211,4547,5596,4967,6979,1223,6104,1649.57,64.99,64.19
2198,6036,4712,280,993,5779,3296,1939,1324,5006,4136,352,6029,2997,6927,5522,4276,4835,4630,1665.21,89.19,94.84000000000002
6345,5633,710,7105,2844,900,7078,4785,2994,3697,1720,3294,1628,4705,6108,150,3104,6548,4978,1661.58,90.98,92.8400000000001
2692,5,3551,915,1748,1816,3637,2208,2660,6674,727,2516,5156,2333,844,4239,6423,451,208,1670.34,230.85,239.98999999999975
3124,6395,4591,6615,3511,4074,2835,5811,6371,2033,4636,6042,542,3481,5307,1891,784,6231,3284,1665.69,195.21,204.4400000000002
4176,3055,7044,4591,3025,1139,5468,2378,1401,5674,6908,2121,240,413,6632,1415,2154,1345,985,1656.33,156.21,166.16000000000014
4968,1215,97,399,498,3689,1708,6443,3185,2410,5009,121,6542,2904,2334,1152,3939,4603,2275,1661.49,181.0,190.86000000000024
1124,709,6123,4554,2424,5701,966,537,3440,3697,1167,5765,4603,6260,6511,3137,4818,6576,1385,1662.34,101.94,104.86999999999995
5432,5861,2245,6321,4892,4984,4050,2857,812,396,2267,4332,1051,1419,6540,5158,6720,690,1328,1660.34,206.04,229.6599999999997
6390,6468,1821,7037,106,1662,1440,3880,3741,4845,4581,4468,3180,681,1417,4494,3949,4857,2149,1652.57,94.84,92.31000000000007
4386,545,5333,235,4759,4794,3569,4459,2529,4288,4317,4400,5256,6521,537,5265,4701,4441,2460,1664.99,79.41,84.32999999999983
526,5938,1837,5903,1126,845,816,5730,4027,3715,495,4015,5216,5959,433,5560,4939,239,3056,1657.62,154.41,169.11000000000016
1995,3757,1893,3041,6743,5976,4695,5119,4062,1991,294,5099,4890,693,5023,384,5554,3356,3331,1661.39,146.48,160.87000000000006
4821,564,661,1549,279,4981,6165,1485,691,531,244,2906,5116,3852,4481,4387,3888,212,5763,1662.45,161.56,176.36000000000007
6353,616,2734,693,6412,2633,70,3799,3679,4835,1217,3162,3917,6822,1129,870,2857,5498,1894,1659.3,141.79,151.01000000000002
3698,6389,1060,1574,1811,891,906,431,983,611,5286,676,3050,848,6070,192,3829,5132,4276,1662.74,169.65,183.0900000000003
1643,3026,5199,664,1934,44,2100,6253,4242,5593,1616,126,3598,2074,5003,182,845,4255,6553,1658.37,260.07,296.47
3417,473,2058,3895,6976,2581,4958,1807,5234,480,5580,2254,1083,2458,318,6555,1529,2895,6441,1666.65,171.49,184.6600000000002
3303,59,2479,7038,773,241,2602,3598,2024,3412,4949,2635,4028,4615,2842,6857,3269,3523,1711,1663.23,249.38,274.50999999999993
643,2264,2464,3782,3822,5000,4656,3734,3603,3154,1526,2699,3294,482,2662,752,1397,2601,4455,1661.43,217.96,249.0500000000002
220,1544,1729,5829,2986,5396,1127,5123,703,2767,3662,4968,4911,6239,5490,6009,3152,1730,5709,1659.04,249.44,275.0700000000001
4439,6319,2747,621,156,5486,4525,3455,3855,1862,7101,5957,2651,6258,6828,6546,4211,4115,811,1660.69,142.96,160.26000000000016
