n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
1100,4662,6942,151.68,6.17,5.480000000000006
6572,6256,516,400.37,5.27,5.31
2089,965,4058,1595.73,43.46,44.660000000000025
6233,3682,3868,233.73,4.65,4.129999999999999
5337,3109,6461,1601.78,36.73,38.629999999999995
1719,768,3996,1653.42,121.92,130.45999999999992
232,6846,3193,611.34,6.69,7.5499999999999945
3545,4976,6244,1449.54,25.79,23.82000000000002
6284,17,5700,134.84,3.33,3.4000000000000004
3648,2181,5910,611.19,6.56,7.619999999999996
6568,1874,4842,792.92,11.97,10.769999999999996
837,2600,250,1274.91,15.87,19.040000000000003
182,208,5321,1630.9,43.92,47.4000000000001
4435,75,3122,724.33,7.19,6.7499999999999964
5623,1774,3457,3.19,3.18,3.2
5946,237,4322,314.51,4.99,4.989999999999999
1816,6256,3587,317.13,4.25,4.540000000000001
4061,4529,1909,795.2,9.09,9.170000000000009
2831,1891,5544,1334.05,23.08,22.45999999999998
1792,6233,3765,962.31,11.79,12.070000000000018
2373,176,3409,53.09,3.31,3.45
6861,4558,5261,1273.05,13.92,15.09999999999999
819,1522,5155,722.5,7.6,7.699999999999997
5928,7044,2428,482.84,5.69,5.77
990,6087,2725,1648.3,90.94,93.54
5910,5826,4102,692.55,7.92,8.740000000000002
3457,4159,6799,1632.28,46.67,53.6500000000001
5491,1555,2485,481.81,5.92,5.69
2327,4813,4090,1106.01,13.5,13.129999999999997
6932,4139,3222,1598.7,41.48,44.7200000000001
4825,6990,282,3.15,3.2,3.2
3934,1988,6092,695.91,8.87,9.48
6532,3311,3394,1240.73,17.49,19.03000000000002
5445,1417,3007,1333.34,23.15,26.67000000000005
4495,5759,6355,680.69,8.7,8.529999999999994
5525,6047,3069,1586.74,43.84,47.97999999999995
708,3595,5437,380.82,5.46,5.249999999999998
4165,884,6377,268.48,3.88,3.7900000000000005
1341,4267,6880,317.38,5.73,6.759999999999996
3221,3035,4011,152.88,3.89,3.9500000000000006
6002,242,3844,1123.38,13.35,15.129999999999988
356,2527,5762,892.8,9.81,10.259999999999991
6949,5036,4859,595.38,7.92,8.100000000000014
4736,3224,5301,165.41,4.87,4.279999999999998
1395,1381,4114,1513.24,31.29,32.30000000000002
1859,100,6312,1158.71,12.2,11.540000000000008
1634,4420,7047,958.75,12.44,15.030000000000056
4491,1901,3313,1399.84,21.17,23.289999999999992
4208,2816,6942,774.78,8.56,11.580000000000021
4733,2894,3761,614.82,11.54,9.860000000000005
2205,5400,4489,1385.63,17.04,19.07
4988,5975,46,678.99,7.78,8.349999999999993
3143,6419,7020,199.8,7.89,12.389999999999914
6721,6066,4198,548.84,5.22,4.8100000000000005
6628,1058,4249,1353.54,18.61,17.799999999999997
6368,4598,1683,250.28,3.81,3.710000000000001
3490,459,3941,1646.14,101.37,110.6000000000001
2987,4669,4541,394.81,5.42,5.970000000000006
1637,4134,3386,282.55,4.69,4.859999999999997
3972,6662,2922,1073.01,19.87,19.7899999999999
3394,2835,12,1632.74,40.25,37.95
4411,4424,5107,1489.24,33.04,36.41000000000006
6442,5017,2712,380.3,4.37,4.32
3753,4914,229,1650.58,104.95,108.7899999999998
6591,1880,5204,515.48,7.27,7.270000000000005
1451,4511,4787,467.57,6.62,7.439999999999996
1480,7053,750,1612.93,61.23,59.4400000000001
6540,4514,6529,314.46,5.03,5.830000000000003
6973,6688,2091,183.24,3.93,3.74
265,6895,5514,430.93,9.69,9.110000000000005
577,681,7111,1627.59,61.74,71.55000000000018
136,3710,119,1195.12,19.38,18.729999999999997
6177,6189,2303,1628.88,49.23,51.82
2044,2200,896,1415.08,18.21,19.85999999999998
6531,5118,1512,1057.91,20.47,22.00000000000004
2821,2378,569,1497.09,43.4,36.51000000000009
1371,1307,2090,1648.43,95.2,101.38000000000007
4320,1377,5379,1367.74,25.53,27.769999999999982
2235,5310,5829,515.54,9.15,9.640000000000011
2412,3724,5755,1105.88,23.3,23.869999999999916
2637,4067,3881,200.32,6.48,5.910000000000009
935,193,2555,266.19,6.04,6.409999999999993
3166,2812,3448,252.09,3.54,4.069999999999999
6522,1540,2116,699.56,7.5,8.169999999999998
890,2076,5981,927.36,14.23,11.67
4178,1712,4961,1522.42,27.51,31.490000000000013
3536,6693,170,581.3,8.78,9.230000000000008
1846,146,3254,1624.89,75.84,79.14999999999996
1199,289,5888,628.49,7.67,7.149999999999997
1312,3650,5772,463.58,7.35,7.019999999999997
4147,5555,3495,117.41,3.65,3.6600000000000006
4462,6817,1807,1636.23,41.21,42.32000000000008
5167,6535,5693,233.63,3.8,3.6800000000000006
4231,3693,1828,1652.38,184.15,219.18999999999988
4291,5312,251,810.2,8.05,9.869999999999994
3235,5528,4717,446.87,5.95,6.2899999999999965
6581,2631,5405,663.09,7.84,9.110000000000007
5168,3492,481,992.66,9.26,9.629999999999995
6041,2446,1029,1483.51,25.26,25.279999999999998
1737,388,2509,184.39,4.19,3.879999999999999
