n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
1857,3034,3075,1089.5,7.18,7.360000000000001
1034,1582,5773,1971.0,49.32,56.6
358,697,1121,2009.93,145.18,161.20000000000022
2027,6645,4148,726.79,6.66,6.680000000000001
1715,3282,5258,826.6,9.59,9.839999999999991
248,3761,3992,1568.04,29.21,28.200000000000014
3712,3198,4054,2009.78,168.16,179.71999999999966
4695,1574,6803,1008.35,15.32,12.719999999999985
3298,733,3973,2009.87,225.91,268.5199999999996
1918,6217,163,1588.06,20.91,22.67999999999998
5743,2185,4261,566.53,6.88,6.359999999999997
3339,3885,3105,2013.53,253.07,286.3200000000005
5947,931,5430,3.23,3.19,3.2
2116,795,6670,2008.39,99.89,109.20000000000009
516,3165,5080,243.45,4.05,4.08
6795,3090,882,1852.38,67.92,73.32000000000019
5413,475,2772,2009.94,120.5,126.03999999999999
1920,5663,704,2009.09,154.97,159.88000000000022
4076,5322,4233,2011.44,151.15,180.1199999999998
1703,4763,6622,1850.69,32.95,37.47999999999999
1164,4970,527,2009.54,129.86,137.36000000000035
4421,306,4003,1630.19,23.19,24.519999999999968
5749,1588,1214,2007.12,167.2,186.64000000000027
7047,4742,3737,204.4,4.07,4.04
5971,4787,3646,1688.78,34.91,30.799999999999955
2340,4565,2922,1609.22,15.61,15.559999999999995
7004,3490,1105,2007.96,176.82,187.55999999999972
1296,6261,4925,1990.38,51.73,53.39999999999998
799,4356,5653,1269.17,18.02,18.439999999999976
2570,5751,2924,1229.94,29.43,29.240000000000055
5274,6909,4052,1992.93,77.93,75.52000000000012
4125,5111,1619,1508.31,39.2,35.92
2529,1230,2914,2009.33,104.28,108.16000000000005
4331,2329,4176,1609.42,25.27,27.120000000000005
5382,585,6620,1268.85,29.94,36.7600000000002
7018,4156,5745,1912.71,23.11,21.36
4464,1801,2819,1552.76,25.71,24.800000000000026
1997,97,2422,385.39,6.05,5.719999999999997
2811,1800,2185,1468.93,11.77,11.959999999999997
275,3468,2087,2010.29,149.84,170.56000000000014
3087,2444,6834,1187.21,14.1,15.159999999999982
5778,3415,1435,787.31,11.35,10.839999999999986
5385,3246,952,1108.29,9.43,9.799999999999994
1361,5432,6980,2008.63,133.67,151.40000000000018
209,1653,6278,987.63,8.9,9.959999999999994
1316,2457,954,3.0,3.0,3
108,6524,6261,1788.52,20.99,24.919999999999973
3116,2800,6851,606.76,17.95,14.960000000000049
1393,4662,3568,1146.46,22.46,18.88000000000001
1898,1139,3359,645.54,12.15,10.679999999999986
4620,3654,3335,1587.27,13.45,13.000000000000002
3423,656,4821,2011.28,414.29,582.3600000000002
573,2365,5872,1407.46,17.46,19.120000000000033
779,278,698,1647.0,46.94,47.44000000000003
5433,872,6260,1205.85,10.6,11.279999999999996
4267,4319,2950,345.29,3.69,4.0
1258,6616,4136,2010.89,152.21,184.31999999999994
3999,5801,1216,2006.8,189.77,232.88000000000008
4951,515,1553,1930.46,56.46,55.80000000000001
138,1150,2791,2008.93,127.63,132.80000000000007
3164,5392,4699,1369.29,21.45,26.239999999999974
989,6092,2452,2012.35,169.82,205.23999999999998
2879,2665,2998,2012.99,556.96,784.8400000000019
24,5290,6845,1772.95,24.59,24.19999999999998
4087,1720,496,2012.07,86.35,88.39999999999995
5056,271,6220,2011.52,148.46,166.7600000000001
6623,6688,4751,1470.06,11.84,12.879999999999995
1408,1456,2764,444.45,7.73,10.319999999999983
3531,3616,990,2010.36,280.07,330.59999999999985
682,1642,4959,2010.57,235.13,284.8399999999998
1834,4073,6646,726.62,16.95,14.200000000000031
3876,6473,1265,566.05,9.24,8.43999999999999
3121,999,888,2010.75,139.01,138.60000000000034
4757,5906,3708,746.58,6.41,6.4799999999999995
5307,1035,5892,2009.55,172.51,201.3200000000001
3600,4214,5943,1008.78,10.94,10.439999999999994
740,5861,3860,1369.91,29.84,30.720000000000006
4619,3225,6688,2007.39,87.31,89.28000000000009
2955,3730,1847,1027.96,10.4,10.559999999999993
417,1617,400,643.84,6.42,6.3999999999999995
3655,912,886,2011.14,342.83,412.4400000000005
1730,5940,37,1989.8,40.78,44.79999999999997
5802,4920,5009,1709.54,22.83,24.759999999999973
185,5367,2982,963.32,37.92,29.600000000000154
6793,3542,4324,1207.36,12.46,13.479999999999992
764,6135,6190,2007.75,172.22,174.83999999999997
4916,4117,6711,1792.92,51.68,45.88000000000011
5776,4661,1643,2005.73,399.83,512.5999999999991
4108,1879,2655,1610.37,25.95,26.480000000000075
4306,3146,6094,2009.5,90.74,90.67999999999996
4258,5302,1607,707.61,5.23,5.08
54,2372,5023,2008.83,131.39,141.56000000000031
2428,654,6089,1891.33,67.3,66.16000000000022
2629,3300,1832,1048.37,8.53,8.839999999999998
5180,2428,652,586.58,7.3,6.359999999999999
4483,3436,6096,886.4,8.62,8.879999999999995
3024,6609,6068,1408.24,9.62,9.960000000000003
6967,2628,4229,1709.38,15.58,15.679999999999994
2475,5120,6809,1749.59,26.17,25.120000000000026
2923,6416,2423,1168.48,30.56,27.880000000000027
