n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
2652,1235,3234,5332,395,2011.84,258.58,295.88000000000005
593,6727,4389,771,2995,2010.78,208.3,232.75999999999962
4774,475,4156,1758,307,2010.57,343.1,404.9200000000001
704,3552,3425,572,1971,2009.24,248.74,293.1600000000003
743,4514,3477,484,6773,2011.26,268.29,299.8799999999998
4632,1014,1828,5166,5139,2013.72,469.44,712.1999999999999
4775,506,4727,4796,3249,2013.62,250.3,282.6399999999994
406,1811,381,4560,7032,1990.07,73.5,78.92000000000002
1090,2372,3433,1181,4429,2008.28,253.8,259.7200000000001
964,4676,2527,4589,6685,1491.07,38.81,36.88000000000003
5586,1480,844,4764,4679,2008.88,257.56,308.64
5233,1539,3050,798,4487,2009.56,204.44,216.11999999999992
5833,514,4623,488,5070,2013.22,95.9,99.12000000000012
1687,4066,5573,4355,3502,2015.71,518.91,686.7599999999996
6367,2573,3814,4796,3712,2014.49,269.81,333.39999999999895
2962,2455,2035,6507,1472,1769.02,32.19,31.880000000000045
5726,6388,1999,670,4705,1710.57,29.21,30.680000000000003
2459,4302,4055,2813,5975,1869.92,62.83,68.80000000000013
3676,2358,4988,599,967,2010.9,196.72,221.92000000000007
4193,3425,1351,6202,2802,1892.35,44.64,44.400000000000034
1245,4005,3454,321,5474,808.51,13.62,12.519999999999994
635,6263,4571,4694,6464,1810.42,23.06,26.07999999999999
6703,2570,2786,5695,2868,1750.43,36.45,41.600000000000115
4869,4068,4750,6528,3737,1972.04,65.17,62.76000000000006
563,6881,766,2211,3883,2011.41,97.56,97.16000000000018
5710,5440,532,497,5989,1369.65,22.9,22.919999999999973
5746,2536,5301,4734,5580,1934.2,58.19,58.760000000000005
6733,3650,2331,5870,3160,2014.89,74.07,82.84000000000002
5477,2842,184,3782,2911,1910.42,45.49,42.64
1376,5004,959,4044,482,2009.04,740.58,1156.4000000000021
1787,6293,2354,1059,6048,2013.2,105.96,112.36000000000023
2028,3259,3202,4067,660,2010.28,102.71,118.68000000000028
1362,3679,3290,4501,2276,2011.79,554.76,739.7200000000006
1121,6711,3526,7077,4507,1992.72,59.77,57.280000000000015
2280,5786,3402,2939,5592,909.22,17.89,17.359999999999978
3116,1890,1236,679,1443,1994.37,165.52,168.7999999999999
1239,1900,5394,1911,98,2013.96,107.72,113.24000000000012
3972,6808,4826,1493,2152,1974.47,79.54,72.95999999999968
2309,33,1193,3432,4379,2011.75,190.8,205.44000000000003
3024,4995,4639,2610,1028,1793.08,27.86,26.840000000000064
5656,7038,4222,5059,5365,1329.97,16.28,18.879999999999985
5539,6060,442,3740,6389,1511.42,14.78,14.799999999999999
5575,6536,4581,3214,3260,2013.39,98.92,107.35999999999996
3268,3228,848,3944,5196,1832.37,36.33,37.92000000000003
3280,509,1561,551,1710,1650.8,27.8,30.39999999999997
3609,1329,900,2785,4921,2012.04,108.95,105.44
430,838,1,4643,1239,2010.91,448.86,538.3999999999995
4395,831,2978,5027,208,1106.81,22.1,22.280000000000044
576,1703,5030,3082,1216,2012.4,258.76,289.56000000000006
5197,2066,2845,4933,2983,1891.91,35.43,34.119999999999976
3884,1006,944,6954,3998,2012.01,160.2,175.63999999999965
3817,3935,3963,2554,703,2013.03,187.45,217.35999999999987
1180,837,6141,2806,6064,1890.3,37.89,36.23999999999996
2168,3920,6789,5669,1322,2010.93,128.26,134.63999999999976
4229,189,1681,4327,2963,2010.16,102.02,118.59999999999998
1200,5653,4449,221,6210,2012.29,258.55,286.8799999999992
4326,2441,5266,7072,745,2011.26,168.65,174.0400000000003
5703,6925,2139,4246,3004,1994.13,83.98,88.12000000000018
1368,2913,6323,1825,4362,2013.54,460.58,641.5599999999994
4436,6382,4118,2700,5213,1992.84,139.17,142.88
1827,5023,6647,6458,6212,2013.77,148.53,165.9199999999998
6984,1598,6603,1961,6703,2014.23,200.04,219.60000000000048
3282,6061,6580,1857,1637,1249.88,13.26,12.519999999999996
4240,4036,2912,5988,237,2012.96,107.24,116.03999999999996
228,6472,2288,3868,2123,1829.61,41.24,40.199999999999946
1586,5673,4957,2820,3663,2011.71,273.04,345.0799999999998
6623,5923,2863,2987,659,1768.92,28.76,29.399999999999977
1806,836,1858,3850,1611,2008.53,405.7,536.1999999999995
2766,1674,3953,5112,4999,2010.85,124.61,143.92000000000021
6884,15,3927,5349,2818,2014.71,76.65,74.68000000000015
6550,5268,694,6837,5411,2013.91,106.99,109.12000000000006
982,3182,6408,5828,6145,2013.73,157.15,171.96000000000024
1632,3916,1462,3554,6464,1930.5,70.18,65.20000000000002
5208,2723,710,6560,5913,2010.55,171.77,181.12000000000043
3242,3794,3288,6089,695,2013.37,131.9,135.08000000000015
5937,1301,1392,1040,225,2009.92,195.29,195.51999999999953
1238,4839,3812,6606,5372,1914.1,54.51,55.07999999999994
1197,5010,6770,4881,3885,2013.53,171.48,194.6400000000001
5384,2870,1277,4494,4491,2014.89,292.46,350.12000000000023
