n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
1100,4662,6942,6572,6256,516,2089,505.95,12.03,11.790000000000006
965,4058,6233,3682,3868,5337,3109,1649.13,77.9,85.16000000000003
6461,1719,768,3996,232,6846,3193,1654.62,140.72,139.24999999999991
3545,4976,6244,6284,17,5700,3648,1390.58,26.2,28.44000000000002
2181,5910,6568,1874,4842,837,2600,1244.23,21.13,19.89999999999999
250,182,208,5321,4435,75,3122,1642.84,69.16,70.3500000000001
5623,1774,3457,5946,237,4322,1816,501.73,10.76,10.239999999999998
6256,3587,4061,4529,1909,2831,1891,1522.34,30.75,30.249999999999993
5544,1792,6233,3765,2373,176,3409,1273.74,19.09,19.380000000000013
6861,4558,5261,819,1522,5155,5928,1470.55,24.34,24.929999999999986
7044,2428,990,6087,2725,5910,5826,1654.97,95.32,104.62
4102,3457,4159,6799,5491,1555,2485,1622.18,58.98,60.6000000000001
2327,4813,4090,6932,4139,3222,4825,1653.0,68.78,58.9400000000001
6990,282,3934,1988,6092,6532,3311,1305.14,23.44,24.610000000000007
3394,5445,1417,3007,4495,5759,6355,1540.21,41.04,41.18000000000006
5525,6047,3069,708,3595,5437,4165,1637.52,52.77,54.67999999999995
884,6377,1341,4267,6880,3221,3035,490.24,10.48,11.319999999999997
4011,6002,242,3844,356,2527,5762,1556.76,25.28,26.97999999999998
6949,5036,4859,4736,3224,5301,1395,1520.89,31.25,31.400000000000013
1381,4114,1859,100,6312,1634,4420,1560.4,40.25,38.620000000000076
7047,4491,1901,3313,4208,2816,6942,1534.7,35.56,36.100000000000016
4733,2894,3761,2205,5400,4489,4988,1469.75,29.27,30.070000000000004
5975,46,3143,6419,7020,6721,6066,950.06,20.86,23.119999999999905
4198,6628,1058,4249,6368,4598,1683,1372.3,21.31,22.779999999999998
3490,459,3941,2987,4669,4541,1637,1650.44,113.38,117.67000000000009
4134,3386,3972,6662,2922,3394,2835,1375.1,33.34,32.6999999999999
12,4411,4424,5107,6442,5017,2712,1653.6,65.94,69.53000000000004
3753,4914,229,6591,1880,5204,1451,1651.76,115.4,118.4499999999998
4511,4787,1480,7053,750,6540,4514,1614.91,65.32,67.2800000000001
6529,6973,6688,2091,265,6895,5514,832.92,15.01,15.860000000000007
577,681,7111,136,3710,119,6177,1650.03,85.88,91.93000000000018
6189,2303,2044,2200,896,6531,5118,1655.19,85.68,90.98000000000003
1512,2821,2378,569,1371,1307,2090,1651.34,127.72,138.12000000000015
4320,1377,5379,2235,5310,5829,2412,1504.33,39.73,40.08999999999999
3724,5755,2637,4067,3881,935,193,1078.76,34.34,32.43999999999993
2555,3166,2812,3448,6522,1540,2116,994.65,13.84,13.239999999999997
890,2076,5981,4178,1712,4961,3536,1619.69,46.95,49.850000000000016
6693,170,1846,146,3254,1199,289,1651.4,80.3,87.63999999999996
5888,1312,3650,5772,4147,5555,3495,699.38,10.95,11.779999999999998
4462,6817,1807,5167,6535,5693,4231,1653.35,184.38,196.1999999999999
3693,1828,4291,5312,251,3235,5528,1649.93,79.59,84.01000000000003
4717,6581,2631,5405,5168,3492,481,1226.01,19.28,19.860000000000003
6041,2446,1029,1737,388,2509,579,1634.0,88.32,90.22000000000016
7032,626,2542,2440,6093,1296,3409,1623.27,36.9,37.58999999999999
4627,2067,1068,69,4593,6967,310,1573.22,40.5,41.49000000000005
4838,6712,1782,4671,3775,1405,6782,1654.74,131.72,142.25000000000006
7108,6389,5767,5103,4168,306,3096,779.77,12.41,11.879999999999997
1641,2842,811,1685,4697,5522,3546,219.58,8.41,8.32
4844,1590,4033,855,5455,3195,2425,1603.65,43.32,39.940000000000055
4129,4094,140,2665,5014,3295,2304,1653.86,215.71,233.1399999999997
148,1285,1645,7024,2684,6644,4614,1624.36,56.22,60.93999999999996
6411,1107,2777,3516,1745,2183,5525,1655.04,110.84,122.50000000000007
789,6862,3106,4486,2816,6862,5628,1582.73,47.41,47.67000000000002
4377,3969,6291,4362,1922,535,5943,1658.64,164.86,180.33999999999978
330,693,1089,1390,1364,4409,1744,1651.42,152.46,160.72000000000003
2195,6218,2721,4916,4144,6890,2091,912.99,23.44,21.220000000000024
3015,2775,2787,933,2385,1926,7105,1393.55,41.63,39.39000000000011
4947,6385,5858,4004,1108,4751,4515,1649.79,51.55,51.72000000000001
6309,854,2627,320,3330,599,3114,1582.55,36.33,35.75999999999999
7095,6456,1206,6787,1024,2792,939,1617.86,34.94,37.30000000000007
5039,4812,6405,3096,627,4675,4507,1638.76,72.28,72.67000000000007
1832,4636,669,2185,2989,2421,4623,1616.84,38.61,38.71000000000003
4376,936,3750,2270,882,6447,374,1654.57,159.73,176.71000000000006
6781,2422,101,5027,5492,119,751,1536.17,39.3,41.38000000000005
3387,942,6767,6470,327,1539,1963,1653.25,108.91,116.95000000000014
6434,4807,3448,1327,946,3693,1371,1628.56,43.04,40.62000000000004
5577,1977,1302,6094,6922,842,3564,1613.95,45.33,46.620000000000026
3098,6606,4447,6703,2408,4507,2075,1109.87,25.16,22.980000000000025
5829,3907,2576,820,1700,5341,2600,1650.57,84.81,89.41000000000005
324,223,86,6445,2421,5951,4887,1654.6,80.59,88.99000000000017
2623,3685,3205,2566,3264,515,525,1533.62,30.11,31.619999999999997
2599,4927,3734,912,2048,1762,6431,1606.14,72.57,70.3400000000001
5061,6372,4447,7107,5637,3841,5421,1272.26,37.95,33.17000000000007
2914,2122,1500,4436,1702,2517,1631,1651.55,54.4,56.07000000000002
2018,2952,666,6717,2300,732,6170,1650.84,156.5,179.29999999999976
3669,741,5341,4705,5271,2776,1863,1567.68,38.59,45.07000000000005
3198,2513,336,2680,1530,2594,6494,1553.61,61.44,52.04999999999996
6939,4743,2480,2013,2738,826,4458,1667.75,360.36,410.70000000000124
5008,4743,6615,4882,754,2007,1803,1144.8,19.5,20.710000000000015
166,6621,1996,3291,592,2195,4515,1525.54,36.55,36.68000000000004
7107,580,5973,615,176,5205,81,698.19,10.66,10.919999999999998
2382,6149,6489,2942,4040,3840,7066,1256.44,24.04,23.309999999999995
7037,1263,826,4107,6371,6512,2687,1192.62,29.7,28.919999999999927
631,4171,5449,1419,1471,6358,1225,1600.49,32.71,34.36000000000001
1159,6730,7090,2619,2503,875,5810,1644.92,63.43,68.06999999999998
4213,6837,4930,2404,1034,1693,1160,1523.64,29.97,32.17
4468,5919,260,6387,2589,6725,5107,1601.19,37.67,38.71
6585,5506,4529,6887,6112,5649,1682,899.91,12.85,13.349999999999998
1459,2448,3544,4403,1293,397,5855,1108.46,15.25,16.560000000000006
7062,5470,2025,2069,6371,527,5587,1631.65,54.09,54.32
3659,6621,3523,4499,2049,4434,3599,1113.82,14.95,15.419999999999995
6973,4407,3713,89,3241,6850,2774,1656.84,89.53,87.40999999999994
1405,2113,3979,199,6496,5295,3413,1654.72,121.33,125.24000000000005
4674,154,510,5666,2907,4751,1132,1656.93,122.67,122.15000000000008
4862,1025,1134,2122,6790,2268,3258,1617.52,49.58,52.15000000000005
4620,3285,1410,5017,731,1913,3981,800.5,12.59,12.149999999999997
61,1454,4331,2598,4103,5315,3590,648.71,13.74,13.050000000000002
5623,5235,5991,1849,1952,2563,4055,1602.89,50.6,49.73000000000003
5627,3922,1843,5839,3377,2760,4590,1643.32,68.89,67.3900000000001
5007,5965,5352,2254,5295,1797,394,1392.57,25.71,25.150000000000006
