n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
1933,2484,845,5908,3244,3922,1269,2013.18,92.04,95.08000000000015
738,544,162,3289,4500,2370,6557,2011.76,239.98,280.12000000000006
6268,482,1818,4262,4396,2951,2266,2012.42,472.37,640.8
6387,1414,6773,869,2144,1756,210,2012.19,132.7,142.0000000000004
6790,5248,6608,2132,6557,2226,1584,2018.36,130.12,129.60000000000005
1350,2538,2372,5136,7105,5995,7001,2012.07,330.24,421.0399999999997
6951,3050,710,6920,4963,2764,5502,2014.01,187.33,211.24000000000058
3177,4144,2038,1456,2026,3879,2293,2015.98,166.33,179.76000000000028
731,6700,7090,4486,6885,2459,59,2011.76,262.14,307.67999999999984
2391,4688,5774,2553,6947,6268,4164,1331.19,22.25,21.80000000000002
1598,3391,3471,4906,2360,3531,3697,2013.55,323.86,381.76000000000033
1321,1910,2499,2127,6656,6532,354,2016.29,180.88,188.72000000000006
664,379,3790,5131,2297,4250,4379,1972.02,120.76,140.16000000000022
5308,3860,5741,2808,1188,5519,1602,1789.09,43.79,46.400000000000134
544,3381,1660,5202,5182,3613,2263,2012.79,180.75,211.12000000000003
1504,2914,3571,6118,4823,2626,5197,2012.52,140.92,152.08000000000004
4575,1627,2650,827,6876,504,5801,1891.71,47.08,51.200000000000145
1874,2273,6268,4769,5041,7062,1944,2017.97,254.06,299.4400000000003
1000,2712,1454,2383,3760,210,350,2010.72,469.47,566.1600000000001
2925,5712,676,2340,6020,5531,2679,2010.58,183.95,197.9200000000002
148,2644,2367,2635,1252,6350,5340,1991.0,70.51,72.87999999999998
3362,7056,5083,5570,6700,636,2403,2011.46,137.37,141.23999999999958
5060,1568,3638,2392,1117,2048,3126,2016.48,268.3,299.5999999999994
4905,1301,2714,4694,76,2976,366,2011.63,95.55,91.95999999999997
3725,1389,2991,6420,6589,2971,2378,2014.46,206.97,217.0000000000005
4681,795,3598,1697,3473,1703,930,2012.96,321.12,371.3600000000001
486,509,452,6038,1381,4878,5544,2015.14,83.38,90.76000000000008
1225,4968,334,4474,4019,4773,2040,2013.44,231.94,283.51999999999947
2633,291,1001,6839,4335,2399,6338,208.85,8.74,8.639999999999999
3353,5338,1640,3913,1652,1981,3594,2013.05,273.17,322.6799999999998
3363,4029,302,1794,3450,3633,2036,1572.01,28.58,27.959999999999972
5303,3504,6807,1767,4084,1537,259,2013.28,223.7,229.04000000000042
301,2083,2075,1985,4306,1704,6326,2009.66,91.0,94.24000000000028
1896,3417,2143,1160,2662,420,2576,2014.68,178.24,195.79999999999998
4631,957,4667,3301,5349,5357,6478,2020.36,271.48,301.2399999999996
5876,6100,331,4049,3174,761,3523,2013.26,555.95,761.8799999999991
1727,4688,1355,2757,2426,5381,3860,1754.31,30.2,31.240000000000002
6549,5263,2580,6675,3440,4325,1763,1936.17,94.23,101.35999999999986
5363,6565,5619,6562,2197,2773,3212,1835.55,62.34,58.00000000000004
4066,609,7033,2294,5143,5475,1566,2010.8,154.97,156.8400000000002
364,3234,5075,1045,6281,2207,5465,2012.18,119.35,122.8399999999999
7014,495,1370,5634,5203,3805,4662,2015.61,233.65,263.6400000000001
3868,6115,3307,3198,1790,6537,26,1974.34,60.39,61.20000000000004
1730,1284,107,4997,2108,949,3242,2015.58,244.42,258.0000000000001
6634,6305,6414,3121,1821,4510,437,2014.8,165.53,170.92000000000027
1652,1326,5500,4983,2708,6704,4606,1895.67,52.85,50.839999999999996
6337,6425,3862,4312,3601,216,647,2015.24,345.41,397.9600000000002
280,5696,4870,925,4004,4594,7083,1512.63,18.52,18.679999999999996
2104,4981,6341,1136,338,2970,652,2011.64,59.35,67.00000000000001
6288,4284,86,2432,6862,2841,6779,2011.3,229.76,267.7199999999996
612,697,4451,3717,3122,1682,6450,2010.01,175.55,192.00000000000048
2549,3183,1914,6215,3986,7008,3277,2017.17,239.77,266.6000000000007
779,632,937,5086,6540,2997,4198,1652.56,28.92,30.000000000000018
3554,3406,7027,5826,6361,3639,548,2013.92,228.28,241.8399999999996
5149,1604,5217,2476,6852,3921,3460,2014.76,157.92,178.2
968,6540,4573,1371,3044,1333,1444,2015.32,168.58,189.36000000000004
5789,1223,2675,4048,7043,2773,2118,1973.74,78.34,91.47999999999968
4438,39,5820,1382,45,5309,2554,2013.63,113.67,123.24000000000015
990,4464,907,3985,6440,5862,4923,2015.74,363.27,460.19999999999965
3966,4311,620,4265,2010,3368,6943,1757.33,23.4,30.91999999999998
2403,2922,1877,6280,1477,7077,5133,2017.56,149.61,154.43999999999977
13,5543,433,4993,2566,4457,3825,2012.16,336.51,401.6800000000004
6409,4655,2503,7106,4150,6445,3610,2016.74,117.89,123.48000000000002
5021,5058,3621,3209,1152,2061,6316,2012.38,213.59,236.76000000000025
4891,2966,5423,2785,1091,3550,676,2013.6,225.78,252.9200000000004
4961,1179,5532,6627,5096,1455,2337,1956.49,86.68,82.32000000000016
3047,1617,4718,6503,2870,5529,5085,1993.97,95.35,99.92000000000026
765,631,3297,5289,1471,2700,5359,2014.61,101.58,108.64000000000003
3046,2676,1430,2462,189,4946,164,1872.23,53.49,50.68000000000001
4292,6181,6797,726,6562,2941,6612,1972.96,79.67,80.47999999999995
6659,806,1298,1494,4785,4057,5414,2016.71,85.1,88.24000000000002
4701,629,6227,957,1409,5337,3925,2013.18,212.02,241.64000000000033
5532,6104,1820,5061,6444,6809,5408,2017.83,107.89,118.11999999999992
2481,6985,5634,3326,4907,1945,4012,2017.03,100.37,105.83999999999996
5763,1811,2536,3011,1887,6108,2675,2015.23,77.41,79.64000000000001
4400,5134,4339,3701,6576,3278,4147,1795.94,30.97,32.64000000000002
