n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
1857,3034,3075,1034,1582,5773,358,697,1121,1655.6,65.05,68.08000000000007
2027,6645,4148,1715,3282,5258,248,3761,3992,1095.61,18.81,18.87
3712,3198,4054,4695,1574,6803,3298,733,3973,1656.67,123.0,133.42
1918,6217,163,5743,2185,4261,3339,3885,3105,1655.95,90.35,92.05000000000015
5947,931,5430,2116,795,6670,516,3165,5080,1539.45,36.78,37.72000000000002
6795,3090,882,5413,475,2772,1920,5663,704,1650.21,105.85,105.21000000000015
4076,5322,4233,1703,4763,6622,1164,4970,527,1658.64,99.34,105.47000000000013
4421,306,4003,5749,1588,1214,7047,4742,3737,1657.44,60.65,65.72000000000011
5971,4787,3646,2340,4565,2922,7004,3490,1105,1655.78,66.89,70.49999999999991
1296,6261,4925,799,4356,5653,2570,5751,2924,1521.03,34.56,34.96999999999999
5274,6909,4052,4125,5111,1619,2529,1230,2914,1640.49,67.02,66.50000000000006
4331,2329,4176,5382,585,6620,7018,4156,5745,1441.32,28.35,30.410000000000053
4464,1801,2819,1997,97,2422,2811,1800,2185,1099.0,19.59,18.510000000000005
275,3468,2087,3087,2444,6834,5778,3415,1435,1653.26,59.6,60.18000000000004
5385,3246,952,1361,5432,6980,209,1653,6278,1599.07,55.68,52.64000000000005
1316,2457,954,108,6524,6261,3116,2800,6851,802.27,16.88,18.77000000000001
1393,4662,3568,1898,1139,3359,4620,3654,3335,1028.63,17.37,18.34
3423,656,4821,573,2365,5872,779,278,698,1654.45,161.04,179.0699999999997
5433,872,6260,4267,4319,2950,1258,6616,4136,1657.37,61.09,62.76000000000004
3999,5801,1216,4951,515,1553,138,1150,2791,1653.84,117.09,122.84000000000015
3164,5392,4699,989,6092,2452,2879,2665,2998,1662.36,253.49,288.07999999999976
24,5290,6845,4087,1720,496,5056,271,6220,1653.51,73.34,82.58000000000004
6623,6688,4751,1408,1456,2764,3531,3616,990,1657.24,98.92,106.18
682,1642,4959,1834,4073,6646,3876,6473,1265,1659.11,86.72,91.85000000000005
3121,999,888,4757,5906,3708,5307,1035,5892,1649.52,91.58,100.43000000000016
3600,4214,5943,740,5861,3860,4619,3225,6688,1604.48,41.54,42.73000000000001
2955,3730,1847,417,1617,400,3655,912,886,1646.79,126.99,123.14000000000011
1730,5940,37,5802,4920,5009,185,5367,2982,1560.06,33.0,34.97000000000003
6793,3542,4324,764,6135,6190,4916,4117,6711,1650.01,69.72,69.70000000000002
5776,4661,1643,4108,1879,2655,4306,3146,6094,1657.32,162.28,184.63999999999976
4258,5302,1607,54,2372,5023,2428,654,6089,1635.15,65.99,65.23000000000017
2629,3300,1832,5180,2428,652,4483,3436,6096,866.47,13.26,13.469999999999999
3024,6609,6068,6967,2628,4229,2475,5120,6809,1342.53,21.81,22.04000000000001
2923,6416,2423,5336,6928,895,1603,3974,3030,816.44,20.42,18.77
3101,4792,6939,2555,1681,2379,3252,5021,3141,1605.06,49.78,51.52999999999992
6902,5606,4289,5657,5964,2914,6724,5537,4955,1544.04,49.23,49.16000000000005
4793,2967,5513,3502,1604,4013,6739,4333,4155,1374.53,42.75,42.629999999999974
6866,671,2202,1338,562,4081,6005,7097,2219,1658.66,72.47,76.06000000000009
3438,6390,958,5116,6793,6758,2244,2389,2245,1668.47,230.75,251.32999999999996
6588,6761,4130,2200,2271,5178,3373,2003,2960,1626.0,49.62,53.39999999999998
2013,2031,6473,4134,6122,3751,2047,1918,6662,1656.1,319.02,358.49000000000115
6643,4887,4302,6797,1600,3014,4068,6396,866,1081.2,21.99,21.210000000000033
6499,914,3178,689,5363,1398,6391,4642,3502,786.5,19.24,18.630000000000006
369,6440,1120,180,4999,1566,5611,2167,713,1653.65,150.01,158.94000000000014
781,3790,3766,5482,2312,4637,759,1034,4973,1549.75,45.2,43.92999999999998
2929,7086,5346,540,2620,6476,317,6845,687,1571.78,41.96,43.570000000000086
7037,1124,5354,6591,3000,6786,614,6674,1890,1635.15,57.96,59.90000000000012
5936,303,4913,6473,2615,1821,2429,6095,2928,944.99,14.91,13.92
2677,541,4260,933,5909,4993,2851,3559,1308,1656.81,85.78,95.59000000000013
1286,2088,3189,1218,3532,5962,6407,533,817,1652.34,105.08,113.74000000000004
4378,1823,672,2401,1447,2760,6139,1629,893,1654.95,101.19,105.94
416,468,4553,6442,6030,1455,6759,1398,4583,1638.65,66.68,69.01000000000009
5239,2676,2419,1984,6030,4099,3923,908,4610,932.53,19.41,18.079999999999995
5884,679,1126,6140,1086,1846,2677,1786,3340,1634.33,86.63,94.14999999999996
1424,1384,1106,6242,3607,498,5692,3672,4796,1651.79,83.43,82.41000000000001
5470,5027,2353,3398,6671,3576,4737,5624,6039,1656.01,67.55,68.80000000000004
3047,5669,4620,5816,4011,3002,6017,6914,6387,1048.48,17.7,17.569999999999997
4325,1535,2529,2179,5571,3898,6824,1047,6872,1651.59,161.73,172.1099999999998
6863,2268,4095,5204,4149,4371,6462,4193,2368,602.37,16.93,16.310000000000006
6610,1781,4657,4313,3200,6281,1104,6757,4003,1655.13,73.56,81.89999999999993
5303,3898,1017,2385,3228,262,286,3043,4150,1654.7,330.61,385.8000000000005
2425,2842,3072,5725,226,5090,1173,6801,5639,1654.18,77.24,77.53000000000009
118,652,6780,1512,3677,4750,1043,6289,6894,1575.87,43.27,46.72999999999992
3485,4621,5163,4740,885,3053,4115,324,4925,1641.86,75.38,81.99000000000007
5863,5373,3020,2933,870,2619,5326,836,3904,1619.06,48.89,53.07000000000014
6908,1390,5293,1931,3906,2991,4721,2836,3045,1647.5,69.02,72.53000000000006
6171,6619,3518,3071,6084,5150,5490,316,6017,272.87,10.97,10.790000000000001
1152,5815,5431,5330,2565,499,265,1905,4177,1650.23,75.21,78.95000000000009
2953,3961,3001,3899,4599,1418,2471,1142,5300,1654.51,94.85,101.75000000000006
2182,6438,186,6416,3611,6073,2357,4784,5607,1638.21,64.13,62.860000000000014
2136,3721,6893,2428,2372,3302,7045,4073,3662,1656.81,88.12,96.14000000000006
5378,5154,729,4089,5356,3594,2793,1112,4738,1478.04,32.19,31.41
6033,886,2960,5879,4918,5463,3739,2963,3850,1651.16,104.51,112.9300000000001
4693,3142,1664,4477,4286,5810,4833,1423,6406,1543.45,31.56,31.499999999999993
1196,4130,6743,282,724,4490,6496,5449,6218,1525.25,34.81,35.92000000000008
2550,1783,1207,5210,3283,2076,6546,1616,947,1656.75,205.55,225.8899999999997
114,299,3629,5886,6791,1735,2592,2574,228,1654.86,55.47,58.419999999999966
44,6029,136,6042,1049,4717,2477,5247,2544,1560.47,41.23,42.740000000000016
90,362,6656,1748,2695,2594,7001,765,3395,1590.1,41.17,42.570000000000036
1921,6936,3,5583,785,4229,4185,1659,3944,1652.28,96.52,104.13
6193,5872,6710,3453,916,3482,4150,1210,610,1572.15,43.0,41.48000000000005
1195,5389,5811,6377,6444,5447,5776,2836,4892,1651.61,118.17,127.98000000000006
3573,5380,408,2072,3357,5685,5435,1631,227,1682.05,351.46,410.0100000000008
2332,526,6305,3999,2581,5701,1321,1847,452,1657.29,74.3,73.46000000000004
3251,6778,5677,2533,2155,2521,4278,2266,4938,1541.7,36.92,37.59000000000001
176,3326,6510,1707,5761,5674,5692,5743,1728,1276.54,34.16,34.17999999999994
1548,916,6613,6322,5367,7098,6391,4049,1277,1659.41,159.27,177.29000000000008
5863,6756,2576,1956,5353,674,3562,2833,4145,1424.31,35.65,33.49000000000001
6758,4501,5602,4081,3793,5019,2988,5059,1120,1494.74,30.42,32.099999999999994
5052,1357,3841,792,1812,4249,6525,2759,5000,1643.47,68.2,67.42999999999994
1324,4548,1965,1809,3486,5920,5539,4893,1646,849.22,15.92,16.400000000000002
2767,5632,1051,4614,6343,2183,590,3641,2648,1668.74,130.78,135.01999999999998
4680,1154,5413,1938,5897,4864,3258,6880,173,1567.04,43.15,41.46000000000004
2580,3269,2913,6298,2542,970,967,3163,5553,1657.87,123.28,134.8500000000002
7019,5447,7028,3658,3369,4903,86,3993,2769,1261.22,25.57,28.95000000000005
4488,5867,7046,1641,133,6185,124,5771,4974,1308.42,24.2,24.810000000000016
5632,4099,2612,3051,5777,3965,4756,846,5008,1143.59,27.15,25.630000000000017
1435,933,447,3643,2260,666,4485,231,1624,1655.85,196.73,214.6099999999999
2034,5172,611,490,2747,2823,3151,5805,2563,1501.86,44.48,42.30000000000003
3991,4958,1296,4019,6033,6517,2251,5150,484,1638.27,60.09,62.26000000000001
