n0,monte_carlo,monte_carlo_max_hop,two_hop
6499,1.11,1.1,1.0510125862437436
4700,1.0,1.01,1.01
6733,3.11,2.25,2.4535905516644125
660,2.47,2.42,2.5810220021726633
3973,1.03,1.0,1.026944120542185
6244,1.03,1.01,1.0306706052809946
2143,1.08,1.03,1.0713334577986002
301,1.0,1.0,1
3,1.82,1.87,1.829452910236568
1192,1.38,1.34,1.3839603872096367
5429,1.03,1.01,1.0168739387139036
4804,1.39,1.3,1.263032634948737
3852,1.34,1.16,1.455896637431578
6223,1.05,1.01,1.0156346710318165
6019,1.01,1.02,1.0140845070422535
3056,1.33,1.0,1.0669184692165343
2616,1.0,1.0,1
6308,1.11,1.06,1.1086171168357941
179,2.37,2.56,2.275149436039349
2233,1.0,1.0,1
4004,1.08,1.07,1.0722797992341118
6569,1.1,1.11,1.125
1622,1.0,1.0,1
5978,1.5,1.04,1.16024754131955
3391,4.62,2.47,3.0242731024026677
4409,1.02,1.01,1.0155789185429884
4417,1.27,1.38,1.3771740558904488
5587,1.58,1.83,1.5762696658829067
771,5.18,3.57,3.913614310162069
1580,1.0,1.0,1
4615,1.0,1.0,1
4535,1.37,1.22,1.2137567861734018
5730,1.06,1.02,1.0302445305291552
6595,1.16,1.16,1.1472222222222221
5971,1.15,1.01,1.02467969969761
2175,1.19,1.11,1.171238391698288
5430,1.16,1.11,1.1666666666666667
6581,1.0,1.0,1.0130842087640677
4997,1.94,1.59,1.5175124260847797
5617,1.05,1.0,1.0332324700088598
721,3.89,2.74,2.640594723642907
6916,1.01,1.02,1.015077242839406
3479,1.0,1.0,1
2749,1.02,1.17,1.089974033671372
762,1.03,1.05,1.1915185559291324
2966,1.59,1.53,1.5471459853124987
6555,1.05,1.01,1.0221427485557921
3358,1.04,1.03,1.0593564264393158
6592,1.0,1.02,1.0058823529411764
2051,1.0,1.0,1
3647,1.01,1.01,1.022585678514516
5731,1.03,1.06,1.0398467432950191
768,6.97,6.88,6.848640445899298
6189,1.02,1.11,1.089324865097104
1615,1.22,1.31,1.4620599828211043
5740,1.11,1.05,1.0862718835635763
5201,18.78,15.12,15.595992151735409
6524,1.34,1.16,1.184218687247638
2385,1.0,1.0,1
799,1.0,1.0,1
374,3.04,3.03,2.626738441058052
4821,1.0,1.0,1.0191149625247131
1645,1.5,1.2,1.1523592417715678
6782,2.02,1.81,1.8943437448564675
5369,1.11,1.1,1.0833333333333333
2952,2.71,1.91,1.680466678295657
3987,1.74,1.24,1.1760081965544953
6821,1.0,1.0,1.0123222114986397
1586,7.16,5.22,5.357242820582349
4216,1.01,1.0,1.0060975609756098
4717,1.01,1.02,1.0127502852993049
5280,1.0,1.01,1.0138888888888888
5717,1.02,1.05,1.0375050163369242
6598,1.12,1.11,1.2298584506480215
4126,1.01,1.0,1.0123456790123457
232,1.65,1.34,1.4582236443347454
5189,1.02,1.07,1.0787978875290376
2960,1.03,1.05,1.0416666666666667
2006,1.53,1.06,1.0499186365803779
4929,1.0,1.0,1
3520,1.0,1.0,1
2493,1.01,1.02,1.0476190476190477
2927,1.05,1.05,1.0357142857142858
4826,1.03,1.02,1.018181818181818
979,2.32,2.0,2.072591835316754
734,12.78,9.16,9.06174094718239
4097,1.11,1.03,1.0782595978304896
5559,1.03,1.03,1.0269464622343694
4302,1.04,1.01,1.0263903856565322
1631,3.11,2.72,2.9253835746638797
957,1.0,1.0,1
4982,1.45,1.3,1.3382327298801309
5429,1.0,1.02,1.0168739387139036
2194,1.21,1.14,1.1140894615530255
2558,1.0,1.0,1
5890,1.07,1.04,1.0387023924993137
1607,1.07,1.18,1.186313543309532
3111,2.2,1.62,1.5686256648862185
3962,1.18,1.05,1.0172263600305531
1824,1.0,1.0,1
