n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
6917,3155,6209,3445,331,2121,4188,3980,3317,6420,6798,24.2,19.8,19.900105704721614
2484,3904,2933,4779,1789,4134,1140,2308,1144,6191,776,19.25,17.04,16.57947482866781
5065,6548,2052,4362,5776,6637,4930,1203,2540,809,5978,32.64,25.81,26.29118673912582
604,6967,5603,2704,3867,4585,824,2898,3556,2590,5004,13.69,13.9,13.706395086685554
5246,1675,4526,3907,3626,7088,4270,2133,510,6594,4494,19.39,16.48,16.284831819733995
115,764,5895,6882,3267,5818,6757,6431,5473,5122,9,14.16,13.29,13.44354786360835
5012,4043,6783,7107,2729,1998,5982,2664,5764,515,1565,20.5,17.79,17.45232849722837
4649,1816,1954,6581,1167,6579,4448,3669,747,659,2621,26.43,23.89,24.044042600678782
4161,4008,893,2469,4515,2384,5788,1022,4484,2725,6672,22.83,17.71,17.874050026171105
4426,1664,6548,4941,4482,4813,2356,3645,750,4884,6536,15.16,14.33,14.453877734839828
3153,2597,4715,1983,2378,1506,1551,6729,1529,270,5019,26.61,21.94,22.05978870042083
5379,2130,3903,565,735,5560,6206,1066,1225,316,6901,19.94,17.41,17.10501007052833
657,5728,6794,4428,5599,3205,6863,5777,4297,2257,4274,15.87,15.58,15.13193002362932
6648,1929,6958,1762,5566,4831,6760,3435,4748,2254,3691,15.81,14.97,14.838980214299244
4035,5408,5252,5736,6498,2927,674,2656,5019,944,3984,17.61,15.49,15.41794528941092
4809,5162,2746,6922,1559,1990,132,5992,2220,959,5778,36.87,25.9,26.28952182611576
1806,3047,6509,1396,2724,3490,6683,509,824,6415,1198,35.0,25.49,26.10922968091726
7006,5715,1792,370,6693,4701,5195,4376,4932,5575,606,15.91,14.83,14.996825045002273
218,1019,5201,1544,4967,6800,4718,980,3204,749,3032,38.56,32.83,33.09862427577295
6830,950,298,4960,177,1594,1515,5882,1014,3925,1725,15.36,14.12,14.219146300178918
5956,6559,500,5565,186,4458,3486,5083,831,6847,2129,17.75,16.26,16.172954855315922
573,1809,589,5299,2466,2869,3572,1477,500,4125,3826,17.78,16.02,16.21122919700723
322,4886,826,5728,3205,1633,2131,2937,5993,3852,6867,24.8,21.56,21.440591037987893
4667,1387,5715,5510,1666,6286,475,6460,5539,1296,6925,18.83,16.75,17.153790254356643
1326,2804,4337,2053,960,4888,3623,5452,1432,108,3863,20.82,17.2,16.489116498937747
