n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
6499,4700,6733,660,3973,6244,2143,301,3,1192,5429,4804,3852,18.94,18.17,18.173225326495633
6223,6019,3056,2616,6308,179,2233,4004,6569,1622,5978,3391,4409,21.77,17.0,16.87156806377
4417,5587,771,1580,4615,4535,5730,6595,5971,2175,5430,6581,4997,20.88,18.24,18.149964503094907
5617,721,6916,3479,2749,762,2966,6555,3358,6592,2051,3647,5731,16.46,15.92,15.666335118221951
768,6189,1615,5740,5201,6524,2385,799,374,4821,1645,6782,5369,44.01,36.62,37.02777220069406
2952,3987,6821,1586,4216,4717,5280,5717,6598,4126,232,5189,2960,19.94,19.44,19.11673565640268
2006,4929,3520,2493,2927,4826,979,734,4097,5559,4302,1631,957,28.29,23.99,24.339921776779793
4982,5429,2194,2558,5890,1607,3111,3962,1824,1131,4893,1719,6832,20.17,17.99,18.116099858344644
7090,5719,4277,102,1546,6373,1385,139,5308,2727,4569,5499,5081,20.31,18.37,18.35670097158439
5067,2507,3068,3091,4320,3188,2368,1039,5560,4003,440,1518,3464,18.77,17.83,17.85937426670943
4865,6113,3258,786,3614,2009,6600,729,4941,5490,3654,3663,6421,18.28,16.69,16.5610376585308
6809,3113,6521,626,4232,3493,3857,2485,5780,6689,3351,703,1574,18.0,17.36,17.100192982825863
6115,5572,2177,3697,3994,5919,6422,1410,151,179,4406,1011,2057,26.61,21.89,22.686465222170874
4828,6568,2957,1536,2099,4118,3698,2698,4234,2087,3363,3454,5014,18.55,16.83,16.31415901119775
3976,2194,4935,3888,5376,3920,4030,1164,5908,3092,4068,2504,5197,17.1,16.47,16.03416976533983
6592,3827,2649,3002,5400,1335,5074,3080,5688,4940,2177,2622,5292,15.64,14.11,14.680608786547749
3262,3997,5974,6499,1295,6780,2382,4586,50,5110,3681,467,1495,24.16,20.82,20.373305663423082
246,4996,6337,4667,918,5587,5886,3038,2965,4075,6991,4831,510,15.63,15.13,15.209103236397713
1578,1264,2205,5025,121,3457,6604,6408,6554,6664,4299,4027,621,25.07,22.03,21.560700349460728
3841,1901,820,3038,2965,1187,5578,5124,1993,4969,2607,1181,308,20.65,18.77,18.565964458870855
5144,5473,797,5848,863,370,5288,3914,3790,5931,565,5154,252,23.74,20.41,20.226902868567816
5745,4517,1040,5051,6821,684,1319,5063,5170,2172,6868,5359,3702,16.17,15.96,15.700852316183463
4093,5683,166,6482,5221,1122,6703,1546,3611,3925,6377,3600,3662,18.49,17.09,17.078065233846605
4575,2264,3911,5836,4745,521,6811,6555,2390,2977,2343,2950,277,15.27,15.8,15.52927673194176
685,4115,7029,2259,2292,2245,3875,3528,3639,3042,261,5847,701,14.45,14.82,14.47834305873519
2044,6687,4953,5231,1953,4386,6106,267,6054,1419,2755,3035,261,16.54,14.68,14.78179331563122
426,6060,6268,6154,1713,5740,3547,2813,635,1291,5992,5536,934,25.09,21.62,20.872867519220428
