n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
1857,3034,3075,1034,1582,5773,358,697,1121,2027,6645,4148,1715,3282,5258,19.02,18.13,18.19048146419463
248,3761,3992,3712,3198,4054,4695,1574,6803,3298,733,3973,1918,6217,163,24.12,23.45,23.076877755808543
5743,2185,4261,3339,3885,3105,5947,931,5430,2116,795,6670,516,3165,5080,21.97,20.25,20.18046832631646
6795,3090,882,5413,475,2772,1920,5663,704,4076,5322,4233,1703,4763,6622,29.49,24.6,24.703516862578187
1164,4970,527,4421,306,4003,5749,1588,1214,7047,4742,3737,5971,4787,3646,27.61,21.17,21.722759323211964
2340,4565,2922,7004,3490,1105,1296,6261,4925,799,4356,5653,2570,5751,2924,23.13,21.81,21.35108178278954
5274,6909,4052,4125,5111,1619,2529,1230,2914,4331,2329,4176,5382,585,6620,21.16,19.86,19.904798035155213
7018,4156,5745,4464,1801,2819,1997,97,2422,2811,1800,2185,275,3468,2087,21.04,18.41,18.429928075240845
3087,2444,6834,5778,3415,1435,5385,3246,952,1361,5432,6980,209,1653,6278,17.81,17.31,16.84037564419268
1316,2457,954,108,6524,6261,3116,2800,6851,1393,4662,3568,1898,1139,3359,17.41,16.19,16.431695866103098
4620,3654,3335,3423,656,4821,573,2365,5872,779,278,698,5433,872,6260,25.91,22.24,21.900652890204842
4267,4319,2950,1258,6616,4136,3999,5801,1216,4951,515,1553,138,1150,2791,27.28,26.33,25.842043336142417
3164,5392,4699,989,6092,2452,2879,2665,2998,24,5290,6845,4087,1720,496,45.01,35.23,36.14644384438014
5056,271,6220,6623,6688,4751,1408,1456,2764,3531,3616,990,682,1642,4959,35.56,29.0,29.624859617175574
1834,4073,6646,3876,6473,1265,3121,999,888,4757,5906,3708,5307,1035,5892,21.19,18.81,19.074156396409542
3600,4214,5943,740,5861,3860,4619,3225,6688,2955,3730,1847,417,1617,400,18.42,16.99,16.84414359345038
3655,912,886,1730,5940,37,5802,4920,5009,185,5367,2982,6793,3542,4324,29.38,25.72,25.377168884528317
764,6135,6190,4916,4117,6711,5776,4661,1643,4108,1879,2655,4306,3146,6094,38.73,31.94,32.321417580696725
