n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
7070,6955,463,750,695,2957,6844,1385,6029,6627,5486,6994,2524,2060,4963,1738,4970,292,4761,24.84,23.25,23.84347465175537
5580,1297,3528,5230,3223,6583,5922,7047,4170,3047,4457,3644,4112,2197,294,224,2982,3808,2608,24.12,22.85,23.005982307889266
3113,3470,4306,1347,4591,1453,1934,1889,195,1447,2663,1422,1119,4179,4179,2946,4208,5525,4586,25.64,24.15,25.187640981273052
1489,3650,6527,3396,6016,4303,6249,2983,6469,4861,2898,2964,7036,3651,1320,6176,3275,5858,6050,30.53,27.07,27.828410179823393
3779,5365,4344,2047,4014,2286,4080,4102,4222,6811,6522,2899,5420,3724,3776,2873,4650,5946,4567,21.94,22.15,21.989737406499337
5929,3740,3986,5397,1817,2659,6673,5730,6840,1360,5049,2196,6332,3930,2535,2484,6547,5785,6808,22.71,21.94,21.974306284367188
4130,4605,4241,4156,5336,5044,4816,3331,2554,5987,1702,4005,4193,3003,5605,5105,617,6424,6720,32.43,27.49,27.470821628764032
2797,5946,68,6676,1567,6101,869,481,4705,5348,400,2237,4847,1856,5590,870,6179,4279,1118,35.9,26.98,27.138605643649797
6995,2177,2005,6756,1724,494,3464,5873,6221,261,465,2968,2950,1408,2043,5511,192,679,943,24.15,22.74,22.54990323930524
552,207,334,5975,173,3056,2094,1046,6662,1287,6019,1505,4285,5664,15,3158,4828,353,6505,51.37,43.56,42.78641051175079
2030,1240,297,34,2819,5040,5142,6082,6124,926,2343,2762,4003,252,2526,3675,4517,6274,4957,38.59,34.18,33.98293880824752
6061,374,2162,6190,3291,7065,5092,5778,1257,3873,1847,765,5413,5631,2591,6868,835,198,3668,30.95,26.49,27.627579041213437
6458,1044,4245,4791,6398,3219,3988,4217,2686,1178,2793,2122,2144,4964,3438,5351,147,5730,4570,26.04,25.66,25.692815974905614
1151,5493,465,2072,274,1078,1320,1398,785,3714,5202,1897,4163,5800,257,2021,1904,5848,3642,73.3,58.66,57.8235591648421
602,2054,658,4843,1869,5113,6484,6555,5111,5812,2947,2102,5607,3465,2283,4310,6149,39,1237,23.91,21.85,22.100885432742142
