n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
2652,1235,3234,5332,395,593,6727,4389,771,2995,4774,475,4156,1758,307,704,3552,3425,572,1971,743,52.8,43.02,42.68925378716139
4514,3477,484,6773,4632,1014,1828,5166,5139,4775,506,4727,4796,3249,406,1811,381,4560,7032,1090,2372,45.4,36.33,37.442633759939774
3433,1181,4429,964,4676,2527,4589,6685,5586,1480,844,4764,4679,5233,1539,3050,798,4487,5833,514,4623,34.64,30.08,30.19065920800981
488,5070,1687,4066,5573,4355,3502,6367,2573,3814,4796,3712,2962,2455,2035,6507,1472,5726,6388,1999,670,50.19,39.52,39.37434287776905
4705,2459,4302,4055,2813,5975,3676,2358,4988,599,967,4193,3425,1351,6202,2802,1245,4005,3454,321,5474,30.32,28.44,28.125226918376153
635,6263,4571,4694,6464,6703,2570,2786,5695,2868,4869,4068,4750,6528,3737,563,6881,766,2211,3883,5710,25.47,24.9,24.702816949692437
5440,532,497,5989,5746,2536,5301,4734,5580,6733,3650,2331,5870,3160,5477,2842,184,3782,2911,1376,5004,27.83,25.57,26.14107840516189
959,4044,482,1787,6293,2354,1059,6048,2028,3259,3202,4067,660,1362,3679,3290,4501,2276,1121,6711,3526,74.6,55.59,55.626210064459634
7077,4507,2280,5786,3402,2939,5592,3116,1890,1236,679,1443,1239,1900,5394,1911,98,3972,6808,4826,1493,34.2,28.24,28.56730235083874
2152,2309,33,1193,3432,4379,3024,4995,4639,2610,1028,5656,7038,4222,5059,5365,5539,6060,442,3740,6389,31.95,29.44,29.103410792811687
5575,6536,4581,3214,3260,3268,3228,848,3944,5196,3280,509,1561,551,1710,3609,1329,900,2785,4921,430,45.05,35.18,35.33958129458742
838,1,4643,1239,4395,831,2978,5027,208,576,1703,5030,3082,1216,5197,2066,2845,4933,2983,3884,1006,30.12,27.65,27.89558012948896
944,6954,3998,3817,3935,3963,2554,703,1180,837,6141,2806,6064,2168,3920,6789,5669,1322,4229,189,1681,34.88,29.75,29.54203078219516
4327,2963,1200,5653,4449,221,6210,4326,2441,5266,7072,745,5703,6925,2139,4246,3004,1368,2913,6323,1825,38.4,35.37,35.62751717760047
4362,4436,6382,4118,2700,5213,1827,5023,6647,6458,6212,6984,1598,6603,1961,6703,3282,6061,6580,1857,1637,51.03,42.43,41.99207411199114
4240,4036,2912,5988,237,228,6472,2288,3868,2123,1586,5673,4957,2820,3663,6623,5923,2863,2987,659,1806,40.22,37.04,36.10678696122354
836,1858,3850,1611,2766,1674,3953,5112,4999,6884,15,3927,5349,2818,6550,5268,694,6837,5411,982,3182,29.96,27.89,27.656187695466116
6408,5828,6145,1632,3916,1462,3554,6464,5208,2723,710,6560,5913,3242,3794,3288,6089,695,5937,1301,1392,41.5,35.56,35.557688901449666
1040,225,1238,4839,3812,6606,5372,1197,5010,6770,4881,3885,5384,2870,1277,4494,4491,1073,175,116,6548,45.78,39.17,38.14769744309955
5950,5322,841,4313,6139,1140,3553,1595,6767,1728,229,2063,1743,2399,4105,1970,6256,4804,2670,2124,4459,41.8,35.24,35.71396500211558
3432,6833,1073,498,6061,2898,3753,5426,4778,6676,4233,3445,6775,4109,1071,4356,1243,4288,4182,153,3605,32.52,29.38,30.074553388641075
6361,1500,4985,32,6357,6546,1227,1411,1159,3878,5071,5940,985,4558,505,2670,5589,4246,4347,4550,3952,37.65,32.0,32.34324178287475
6424,6361,869,4589,465,2035,1567,2268,345,6326,800,4159,3704,4601,228,6225,519,3631,2667,5017,4141,32.86,28.48,28.218993218849814
4965,4195,1633,5674,2270,3705,4162,4368,6613,3916,4159,2028,5727,4286,2126,4583,1659,6881,3666,1123,3413,29.92,25.12,25.712750579034275
996,3214,3621,2588,594,5498,1971,3508,599,1742,5484,2480,6422,1002,6364,1265,5866,5271,5408,2999,1171,34.57,31.03,31.14575410302268
2073,1124,3831,1798,6116,771,3262,3991,1333,5470,6819,1832,1322,5786,3535,4223,3308,2778,3451,1603,2921,29.57,27.31,27.156599413187497
2609,755,5915,2997,159,2768,4538,3757,3608,5760,148,3148,2715,4238,5111,2420,4196,526,924,6458,1872,24.9,24.67,24.369732864042142
858,688,2175,2227,324,6381,1487,2215,6191,1061,6715,3459,6959,5537,6709,2118,3325,1223,4395,4217,4674,26.64,25.17,25.153987830949298
4051,5737,2679,732,2286,471,6550,5637,1501,3484,593,2203,137,5197,725,6566,2134,686,4982,7014,1821,27.01,25.92,25.654321648439105
545,2166,7067,996,3717,94,2778,4530,3422,2194,5092,1058,353,4316,5812,1953,896,1322,2145,412,1483,31.65,27.26,27.173141902740614
