n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
5102,2092,6076,7.12,6.76,6.800739770481429
2937,6514,5656,3.87,3.3,3.3103996209974866
6893,6061,5341,3.22,3.25,3.2427967893318472
4342,237,6884,3.98,3.95,3.7508091715855008
3814,6356,2040,4.29,3.84,3.7910629966094813
5316,424,1284,4.29,4.2,4.132240902755835
927,3045,3842,3.42,3.29,3.1838558786280897
7114,2019,3119,3.07,3.08,3.1235846946580477
4454,835,4701,3.99,3.93,3.741381253803678
2042,107,5989,5.45,4.24,4.839797876010278
1775,3343,2289,3.54,3.51,3.5335287831363766
1491,7106,6272,6.27,4.76,4.716048682634437
3190,1307,6241,3.05,3.04,3.0543776284871678
6530,589,1136,5.07,4.23,4.281392567279927
5062,5058,3644,5.49,4.35,4.205511183260965
1037,1083,14,3.0,3.0,3
43,1715,6337,8.94,7.13,7.339896684629815
1765,1358,1363,4.79,4.04,4.260714353447236
2369,2569,1629,3.04,3.01,3.0341435185185186
4417,5552,5125,3.62,3.73,3.4474497217374585
1677,1488,5657,8.86,8.11,7.6994298860104795
1612,3139,2447,3.82,3.52,3.4628225047918297
176,2958,3398,3.13,3.06,3.1945872212743054
1359,1193,2161,6.09,4.26,4.488948560884096
533,2718,2468,13.8,9.21,8.979240149763621
6696,4940,4801,4.32,3.9,3.8306153731947097
27,4882,5553,3.03,3.1,3.066495245611384
5797,2768,540,4.4,4.18,4.396139275787291
2539,2911,6705,3.41,3.12,3.146356324322226
2507,3938,5705,3.54,3.48,3.425216429359197
2586,1513,3942,7.22,7.07,6.764293305469762
3871,5772,1442,5.36,4.76,4.791432931128024
466,2098,187,3.39,3.34,3.404767219082343
6142,2929,6921,3.17,3.14,3.1311720087247843
3311,148,4497,3.62,3.06,3.1595313948529125
6453,3431,2999,4.15,3.86,3.829037958800013
3083,4739,6891,7.1,6.91,6.594236452140292
74,3709,382,6.1,5.14,4.873516548092901
5797,1482,5109,4.49,4.59,4.579023224804531
1609,975,6190,4.21,3.93,3.759150836209108
2015,6713,3786,4.39,4.25,4.2420993957352735
2821,4198,2906,3.45,3.32,3.4372747533199486
4298,2055,6353,3.11,3.0,3.068140754165176
3791,885,4831,8.39,6.65,6.439908836188447
6130,6397,6530,3.34,3.16,3.1683580499051613
3008,7042,2423,3.04,3.19,3.0684846753699677
300,3546,746,10.52,7.26,7.330713133698667
1707,2791,4201,5.47,4.89,4.683986746987683
5003,2970,1214,7.34,5.76,6.571803413933857
2784,2258,5755,3.74,3.79,3.665892914662852
4465,754,2559,3.2,3.09,3.10766767719506
5619,2595,2508,3.65,3.74,3.8482102107284404
1453,6543,640,3.27,3.1,3.1363077592946955
5134,1219,5907,3.82,3.63,3.6505076640766627
5645,2533,3963,3.99,4.22,3.9942984330565556
1323,5899,397,3.43,3.46,3.4979156863981737
663,4920,4370,3.42,3.39,3.348059165271149
3325,260,1944,3.41,3.18,3.201117126883894
6066,4865,2816,3.78,3.38,3.3874230578811932
6769,2049,3732,3.39,3.09,3.141010528691635
5332,3455,1192,8.53,6.55,7.12088849807561
456,5229,268,4.65,3.93,3.952211801816433
6567,4043,2737,3.91,3.2,3.129674418918312
6868,1696,1069,5.76,4.93,5.038855736503116
5993,4620,1087,3.09,3.11,3.0785265956276717
5164,6455,3390,3.86,3.29,3.283989594279694
873,1382,3559,6.27,6.16,6.080716230358635
3055,1222,481,3.21,3.26,3.384547616941896
6920,3445,2415,3.8,3.6,3.6873016364865476
1156,3712,5082,8.58,6.83,6.620360336211158
6981,1386,4277,12.34,9.86,10.22974145633368
3715,3998,5642,5.08,5.15,4.684832391674707
5976,2602,3924,3.76,3.26,3.2259914269530445
2244,2384,3850,10.92,8.75,8.358048657857019
3307,1200,922,21.56,15.5,16.63666403639567
3088,6734,4356,3.76,3.23,3.2371043129985617
1469,5136,4090,4.0,3.38,3.532676501018627
7109,2772,1475,3.46,3.11,3.137068773760893
730,4029,2230,3.35,3.15,3.181384958105424
4220,6406,4490,3.08,3.12,3.101995956662566
7105,4119,2959,3.37,3.12,3.220198577246366
516,6439,6513,3.56,3.3,3.3852927627356073
6347,2913,5690,3.41,3.2,3.161024541562476
4812,5439,281,7.48,6.16,6.435013491170265
6222,2504,2977,3.03,3.01,3.0420901014836548
4581,5771,5474,4.72,4.04,3.951499355261447
2300,6842,3978,3.96,3.45,3.497335556417172
2169,6305,5659,3.41,3.42,3.359853352125767
5865,2407,2785,3.57,3.45,3.387602643070526
5322,1463,4756,11.22,8.88,8.92615554051073
6978,94,3885,5.41,4.57,4.8617238800959335
4480,6338,2053,4.44,4.15,4.26064546296568
2669,5502,2242,3.02,3.14,3.0487376142225706
3792,2366,6690,3.49,3.11,3.1033108348097382
4098,5303,5518,3.11,3.07,3.0613106475686767
6534,2921,2849,6.06,4.81,5.252867691289207
2243,5276,2831,3.22,3.28,3.3045361783287803
6044,6784,3346,3.63,3.44,3.6778408003522705
2867,6904,1412,3.49,3.13,3.1749463180733493
7102,5638,3684,3.04,3.35,3.271775972813031
