n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
1857,3034,3075,1034,1582,6.24,6.22,6.210579718230864
5773,358,697,1121,2027,8.06,6.4,6.778773636953008
6645,4148,1715,3282,5258,5.55,5.2,5.202130273110731
248,3761,3992,3712,3198,8.44,7.58,7.225410197918216
4054,4695,1574,6803,3298,5.16,5.22,5.175557667030688
733,3973,1918,6217,163,12.65,10.55,10.678932507589597
5743,2185,4261,3339,3885,6.98,7.23,6.866650278128013
3105,5947,931,5430,2116,7.01,6.85,6.536874556997358
795,6670,516,3165,5080,6.9,6.52,6.7783782021034185
6795,3090,882,5413,475,9.44,8.11,8.154049371511181
2772,1920,5663,704,4076,7.22,6.93,6.551431965287461
5322,4233,1703,4763,6622,12.16,10.09,10.000198388597616
1164,4970,527,4421,306,9.66,7.17,7.464514839398627
4003,5749,1588,1214,7047,9.92,8.46,8.938289056026402
4742,3737,5971,4787,3646,5.57,5.4,5.338458651214373
2340,4565,2922,7004,3490,8.48,7.64,7.717510445617666
1105,1296,6261,4925,799,8.37,8.28,8.138501294089783
4356,5653,2570,5751,2924,5.55,5.33,5.495890754604322
5274,6909,4052,4125,5111,5.99,5.9,6.160496735050467
1619,2529,1230,2914,4331,9.36,7.71,8.021863201056473
2329,4176,5382,585,6620,5.54,5.72,5.7259235867671325
7018,4156,5745,4464,1801,6.11,5.73,6.015153733091796
2819,1997,97,2422,2811,5.42,5.13,5.2766037538966675
1800,2185,275,3468,2087,7.64,6.72,7.139737982923099
3087,2444,6834,5778,3415,5.39,5.29,5.3291268392212165
1435,5385,3246,952,1361,8.3,6.56,6.304901462141699
5432,6980,209,1653,6278,5.16,5.33,5.2063473428297655
1316,2457,954,108,6524,6.64,5.75,5.858152473546534
6261,3116,2800,6851,1393,5.49,5.48,5.409261928855431
4662,3568,1898,1139,3359,5.17,5.12,5.164281463701134
4620,3654,3335,3423,656,15.37,12.09,11.307958956334087
4821,573,2365,5872,779,5.36,5.27,5.273425273003005
278,698,5433,872,6260,5.75,5.46,5.406443529409292
4267,4319,2950,1258,6616,12.0,9.62,9.253141326521469
4136,3999,5801,1216,4951,10.73,8.01,8.491929250377622
515,1553,138,1150,2791,8.55,8.26,8.128267158753868
3164,5392,4699,989,6092,9.43,8.04,7.9557986024295735
2452,2879,2665,2998,24,28.32,20.23,21.808521385737972
5290,6845,4087,1720,496,8.21,6.57,6.389072646809568
5056,271,6220,6623,6688,8.8,7.92,8.018403760314316
4751,1408,1456,2764,3531,5.29,5.43,5.311911359510218
3616,990,682,1642,4959,20.83,16.88,16.299687975029116
1834,4073,6646,3876,6473,5.08,5.09,5.133972709997455
1265,3121,999,888,4757,7.84,6.28,6.417329066800433
5906,3708,5307,1035,5892,8.66,7.53,7.523265927492943
3600,4214,5943,740,5861,5.51,5.27,5.275203979483168
3860,4619,3225,6688,2955,7.21,6.25,6.364229571671348
3730,1847,417,1617,400,5.15,5.18,5.20624846440924
3655,912,886,1730,5940,20.24,14.07,13.65432714448732
37,5802,4920,5009,185,7.72,6.41,6.583785031089807
5367,2982,6793,3542,4324,5.25,5.13,5.1432644409336365
764,6135,6190,4916,4117,8.38,7.49,7.313078544789158
6711,5776,4661,1643,4108,20.98,18.2,17.979397775345046
1879,2655,4306,3146,6094,6.54,6.75,7.046820756255474
4258,5302,1607,54,2372,10.09,8.39,8.21886709469392
5023,2428,654,6089,2629,7.44,6.66,6.766979496514903
3300,1832,5180,2428,652,5.24,5.29,5.251669223961019
4483,3436,6096,3024,6609,5.41,5.38,5.31622972369027
6068,6967,2628,4229,2475,5.79,5.8,5.900536647614569
5120,6809,2923,6416,2423,6.04,6.02,5.877038301427909
5336,6928,895,1603,3974,5.07,5.07,5.0452296774428795
3030,3101,4792,6939,2555,5.08,5.03,5.2249096779640505
